161193, CAND CILE+HIDRO MG , CAND CILE HIDRO, NOT FOUND, CPR 16 MG x 30 (/12.), SDZ
59182, CITR.TAMOXIFENO MG , CITR TAMOXIFENO, CITRATO TAMOXIFENO, CPR REVEST 20 MG x 30, SDZ
59700, CLARILERG , CLARILERG, NOT FOUND, CPR BLISTER 10 MG x 12, SDZ
74505, CLAXAM , CLAXAM, NOT FOUND, CPR REVEST 875 MG x 14 (/125), SDZ
74504, CLAXAM , CLAXAM, NOT FOUND, CPR REVEST 875 MG x 20 (/125), SDZ
74153, CLAXAM , CLAXAM, NOT FOUND, SUSP 457 MG 70 ML x 1 (/5ML), SDZ
73061, CLO SIBUTRAMINA MG , CLO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CAPS 15 MG x 10, SDZ
72612, CLO SIBUTRAMINA MG , CLO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CAPS 15 MG x 30, SDZ
72611, CLOPIDOGREL MG , CLOPIDOGREL, CLOPIDOGREL, CPR REVEST 75 MG x 14, SDZ
72610, CLOPIDOGREL MG , CLOPIDOGREL, CLOPIDOGREL, CPR REVEST 75 MG x 28, SDZ
59197, CLOR SOTALOL MG , CLOR SOTALOL, CLORIDRATO SOTALOL, CPR 160 MG x 20, SDZ
59567, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, CAPS 50 MG x 10, SDZ
59193, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR RET.REVE 240 MG x 30, SDZ
59192, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVES.AP 120 MG x 20, SDZ
59191, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVEST 80 MG x 30, SDZ
59057, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR 250 MG x 10, SDZ
59058, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR 500 MG x 10, SDZ
61907, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 250 MG x 14, SDZ
61908, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 250 MG x 6, SDZ
59699, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 14, SDZ
59698, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 6, SDZ
79975, CLOR.DONEPEZILA MG , CLOR DONEPEZILA, CLORIDRATO DONEPEZILA, CPR REVEST 10 MG x 30, SDZ
79974, CLOR.DONEPEZILA MG , CLOR DONEPEZILA, CLORIDRATO DONEPEZILA, CPR REVEST 5 MG x 30, SDZ
70208, CLOR.FLUOXETINA MG , CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 20, SDZ
59701, CLOR.FLUOXETINA MG , CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 30, SDZ
68565, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 1 G x 30, SDZ
68563, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 500 MG x 30, SDZ
68564, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 30, SDZ
77238, CLOR.PAROXETINA MG , CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30, SDZ
61285, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 150 MG x 10, SDZ
63192, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 150 MG x 20, SDZ
63193, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 300 MG x 10, SDZ
63194, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 300 MG x 20, SDZ
71609, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, SDZ
64862, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30, SDZ
90891, CLOXAZOLAM MG , CLOXAZOLAM, CLOXAZOLAM, CPR 1 MG x 30, SDZ
90894, CLOXAZOLAM MG , CLOXAZOLAM, CLOXAZOLAM, CPR 2 MG x 30, SDZ
60267, CO-ENAPROTEC , CO ENAPROTEC, NOT FOUND, CPR 10 MG x 30 (/25), SDZ
60273, CO-ENAPROTEC , CO ENAPROTEC, NOT FOUND, CPR 20 MG x 30 (/12), SDZ
59356, COR MIO , COR MIO, NOT FOUND, CPR BLISTER 200 MG x 20, SDZ
73720, COR MIO , COR MIO, NOT FOUND, CPR BLISTER 200 MG x 30, SDZ
