528528301138111; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP) ; PZ8
528522305115115; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG COM CT BL AL PLAS INC X 800 (EMB HOSP); PZ8
528522302132116; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; PZ8
528500802132114; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 10 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); PZ8
528500801136116; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 10 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; PZ8
528500803139112; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 10 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
528500902137118; BROMETO DE N-BUTILESCOPOLAMINA+DIPIRONA SÓDICA; BROMETO N BUTILESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CX 200 FR PLAS OPC X 10 ML (EMB HOSP); PZ8
528500901130111; BROMETO DE N-BUTILESCOPOLAMINA+DIPIRONA SÓDICA; BROMETO N BUTILESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67MG/ML + 333.4MG/ML SOL ORAL CT FR PLAS OPC X 20 ML; PZ8
528500903133116; BROMETO DE N-BUTILESCOPOLAMINA+DIPIRONA SÓDICA; BROMETO N BUTILESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CX 200 FR PLAS OPC X 20 ML (EMB HOSP); PZ8
528530717176414; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 150 ML  (SABOR LARANJA); PZ8
528530718172412; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 150 ML (SABOR CEREJA); PZ8
528530719179410; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 150 ML (SABOR LIMAO); PZ8
528530720177418; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 150 ML (SABOR MENTA); PZ8
528530710171425; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 150 ML + COP (EMB HOSP) (SABOR CEREJA); PZ8
528530711178423; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 150 ML + COP (EMB HOSP) (SABOR LARANJA); PZ8
528530712174421; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 150 ML + COP (EMB HOSP) (SABOR LIMAO); PZ8
528530713170421; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 150 ML + COP (EMB HOSP) (SABOR MENTA); PZ8
528530701172422; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 250 ML + COP (EMB HOSP) (SABOR LARANJA); PZ8
528530714177428; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 250 ML + COP (EMB HOSP) (SABOR CEREJA); PZ8
528530715173426; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 250 ML + COP (EMB HOSP) (SABOR LIMAO); PZ8
528530716171427; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CX 50 FR PLAS TRANS X 250 ML + COP (EMB HOSP) (SABOR MENTA); PZ8
528530705178425; BENZIDROL; BENZIDROL; NOT FOUND; 1.5 MG/ML COLUT CT FR SPR PLAS TRANS X 30 ML (SABOR MENTA); PZ8
