533017801131114, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML, U_Q
533022602176416, MAXINOM, MAXINOM, NOT FOUND, (1 MG + 3.5 MG + 6000 UI)/G POM OFT CT BG AL X 3.5 G, U_Q
533022601171410, MAXINOM, MAXINOM, NOT FOUND, (1 MG + 3.5 MG + 6000 UI)/ML SUS OFT CT FR PLAS OPC GOT X 5 ML, U_Q
533007701118410, MAZITRON, MAZITRON, NOT FOUND, CAP GEL DURA CT BL AL PLAS INC X 3, U_Q
533023901118416, METACOROL, METACOROL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 20, U_Q
533007801155113, MIDAZOLAM, MIDAZOLAM, MIDAZOLAM, SOL INJ X 5 AMP VD INC X 3ML, U_Q
533007901117418, MODERINE, MODERINE, NOT FOUND, COMP CT 2 BL AL PLAS INC X 10, U_Q
533017801131114, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML, U_Q
533022602176416, MAXINOM, MAXINOM, NOT FOUND, (1 MG + 3.5 MG + 6000 UI)/G POM OFT CT BG AL X 3.5 G, U_Q
533022601171410, MAXINOM, MAXINOM, NOT FOUND, (1 MG + 3.5 MG + 6000 UI)/ML SUS OFT CT FR PLAS OPC GOT X 5 ML, U_Q
533007701118410, MAZITRON, MAZITRON, NOT FOUND, CAP GEL DURA CT BL AL PLAS INC X 3, U_Q
533023901118416, METACOROL, METACOROL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 20, U_Q
533007801155113, MIDAZOLAM, MIDAZOLAM, MIDAZOLAM, SOL INJ X 5 AMP VD INC X 3ML, U_Q
533007901117418, MODERINE, MODERINE, NOT FOUND, COMP CT 2 BL AL PLAS INC X 10, U_Q
533017801131114, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML, U_Q
533022602176416, MAXINOM, MAXINOM, NOT FOUND, (1 MG + 3.5 MG + 6000 UI)/G POM OFT CT BG AL X 3.5 G, U_Q
533022601171410, MAXINOM, MAXINOM, NOT FOUND, (1 MG + 3.5 MG + 6000 UI)/ML SUS OFT CT FR PLAS OPC GOT X 5 ML, U_Q
533007701118410, MAZITRON, MAZITRON, NOT FOUND, CAP GEL DURA CT BL AL PLAS INC X 3, U_Q
533023901118416, METACOROL, METACOROL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 20, U_Q
533007801155113, MIDAZOLAM, MIDAZOLAM, MIDAZOLAM, SOL INJ X 5 AMP VD INC X 3ML, U_Q
533007901117418, MODERINE, MODERINE, NOT FOUND, COMP CT 2 BL AL PLAS INC X 10, U_Q
533017801131114, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML, U_Q
533022602176416, MAXINOM, MAXINOM, NOT FOUND, (1 MG + 3.5 MG + 6000 UI)/G POM OFT CT BG AL X 3.5 G, U_Q
533022601171410, MAXINOM, MAXINOM, NOT FOUND, (1 MG + 3.5 MG + 6000 UI)/ML SUS OFT CT FR PLAS OPC GOT X 5 ML, U_Q
533007701118410, MAZITRON, MAZITRON, NOT FOUND, CAP GEL DURA CT BL AL PLAS INC X 3, U_Q
533023901118416, METACOROL, METACOROL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 20, U_Q
533007801155113, MIDAZOLAM, MIDAZOLAM, MIDAZOLAM, SOL INJ X 5 AMP VD INC X 3ML, U_Q
533007901117418, MODERINE, MODERINE, NOT FOUND, COMP CT 2 BL AL PLAS INC X 10, U_Q
533007701118410, MAZITRON, MAZITRON, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 3, U_Q
533017801131114, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML, U_Q
533007901117418, MODERINE, MODERINE, NOT FOUND, 1.5 MG COM CT BL AL PLAS INC X 20, U_Q
533007801155113, MIDAZOLAM, MIDAZOLAM, MIDAZOLAM, 5 MG/ML SOL INJ CX 5 AMP VD INC X 3 ML, U_Q
533022602176416, MAXINOM, MAXINOM, NOT FOUND, (1 MG + 3.5 MG + 6000 UI)/G POM OFT CT BG AL X 3.5 G, U_Q
533022601171410, MAXINOM, MAXINOM, NOT FOUND, (1 MG + 3.5 MG + 6000 UI)/ML SUS OFT CT FR PLAS OPC GOT X 5 ML, U_Q
533023901118416, METACOROL, METACOROL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 20, U_Q
533007701118410, MAZITRON, MAZITRON, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 3, U_Q
533017801131114, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML, U_Q
533007901117418, MODERINE, MODERINE, NOT FOUND, 1.5 MG COM CT BL AL PLAS INC X 20, U_Q
533007801155113, MIDAZOLAM, MIDAZOLAM, MIDAZOLAM, 5 MG/ML SOL INJ CX 5 AMP VD INC X 3 ML, U_Q
533022602176416, MAXINOM, MAXINOM, NOT FOUND, (1 MG + 3.5 MG + 6000 UI)/G POM OFT CT BG AL X 3.5 G, U_Q
533022601171410, MAXINOM, MAXINOM, NOT FOUND, (1 MG + 3.5 MG + 6000 UI)/ML SUS OFT CT FR PLAS OPC GOT X 5 ML, U_Q
533023901118416, METACOROL, METACOROL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 20, U_Q
