533001001157414; BETA LONG; BETA LONG; NOT FOUND; 3MG + 3MG/ML  SUS INJ CT  AMP  VD AMB  X 1 ML; U_Q
533012120057204; BIOFLEX; BIOFLEX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT STRIP X 16; U_Q
533014060060818; BENZITRAT; BENZITRAT; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS TRANS X 150 ML + CP MED; U_Q
533025401171411; BETANOM; BETANOM; NOT FOUND; 0.25 PCC SOL OFT CT STR 30 FLAC PLAS X 0.3 ML; U_Q
533025404170416; BETANOM; BETANOM; NOT FOUND; 0.25 PCC SOL OFT CT STR 15 FLAC PLAS X 0.3 ML; U_Q
533025405177414; BETANOM; BETANOM; NOT FOUND; 0.25 PCC SUS OFT CT FR PLAS OPC GOT X 10 ML; U_Q
533025406173412; BETANOM; BETANOM; NOT FOUND; 0.25 PCC SUS OFT CT FR PLAS OPC GOT X 5 ML; U_Q
533025402178411; BETANOM; BETANOM; NOT FOUND; 0.5 PCC SOL OFT CT STR 15 FLAC PLAS X 0.3 ML; U_Q
533025408176419; BETANOM; BETANOM; NOT FOUND; 0.5 PCC SOL OFT CT STR 30 FLAC PLAS X 0.3 ML; U_Q
533025403174418; BETANOM; BETANOM; NOT FOUND; 0.5 PCC SOL OFT CT FR PLAS OPC GOT X 10 ML; U_Q
533025407171413; BETANOM; BETANOM; NOT FOUND; 0.5 PCC SOL OFT CT FR PLAS OPC GOT X 5 ML; U_Q
533018201154413; BUPSTÉSIC; BUPSTESIC; NOT FOUND; 0.50% SOL INJ CT 6 FA VD INC X 20 ML (EMB HOSP); U_Q
533018401153410; BUPSTÉSIC COM VASO; BUPSTESIC VASO; NOT FOUND; 5.0 MG/ML+0.0091 MG/ML SOL INJ CT 6 FA VD AMB X 20 ML; U_Q
533012120058414; BIOGRIPE; BIOGRIPE; NOT FOUND; 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML XPE CT FR VD AMB X 100 ML; U_Q
533012120058314; BIOGRIPE; BIOGRIPE; NOT FOUND; 100MG/ML + 2MG/ML + 2MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; U_Q
533012120058114; BIOGRIPE; BIOGRIPE; NOT FOUND; 400 MG  + 4 MG + 4MG CAP GEL DURA CT DISPLAY X 25 BL X 4 CART ; U_Q
533012120058214; BIOGRIPE; BIOGRIPE; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT FR PLAS OPC X 20; U_Q
533001101151418; BETAPROSPAN; BETAPROSPAN; NOT FOUND; ( 5 + 2 ) MG/ML SUS INJ  CT  AMP VD INC X 1 ML; U_Q
533012120057004; BRONCOCILIN; BRONCOCILIN; NOT FOUND; 0.48 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML; U_Q
533021801116415; BIO-C; BIO C; NOT FOUND; 1 G COM EFEV CT BL AL X 10; U_Q
