538807001138417; CENEVIT ARG; CENEVIT ARG; NOT FOUND; 1000 MG + 1000 MG COM EFEV CT TB PLAS X 16; LG6
538812090044603; CARVEGRAN; CARVEGRAN; NOT FOUND; 3.125 MG COM CT BL AL AL X 15; LG6
538812070042506; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 30; LG6
538812090044703; CARVEGRAN; CARVEGRAN; NOT FOUND; 3.125 MG COM CT BL AL AL X 30; LG6
538812070042606; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25MG COM CT BL AL AL X 15; LG6
538812090044803; CARVEGRAN; CARVEGRAN; NOT FOUND; 6.25 MG COM CT BL AL AL X 15; LG6
538812070042706; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25MG COM CT BL AL AL X 30; LG6
538812090044903; CARVEGRAN; CARVEGRAN; NOT FOUND; 6.25 MG COM CT BL AL AL X 30; LG6
538813001111114; CEFACLOR; CEFACLOR; CEFACLOR; 250 MG CAP GEL DURA CT BL AL PLAS OPC X 10; LG6
538813002116111; CEFACLOR; CEFACLOR; CEFACLOR; 500 MG CAP GEL DURA CT BL AL PLAS OPC X 10; LG6
538818401116416; CEDROXIL; CEDROXIL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; LG6
538807901163116; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; LG6
538807902119110; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS BCO LEIT X 10; LG6
538814601161110; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G; LG6
538816801168417; CANDIGRAN; CANDIGRAN; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G; LG6
538813201161115; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G; LG6
538810901160419; CELOCORT; CELOCORT; NOT FOUND; 0.5 MG/G+2.5 MG/G+20.0 MG/G CREM DERM CT BG AL X 30 G; LG6
538801501163111; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/G CREM DERM CT BG AL X 20 G; LG6
538801502178110; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML; LG6
538804809118113; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 1; LG6
538804808111115; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 4; LG6
538804807115117; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 2; LG6
538804806119119; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 4; LG6
538804805112110; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 1; LG6
538804802113116; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 12; LG6
538804804116112; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 2; LG6
538804803111117; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 4; LG6
538804801117118; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 8; LG6
538801201135412; CENEVIT ZINCO; CENEVIT ZINCO; NOT FOUND; 1 G + 10 MG COM EFEV CT TB PLAS X 30; LG6
538801202131410; CENEVIT ZINCO; CENEVIT ZINCO; NOT FOUND; 1 G + 10 MG COM EFEV CT TB PLAS X 10; LG6
538801601117111; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS OPC X 30 (B1 - PORT 344/98); LG6
538801602131116; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB CGT X 20 ML; LG6
538808001131119; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; LG6
538807202117115; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 2.5 MG + 25 MG COM CT BL AL PLAS LEITOSO X 30; LG6
538807201110117; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 50 MG COM CT BL AL PLAS LEITOSO X 30; LG6
538800901117117; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CT BL AL PLAS OPC X 20; LG6
538801701170111; CLORIDRATO DE BETAXOLOL; CLORIDRATO BETAXOLOL; CLORIDRATO BETAXOLOL; 5 MG/ML SOL OFT ESTERIL CT FR PLAS TRANS GOT X 5 ML; LG6
538804001137114; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE ADU CT FR VD AMB X 120 ML + CP MED  ; LG6
538820802114114; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB LENT CT BL AL AL X 30; LG6
538820801118116; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB LENT CT BL AL AL X 60; LG6
538803501111116; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 15; LG6
538803502116111; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 30; LG6
538803503112111; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5MG COM REV CT BL AL PLAS OPC X 15; LG6
538803504119118; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5MG COM REV CT BL AL PLAS OPC X 30; LG6
538801801116117; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; LG6
538812701118415; CIPROCILIN; CIPROCILIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; LG6
538804701171110; CLORIDRATO DE CIPROFLOXACINO + DEXAMETASONA; CLORIDRATO CIPROFLOXACINO DEXAMETASONA; NOT FOUND; 3.5 MG + 1 MG SOL OFT CT FR PLAS OPC GOT X 5 ML; LG6
538818501110118; CLORIDRATO DE CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; 10 MG COM REV CT BL AL PLAS OPC X 20; LG6
538818502117116; CLORIDRATO DE CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; 25 MG COM REV CT BL AL PLAS OPC X 20; LG6
538813301113112; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 30 MG COM CT FR PLAS OPC X 50; LG6
538813302111113; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 60 MG COM CT FR PLAS OPC X 25; LG6
538813303116119; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 60 MG COM CT FR PLAS OPC X 50; LG6
538802901173110; CLORIDRATO DE DORZOLAMIDA; CLORIDRATO DORZOLAMIDA; CLORIDRATO DORZOLAMIDA; 20 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; LG6
538805501176117; CLORIDRATO DE DORZOLAMIDA+MALEATO DE TIMOLOL; CLORIDRATO DORZOLAMIDA MALEATO TIMOLOL; NOT FOUND; 20 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; LG6
538814100049806; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 30 MG CAP GEL LIB RETARD CT BL AL AL X 15; LG6
538814100049906; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 30 MG CAP GEL LIB RETARD CT BL AL AL X 30; LG6
538814100050006; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 60 MG CAP GEL LIB RETARD CT BL AL AL X 30; LG6
538812030039604; CORIZZ NOITE; CORIZZ NOITE; NOT FOUND; 400 MG +20MG COM AMARELO / 400MG+ 4MG COM LARANJA CT BL AL/AL X 12 + 12; LG6
538812030039704; CORIZZ NOITE; CORIZZ NOITE; NOT FOUND; 400 MG +20MG COM AMARELO / 400MG+ 4MG COM LARANJA CT BL AL/AL X 100 + 100; LG6
538813100047204; CORIZZ DIA; CORIZZ DIA; NOT FOUND; 400 MG + 20 MG COM CT BL AL AL X 50 + 400 MG COM CT BL AL AL X 50; LG6
538813100047104; CORIZZ DIA; CORIZZ DIA; NOT FOUND; 400 MG + 20 MG COM CT BL AL AL X 12 + 400 COM CT BL AL AL X 12; LG6
538814120050506; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
538814801111117; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS OPC X 28; LG6
538814802116112; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG COM REV CT BL AL PLAS OPC X 30; LG6
538818601166115; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML GEL TOP CT BG AL X 30 G; LG6
538815001176417; COLÍRIO LEGRAND; COLIRIO LEGRAND; NOT FOUND; 0.30 MG/ML + 0.15 MG/ML SOL OCU CT PLAS OPC GOT X 20 ML; LG6
538812050041406; CLORIDRATO DE NARATRIPTANA; CLORIDRATO NARATRIPTANA; CLORIDRATO NARATRIPTANA; 2.5MG COM VER CT BL AL PLAS OPC X 10; LG6
538812050041306; CLORIDRATO DE NARATRIPTANA; CLORIDRATO NARATRIPTANA; CLORIDRATO NARATRIPTANA; 2.5MG COM VER CT BL AL PLAS OPC X 4; LG6
538804402115111; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; LG6
538804401119113; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 30 MG COM REV CT BL AL PLAS OPC X 30; LG6
538812070043806; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 15MG COM CT FR PLAS OPC X 15; LG6
538812070043906; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 30 MG COM CT FR PLAS OPC X 15; LG6
538814901114118; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 20; LG6
538817702112111; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 100 MG COM REV CT BL AL PLAS OPC X 14; LG6
538817701116111; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 10; LG6
538817703119118; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 20; LG6
538817704115116; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 28; LG6
538802701115117; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
538802702111115; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
538801901161114; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM DERM CT BG AL X 20 G; LG6
538820302111116; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 20; LG6
538820301115118; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 30; LG6
538818701111118; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS OPC X 10; LG6
538800601113116; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 14; LG6
538800602111117; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 30; LG6
538813040046106; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG CAP GEL DURA LIB PROL CT BL PLAS OPC X 30; LG6
538813040046206; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 75 MG CAP GEL DURA LIB PROL CT BL PLAS OPC X 30; LG6
538808101160110; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; LG6
538802801160416; CLEANKINOL; CLEANKINOL; NOT FOUND; 40 MG/G CREM CT BG AL X 30 G; LG6
538802802167414; CLEANKINOL; CLEANKINOL; NOT FOUND; 40 MG/G GEL CT BG AL X 30 G ; LG6
538803601130112; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG/ ML SOL OR CT FR PLAS OPC X 120 ML + CP MED; LG6
538803602110115; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 25 MG COM CT FR PLAS OPC X 30; LG6
538812002112418; CANDERM; CANDERM; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 20; LG6
538812001116411; CANDERM; CANDERM; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 20; LG6
538809601175115; CETOROLACO DE TROMETAMINA; CETOROLACO TROMETAMINA; NOT FOUND; 5 MG/ML SOL OFT ESTERIL CT FR PLAS OPC GOT X 5ML; LG6
538811701130417; CENEVIT; CENEVIT; NOT FOUND; 2 G COM EFEV CT TB PLAS X 10 (SABOR LARANJA); LG6
