533507302115411, VERTIZAN, VERTIZAN, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 480, VAP
533507603158411, VITROMICIN, VITROMICIN, NOT FOUND, 80MG/2ML INJ CX C/ 01 AMP 20ML, VAP
533507302115411, VERTIZAN, VERTIZAN, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 480, VAP
533507301119411, VERTIZAN, VERTIZAN, NOT FOUND, CX C/ 05 BLS C/ 10 COMP, VAP
533507501177415, VITAL COLIRIO, VITAL COLIRIO, NOT FOUND, CX C/ 01 FR 20ML, VAP
533507602151411, VITROMICIN, VITROMICIN, NOT FOUND, 280MG/2ML CX C/ 01 AMP 2ML, VAP
533507603158411, VITROMICIN, VITROMICIN, NOT FOUND, 80MG/2ML INJ CX C/ 01 AMP 20ML, VAP
533507501177415, VITAL COLIRIO, VITAL COLIRIO, NOT FOUND, 0.30 MG + 0.150 MG/ML SOL OFT CT FR PLAS OPC GT X 20 ML, VAP
533507302115411, VERTIZAN, VERTIZAN, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 480 (EMB HOSP), VAP
533507301119411, VERTIZAN, VERTIZAN, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 50, VAP
533507602151411, VITROMICIN, VITROMICIN, NOT FOUND, 280MG/2ML CX C/ 01 AMP 2ML, VAP
533507603158411, VITROMICIN, VITROMICIN, NOT FOUND, 80MG/2ML INJ CX C/ 01 AMP 20ML, VAP
533507501177415, VITAL COLIRIO, VITAL COLIRIO, NOT FOUND, 0.30 MG + 0.150 MG/ML SOL OFT CT FR PLAS OPC GT X 20 ML, VAP
533507302115411, VERTIZAN, VERTIZAN, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 480 (EMB HOSP), VAP
533507301119411, VERTIZAN, VERTIZAN, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 50, VAP
533507602151411, VITROMICIN, VITROMICIN, NOT FOUND, 280MG/2ML CX C/ 01 AMP 2ML, VAP
533507603158411, VITROMICIN, VITROMICIN, NOT FOUND, 80MG/2ML INJ CX C/ 01 AMP 20ML, VAP
