533503402115419, FELDRAN, FELDRAN, NOT FOUND, 10MG CX C/ 01 BL C/ 15 CAPS, VAP
533503702135415, FLAMATRAT, FLAMATRAT, NOT FOUND, 15 MG/ML SUS OR CT 50 FR PLAS OPC GOT X 20 ML (EMB HOSP), VAP
533503703131413, FLAMATRAT, FLAMATRAT, NOT FOUND, 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, VAP
533503601118418, FLAMALGEN, FLAMALGEN, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20, VAP
533508201118411, FLAMATRAT P, FLAMATRAT P, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 10, VAP
533503602157417, FLAMALGEN, FLAMALGEN, NOT FOUND, CX C/ 05 AMPS 3ML INJ, VAP
533508202114411, FLAMATRAT P, FLAMATRAT P, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 20, VAP
533508101113418, FLUCONID, FLUCONID, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS AMB X 1, VAP
533508102111419, FLUCONID, FLUCONID, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS AMB X 500 (EMB HOSP) , VAP
533503402115419, FELDRAN, FELDRAN, NOT FOUND, 10 MG CAP CT BL AL PLAS INC X 15, VAP
533503401135416, FELDRAN, FELDRAN, NOT FOUND, 10 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML, VAP
533503403111417, FELDRAN, FELDRAN, NOT FOUND, 20 MG CAP CT BL AL PLAS INC X 15, VAP
533503502136418, FERRISON, FERRISON, NOT FOUND, 25 MG/ML SOL OR CT FR VD AMB X 30 ML , VAP
533503501113414, FERRISON, FERRISON, NOT FOUND, 40 MG COM REV CT FR VD AMB X 50 , VAP
