1029802960034; NADERM; NADERM; NOT FOUND; 0.5 MG + 20.0 MG + 2.5 MG CREM DERM CT BG X 30G; CT6
1029800770068; NEOCAINA PESADA; NEOCAINA PESADA; NOT FOUND; 5 MG/ML + 80 MG/ML SOL INJ CX 10 AMP VD TRANS X 4 ML (EMB HOSP); CT6
1029800770025; NEOCAÍNA PESADA; NEOCAINA PESADA; NOT FOUND; 5 MG/ML + 80 MG/ML SOL INJ CX 40 EST AMP VD INC X 4 ML (EMB HOSP); CT6
1029800770017; NEOCAÍNA PESADA; NEOCAINA PESADA; NOT FOUND; 5 MG/ML + 80 MG/ML SOL INJ CX 20  AMP VD INC X 4 ML; CT6
1029803500037; NEOCAÍNA 0,25% COM VASOCONSTRITOR; NEOCAINA 0 25 VASOCONSTRITOR; NOT FOUND; 0.25 PCC SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
1029803500118; NEOCAÍNA 0,25% COM VASOCONSTRITOR; NEOCAINA 0 25 VASOCONSTRITOR; NOT FOUND; 0.50 PCC SOL INJ CX 10 EST FA VD INC X 20ML; CT6
1029803500061; NEOCAÍNA 0,25% COM VASOCONSTRITOR; NEOCAINA 0 25 VASOCONSTRITOR; NOT FOUND; 0.50 PCC SOL INJ CX 10 EST FA VD INC X 30 ML; CT6
1029803500071; NEOCAÍNA 0,25% COM VASOCONSTRITOR; NEOCAINA 0 25 VASOCONSTRITOR; NOT FOUND; 0.50 PCC SOL INJ CX 25 CARP PLAS TRANP X 1.8 ML; CT6
1029803500045; NEOCAÍNA 0,25% COM VASOCONSTRITOR; NEOCAINA 0 25 VASOCONSTRITOR; NOT FOUND; 0.50 PCC SOL INJ CX 6 FA VD INC X 20 ML; CT6
1029803500101; NEOCAÍNA 0,25% COM VASOCONSTRITOR; NEOCAINA 0 25 VASOCONSTRITOR; NOT FOUND; 0.75 PCC SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
1029800890037; NEPRESOL; NEPRESOL; NOT FOUND; 20 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML (EMB HOSP); CT6
1029800890047; NEPRESOL; NEPRESOL; NOT FOUND; 20 MG/ML SOL INJ CX 36 AMP VD TRANS X 1 ML (EMB HOSP); CT6
1029803150011; NOVABUPI (SEM VASOCONSTRITOR); NOVABUPI VASOCONSTRITOR; NOT FOUND; 0.25 PCC SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
1029803150028; NOVABUPI (SEM VASOCONSTRITOR); NOVABUPI VASOCONSTRITOR; NOT FOUND; 0.5 PCC SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
1029803150036; NOVABUPI (SEM VASOCONSTRITOR); NOVABUPI VASOCONSTRITOR; NOT FOUND; 0.75 PCC SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
1029803150044; NOVABUPI (SEM VASOCONSTRITOR) ISOBÁRICA; NOVABUPI VASOCONSTRITOR ISOBARICA; NOT FOUND;  0.5 PCC SOL INJ CX 10 EST X 3 AMP VD INC X 4 ML; CT6
1029801600042; NOVABUPI COM VASOCONSTRITOR; NOVABUPI VASOCONSTRITOR; NOT FOUND; 0.25 PCC + 9.1 MCG / ML SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
1029801600026; NOVABUPI COM VASOCONSTRITOR; NOVABUPI VASOCONSTRITOR; NOT FOUND; 0.5 PCC + 9.1 MCG/ML SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
1029801600050; NOVABUPI COM VASOCONSTRITOR; NOVABUPI VASOCONSTRITOR; NOT FOUND; 0.75 PCC + 9.1 MCG / ML SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
1029802840012; NUBAIN; NUBAIN; NOT FOUND; 10 MG/ML SOL INJ CX 10 AMP VD AMB X 1 ML; CT6
1029802840063; NUBAIN; NUBAIN; NOT FOUND; 10 MG/ML SOL INJ CX 36 AMP VD AMB X 1 ML (EMB HOSP); CT6
1029802830033; NARCAN; NARCAN; NOT FOUND; 0.4 MG/ML SOL INJ CX 10 AMP VD INC X 1 ML (EMB HOSP); CT6
1029802830025; NARCAN NEONATAL; NARCAN NEONATAL; NOT FOUND; 0.02MG/ML 10AP X 2ML; CT6
1029802830051; NARCAN; NARCAN; NOT FOUND; 0.4 MG/ML SOL INJ CX 36 AMP VD TRANS X 1 ML (EMB HOSP); CT6
1029801240010; NAUSEDRON; NAUSEDRON; NOT FOUND; 2 MG/ML SOL INJ CT 1 AMP VD INC X 2 ML; CT6
1029801240046; NAUSEDRON; NAUSEDRON; NOT FOUND; 2 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML ( EMB HOSP); CT6
1029801240029; NAUSEDRON; NAUSEDRON; NOT FOUND; 2 MG/ML SOL INJ CT 1 AMP VD INC X 4 ML; CT6
1029801240054; NAUSEDRON; NAUSEDRON; NOT FOUND;  2 MG/ML SOL INJ CX 50 AMP VD INC X 4 ML ( EMB HOSP); CT6
1029801240127; NAUSEDRON; NAUSEDRON; NOT FOUND; 2 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML (EMB HOSP); CT6
1029801240037; NAUSEDRON; NAUSEDRON; NOT FOUND; 8 MG COM REV CT BL AL PLAS X 10; CT6
1029802950012; NEURAL; NEURAL; NOT FOUND; 100 MG COM CX  BL AL PLAS INC X 200 (EMB HOSP); CT6
1029802950020; NEURAL; NEURAL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; CT6
1029802950063; NEURAL; NEURAL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; CT6
1029802950039; NEURAL; NEURAL; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; CT6
1029803190038; NEVIRAL; NEVIRAL; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC X 240 ML + SER DOSAD + ADAPT; CT6
1029801520014; NIFEDIN; NIFEDIN; NOT FOUND; 10MG-1FR.30CAPSULAS; CT6
1029802600011; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML SUS OR CT FR VD AMB X 50 ML + CGT; CT6
1029802560011; NISTATINA; NISTATINA; NISTATINA; 25000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC; CT6
1029802820011; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; CT6
1029802920016; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC DES; CT6
1029802930021; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20MG/G LOCAO CREMOSA CX C/25 FR 30ML GENERICO; CT6
1029802930038; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20MG/G LOCAO CREMOSA CX C/50 FR 30ML GENERICO; CT6
1029802930011; NITRATO MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G LOC CREM CT FR PLAS OPC GOT X 30 G; CT6
1029800370027; NITRAPAN; NITRAPAN; NOT FOUND; 10 MG COM CT FR VD AMB X 200 (EMB. HOSP); CT6
1029802430035; NITRAPAN; NITRAPAN; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); CT6
1029802180020; NITROPRUS; NITROPRUS; NOT FOUND; 50MG PO LIOF INJ CT 5 AMP VD AMB + AMP DIL X 2ML+EQUIPO OPC; CT6
1029800380027; NOOTROFIC; NOOTROFIC; NOT FOUND; -50AP. 5ML; CT6
