522234401152419, CAVERJECT, CAVERJECT, NOT FOUND, 10 MCG PO LIOF INJ EST FA VD INC + SER VD INC X 1 ML DIL + 2 AG + 2 COMPRES ANTIS, PFZ
522213110056206, CELECOXIBE, CELECOXIBE, CELECOXIBE, 100 MG CAP DURA CT BL AL PLAS TRANS X 20, PFZ
522234501114411, CELEBRA, CELEBRA, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 20, PFZ
522213110056306, CELECOXIBE, CELECOXIBE, CELECOXIBE, 200 MG CAP DURA CT BL AL PLAS TRANS X 10, PFZ
522234502110411, CELEBRA, CELEBRA, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS INC X 10, PFZ
522213110056406, CELECOXIBE, CELECOXIBE, CELECOXIBE, 200 MG CAP DURA CT BL AL PLAS TRANS X 15, PFZ
522234505111311, CELEBRA, CELEBRA, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS INC X 15, PFZ
522213110056506, CELECOXIBE, CELECOXIBE, CELECOXIBE, 200 MG CAP DURA CT BL AL PLAS TRANS X 30, PFZ
522234503117418, CELEBRA, CELEBRA, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS INC X 30, PFZ
522234504113211, CELEBRA, CELEBRA, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS INC X 4, PFZ
522242910117116, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 100 MG COM REV CT BL AL PLAS INC X 1, PFZ
522242911113114, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 100 MG COM REV CT BL AL PLAS INC X 2, PFZ
522242912111115, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 100 MG COM REV CT BL AL PLAS INC X 4, PFZ
522242902114111, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM REV CT BL AL PLAS INC X 1, PFZ
522242903110111, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM REV CT BL AL PLAS INC X 2, PFZ
522242904117118, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM REV CT BL AL PLAS INC X 4, PFZ
522242905113116, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM REV CT BL AL PLAS INC X 8, PFZ
522242906111117, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS INC X 1, PFZ
522242909119119, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS INC X 12, PFZ
522242907116112, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS INC X 2, PFZ
522242901118113, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS INC X 4, PFZ
522242908112110, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS INC X 8, PFZ
522212050053203, CAMPTOSAR, CAMPTOSAR, NOT FOUND, 20 MG/ML SOL INJ CT FA PLAS AMB X 2 ML (REST HOSP), PFZ
522235301151419, CAMPTOSAR, CAMPTOSAR, NOT FOUND, 20 MG/ML SOL INJ CT FA VD AMB X 2 ML (REST HOSP), PFZ
522212050053303, CAMPTOSAR, CAMPTOSAR, NOT FOUND, 20 MG/ML SOL INJ CT FA PLAS AMB X 5 ML (REST HOSP) , PFZ
522235302158417, CAMPTOSAR, CAMPTOSAR, NOT FOUND, 20 MG/ML SOL INJ CT FA VD AMB X 5 ML  (REST HOSP), PFZ
522200605111317, CARDURAN, CARDURAN, NOT FOUND, 4 MG COM REV LIB CONT CT BL AL/AL X 10, PFZ
522200604115416, CARDURAN XL, CARDURAN XL, NOT FOUND, 4 MG COM REV LIB CONTR CT BL AL/AL X 30, PFZ
522241810119216, CHAMPIX, CHAMPIX, NOT FOUND, 0.5 MG + 1.0 MG COM REV CT CART BL AL PLAS INC X 11 (0.5 MG) + 42 (1.0 MG), PFZ
522241816117215, CHAMPIX, CHAMPIX, NOT FOUND, 0.5 MG + 1.0 MG COM REV CT CART BL AL PLAS INC X 11 (0.5 MG) + 154 (1.0 MG), PFZ
522241820114217, CHAMPIX, CHAMPIX, NOT FOUND, 0.5 MG + 1.0 MG COM REV CT BL AL PLAS INC X 11 (0.5 MG) + 154 (1.0 MG), PFZ
522241817113213, CHAMPIX, CHAMPIX, NOT FOUND, 1.0 MG COM REV CT BL AL PLAS INC X 112, PFZ
522241821110215, CHAMPIX, CHAMPIX, NOT FOUND, 1.0 MG COM REV CT CART BL AL PLAS INC X 112, PFZ
522241818111214, CHAMPIX, CHAMPIX, NOT FOUND, 1.0 MG COM REV CT BL AL PLAS INC X 168, PFZ
522241819116211, CHAMPIX, CHAMPIX, NOT FOUND, 1.0 MG COM REV CT CART BL AL PLAS INC X 168, PFZ
522241804119218, CHAMPIX, CHAMPIX, NOT FOUND, 1.0 MG COM REV CART BL AL PLAS INC X 28, PFZ
522213120056603, CHAMPIX, CHAMPIX, NOT FOUND, 1.0 MG COM REV CART BL AL PLAS INC X 56, PFZ
522200701161311, CARTRAX, CARTRAX, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT TB AL X 35 G + 7 APLIC, PFZ
