522236701153417, GENOTROPIN, GENOTROPIN, NOT FOUND, 16 UI PO LIOF INJ CT 1 BL PAP PLAS INC X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236801166413, GINO PLETIL, GINO PLETIL, NOT FOUND, 30MG/G + 20MG/G CREM VAG CT BG AL X 45G + 7 APLIC, PFZ
522201901113319, GINO TRALEN, GINO TRALEN, NOT FOUND, OVULO 300 MG, PFZ
522201902160310, GINO TRALEN, GINO TRALEN, NOT FOUND, POM VAG 6.5%, PFZ
522236701153417, GENOTROPIN, GENOTROPIN, NOT FOUND, 16 UI PO LIOF INJ CT 1 BL PAP PLAS INC X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236702151418, GENOTROPIN, GENOTROPIN, NOT FOUND, 36 UI PO LIOF INJ CT 1 BL PAP PLAS INC X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522201601111213, GEODON, GEODON, NOT FOUND, 40MG X 14 CAPS, PFZ
522201602116219, GEODON, GEODON, NOT FOUND, 40MG X 30 CAPS, PFZ
522201605115213, GEODON, GEODON, NOT FOUND, 80 MG CAP CX C/ BL X 14, PFZ
522201604119215, GEODON, GEODON, NOT FOUND, 80MG X 30 CAPS, PFZ
522201701157215, GEODON IM, GEODON IM, NOT FOUND, 20MG PO SOL IM CT FA + 1 DIL, PFZ
522201801161419, GINO FIBRASE, GINO FIBRASE, NOT FOUND, POM VAG TB 30G, PFZ
522236801166413, GINO PLETIL, GINO PLETIL, NOT FOUND, 30MG/G + 20MG/G CREM VAG CT BG AL X 45G + 7 APLIC, PFZ
522201901113319, GINO TRALEN, GINO TRALEN, NOT FOUND, OVULO 300 MG, PFZ
522201902160310, GINO TRALEN, GINO TRALEN, NOT FOUND, POM VAG 6.5%, PFZ
522236701153417, GENOTROPIN, GENOTROPIN, NOT FOUND, 16 UI PO LIOF INJ CT 1 BL PAP PLAS INC X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236702151418, GENOTROPIN, GENOTROPIN, NOT FOUND, 36 UI PO LIOF INJ CT 1 BL PAP PLAS INC X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522201601111213, GEODON, GEODON, NOT FOUND, 40MG X 14 CAPS, PFZ
522201602116219, GEODON, GEODON, NOT FOUND, 40MG X 30 CAPS, PFZ
522201605115213, GEODON, GEODON, NOT FOUND, 80 MG CAP CX C/ BL X 14, PFZ
522201604119215, GEODON, GEODON, NOT FOUND, 80MG X 30 CAPS, PFZ
522201701157215, GEODON IM, GEODON IM, NOT FOUND, 20MG PO SOL IM CT FA + 1 DIL, PFZ
522201801161419, GINO FIBRASE, GINO FIBRASE, NOT FOUND, POM VAG TB 30G, PFZ
522236801166413, GINO PLETIL, GINO PLETIL, NOT FOUND, 30MG/G + 20MG/G CREM VAG CT BG AL X 45G + 7 APLIC, PFZ
522201901113319, GINO TRALEN, GINO TRALEN, NOT FOUND, OVULO 300 MG, PFZ
522201902160310, GINO TRALEN, GINO TRALEN, NOT FOUND, POM VAG 6.5%, PFZ
522236701153417, GENOTROPIN, GENOTROPIN, NOT FOUND, 16 UI PO LIOF INJ CT 1 BL PAP PLAS INC X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236702151418, GENOTROPIN, GENOTROPIN, NOT FOUND, 36 UI PO LIOF INJ CT 1 BL PAP PLAS INC X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522201601111213, GEODON, GEODON, NOT FOUND, 40MG X 14 CAPS, PFZ
522201602116219, GEODON, GEODON, NOT FOUND, 40MG X 30 CAPS, PFZ
522201605115213, GEODON, GEODON, NOT FOUND, 80 MG CAP CX C/ BL X 14, PFZ
522201604119215, GEODON, GEODON, NOT FOUND, 80MG X 30 CAPS, PFZ
522201701157215, GEODON IM, GEODON IM, NOT FOUND, 20MG PO SOL IM CT FA + 1 DIL, PFZ
522201801161419, GINO FIBRASE, GINO FIBRASE, NOT FOUND, POM VAG TB 30G, PFZ
522236801166413, GINO PLETIL, GINO PLETIL, NOT FOUND, 30MG/G + 20MG/G CREM VAG CT BG AL X 45G + 7 APLIC, PFZ
522201901113319, GINO TRALEN, GINO TRALEN, NOT FOUND, OVULO 300 MG, PFZ
522201902160310, GINO TRALEN, GINO TRALEN, NOT FOUND, POM VAG 6.5%, PFZ
522201801161419, GINO FIBRASE, GINO FIBRASE, NOT FOUND, POM VAG TB 30G, PFZ
522201701157215, GEODON IM, GEODON IM, NOT FOUND, 20MG PO SOL IM CT FA + 1 DIL, PFZ
522201601111213, GEODON, GEODON, NOT FOUND, 40 MG X 14 CAPS, PFZ
522201602116219, GEODON, GEODON, NOT FOUND, 40 MG X 30 CAPS, PFZ
522201605115213, GEODON, GEODON, NOT FOUND, 80 MG CAP CX C/ BL X 14, PFZ
522201604119215, GEODON, GEODON, NOT FOUND, 80 MG X 30 CAPS, PFZ
522236701153417, GENOTROPIN, GENOTROPIN, NOT FOUND, 16 UI PO LIOF INJ CT 1 BL PAP PLAS INC X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236704152411, GENOTROPIN, GENOTROPIN, NOT FOUND, 16 UI PO LIOF INJ CT X 1 CANETA PREENCHIDA X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236705159411, GENOTROPIN, GENOTROPIN, NOT FOUND, 16 UI PO LIOF INJ CT X 5 CANETAS PREENCHIDAS X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236702151418, GENOTROPIN, GENOTROPIN, NOT FOUND, 36 UI PO LIOF INJ CT 1 BL PAP PLAS INC X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236706155418, GENOTROPIN, GENOTROPIN, NOT FOUND, 36 UI PO LIOF INJ CT X 1 CANETA PREENCHIDA X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236707151416, GENOTROPIN, GENOTROPIN, NOT FOUND, 36 UI PO LIOF INJ CT X 5 CANETAS PREENCHIDAS X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236801166413, GINO PLETIL, GINO PLETIL, NOT FOUND, 30MG/G + 20MG/G CREM VAG CT BG AL X 45G + 7 APLIC, PFZ
522201901113319, GINO TRALEN, GINO TRALEN, NOT FOUND, OVULO 300 MG, PFZ
522201902160310, GINO TRALEN, GINO TRALEN, NOT FOUND, POM VAG 6.5%, PFZ
522201801161419, GINO FIBRASE, GINO FIBRASE, NOT FOUND, POM VAG TB 30G, PFZ
522201701157215, GEODON IM, GEODON IM, NOT FOUND, 20MG PO SOL IM CT FA + 1 DIL, PFZ
522201601111213, GEODON, GEODON, NOT FOUND, 40 MG X 14 CAPS, PFZ
522201602116219, GEODON, GEODON, NOT FOUND, 40 MG X 30 CAPS, PFZ
522201605115213, GEODON, GEODON, NOT FOUND, 80 MG CAP CX C/ BL X 14, PFZ
522201604119215, GEODON, GEODON, NOT FOUND, 80 MG X 30 CAPS, PFZ
522236701153417, GENOTROPIN, GENOTROPIN, NOT FOUND, 16 UI PO LIOF INJ CT 1 BL PAP PLAS INC X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236704152411, GENOTROPIN, GENOTROPIN, NOT FOUND, 16 UI PO LIOF INJ CT X 1 CANETA PREENCHIDA X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236705159411, GENOTROPIN, GENOTROPIN, NOT FOUND, 16 UI PO LIOF INJ CT X 5 CANETAS PREENCHIDAS X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236702151418, GENOTROPIN, GENOTROPIN, NOT FOUND, 36 UI PO LIOF INJ CT 1 BL PAP PLAS INC X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236706155418, GENOTROPIN, GENOTROPIN, NOT FOUND, 36 UI PO LIOF INJ CT X 1 CANETA PREENCHIDA X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236707151416, GENOTROPIN, GENOTROPIN, NOT FOUND, 36 UI PO LIOF INJ CT X 5 CANETAS PREENCHIDAS X 1 FA VD INC DUPLO COMP + SOL DIL X 1 ML, PFZ
522236801166413, GINO PLETIL, GINO PLETIL, NOT FOUND, 30MG/G + 20MG/G CREM VAG CT BG AL X 45G + 7 APLIC, PFZ
522201901113319, GINO TRALEN, GINO TRALEN, NOT FOUND, OVULO 300 MG, PFZ
522201902160310, GINO TRALEN, GINO TRALEN, NOT FOUND, POM VAG 6.5%, PFZ
