506401101178411; CALAMED; CALAMED; NOT FOUND; 80 MG/ML + 10 MG/ML + 1 MG/ML LOCAO CT FR PLAS OPC X 100 ML; CM5
506408101173115; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/ ML SHAMP CT FR PLAS OPC X 100 ML; CM5
506408501171411; CLEARTOP; CLEARTOP; NOT FOUND; 20 MG/ ML XAMP CT FR PLAS OPC X 100 ML; CM5
506401702112415; CETOMED; CETOMED; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; CM5
506401701116417; CETOMED; CETOMED; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 30; CM5
506413070027706; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G; CM5
506407401130111; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120 ML ; CM5
506412050025106; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED ; CM5
506407402137111; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML ; CM5
506412050025006; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED ; CM5
506401901174429; CIFLOGEX; CIFLOGEX; NOT FOUND; 1.5 MG/ML COLUT FR SPRAY 100 ML; CM5
506401902170427; CIFLOGEX; CIFLOGEX; NOT FOUND; 1.5 MG/ML COLUT FR SPRAY 100 ML-LARANJA; CM5
506401903177425; CIFLOGEX; CIFLOGEX; NOT FOUND; 1.5 MG/MLCOLUT CT FR VD X 100 ML; CM5
506401904173423; CIFLOGEX; CIFLOGEX; NOT FOUND; 1.5 MG/MLCOLUT CT FR VD X 100 ML- LARANJA; CM5
506401911171414; CIFLOGEX; CIFLOGEX; NOT FOUND; 1.5 MG/ML COLUT FR SPR PLAS OPC X 30 ML SABOR MENTA; CM5
506401912176411; CIFLOGEX; CIFLOGEX; NOT FOUND; 1.5 MG/ML COLUT FR SPR PLAS OPC X 30 ML SABOR MEL; CM5
506401906117423; CIFLOGEX; CIFLOGEX; NOT FOUND; 3.0 MG PAST CT 3 STR X 4 CEREJA; CM5
506401907113421; CIFLOGEX; CIFLOGEX; NOT FOUND; 3.0 MG PAST CT 3 STR X 4 LARANJA; CM5
506401908111422; CIFLOGEX; CIFLOGEX; NOT FOUND; 3.0 MG PAST CT STR X 12 MENTA; CM5
506401910114425; CIFLOGEX; CIFLOGEX; NOT FOUND; 3MG PAST CT STRIP AL X 12 - DIET; CM5
506409502112115; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; CM5
506409501116117; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; CM5
506408602113417; CIMEGRIPE DIA; CIMEGRIPE DIA; NOT FOUND; 400 MG COM CT BL PVC/PVDC AL X 50 (BRANCO) + 400 MG + 20 MG COM CT BL PVC/PVDC AL X 50 (AMARELO); CM5
506412020024703; CIMEGRIPE DIA; CIMEGRIPE DIA; NOT FOUND; 400 MG COM CT BL PVC/PVDC AL X 10 (BRANCO) + 400 MG + 20 MG COM CT BL PVC/PVDC AL X 10 (AMARELO); CM5
506408601117419; CIMEGRIPE DIA; CIMEGRIPE DIA; NOT FOUND; 400 MG COM CT BL PVC/PVDC AL X 12 (BRANCO) + 400 MG + 20 MG COM CT BL PVC/PVDC AL X 12 (AMARELO); CM5
506410201112111; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM CT BL AL PLAS INC X 30 ; CM5
506414110028906; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; CM5
506409901114111; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 30; CM5
506401601138419; CELESTAMED; CELESTAMED; NOT FOUND; 0.05 MG + 0.4 MG/ML XPE CT 01 FR VD AMB X 120ML; CM5
506402501110413; CIMELIDE; CIMELIDE; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; CM5
506413020027103; CIMELIDE; CIMELIDE; NOT FOUND; 100 MG COM CX BL AL PLAS INC X 600; CM5
506402504160411; CIMELIDE; CIMELIDE; NOT FOUND; 20 MG/G GEL CT BG AL X 30 G; CM5
506402503164413; CIMELIDE; CIMELIDE; NOT FOUND; 20 MG/ G GEL CT BG AL X 40 G; CM5
506402502133417; CIMELIDE; CIMELIDE; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15; CM5
506401802168412; CICONAZOL; CICONAZOL; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 28 G; CM5
506401801171411; CICONAZOL; CICONAZOL; NOT FOUND; 20 MG/G LOC CT FR PLAS OPC X 30 ML; CM5
506402401116428; CIMEGRIPE; CIMEGRIPE; NOT FOUND; 400MG+4MG+4MG CAPS 10 X 10; CM5
506402402112426; CIMEGRIPE; CIMEGRIPE; NOT FOUND; 400MG+4MG+4MG CAPS X 20; CM5
506402404131428; CIMEGRIPE; CIMEGRIPE; NOT FOUND; 200MG/5ML+3MG/5ML+3MG/5ML SOL OR FR VD AMB X 100 ML; CM5
506402403135421; CIMEGRIPE; CIMEGRIPE; NOT FOUND; 100MG/ML+2MG/ML+2MG/ML SOL OR FR PLAS OPC GOT X 20ML; CM5
506408901137415; CIMEGRIPE 77 C; CIMEGRIPE 77 C; NOT FOUND; 100 MG/G PO PREP EXTEMP CT 50 ENV AL POLIET X 5 G ; CM5
506409201139413; CIMEGRIPE BEBÊ; CIMEGRIPE BEBE; NOT FOUND; 100 MG/ ML SUS OR CT FR PET OPC X 15 ML + SERINGA DOSADORA; CM5
506412020024603; CIMEGRIPE; CIMEGRIPE; NOT FOUND; 32 MG/ML SUS OR CT FR PLAS OPC X 60 ML + CP DOSAD; CM5
506411701161411; COLUJET; COLUJET; NOT FOUND; 1 MG/G PASTA CT BG AL X 10; CM5
