504611701132111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, BF8
504600101139118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML, BF8
504600102119110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, BF8
504600203111115, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG C/ 18 CPR., BF8
504600201117116, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6, BF8
504600202113114, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12.5MG/ML PO SUS OR CT FR PLAS OPC X 75ML, BF8
504611701132111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, BF8
504612001118112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200MG COM CT BL AL PLAS INC X 10, BF8
504612002114110, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200MG COM CT BL AL PLAS INC X 25, BF8
504600101139118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML, BF8
504600102119110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, BF8
504600203111115, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG C/ 18 CPR., BF8
504600201117116, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6, BF8
504600202113114, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12.5MG/ML PO SUS OR CT FR PLAS OPC X 75ML, BF8
504611701132111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, BF8
504612001118112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200MG COM CT BL AL PLAS INC X 10, BF8
504612002114110, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200MG COM CT BL AL PLAS INC X 25, BF8
504600101139118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML, BF8
504600102119110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, BF8
504600203111115, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG C/ 18 CPR., BF8
504600201117116, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6, BF8
504600202113114, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12.5MG/ML PO SUS OR CT FR PLAS OPC X 75ML, BF8
504611701132111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, BF8
504612001118112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 10, BF8
504612002114110, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 25, BF8
504600101139118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML, BF8
504600102119110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, BF8
504600203111115, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL/AL X 18, BF8
504600201117116, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6, BF8
504600202113114, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12.5MG/ML PO SUS OR CT FR PLAS OPC X 75ML, BF8
504611701132111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, BF8
504612001118112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 10, BF8
504612002114110, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 25, BF8
504600101139118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML, BF8
504600102119110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, BF8
504600203111115, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL/AL X 18, BF8
504600201117116, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6, BF8
504600202113114, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12.5MG/ML PO SUS OR CT FR PLAS OPC X 75ML, BF8
