513400401154410, BACTOFLOX, BACTOFLOX, NOT FOUND, 200 MG IV 100 ML CX. C/ 1 FR., I_B
513400803112410, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 200 CAPS. 500 MG, I_B
513400801152415, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 1G, I_B
513400805158418, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 500 MG, I_B
513400401154410, BACTOFLOX, BACTOFLOX, NOT FOUND, 200 MG IV 100 ML CX. C/ 1 FR., I_B
513400501159414, BENZENIL, BENZENIL, NOT FOUND, 100 MG CX. C/ 1 FR., I_B
513400502155412, BENZENIL, BENZENIL, NOT FOUND, 500 MG CX. C/ 1 FR., I_B
513403201156414, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 2.5 ML, I_B
513403202152412, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400601110417, BETACEF, BETACEF, NOT FOUND, 500 MG CX. C/ 200 CAPS., I_B
513404401159415, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 10 ML (REST HOSP), I_B
513404402155413, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 2 ML (REST HOSP), I_B
513404403151411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 10 ML (REST HOSP), I_B
513404404158411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 2 ML (REST HOSP), I_B
513404405154418, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 50 AMP VD INC X 2 ML (REST HOSP), I_B
513404302150411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML, I_B
513404303157418, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 5 ML , I_B
513404301154411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 1 ML, I_B
513404304153416, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400803112410, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 200 CAPS. 500 MG, I_B
513400801152415, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 1G, I_B
513400805158418, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 500 MG, I_B
513400401154410, BACTOFLOX, BACTOFLOX, NOT FOUND, 200 MG IV 100 ML CX. C/ 1 FR., I_B
513400501159414, BENZENIL, BENZENIL, NOT FOUND, 100 MG CX. C/ 1 FR., I_B
513400502155412, BENZENIL, BENZENIL, NOT FOUND, 500 MG CX. C/ 1 FR., I_B
513403201156414, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 2.5 ML, I_B
513403202152412, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400601110417, BETACEF, BETACEF, NOT FOUND, 500 MG CX. C/ 200 CAPS., I_B
513404401159415, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 10 ML (REST HOSP), I_B
513404402155413, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 2 ML (REST HOSP), I_B
513404403151411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 10 ML (REST HOSP), I_B
513404404158411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 2 ML (REST HOSP), I_B
513404405154418, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 50 AMP VD INC X 2 ML (REST HOSP), I_B
513404302150411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML, I_B
513404303157418, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 5 ML , I_B
513404301154411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 1 ML, I_B
513404304153416, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400803112410, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 200 CAPS. 500 MG, I_B
513400801152415, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 1G, I_B
513400805158418, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 500 MG, I_B
513400401154410, BACTOFLOX, BACTOFLOX, NOT FOUND, 200 MG IV 100 ML CX. C/ 1 FR., I_B
513400501159414, BENZENIL, BENZENIL, NOT FOUND, 100 MG CX. C/ 1 FR., I_B
513400502155412, BENZENIL, BENZENIL, NOT FOUND, 500 MG CX. C/ 1 FR., I_B
513403201156414, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 2.5 ML, I_B
513403202152412, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400601110417, BETACEF, BETACEF, NOT FOUND, 500 MG CX. C/ 200 CAPS., I_B
513404401159415, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 10 ML (REST HOSP), I_B
513404402155413, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 2 ML (REST HOSP), I_B
513404403151411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 10 ML (REST HOSP), I_B
513404404158411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 2 ML (REST HOSP), I_B
513404405154418, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 50 AMP VD INC X 2 ML (REST HOSP), I_B
513404302150411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML, I_B
513404303157418, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 5 ML , I_B
513404301154411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 1 ML, I_B
513404304153416, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400803112410, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 200 CAPS. 500 MG, I_B
513400801152415, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 1G, I_B
513400805158418, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 500 MG, I_B
513400401154410, BACTOFLOX, BACTOFLOX, NOT FOUND, 200 MG IV 100 ML CX. C/ 1 FR., I_B
513400501159414, BENZENIL, BENZENIL, NOT FOUND, 100 MG CX. C/ 1 FR., I_B
513400502155412, BENZENIL, BENZENIL, NOT FOUND, 500 MG CX. C/ 1 FR., I_B
513403201156414, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 2.5 ML, I_B
513403202152412, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400601110417, BETACEF, BETACEF, NOT FOUND, 500 MG CX. C/ 200 CAPS., I_B
513404401159415, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 10 ML (REST HOSP), I_B
513404402155413, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 2 ML (REST HOSP), I_B
513404403151411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 10 ML (REST HOSP), I_B
513404404158411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 2 ML (REST HOSP), I_B
513404405154418, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 50 AMP VD INC X 2 ML (REST HOSP), I_B
513404302150411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML, I_B
513404303157418, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 5 ML , I_B
513404301154411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 1 ML, I_B
513404304153416, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400803112410, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 200 CAPS. 500 MG, I_B
513400801152415, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 1G, I_B
513400805158418, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 500 MG, I_B
513400401154410, BACTOFLOX, BACTOFLOX, NOT FOUND, 200 MG IV 100 ML CX. C/ 1 FR., I_B
513400501159414, BENZENIL, BENZENIL, NOT FOUND, 100 MG CX. C/ 1 FR., I_B
513400502155412, BENZENIL, BENZENIL, NOT FOUND, 500 MG CX. C/ 1 FR., I_B
513403201156414, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 2.5 ML, I_B
513403202152412, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400601110417, BETACEF, BETACEF, NOT FOUND, 500 MG CX. C/ 200 CAPS., I_B
513404401159415, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 10 ML (REST HOSP), I_B
513404402155413, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 2 ML (REST HOSP), I_B
513404403151411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 10 ML (REST HOSP), I_B
513404404158411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 2 ML (REST HOSP), I_B
513404405154418, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 50 AMP VD INC X 2 ML (REST HOSP), I_B
513404302150411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML, I_B
513404303157418, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 5 ML , I_B
513404301154411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 1 ML, I_B
513404304153416, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400803112410, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 200 CAPS. 500 MG, I_B
513400801152415, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 1G, I_B
513400805158418, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 500 MG, I_B
513400401154410, BACTOFLOX, BACTOFLOX, NOT FOUND, 200 MG IV 100 ML CX. C/ 1 FR., I_B
513400501159414, BENZENIL, BENZENIL, NOT FOUND, 100 MG CX. C/ 1 FR., I_B
513400502155412, BENZENIL, BENZENIL, NOT FOUND, 500 MG CX. C/ 1 FR., I_B
513403201156414, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 2.5 ML, I_B
513403202152412, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400601110417, BETACEF, BETACEF, NOT FOUND, 500 MG CX. C/ 200 CAPS., I_B
513404401159415, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 10 ML (REST HOSP), I_B
513404402155413, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 2 ML (REST HOSP), I_B
513404403151411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 10 ML (REST HOSP), I_B
513404404158411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 2 ML (REST HOSP), I_B
513404405154418, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 50 AMP VD INC X 2 ML (REST HOSP), I_B
513404302150411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML, I_B
513404303157418, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 5 ML , I_B
513404301154411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 1 ML, I_B
513404304153416, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400803112410, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 200 CAPS. 500 MG, I_B
513400801152415, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 1G, I_B
513400805158418, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 50 FR. 500 MG, I_B
513400801152415, BIPENCIL, BIPENCIL, NOT FOUND, 1 G PO LIOF INJ CT 50 FA VD INC, I_B
513400805158418, BIPENCIL, BIPENCIL, NOT FOUND, 500 MG PO LIOF INJ CT 50 FA VD INC, I_B
513400803112410, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 200 CAPS. 500 MG, I_B
513403201156414, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 2.5 ML, I_B
513403202152412, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400601110417, BETACEF, BETACEF, NOT FOUND, 500 MG CX. C/ 200 CAPS., I_B
513404401159415, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 10 ML (REST HOSP), I_B
513404402155413, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 2 ML (REST HOSP), I_B
513404403151411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 10 ML (REST HOSP), I_B
513404404158411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 2 ML (REST HOSP), I_B
513404405154418, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 50 AMP VD INC X 2 ML (REST HOSP), I_B
513404302150411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML, I_B
513404303157418, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 5 ML , I_B
513404301154411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 1 ML, I_B
513404304153416, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400401154410, BACTOFLOX, BACTOFLOX, NOT FOUND, 2 MG/ML SOL INJ CT FA VD INC X 100 ML , I_B
513400501159414, BENZENIL, BENZENIL, NOT FOUND, 100 MG/ML PO LIOF INJ CT FA VD INC + AMP DIL X 3 ML, I_B
513400502155412, BENZENIL, BENZENIL, NOT FOUND, 125 MG/ML PO LIOF INJ CT FA VD INC + DIL X 4 ML, I_B
513400801152415, BIPENCIL, BIPENCIL, NOT FOUND, 1 G PO LIOF INJ CT 50 FA VD INC, I_B
513400805158418, BIPENCIL, BIPENCIL, NOT FOUND, 500 MG PO LIOF INJ CT 50 FA VD INC, I_B
513400803112410, BIPENCIL, BIPENCIL, NOT FOUND, CX. C/ 200 CAPS. 500 MG, I_B
513403201156414, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 2.5 ML, I_B
513403202152412, BESITRAC, BESITRAC, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400601110417, BETACEF, BETACEF, NOT FOUND, 500 MG CX. C/ 200 CAPS., I_B
513404401159415, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 10 ML (REST HOSP), I_B
513404402155413, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 10 AMP VD INC X 2 ML (REST HOSP), I_B
513404403151411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 10 ML (REST HOSP), I_B
513404404158411, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 5 AMP VD INC X 2 ML (REST HOSP), I_B
513404405154418, BIOFENT, BIOFENT, NOT FOUND, 78.5 MCG/ML SOL INJ CX 50 AMP VD INC X 2 ML (REST HOSP), I_B
513404302150411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML, I_B
513404303157418, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 10 AMP VD INC X 5 ML , I_B
513404301154411, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 1 ML, I_B
513404304153416, BIOSUFENIL, BIOSUFENIL, NOT FOUND, 50 MCG/ML SOL INJ CT 5 AMP VD INC X 5 ML, I_B
513400401154410, BACTOFLOX, BACTOFLOX, NOT FOUND, 2 MG/ML SOL INJ CT FA VD INC X 100 ML , I_B
513400501159414, BENZENIL, BENZENIL, NOT FOUND, 100 MG/ML PO LIOF INJ CT FA VD INC + AMP DIL X 3 ML, I_B
513400502155412, BENZENIL, BENZENIL, NOT FOUND, 125 MG/ML PO LIOF INJ CT FA VD INC + DIL X 4 ML, I_B
