268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;508302916137111; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 50 FR VD AMB GOT X 20 ML (EMB HOSP); FM_
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;537100312110118; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 10 (EMB FRAC); M1L
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;538100103110110; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP); B0B
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;511607103131111; DIPIRONA SODICA; NOT FOUND; 500 MG/ ML SOL OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); HPO
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 20.00 ML; NO_ACR;510409202133119; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GOB
371273; CLORETO SODIO; NOT FOUND; 0.9 %. SOLUCAO ESTERIL NAO INJETAVEL FRASCO 10.00 ML; NO_ACR;511201001151419; CLORETO SODIO; NOT FOUND; AMP 10ML 0.9%; H_I
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 10.00 ML; NO_ACR;511607102133119; DIPIRONA SODICA; NOT FOUND; 500 MG/ ML SOL OR CT FR PLAS OPC GOT X 10 ML; HPO
375474; CLORETO SODIO; NOT FOUND; 0.9 %. SPRAY NASAL FRASCO 20.00 ML; NO_ACR;539013100004003; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 50 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;537114080011806; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 2500 (EMB FRAC) ; M1L
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 10.00 ML; NO_ACR;526125002136114; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; GM2
267203; DIPIRONA SODICA; NOT FOUND; 500 MG COMPRIMIDO; NO_ACR;538802102114113; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP); LG6
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL DRÁGEA; NO_ACR;538100101118114; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 30; B0B
272839; RISPERIDONA; RISPERIDONA; 1 MG FRASCO-AMPOLA; NO_ACR;506713402114415; RISPERIDON; NOT FOUND; 1 MG COM REV CT BL AL PLAS INC X 20; CT6
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 20.00 ML; NO_ACR;519019002133116; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; N_Q
267574; CLORETO SODIO; NOT FOUND; 20%. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;539013100004303; CLORETO SODIO; NOT FOUND; 20% SOL INJ CX 200 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;510409204111112; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 100 (EMB MULT); GOB
268237; CLORETO SODIO; NOT FOUND; 0.9%_ SOLUCAO INJETAVEL. FRASCO COM ABERTURA TWIST OFF AMPOLA 10.00 ML; NO_ACR;539013100003903; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 200 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
292196; HALOPERIDOL; HALOPERIDOL; 5 MG/ML. SOLUCAO INJETAVEL NAO INFORMADO; NO_ACR;506706905114412; HALO; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); CT6
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 20.00 ML; NO_ACR;524308802135114; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; LR3
311465; SULFATO ZINCO; NOT FOUND; 200 MCG/ML. SOLUCAO INJETAVEL AMPOLA 5.00 ML; NO_ACR;540600501151316; SULFATO ZINCO; NOT FOUND; 200 MCG/ML SOL INJ IV CX 50 AMP VD INC X 5 ML; CV_
273166; NEOMICINA; NEOMICINA; 3.5MG/G. POMADA FRASCO 20.00 ML; NO_ACR;514004101164413; NEOMICIN; NOT FOUND; 3.5 MG POM DERM CT BG AL X 20 G; DLT
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) COMPRIMIDO; NO_ACR;504612120015016; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 100; BF8
267713; OMEPRAZOL; OMEPRAZOL; 40 MG CÁPSULA; NO_ACR;514601503114414; OMEPRAZOLEX; NOT FOUND; 40 MG CAP GEL DURA CT FR PLAS OPC X 7; NO_ACR
410023; DIPIRONA SODICA; NOT FOUND; 1 G COMPRIMIDO; NO_ACR;519003503111119; DIPIRONA SODICA; NOT FOUND; 1G COM CT BL AL PLAS INC X 10; N_Q
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;537114080011806; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 2500 (EMB FRAC) ; M1L
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;528502506115118; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 200 - (EMB MULTI); PZ8
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 10.00 ML; NO_ACR;508013402134129; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; EUF
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;525307103134116; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; NQA
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL DRÁGEA; NO_ACR;537100311114111; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 250 (EMB FRAC); M1L
267621; CARBONATO LITIO; NOT FOUND; 300 MG COMPRIMIDO; NO_ACR;506903403111113; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); ATV
267692; MEBENDAZOL; MEBENDAZOL; 100 MG COMPRIMIDO; NO_ACR;514600901116419; MEBENDAZOLIN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 6; NO_ACR
276271; MONTELUCASTE SODICO; NOT FOUND; 10 MG COMPRIMIDO; NO_ACR;536212040004006; MONTELUCASTE SODICO; NOT FOUND; 10 MG COM REV CT BL AL AL X 10 ; ZYD
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 100.00 ML; NO_ACR;525005403119125; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT 25 BL AL PLAS INC X 4; MD7
270606; MEBENDAZOL; MEBENDAZOL; ASSOCIADO COM TIABENDAZOL. 100MG + 166MG COMPRIMIDO; NO_ACR;514600901116419; MEBENDAZOLIN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 6; NO_ACR
267621; CARBONATO LITIO; NOT FOUND; 300 MG COMPRIMIDO; NO_ACR;511611603117114; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL/PLAS TRANS X 500 (EMB HOSP); HPO
268952; AZITROMICINA; AZITROMICINA; 500 MG. PO LIOFILIZADO PARA SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;531600405119416; AZI; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 5; EMS
267203; DIPIRONA SODICA; NOT FOUND; 500 MG COMPRIMIDO; NO_ACR;502814702110116; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB MULT); S_A
375474; CLORETO SODIO; NOT FOUND; 0.9 %. SPRAY NASAL FRASCO 10.00 ML; NO_ACR;539013100003803; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ  CX 50 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
267203; DIPIRONA SODICA; NOT FOUND; 500 MG DRÁGEA; NO_ACR;537114080011506; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 250; M1L
267203; DIPIRONA SODICA; NOT FOUND; 500 MG COMPRIMIDO; NO_ACR;528502502111126; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS TRANS X 500 (EMB MULT); PZ8
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 20.00 ML; NO_ACR;508013404137117; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; EUF
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 10.00 ML; NO_ACR;520713010087006; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML ; TTB
268443; CODEINA; CODEINA; 30 MG/ML. INJETAVEL AMPOLA 2.00 ML; NO_ACR;506703101154410; CODEIN; NOT FOUND; 30 MG/ML SOL INJ CX 25 AMP VD AMB X 2 ML; CT6
269462; ALENDRONATO SODIO; NOT FOUND; 70 MG CONJUNTO; NO_ACR;511516201112112; ALENDRONATO SODIO; NOT FOUND; 70 MG COM REV CT BL AL/AL X 8; SDZ
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 10.00 ML; NO_ACR;520202502135111; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 300 FR PLAS OPC GOT X 10 ML (EMB HOSP); L4S
267203; DIPIRONA SODICA; NOT FOUND; 500 MG DRÁGEA; NO_ACR;537100310118111; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 100 (EMB FRAC); M1L
286816; DIPIRONA SODICA; NOT FOUND; 1000 MG. SUPOSITORIO ADULTO SUPOSITÓRIO; NO_ACR;528513110124406; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 20; PZ8
267140; AZITROMICINA; AZITROMICINA; 500 MG CÁPSULA; NO_ACR;531600405119416; AZI; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 5; EMS
267206; DIPIRONA SODICA; NOT FOUND; 50 MG/ML. SOLUCAO ORAL FRASCO 100.00 ML; NO_ACR;510409201137110; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; GOB
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG COMPRIMIDO; NO_ACR;538802102114113; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP); LG6
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 100.00 ML; NO_ACR;525005403119125; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT 25 BL AL PLAS INC X 4; MD7
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) COMPRIMIDO; NO_ACR;528502509114112; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 480 (EMB FRAC); PZ8
357881; CLORETO SODIO; NOT FOUND; 0.9 %. SOLUCAO INJETAVEL. SISTEMA FECHADO. EMBALAGEM PRIMARIA ISENTA DE PVC AMPOLA 20.00 ML; NO_ACR;539013100004103; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 200 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;526125004112115; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP)  ; GM2
267206; DIPIRONA SODICA; NOT FOUND; 50 MG/ML. SOLUCAO ORAL FRASCO 100.00 ML; NO_ACR;531616601133112; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; EMS
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 10.00 ML; NO_ACR;520202501139113; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; L4S
267621; CARBONATO LITIO; NOT FOUND; 300 MG COMPRIMIDO; NO_ACR;511611602110116; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL/PLAS TRANS X 50; HPO
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;504612120015016; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 100; BF8
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;537114080011506; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 250; M1L
268952; AZITROMICINA; AZITROMICINA; 500 MG. PO LIOFILIZADO PARA SOLUCAO INJETAVEL FRASCO-AMPOLA; NO_ACR;531600405119416; AZI; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 5; EMS
267206; DIPIRONA SODICA; NOT FOUND; 50 MG/ML. SOLUCAO ORAL FRASCO 100.00 ML; NO_ACR;538802101134110; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED ; LG6
268236; CLORETO SODIO; NOT FOUND; 0.9%_ SOLUCAO INJETAVEL. SISTEMA FECHADO FRASCO 10.00 ML; NO_ACR;539013100003903; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 200 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
352192; RINGER; NOT FOUND; SIMPLES. SOLUCAO INJETAVEL. SISTEMA FECHADO FRASCO 500.00 ML; NO_ACR;509506201150415; RINGER; NOT FOUND; SOL INJ IV CX 24 FR PLAS TRANS X 500 ML; FRS
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 20.00 ML; NO_ACR;520709504132127; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 20ML; TTB
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;508302912131117; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 200 FR VD AMB GOT X 20 ML (EMB HOSP); FM_
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;537100306137115; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 48 FR PLAS OPC GOT X 20 ML (EMB HOSP); M1L
273009; FLUOXETINA; FLUOXETINA; 20 MG COMPRIMIDO; NO_ACR;506719701113411; FLUOXETIN; NOT FOUND; 20 MG CAP GEL DURA CX BL AL PLAS INC X 500; CT6
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL DRÁGEA; NO_ACR;510409204111112; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 100 (EMB MULT); GOB
375474; CLORETO SODIO; NOT FOUND; 0.9 %. SPRAY NASAL FRASCO 20.00 ML; NO_ACR;539013100004103; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 200 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;519019002133116; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; N_Q
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 10.00 ML; NO_ACR;508013403130119; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; EUF
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;504612120015116; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; BF8
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 10.00 ML; NO_ACR;508302903132114; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML ; FM_
375474; CLORETO SODIO; NOT FOUND; 0.9 %. SPRAY NASAL FRASCO 10.00 ML; NO_ACR;539013100003903; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 200 AMP PLAS TRANS X 10 ML (EMB HOSP); STT
286816; DIPIRONA SODICA; NOT FOUND; 1000 MG. SUPOSITORIO ADULTO SUPOSITÓRIO; NO_ACR;528513110124606; DIPIRONA SODICA; NOT FOUND; 1000 MG COM CT BL AL PLAS TRANS X 100 (EMB MULT) ; PZ8
376767; IVERMECTINA; IVERMECTINA; 6 MG COMPRIMIDO; NO_ACR;532902102117418; IVERMEC; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 4; UCI
271112; AMOXICILINA; AMOXICILINA; ASSOCIADA COM SULBACTAM. 500MG + 250MG. INJETAVEL CÁPSULA; NO_ACR;507701701111411; AMOX; NOT FOUND; EMS - 500 MG 1 BL X 21 CAPS; EMS
269462; ALENDRONATO SODIO; NOT FOUND; 70 MG CONJUNTO; NO_ACR;525309101112111; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X 10; NQA
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 20.00 ML; NO_ACR;542012040000606; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC  GOT X 20 ML; NV7
342943; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A PAPAVERINA. ADIFENINA E HOMATROPINA. 500 MG + 15 MG + 15 MG + 1 MG/ML. SOLUCAO INJETAVEL DRÁGEA; NO_ACR;525307101115114; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP); NQA
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;537114080011706; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 2500; M1L
267517; ATENOLOL; ATENOLOL; 50 MG COMPRIMIDO; NO_ACR;502300503111315; ATENOL; NOT FOUND; 50 MG COM CT BL AL PLAS IN X 28; AZN
267203; DIPIRONA SODICA; NOT FOUND; 500 MG AMPOLA 2.00 ML; NO_ACR;507900602154115; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL INJ CX 200 AMP VD AMB X 2 ML (EMB HOSP); EQX
267522; CLOMIPRAMINA; CLOMIPRAMINA; 25 MG COMPRIMIDO; NO_ACR;531626403113414; CLO; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 20; EMS
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) COMPRIMIDO; NO_ACR;537114080011506; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 250; M1L
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR;504612110014516; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML; BF8
267203; DIPIRONA SODICA; NOT FOUND; 500 MG DRÁGEA; NO_ACR;537114080011806; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 2500 (EMB FRAC) ; M1L
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL COMPRIMIDO; NO_ACR;504611902111128; DIPIRONA SODICA; NOT FOUND; 500 MG COM BL AL PLAS INC X 4; BF8
267621; CARBONATO LITIO; NOT FOUND; 300 MG COMPRIMIDO; NO_ACR;511611604113112; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL/PLAS TRANS X 60; HPO
272835; RIBAVIRINA; RIBAVIRINA; 250 MG CÁPSULA; NO_ACR;504403501118411; RIBAVIRIN; NOT FOUND; 250 MG CAP GEL DURA CT FR PLAS OPC X 20; BU_
267205; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO ORAL (GOTAS) FRASCO 10.00 ML; NO_ACR;508302905135110; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 10 ML (EMB HOSP); FM_
319128; PRIMIDONA; PRIMIDONA; 100 MG COMPRIMIDO; NO_ACR;501602301114410; PRIMID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 100; APS
