73800, ACICLOVIR, ACICLOVIR, CPR 200 MG x 25, BF8,504612001118112, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 10, BF8
63812, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 6, BF8,504600202113114, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12.5MG/ML PO SUS OR CT FR PLAS OPC X 75ML, BF8
63812, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 6, BF8,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG C/ 18 CPR., BF8
63812, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 6, BF8,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL/AL X 18, BF8
63814, AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 250 MG 75 ML x 1 (/5ML), BF8,504600201117116, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6, BF8
63814, AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 250 MG 75 ML x 1 (/5ML), BF8,504600202113114, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12.5MG/ML PO SUS OR CT FR PLAS OPC X 75ML, BF8
63814, AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 250 MG 75 ML x 1 (/5ML), BF8,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG C/ 18 CPR., BF8
63814, AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 250 MG 75 ML x 1 (/5ML), BF8,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL/AL X 18, BF8
73799, ACICLOVIR, ACICLOVIR, CPR 200 MG x 10, BF8,504612001118112, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 10, BF8
73799, ACICLOVIR, ACICLOVIR, CPR 200 MG x 10, BF8,504612002114110, ACICLOVIR, ACICLOVIR, 200MG COM CT BL AL PLAS INC X 25, BF8
73799, ACICLOVIR, ACICLOVIR, CPR 200 MG x 10, BF8,504612002114110, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 25, BF8
73799, ACICLOVIR, ACICLOVIR, CPR 200 MG x 10, BF8,504612001118112, ACICLOVIR, ACICLOVIR, 200MG COM CT BL AL PLAS INC X 10, BF8
63867, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, BF8,504600201117116, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6, BF8
63867, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, BF8,504600102119110, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, BF8
63867, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, BF8,504600202113114, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12.5MG/ML PO SUS OR CT FR PLAS OPC X 75ML, BF8
63867, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, BF8,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG C/ 18 CPR., BF8
63867, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, BF8,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL/AL X 18, BF8
63867, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, BF8,504600101139118, AMOXICILINA, AMOXICILINA, 50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML, BF8
73430, ACETILCISTEINA, ACETILCISTEINA, XPE 20 MG 100 ML x 1 (/ML), BF8,504611701132111, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, BF8
63813, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 18, BF8,504600201117116, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6, BF8
63813, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 18, BF8,504600202113114, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12.5MG/ML PO SUS OR CT FR PLAS OPC X 75ML, BF8
63813, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 18, BF8,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG C/ 18 CPR., BF8
63813, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 18, BF8,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL/AL X 18, BF8
63614, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, BF8,504600301111111, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT 3 BL AL PLAS BRANCO OPC X 10, BF8
63614, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, BF8,504600302118118, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT 3 BL AL PLAS BRANCO OPC X 10, BF8
63614, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, BF8,504600301111111, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT 3 BL AL PLAS BRANCO OPC X 10, BF8
63614, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, BF8,504600302118118, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT 3 BL AL PLAS BRANCO OPC X 10, BF8
63613, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, BF8,504600301111111, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT 3 BL AL PLAS BRANCO OPC X 10, BF8
63613, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, BF8,504600302118118, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT 3 BL AL PLAS BRANCO OPC X 10, BF8
63613, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, BF8,504600301111111, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT 3 BL AL PLAS BRANCO OPC X 10, BF8
63613, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, BF8,504600302118118, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT 3 BL AL PLAS BRANCO OPC X 10, BF8
76113, CIPROFIBRATO, CIPROFIBRATO, CPR 100 MG x 30, BF8,504612702116116, CIPROFIBRATO, CIPROFIBRATO, 100 MG COM CT BL AL PLAS INC X 10, BF8
76113, CIPROFIBRATO, CIPROFIBRATO, CPR 100 MG x 30, BF8,504612701111110, CIPROFIBRATO, CIPROFIBRATO, 100 MG COM CT BL AL PLAS INC X 30, BF8
66348, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30, BF8,504610602114115, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PLAS INC X 20, BF8
66348, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30, BF8,504610602114115, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20MG COM CT 2 BL X 10, BF8
66348, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30, BF8,504610601118117, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PLAS INC X 30, BF8
66348, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30, BF8,504610601118117, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20MG COM CT 3 BL X 10, BF8
66344, CITALOPRAM, CITALOPRAM, CPR 20 MG x 14, BF8,504610702119119, CITALOPRAM, CITALOPRAM, 20MG C/ 14 CPR., BF8
66344, CITALOPRAM, CITALOPRAM, CPR 20 MG x 14, BF8,504610702119119, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14 , BF8
66344, CITALOPRAM, CITALOPRAM, CPR 20 MG x 14, BF8,504610701112110, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28, BF8
66344, CITALOPRAM, CITALOPRAM, CPR 20 MG x 14, BF8,504610701112110, CITALOPRAM, CITALOPRAM, 20MG C/ 28 CPR., BF8
67361, CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 500 MG x 30, BF8,504611002110117, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 30, BF8
67361, CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 500 MG x 30, BF8,504611001114119, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 30, BF8
67364, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, BF8,504610403111116, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 10, BF8
67364, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, BF8,504610402115118, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50MG COM REV CT BL X 20, BF8
67364, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, BF8,504610402115118, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 20, BF8
67364, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, BF8,504610403111116, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50MG COM REV CT BL X 10, BF8
67364, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, BF8,504610404118114, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 30, BF8
67362, CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 30, BF8,504611002110117, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 30, BF8
67362, CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 30, BF8,504611001114119, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 30, BF8
66347, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 20, BF8,504610602114115, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PLAS INC X 20, BF8
66347, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 20, BF8,504610602114115, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20MG COM CT 2 BL X 10, BF8
66347, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 20, BF8,504610601118117, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PLAS INC X 30, BF8
66347, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 20, BF8,504610601118117, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20MG COM CT 3 BL X 10, BF8
66345, CITALOPRAM, CITALOPRAM, CPR 20 MG x 28, BF8,504610702119119, CITALOPRAM, CITALOPRAM, 20MG C/ 14 CPR., BF8
66345, CITALOPRAM, CITALOPRAM, CPR 20 MG x 28, BF8,504610702119119, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14 , BF8
66345, CITALOPRAM, CITALOPRAM, CPR 20 MG x 28, BF8,504610701112110, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28, BF8
66345, CITALOPRAM, CITALOPRAM, CPR 20 MG x 28, BF8,504610701112110, CITALOPRAM, CITALOPRAM, 20MG C/ 28 CPR., BF8
75283, CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 10, BF8,504612201168113, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G, BF8
75283, CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 10, BF8,504612101163111, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G, BF8
75283, CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 10, BF8,504612801114111, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS INC X 10, BF8
73540, CETO DIP BETAME, NOT FOUND, CREME 20 MG 30 G x 1 (/.64), BF8,504612201168113, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G, BF8
73540, CETO DIP BETAME, NOT FOUND, CREME 20 MG 30 G x 1 (/.64), BF8,504612101163111, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G, BF8
75626, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30, BF8,504610403111116, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 10, BF8
75626, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30, BF8,504610402115118, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50MG COM REV CT BL X 20, BF8
75626, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30, BF8,504610402115118, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 20, BF8
75626, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30, BF8,504610403111116, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50MG COM REV CT BL X 10, BF8
75626, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30, BF8,504610404118114, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 30, BF8
74262, CET D BET S NEO, NOT FOUND, CREME 30 G x 1, BF8,504612201168113, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G, BF8
76402, CLO HIDROXIZINA, NOT FOUND, SOLN ORAL 2 MG 100 ML x 1 (/ML), BF8,504612901135110, CLORIDRATO HIDROXIZINA, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS AMB X 100 ML + SER DOSAD, BF8
76402, CLO HIDROXIZINA, NOT FOUND, SOLN ORAL 2 MG 100 ML x 1 (/ML), BF8,504612902131119, CLORIDRATO HIDROXIZINA, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS AMB X 120 ML + SER DOSAD, BF8
62738, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 10, BF8,504600702116112, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 10, BF8
62738, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 10, BF8,504600701111117, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 20, BF8
62738, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 10, BF8,504600701111117, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT 2 BL AL PLAS INC X 10, BF8
62740, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 20, BF8,504600702116112, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 10, BF8
62740, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 20, BF8,504600701111117, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 20, BF8
62740, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 20, BF8,504600701111117, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT 2 BL AL PLAS INC X 10, BF8
74582, DICLOFEN DIETIL, DICLOFENACO DIETILAMONIO, GEL. 11.6 MG 60 G x 1 (/G), BF8,504612501161114, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 11.6 MG/G GEL CT BG AL X 60 G, BF8
66266, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 15, BF8,504600901119111, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 10, BF8
66266, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 15, BF8,504600904118116, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 4 , BF8
66266, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 15, BF8,504600905114114, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 15, BF8
66265, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 10, BF8,504600901119111, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 10, BF8
66265, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 10, BF8,504600904118116, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 4 , BF8
66265, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 10, BF8,504600905114114, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 15, BF8
77312, IBUPROFENO, IBUPROFENO, CPR REVEST 400 MG x 10, BF8,504611403115111, IBUPROFENO, IBUPROFENO, 400MG COM REV CT BL AL PLAS INC X 10, BF8
66264, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 4, BF8,504600901119111, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 10, BF8
66264, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 4, BF8,504600904118116, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 4 , BF8
66264, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 4, BF8,504600905114114, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 15, BF8
63571, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 28, BF8,504601302111111, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
63571, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 28, BF8,504601301115113, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
63571, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 28, BF8,504601301115113, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
63571, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 28, BF8,504601302111111, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
62747, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 7, BF8,504601001111112, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, BF8
62747, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 7, BF8,504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, BF8
62744, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 250 MG x 7, BF8,504601001111112, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7, BF8
62744, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 250 MG x 7, BF8,504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7, BF8
63570, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 14, BF8,504601302111111, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
63570, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 14, BF8,504601301115113, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
63570, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 14, BF8,504601301115113, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 1 BL AL PLAS OPC X 14, BF8
63570, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 14, BF8,504601302111111, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 2 BL AL PLAS OPC X 14, BF8
62725, LORATADINA, LORATADINA, CPR 10 MG x 12, BF8,504601201137115, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, BF8
62725, LORATADINA, LORATADINA, CPR 10 MG x 12, BF8,504601101116116, LORATADINA, LORATADINA, 10 MG COM CT BL AL PLAS INC X 12, BF8
62725, LORATADINA, LORATADINA, CPR 10 MG x 12, BF8,504601102139111, LORATADINA, LORATADINA, 1MG/ML XPE CT FR VD AMB X 100ML, BF8
62725, LORATADINA, LORATADINA, CPR 10 MG x 12, BF8,504601101116116, LORATADINA, LORATADINA, 10MG COM CT BL AL PLAS INC X 12, BF8
62725, LORATADINA, LORATADINA, CPR 10 MG x 12, BF8,504601202117118, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12, BF8
62732, LORATA PSEUDOEF, NOT FOUND, DRAG x 12, BF8,504601201137115, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, BF8
62732, LORATA PSEUDOEF, NOT FOUND, DRAG x 12, BF8,504601202117118, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12, BF8
62735, LORATA PSEUDOEF, NOT FOUND, XAR. 60 ML x 1, BF8,504601201137115, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML, BF8
62735, LORATA PSEUDOEF, NOT FOUND, XAR. 60 ML x 1, BF8,504601202117118, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12, BF8
64431, MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, BF8,504601702111119, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT STR AL X 30, BF8
64431, MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, BF8,504601701113118, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT STR AL X 30, BF8
64431, MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, BF8,504601703116114, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT STR AL X 30, BF8
75040, MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, BF8,504612401116117, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS INC X 30, BF8
62757, MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20, BF8,504601502110119, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL PLAS INC X 20, BF8
62757, MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20, BF8,504601502110119, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2MG COM CT BL AL PLAS INC X 20, BF8
62757, MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20, BF8,504611301134115, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PLAS AMB X 120 ML + CP DOS, BF8
