135042; ELIQUIS; NOT FOUND; CPR REVEST 5 MG x 20; BMS;505113090020002; ELIQUIS; NOT FOUND; 5.0 MG COM REV CT BL AL PLAS INC X 20 ; BMS
62250; DALSY; NOT FOUND; CPR REVEST 400 MG x 10; ABT;500208408111328; DALSY; NOT FOUND; 400 MG COM REV CT BL AL PLAS PVC/PVDC X 10; ABT
63994; DIMETICONA; DIMETICONA; CPR 40 MG x 20; GM2;526103901111113; DIMETICONA; DIMETICONA; 40 MG COM  CT BL AL PLAS INC X 20; GM2
59517; POLAREN; NOT FOUND; CPR 2 MG x 20; CF2;506306901111413; POLAREN; NOT FOUND; 2.0 MG COM CT BL AL PLAS TRANS X 20; CF2
63174; DIAMICRON MR; NOT FOUND; CPR AP. 30 MG x 60; SVR;531300603111315; DIAMICRON MR; NOT FOUND; 30 MG COM CX BL AL PLAS INC X 60; SVR
53672; DIMORF LC; NOT FOUND; CAPS 30 MG x 60; CT6;506704302110419; DIMORF LC; NOT FOUND; 30 MG CAP GEL CT 6 BL AL PLAS INC X 10; CT6
123836; PREDNISOLONA; PREDNISOLONA; CPR 5 MG x 20; A4H;500514010053706; PREDNISOLONA; PREDNISOLONA; 5 MG COM CT BL AL/AL X 20; A4H
73719; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 20; SDZ;511514001116118; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20 ; SDZ
1349; BENFLOGIN; NOT FOUND; GOTAS 30 MG 20 ML x 1 (/ML); A4H;500510003135419; BENFLOGIN; NOT FOUND; 30 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; A4H
63623; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 60; M_S;525402604110118; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 60; M_S
67329; ZIDIMAX; NOT FOUND; CPR REVEST 500 MG x 3; L3B;522824305119415; ZIDIMAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS AMB X 3; L3B
73624; ALPRAZOLAM; ALPRAZOLAM; CPR 0.25 MG x 20; MD7;525070201118111; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS INC X 20 ; MD7
78162; RAMIPRIL; RAMIPRIL; CPR SULCADO 2.50 MG x 30; MD7;525072603116118; RAMIPRIL; RAMIPRIL; 2.5 MG COM CT BL AL/AL X 30; MD7
55173; DIMEZIN; NOT FOUND; EMULS 75 MG 10 ML x 1 (/ML); TTB;520709402135410; DIMEZIN; NOT FOUND; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 10 ML ; TTB
61484; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 200; RBY;529900406119116; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); RBY
62064; PLURAIR; NOT FOUND; SPRAY NASAL 50 Y x 60 (/DOS); LIB;523703801172414; PLURAIR; NOT FOUND; 50 MCG/DOSE SUS TOP CT FR SPR PLAS OPC X 60 DOSES; LIB
59896; KAVIT; NOT FOUND; A.IM 10 MG 1 ML x 50 (/ML); CT6;506707601151413; KAVIT; NOT FOUND; 10 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP); CT6
77505; CILOSTAZOL; CILOSTAZOL; CPR 100 MG x 60; EUF;508024803119118; CILOSTAZOL; CILOSTAZOL; 100 MG COM CT BL AL PLAS INC X 60; EUF
58157; UNASYN; NOT FOUND; CPR REVEST 375 MG x 10; PFZ;522203903113312; UNASYN; NOT FOUND; 375 MG COM REV CT BL AL PLAS INC X 10; PFZ
76652; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CAPS 75 MG x 30; HPO;511611402111119; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 75 MG CAP GEL DURA CT BL AL PLAS INC X 30; HPO
94278; BROM ROCURONIO; BROMETO ROCURONIO; F AMP IV 10 MG 5 ML x 10 (/ML); NVA;526312030013306; BROMETO ROCURONIO; BROMETO ROCURONIO; 10 MG/ML SOL INJ IV CX 10 FA VD INC X 5 ML (EMB HOSP) ; NVA
70131; HIGROMIL; NOT FOUND; CPR 25 MG x 42; MB9;525914080020417; HIGROMIL; NOT FOUND; 25 MG COM CT 3 BL AL PLAS INC X 14 ; MB9
71867; CELLTRIAXON; NOT FOUND; F.AMP IV S/D 1 G x 100; AA0;541512030001214; CELLTRIAXON; NOT FOUND; 1 G PO INJ IV CT 100 FA VD INC; AA0
64614; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; U_Q;533018101117117; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS INC X 20 ; U_Q
145079; CANSARCOR; NOT FOUND; CPR 8 MG x 30; LG6;538814010048203; CANSARCOR; NOT FOUND; 8 MG COM CT BL AL PLAS OPC X 30; LG6
67994; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; ZYD;536200901111111; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; ZYD
75028; IBUPROFENO; IBUPROFENO; CPR REVEST 600 MG x 20; PZ8;528529502110113; IBUPROFENO; IBUPROFENO; 600 MG COM REV CT BL AL PLAS INC X 20; PZ8
78937; DORMIRE; NOT FOUND; AMP. 1 MG 5 ML x 50 (/ML); CT6;506704606152413; DORMIRE; NOT FOUND; 1 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML; CT6
68155; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 20; LG6;538812403117119; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS INC X 20; LG6
63757; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 20; N_Q;519005501116111; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS INC X 20 ; N_Q
56577; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); TTB;520709503136129; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC GOT X 10ML; TTB
56283; DEXAMETASONA; DEXAMETASONA; ELIXIR 0.10 MG 100 ML x 1 (/ML); TTB;520708501131113; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX  CT FR VD AMB X 100 ML + CP MED; TTB
52319; CINTAG; NOT FOUND; CPR 200 MG x 20; SDZ;511514501119418; CINTAG; NOT FOUND; 200 MG COM CT BL AL PLAS AMB X 20 ; SDZ
73901; PRATSORIN; NOT FOUND; SOLN NASAL 9 MG 30 ML x 1 (/ML); PZ8;528527603173416; PRATSORIN; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC NEB X 30 ML; PZ8
74893; AZITROLAB; NOT FOUND; CPR 500 MG x 6; MB9;525912050015903; AZITROLAB; NOT FOUND; 500 MG COM REV CT  BL AL PLAS INC X 6; MB9
61943; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 28; RBY;529902102117111; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 28; RBY
83354; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 1; MD7;525074111113111; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 1; MD7
74165; ENALAMED; NOT FOUND; CPR 20 MG x 900; CM5;506403205116419; ENALAMED; NOT FOUND; 20 MG COM CT STRIP AL X 900 (EMB HOSP); CM5
9621; SOLU MEDROL; NOT FOUND; F.AMP 125 MG 2 ML x 1; PFZ;522240502151412; SOLU MEDROL; NOT FOUND; 125 MG PO LIOF INJ CT FA VD INC + AMP DIL VD INC X 2 ML; PFZ
48168; CIPRO; NOT FOUND; CPR REVEST 250 MG x 14; BYP;538901704112311; CIPRO; NOT FOUND; 250 MG COM REV CT BL AL PLAS (PP) INC X 14; BYP
62405; ASTRO; NOT FOUND; CPR REVEST 500 MG x 3; EUF;508000703114419; ASTRO; NOT FOUND; 500 MG COM REV CT BL AL PLAST INC X 3; EUF
75212; PROMETAZOL; NOT FOUND; AMP. 50 MG 2 ML x 25; SNV;530806107158411; PROMETAZOL; NOT FOUND; 25 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP) ; SNV
54192; EUTHYROX; NOT FOUND; CPR 25 Y x 50; M_S;525404130116419; EUTHYROX; NOT FOUND; 25 MCG EST BL AL AL X 50  ; M_S
77052; CIZAX; NOT FOUND; CPR 10 MG x 4; MQF;512405505111411; CIZAX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 4; MQF
77582; GLIBENCLAMIDA; GLIBENCLAMIDA; CPR 5 MG x 400; PZ8;528530501114119; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 400 (EMB HOSP); PZ8
69357; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 100 MG 5 G x 16; GM2;526113204170115; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 16 ENV AL POLIET X 5 G ; GM2
66258; BUTILB ESCOPOLA; BUTILBROMETO ESCOPOLAMINA; GOTAS 10 MG 20 ML x 200 (/ML); PZ8;528500803139112; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 10 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 20 ML (EMB HOSP); PZ8
69386; DORFEBRIL; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); NCK;526201802134417; DORFEBRIL; NOT FOUND; 500 MG/ML  SOL OR CT FR PLAS OPC GOT X 20 ML; NCK
68770; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CPR REVEST 20 MG x 30; ZYD;536200201118111; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PVC X 30; ZYD
66706; DESONIDA; DESONIDA; POM. 0.50 MG 30 G x 1 (/G); GM2;526118702160112; DESONIDA; DESONIDA; 0.5 MG/G CREM CT BG AL X 30 G; GM2
75449; RISS; NOT FOUND; CPR REVEST 3 MG x 20; EUF;508025503119412; RISS; NOT FOUND; 3 MG COM REV CT BL AL PLAS INC X 20; EUF
66785; PROP CLOBETASOL; NOT FOUND; CREME 0.50 MG 30 G x 1 (/G); GM2;526117801165114; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 30 G ; GM2
54588; CODEIN; NOT FOUND; CPR 60 MG x 30; CT6;506703104110414; CODEIN; NOT FOUND; 60 MG COM CT BL AL PLAS INC X 30; CT6
65005; AMPRAX; NOT FOUND; CPR 80 MG x 30; VAP;533508002115412; AMPRAX; NOT FOUND; 80 MG COM CT BL AL PLAS INC X 30; VAP
105748; ESOMEPRAZOL MAG; ESOMEPRAZOL MAGNESICO; CPR REVEST 20 MG x 14; RBY;529912030036506; ESOMEPRAZOL MAGNESIO; NOT FOUND; 20 MG COM REV CT BL AL/AL X 14; RBY
62710; CARDICORON; NOT FOUND; CPR 100 MG x 20; TTB;520720901118415; CARDICORON; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; TTB
76185; LACTULIV; NOT FOUND; XAROPE AMEIX 667 MG 120 ML x 1 (/ML); LG6;538805902138410; LACTULIV; NOT FOUND; 667 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SABOR SALADA DE FRUTAS); LG6
73546; CLOR NAFAZOLINA; CLORIDRATO NAFAZOLINA; SOLN NASAL 0.50 MG 30 ML x 1 (; PZ8;528527301177117; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; PZ8
63034; ZYMAR; NOT FOUND; SOLN OFTAL 3 MG 5 ML x 1 (/ML); ALL;501005901170318; ZYMAR; NOT FOUND; 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; ALL
68020; TEFLAN; NOT FOUND; F.AMP SOLV 40 MG 2 ML x 5; U_Q;533010505154418; TEFLAN; NOT FOUND; 40 MG PO LIOF SOL INJ CT 5 FA VD INC + 5 AMP DIL X 2 ML; U_Q
77982; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 30; SDZ;511508613113115; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS INC X 30; SDZ
63755; PRYLTEC; NOT FOUND; CPR 20 MG x 30; GOB;510402302116413; PRYLTEC; NOT FOUND; 20 MG COM CT BL AL/AL X 30 ; GOB
66380; TENOFTAL; NOT FOUND; SOLN OFTAL 5 MG 5 ML x 1 (/ML); TTB;520722801137414; TENOFTAL; NOT FOUND; 5 MG/ML SOL OFT CT FR PLAS OPC X 5 ML; TTB
67302; NOVALDIP; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); Q2R;529700101136413; NOVALDIP; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; Q2R
55310; RINOBEN; NOT FOUND; GOTAS NASAL 30 ML x 1; CAZ;505508901173412; RINOBEN; NOT FOUND; SOL NASAL CR FR C 30 ML; CAZ
62355; MENOPUR; NOT FOUND; F.AMP C/DILU 75 IU 1 ML x 1; FER;521400602150416; MENOPUR; NOT FOUND; 75UI PO LIOF INJ CT FA VD INC+AMP DILX1ML; FER
72297; NIMESULIDA; NIMESULIDA; GEL DERMAT. 20 MG 30 G x 1 (/G); GM2;526129301162111; NIMESULIDA; NIMESULIDA; 20 MG/G GEL DERM CT BG AL X 30 G; GM2
85665; CARDIX; NOT FOUND; CPR 40 MG x 30; MB9;525912040015103; CARDIX; NOT FOUND; 40 MG COM CT BL AL PLAS X 30; MB9
70324; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); GOB;510406501131113; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; GOB
52194; DDAVP; NOT FOUND; F.AMP 4 Y 1 ML x 10 (/ML); FER;521400205151319; DDAVP; NOT FOUND; 4 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML; FER
69678; FLUCOTON; NOT FOUND; CAPS 150 MG x 2; ROY;530205103115418; FLUCOTON; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; ROY
65374; METILVITA; NOT FOUND; CPR REVEST 250 MG x 500; L3B;522823403117419; METILVITA; NOT FOUND; 250 MG COM REV CT 50 BL AL PLAS AMB X 10; L3B
63625; MAGNOSTASE; NOT FOUND; CPR 2 MG x 12; N_Q;519018501111411; MAGNOSTASE; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 12; N_Q
64478; ALPRAZOLAM; ALPRAZOLAM; CPR 0.25 MG x 20; EUF;508018801118111; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS OPC X 20; EUF
58502; CEBION; NOT FOUND; CPR EF.ACERO 1 G x 10; M_S;525401506115419; CEBION; NOT FOUND; 1G COM EFERV EST TB PLAS X 10 - SABOR ACEROLA; M_S
59637; TRIATEC; NOT FOUND; CPR 2.50 MG x 15; S_A;502813102111318; TRIATEC; NOT FOUND; 2.5 MG COM CT BL AL/AL X 15; S_A
53934; XYLESTESIN; NOT FOUND; F.A.S/V-S.P. 1 % 20 ML x 10; CT6;506715302151412; XYLESTESIN; NOT FOUND; 1 PCC SOL INJ CX 10 FA VD INC X 20 ML(EMB HOSP); CT6
63804; BELFAREN; NOT FOUND; DRAG 50 MG x 20; BLF;503400901117412; BELFAREN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; BLF
77090; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 20; TTB;520730601117119; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 20 ; TTB
68415; CLOTRIMAZOL; CLOTRIMAZOL; CREME DERMAT 10 MG 50 G x 1 (/G); TTB;520725601163114; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 50 G; TTB
60642; RESPIDON; NOT FOUND; CPR 3 MG x 20; TNT;532700803114416; RESPIDON; NOT FOUND; 3 MG COM REV CT 2 BL AL/AL X 10; TNT
55423; CAPTOMED; NOT FOUND; CPR 12.5 MG x 20; CM5;506401301118412; CAPTOMED; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 20; CM5
58712; FLATICONA; NOT FOUND; CPR 40 MG x 20; BLF;503403001117410; FLATICONA; NOT FOUND; 40 MG COM CT 2 BL AL PLAS INC X 10; BLF
60603; KARVIL; NOT FOUND; CPR 6.25 MG x 15; TNT;532700503110415; KARVIL; NOT FOUND; 6.25 MG COM CT BL AL/AL X 15; TNT
72520; GLIMEPIRIDA; GLIMEPIRIDA; CPR 2 MG x 30; MD7;525068913114115; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30; MD7
72699; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 300; PZ8;528526008115113; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM  REV CT BL AL PLAS INC X 300 (EMB HOSP); PZ8
56180; ITRACOTAN; NOT FOUND; CAPS 100 MG x 4; ROY;530202501111418; ITRACOTAN; NOT FOUND; 100 MG CAP GEL CT BL AL PLAS INC X 4; ROY
68147; ADAPALENO; ADAPALENO; CREME 1 MG 30 G x 1 (/G); LG6;538814301168111; ADAPALENO; ADAPALENO; 1 MG/G GEL CT BG AL X 30 G; LG6
53611; BLOPRESS; NOT FOUND; CPR 16 MG x 30; ABT;500200801114218; BLOPRESS; NOT FOUND; 16 MG COM CT BL AL PLAS INC X 30; ABT
76401; CEBION; NOT FOUND; CPR A/P 500 MG x 30; M_S;525401517117418; CEBION; NOT FOUND; 500 MG COM LIB MOD CT BL AL/AL X 30; M_S
65265; TORVAL CR; NOT FOUND; CPR L.A.COAT 500 MG x 30; TNT;532701202114411; TORVAL CR; NOT FOUND; 500 MG COM LIB PROL CT BL AL/AL X 30; TNT
47664; ASDRON; NOT FOUND; GOTAS PED 1 MG 30 ML x 1 (/ML); MJA;524800402137418; ASDRON; NOT FOUND; 1 MG/ML SOL OR CT FR VD CGT X 30 ML; MJA
58982; AMPICILINA; AMPICILINA; CAPS 500 MG x 18; EUF;508017802110114; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 18; EUF
59581; FLAMADOR; NOT FOUND; GEL. 25 MG 30 G x 1 (/G); LG6;538813702169410; FLAMADOR; NOT FOUND; 25 MG/G GEL CT BG AL X 30 G; LG6
48341; FLUCONAL; NOT FOUND; CAPS 150 MG x 1; LIB;523701801116410; FLUCONAL; NOT FOUND; 150 MG CAP CT BL AL PLAST INC X 1; LIB
73290; FENATEC; NOT FOUND; GOTAS 5 MG 20 ML x 1 (/ML); BLF;503412030014704; FENATEC; NOT FOUND; 5 MG/ML SOL OR CT FR VD CGT X 20 ML; BLF
77836; OMEPRAZOL; OMEPRAZOL; CAPS 20 MG x 500; HPO;511612301114110; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP); HPO
72330; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; PZ8;528526009111111; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; PZ8
62530; NORFLOXACINO; NORFLOXACINO; CPR REVEST 400 MG x 14; NQA;525303007114115; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS TRANS X 14; NQA
64335; PIROFLAM; NOT FOUND; CAPS 20 MG x 10; BLF;503405101119411; PIROFLAM; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10; BLF
58882; PILEM; NOT FOUND; CPR 0.75 MG x 2; U_Q;533013040059304; PILEM; NOT FOUND; 0.75 MG CT BL AL PLAS INC X 2 ; U_Q
48332; CICLADOL; NOT FOUND; CPR 20 MG x 10; CHS;508501003115412; CICLADOL; NOT FOUND; 20 MG COM CT BL PVC/PVD OPC X 10; CHS
68825; CIFLOXATIL; NOT FOUND; CPR 500 MG x 14; BRT;504913050008603; CIFLOXATIL; NOT FOUND; 500 MG COM REV CT BL AL PLAS TRANS X 14; BRT
63180; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 80 MG x 30; N_Q;519002803111116; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT BL AL PLAS INC X 30; N_Q
53478; EBASTEL; NOT FOUND; CPR REVEST 10 MG x 10; EUF;508006602115311; EBASTEL; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 10; EUF
55106; CILINON; NOT FOUND; F.AMP S/DILU 500 MG x 100; BU_;504414050051318; CILINON; NOT FOUND; 500 MG PO INJ CX 100 FA VD INC; BU_
51475; CYMEVENE; NOT FOUND; F.AMP LIOF 500 MG 10 ML x 25; ROC;529201302152315; CYMEVENE; NOT FOUND; 500 MG PO LIOF CT 25 FA VD INC X 10 ML (EMB HOSP); ROC
42242; APRESOLINA; NOT FOUND; DRAG 25 MG x 20; NVR;526501201111411; APRESOLINA; NOT FOUND; 25 MG DRG CT BL AL PLAS INC X 20; NVR
66253; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 30; NQA;525300302115114; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 10; NQA
70630; TRENTOFIL; NOT FOUND; CPR.RE.LP 400 MG x 200; UCI;532904502112411; TRENTOFIL; NOT FOUND; 400 MG COM REV CX CT 20 BL AL PVC X 10 ; UCI
83348; VALSACOR; NOT FOUND; CPR REV . 80 MG x 30; LG6;538807101116415; VALSACOR; NOT FOUND; 80 MG COM REV CT BL AL/AL X 30; LG6
54299; PYRIMEL; NOT FOUND; PO ENV.ME/LI 5 G x 50; C_S;516102702134420; PYRIMEL; NOT FOUND; DISP. 50X5G MEL E LIMAO; C_S
59732; MOTILIUM; NOT FOUND; CPR BLISTER 10 MG x 30; J_C;514502403111318; MOTILIUM; NOT FOUND; 10 MG COM CT 2 BL AL PLAS INC X 15; J_C
46214; KEFLEX; NOT FOUND; DRAG 1 G x 8; BAG;536501506112319; KEFLEX; NOT FOUND; 1 G DRG CT BL AL PLAS INC X 8; BAG
47773; PRAVACOL; NOT FOUND; CPR 10 MG x 10; BMS;505105001115319; PRAVACOL; NOT FOUND; 10 MG COM CT BL AL/AL X 10; BMS
28052; RIVOTRIL; NOT FOUND; GOTAS 2.50 MG 20 ML x 1 (/ML); ROC;529204803136317; RIVOTRIL; NOT FOUND; 2.5 MG/ML SOL OR CT FR VD CGT X 20 ML; ROC
83726; FUM QUETIAPINA; NOT FOUND; CPR REVEST 200 MG x 30; NQA;525308803113111; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COMP REV CT BL AL PLAS OPC X 30; NQA
32781; FRONTAL; NOT FOUND; CPR 0.25 MG x 20; PFZ;522236601116412; FRONTAL; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 20; PFZ
51976; PRESSOTEC; NOT FOUND; CPR 10 MG x 30; TTB;520717404117410; PRESSOTEC; NOT FOUND; 10 MG COM CT BL AL/AL X 30; TTB
64737; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); M_S;525417602135121; PARACETAMOL; PARACETAMOL; GOTAS - 200MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; M_S
48367; SALIMETIN; NOT FOUND; CREME EVANES 30 G x 1; LR3;524306403160410; SALIMETIN; NOT FOUND; GEL PLUS ESPORTISTA 30 GRA; LR3
52134; MOVATEC; NOT FOUND; CPR 15 MG x 10; B_I;504503201116312; MOVATEC; NOT FOUND; 15 MG COM CT BL AL/AL X 10; B_I
78832; CARBOCISTEINA; CARBOCISTEINA; XAR PED FRA 20 MG 100 ML x 1 (/ML; NV7;542012040000006; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE INF CT FR PLAS TRANSP X 100 ML +CP MED; NV7
