510412020063003, BRONTEK, BRONTEK, NOT FOUND, 10 MG/ML XPE CT FR PEAD X 120 ML + CP MED, GOB
510414010101806, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS OPC X 20 , GOB
510412100077803, BESILAPIN, BESILAPIN, NOT FOUND, 5 MG COM CT BL AL PLAS OPC X 30, GOB
510414010101906, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS OPC X 30, GOB
510401306118412, BESILAPIN, BESILAPIN, NOT FOUND, 5 MG COM CT 50 BL AL PLAS OPC X 10 (EMB HOSP), GOB
510414010102106, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CX BL AL PLAS OPC X 500 (EMB HOSP), GOB
510412020063603, BESILAPIN, BESILAPIN, NOT FOUND, 5 MG COM CT BL AL PLAS OPC X 60, GOB
510414010102006, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS OPC X 60, GOB
510414060106806, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR GOT PLAS OPC X 2.5 ML, GOB
510414060106906, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 2.5 ML, GOB
510414060107006, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR GOT PLAS OPC X 3 ML, GOB
510414060107106, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 3 ML, GOB
510414060107206, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML, GOB
510414060107306, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 5 ML, GOB
510414060107406, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CT FR GOT PLAS OPC X 7.5 ML, GOB
510414060107506, BIMATOPROSTA, BIMATOPROSTA, BIMATOPROSTA, 0.3 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 7.5 ML, GOB
510414030103504, BIMAGAN, BIMAGAN, NOT FOUND, 0.3 MG/ML SOL OFT CX 50 FR GOT  PLAS OPC X 2.5 ML, GOB
510414030103604, BIMAGAN, BIMAGAN, NOT FOUND, 0.3 MG/ML SOL OFT CT FR GOT  PLAS OPC X 2.5 ML , GOB
510414030103704, BIMAGAN, BIMAGAN, NOT FOUND, 0.3 MG/ML SOL OFT CT FR GOT  PLAS OPC X 3 ML, GOB
510414030103804, BIMAGAN, BIMAGAN, NOT FOUND, 0.3 MG/ML SOL OFT CX 50 FR GOT  PLAS OPC X 3 ML, GOB
510414030103904, BIMAGAN, BIMAGAN, NOT FOUND, 0.3 MG/ML SOL OFT CT FR GOT  PLAS OPC X 5 ML, GOB
510414030104004, BIMAGAN, BIMAGAN, NOT FOUND, 0.3 MG/ML SOL OFT CX 50 FR GOT  PLAS OPC X 5 ML, GOB
510414030104104, BIMAGAN, BIMAGAN, NOT FOUND, 0.3 MG/ML SOL OFT CT FR GOT  PLAS OPC X 7.5 ML, GOB
510414030104204, BIMAGAN, BIMAGAN, NOT FOUND, 0.3 MG/ML SOL OFT CX 50 FR GOT  PLAS OPC X 7.5 ML, GOB
510409103161416, BETRICORT, BETRICORT, NOT FOUND, 20MG/G + 0.64MG/G + 2.5MG/G POM DERM CX 60 BG AL X 30G (EMB HOSP), GOB
510409101167417, BETRICORT, BETRICORT, NOT FOUND, 20MG/G + 0.64MG/G + 2.5MG/G CREM DERM CT BG AL X 30G   , GOB
510409102163415, BETRICORT, BETRICORT, NOT FOUND, 20MG/G + 0.64MG/G + 2.5MG/G POM DERM CT BG AL X 30G  , GOB
510415302136416, BROMEXPEC, BROMEXPEC, NOT FOUND, 0.8 MG/ML XPE EXP INF CT FR PEAD X 100 ML + CP MED, GOB
510415304139412, BROMEXPEC, BROMEXPEC, NOT FOUND, 0.8 MG/ML XPE EXP INF CT FR VD AMB X 100 ML + CP MED, GOB
510415306131419, BROMEXPEC, BROMEXPEC, NOT FOUND, 0.8 MG/ML XPE EXP INF CX 50 FR PEAD X 100 ML + 50 CP MED (EMB HOSP), GOB
510415308134415, BROMEXPEC, BROMEXPEC, NOT FOUND, 0.8 MG/ML XPE EXP INF CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP), GOB
510415303132414, BROMEXPEC, BROMEXPEC, NOT FOUND, 0.8 MG/ML XPE EXP INF CT FR PEAD X 120 ML + CP MED, GOB
510415305135410, BROMEXPEC, BROMEXPEC, NOT FOUND, 0.8 MG/ML XPE EXP INF CT FR VD AMB X 120 ML + CP MED, GOB
510415307138417, BROMEXPEC, BROMEXPEC, NOT FOUND, 0.8 MG/ML XPE EXP INF CX 50 FR PEAD X 120 ML + 50 CP MED (EMB HOSP), GOB
510415309130413, BROMEXPEC, BROMEXPEC, NOT FOUND, 0.8 MG/ML XPE EXP INF CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), GOB
510415301131410, BROMEXPEC, BROMEXPEC, NOT FOUND, 1.6 MG/ML XPE EXP ADU CT FR PEAD X 100 ML + CP MED, GOB
510415312131417, BROMEXPEC, BROMEXPEC, NOT FOUND, 1.6 MG/ML XPE EXP ADU CT FR VD AMB X 100 ML + CP MED, GOB
510415313138415, BROMEXPEC, BROMEXPEC, NOT FOUND, 1.6 MG/ML XPE EXP ADU CX 50 FR PEAD X 100 ML + 50 CP MED (EMB HOSP), GOB
510415315130411, BROMEXPEC, BROMEXPEC, NOT FOUND, 1.6 MG/ML XPE EXP ADU CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP), GOB
510415310139410, BROMEXPEC, BROMEXPEC, NOT FOUND, 1.6 MG/ML XPE EXP ADU CT FR PEAD X 120 ML + CP MED, GOB
510415311135419, BROMEXPEC, BROMEXPEC, NOT FOUND, 1.6 MG/ML XPE EXP ADU CT FR VD AMB  X 120 ML + CP MED, GOB
510415314134413, BROMEXPEC, BROMEXPEC, NOT FOUND, 1.6 MG/ML XPE EXP ADU CX 50 FR PEAD X 120 ML + 50 CP MED (EMB HOSP), GOB
510415316137411, BROMEXPEC, BROMEXPEC, NOT FOUND, 1.6 MG/ML XPE EXP ADU CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), GOB
510409901163416, BEBEX ADE, BEBEX ADE, NOT FOUND, 150 MG/G + 5.000 UI/G + 900 UI/G POM DERM CT BG AL X 45 G, GOB
510414301136414, BEXETON, BEXETON, NOT FOUND, 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED, GOB
510414601164413, BETOGENTA, BETOGENTA, NOT FOUND, 0.5 MG/G + 1.0 MG/G CREM DERM CT BG AL X 30, GOB
510414603167411, BETOGENTA, BETOGENTA, NOT FOUND, 0.5 MG/G + 1.0 MG/G POM DERM CX 50 BG AL X 30 G (EMB HOSP), GOB
510414604163418, BETOGENTA, BETOGENTA, NOT FOUND, 0.5 MG/G + 1.0 MG/G POM DERM CT BG AL X 30, GOB
510414602160411, BETOGENTA, BETOGENTA, NOT FOUND, 0.5 MG/G + 1.0 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP), GOB
510409401160418, BEBEX N, BEBEX N, NOT FOUND, 200 MG/G + 100000 UI/G POM DERM CT BG AL X 60G, GOB
510409402167416, BEBEX N, BEBEX N, NOT FOUND, 200 MG/G + 100000 UI/G POM DERM CX 60 BG AL X 60G (EMB HOSP), GOB
510414110110203, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM CT BG AL X 90 G, GOB
510414110110303, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM CT 60 BG AL X 90 G (EMB HOSP), GOB
510414110110403, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM CT BG AL PLAS OPC X 90 G, GOB
510414110110503, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM CX 60 BG AL PLAS OPC X 90 G (EMB HOSP), GOB
510414110110603, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM CT BG AL PLAS OPC X 135 G, GOB
510415010110703, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM CX 60 BG AL PLAS OPC X 135 G (EMB HOSP), GOB
510412060074203, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM CT BG AL X 135 G  , GOB
510412060074303, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM CX 60 BG AL X 135 G (EMB HOSP), GOB
510408501161418, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREME DERMATOLOGICO CT 01 BG X 45 G, GOB
510412100077603, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM CT BG LAM 45G, GOB
510412100077703, BEBEX PREVINE, BEBEX PREVINE, NOT FOUND, 200 MG/G CREM DERM BG LAM X 60G, GOB
