510413010081203; OPTILAR; OPTILAR; NOT FOUND; 4 MG/ML SOL OFT CT FR GOT PLAS OPC X 10 ML; GOB
510414030105403; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 56; GOB
510414030105503; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 60; GOB
510414030105603; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 450 (EMB HOSP); GOB
510414030105703; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 15; GOB
510414030105803; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 30; GOB
510414030105903; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 60; GOB
510414030106003; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 450 (EMB HOSP); GOB
510401802115418; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 14; GOB
510401803111416; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 02 BL AL PLAS INC X 14; GOB
510401805114412; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 35 BL AL PLAS INC X 14; GOB
510401807117419; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 14; GOB
510401808113417; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 28; GOB
510401810118412; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 490 (EMB HOSP); GOB
510401809111418; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 56; GOB
510401806110410; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 07; GOB
510413070091606; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVC TRANS X 14; GOB
510413070091906; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVDC TRANS X 14; GOB
510413070092006; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVC TRANS X 15; GOB
510413070092106; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVDC TRANS X 15; GOB
510413070093006; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVC TRANS X 150 (EMB HOSP); GOB
510413070093106; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVDC TRANS X 150 (EMB HOSP); GOB
510413070092206; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVC TRANS X 28; GOB
510413070092306; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVDC TRANS X 28; GOB
510413070092406; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVC TRANS X 30; GOB
510413070092506; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVDC TRANS X 30; GOB
510413070093206; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVC TRANS X 450 (EMB HOSP); GOB
510413070093306; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVDC TRANS X 450 (EMB HOSP); GOB
510413070093406; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVC TRANS X 490 (EMB HOSP); GOB
510413070093506; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVDC TRANS X 490 (EMB HOSP); GOB
510413070091706; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVDC TRANS X 56; GOB
510413070092606; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVC TRANS X 56; GOB
510413070091806; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVC TRANS X 60; GOB
510413070092706; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVDC TRANS X 60; GOB
510413070092806; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVC TRANS X 98 (EMB HOSP); GOB
510413070092906; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVDC TRANS X 98 (EMB HOSP) ; GOB
510413070093606; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVC TRANS X 14; GOB
510413070093706; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVDC TRANS X 14; GOB
510413070093806; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVC TRANS X 15; GOB
510413070093906; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVDC TRANS X 15; GOB
510413070095006; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVC TRANS X 150 (EMB HOSP); GOB
510413070095106; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVDC TRANS X 150 (EMB HOSP); GOB
510413070094006; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVC TRANS X 28; GOB
510413070094106; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVDC TRANS X 28; GOB
510413070094206; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVC TRANS X 30; GOB
510413070094306; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVDC TRANS X 30; GOB
510413070095206; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVC TRANS X 450 (EMB HOSP); GOB
510413070095306; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVDC TRANS X 450 (EMB HOSP); GOB
510413070095406; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVC TRANS X 490 (EMB HOSP); GOB
510413070095506; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVDC TRANS X 490 (EMB HOSP); GOB
510413070094406; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVC TRANS X 56; GOB
510413070094506; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVDC TRANS X 56; GOB
510413070094606; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVC TRANS X 60; GOB
510413070094706; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVDC TRANS X 60; GOB
510413070094806; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVC TRANS X 98 (EMB HOSP); GOB
510413070094906; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVDC TRANS X 98 (EMB HOSP); GOB
510414010102606; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG/ML SOL CT FR GOT PLAS AMB X 15 ML; GOB
510414010102706; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG/ML SOL CT FR GOT VD AMB X 15 ML; GOB
510414010102806; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG/ML SOL CX 50 FR GOT PLAS AMB X 15 ML (EMB HOSP); GOB
510414010102906; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG/ML SOL CX 50 FR GOT VD AMB X 15 ML (EMB HOSP); GOB
510411101160414; ONCICREM A; ONCICREM A; NOT FOUND; 1.0 MG/G POM BUC CT BG AL X 10G ; GOB
510412801174416; OPTILAR; OPTILAR; NOT FOUND; 5 MG/ML SOL OFT EST CT FR BAT CONT GOT X 5 ML ; GOB
