510400701110412, FELDANAX, FELDANAX, NOT FOUND, 10 MG CAP GEL DURA CT 01 BL X 15, GOB
510405201116412, FLEXALGEX, FLEXALGEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT 25 BL X 4, GOB
510405601114417, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT 03 BL X 10, GOB
510405602110415, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT 25 BL X 04, GOB
510400803118412, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP GEL DURA CT 50 BL AL PLAS INC X 1 (EMB HOSP), GOB
510400801115416, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP. CT 01 BL X 01, GOB
510400802111414, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP. CT 01 BL X 02, GOB
510410003130415, FLUILITIC, FLUILITIC, NOT FOUND, 20 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED ( EMB. HOSP.), GOB
510410004137413, FLUILITIC, FLUILITIC, NOT FOUND, 50 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), GOB
510409303134412, FLUISOLVAN, FLUISOLVAN, NOT FOUND, 3.0 MG/ML XPE PED CX 60 FR VD AMB X 120ML + 60 CP MED (EMB. HOSP.), GOB
510412902116411, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 20, GOB
510412901111416, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 500 , GOB
510400701110412, FELDANAX, FELDANAX, NOT FOUND, 10 MG CAP GEL DURA CT 01 BL X 15, GOB
510400703113419, FELDANAX, FELDANAX, NOT FOUND, 10 MG CAP GEL DURA CT 30 BL AL PLAS INC X 15 (EMB HOSP), GOB
510400702117410, FELDANAX, FELDANAX, NOT FOUND, 20 MG CAP GEL DURA CT 01 BL X 15, GOB
510400704111411, FELDANAX, FELDANAX, NOT FOUND, 20 MG CAP GEL DURA CT 30 BL AL PLAS INC X 15 (EMB HOSP), GOB
510405201116412, FLEXALGEX, FLEXALGEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT 25 BL X 4, GOB
510405601114417, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT 03 BL X 10, GOB
510405602110415, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT 25 BL X 04, GOB
510400803118412, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP GEL DURA CT 50 BL AL PLAS INC X 1 (EMB HOSP), GOB
510400801115416, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP. CT 01 BL X 01, GOB
510400802111414, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP. CT 01 BL X 02, GOB
510410003130415, FLUILITIC, FLUILITIC, NOT FOUND, 20 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED ( EMB. HOSP.), GOB
510410004137413, FLUILITIC, FLUILITIC, NOT FOUND, 50 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), GOB
510409303134412, FLUISOLVAN, FLUISOLVAN, NOT FOUND, 3.0 MG/ML XPE PED CX 60 FR VD AMB X 120ML + 60 CP MED (EMB. HOSP.), GOB
510412902116411, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 20, GOB
510412901111416, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 500 , GOB
510400701110412, FELDANAX, FELDANAX, NOT FOUND, 10 MG CAP GEL DURA CT 01 BL X 15, GOB
510400703113419, FELDANAX, FELDANAX, NOT FOUND, 10 MG CAP GEL DURA CT 30 BL AL PLAS INC X 15 (EMB HOSP), GOB
510400702117410, FELDANAX, FELDANAX, NOT FOUND, 20 MG CAP GEL DURA CT 01 BL X 15, GOB
510400704111411, FELDANAX, FELDANAX, NOT FOUND, 20 MG CAP GEL DURA CT 30 BL AL PLAS INC X 15 (EMB HOSP), GOB
510405201116412, FLEXALGEX, FLEXALGEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT 25 BL X 4, GOB
510405601114417, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT 03 BL X 10, GOB
510405602110415, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT 25 BL X 04, GOB
510400803118412, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP GEL DURA CT 50 BL AL PLAS INC X 1 (EMB HOSP), GOB
510400801115416, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP. CT 01 BL X 01, GOB
510400802111414, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP. CT 01 BL X 02, GOB
510410003130415, FLUILITIC, FLUILITIC, NOT FOUND, 20 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED ( EMB. HOSP.), GOB
510410004137413, FLUILITIC, FLUILITIC, NOT FOUND, 50 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), GOB
510409303134412, FLUISOLVAN, FLUISOLVAN, NOT FOUND, 3.0 MG/ML XPE PED CX 60 FR VD AMB X 120ML + 60 CP MED (EMB. HOSP.), GOB
510412902116411, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 20, GOB
510412901111416, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 500 , GOB
510400701110412, FELDANAX, FELDANAX, NOT FOUND, 10 MG CAP GEL DURA CT 01 BL X 15, GOB
510400703113419, FELDANAX, FELDANAX, NOT FOUND, 10 MG CAP GEL DURA CT 30 BL AL PLAS INC X 15 (EMB HOSP), GOB
510400702117410, FELDANAX, FELDANAX, NOT FOUND, 20 MG CAP GEL DURA CT 01 BL X 15, GOB
510400704111411, FELDANAX, FELDANAX, NOT FOUND, 20 MG CAP GEL DURA CT 30 BL AL PLAS INC X 15 (EMB HOSP), GOB
510405201116412, FLEXALGEX, FLEXALGEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT 25 BL X 4, GOB
510405601114417, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT 03 BL X 10, GOB
510405602110415, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT 25 BL X 04, GOB
510400803118412, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP GEL DURA CT 50 BL AL PLAS INC X 1 (EMB HOSP), GOB
510400801115416, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP. CT 01 BL X 01, GOB
510400802111414, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP. CT 01 BL X 02, GOB
510410003130415, FLUILITIC, FLUILITIC, NOT FOUND, 20 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED ( EMB. HOSP.), GOB
510410004137413, FLUILITIC, FLUILITIC, NOT FOUND, 50 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), GOB
510409303134412, FLUISOLVAN, FLUISOLVAN, NOT FOUND, 3.0 MG/ML XPE PED CX 60 FR VD AMB X 120ML + 60 CP MED (EMB. HOSP.), GOB
510412902116411, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 20, GOB
510412901111416, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 500 , GOB
510400702117410, FELDANAX, FELDANAX, NOT FOUND, 20 MG CAP GEL DURA CT 01 BL X 15, GOB
510400704111411, FELDANAX, FELDANAX, NOT FOUND, 20 MG CAP GEL DURA CT 30 BL AL PLAS INC X 15 (EMB HOSP), GOB
510405201116412, FLEXALGEX, FLEXALGEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT 25 BL X 4, GOB
510405601114417, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT 03 BL X 10, GOB
510405602110415, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT 25 BL X 04, GOB
510400803118412, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP GEL DURA CT 50 BL AL PLAS INC X 1 (EMB HOSP), GOB
510400801115416, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP. CT 01 BL X 01, GOB
510400802111414, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP. CT 01 BL X 02, GOB
510410003130415, FLUILITIC, FLUILITIC, NOT FOUND, 20 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED ( EMB. HOSP.), GOB
510410004137413, FLUILITIC, FLUILITIC, NOT FOUND, 50 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), GOB
510409303134412, FLUISOLVAN, FLUISOLVAN, NOT FOUND, 3.0 MG/ML XPE PED CX 60 FR VD AMB X 120ML + 60 CP MED (EMB. HOSP.), GOB
510412902116411, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 20, GOB
510412901111416, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 500 , GOB
510412902116411, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 20, GOB
510412901111416, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 500 , GOB
510405201116412, FLEXALGEX, FLEXALGEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 100, GOB
510400803118412, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP GEL DURA CT 50 BL AL PLAS INC X 1 (EMB HOSP), GOB
510400802111414, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 2, GOB
510405601114417, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 30, GOB
510405602110415, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 100  , GOB
510400801115416, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 1 , GOB
510400702117410, FELDANAX, FELDANAX, NOT FOUND, 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 15, GOB
510400704111411, FELDANAX, FELDANAX, NOT FOUND, 20 MG CAP GEL DURA CT 30 BL AL PLAS INC X 15 (EMB HOSP), GOB
510415002175114, FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA, FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA, NOT FOUND, 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML, GOB
510415001179116, FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA, FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA, NOT FOUND, 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 5 ML, GOB
510415003171112, FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA, FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA, NOT FOUND, 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510415004178110, FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA, FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA, NOT FOUND, 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510415005174119, FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA, FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA, NOT FOUND, 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510415006170117, FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA, FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA, NOT FOUND, 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510412902116411, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 20, GOB
510412901111416, FOLONIN, FOLONIN, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 500 , GOB
510405201116412, FLEXALGEX, FLEXALGEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 100, GOB
510400803118412, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP GEL DURA CT 50 BL AL PLAS INC X 1 (EMB HOSP), GOB
510400802111414, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 2, GOB
510405601114417, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 30, GOB
510405602110415, FLEXALGIN, FLEXALGIN, NOT FOUND, 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 100  , GOB
510400801115416, FLUCANIL, FLUCANIL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 1 , GOB
510400702117410, FELDANAX, FELDANAX, NOT FOUND, 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 15, GOB
510400704111411, FELDANAX, FELDANAX, NOT FOUND, 20 MG CAP GEL DURA CT 30 BL AL PLAS INC X 15 (EMB HOSP), GOB
510415002175114, FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA, FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA, NOT FOUND, 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML, GOB
510415001179116, FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA, FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA, NOT FOUND, 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 5 ML, GOB
510415003171112, FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA, FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA, NOT FOUND, 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510415004178110, FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA, FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA, NOT FOUND, 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510415005174119, FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA, FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA, NOT FOUND, 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510415006170117, FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA, FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA, NOT FOUND, 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
