510402706111413, TALURON, TALURON, NOT FOUND, 12.5 MG COM CT 02 BL AL PLAS INC X 14, GOB
510412206179113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510412207175111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510412209178118, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510412214171118, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510412215178116, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510412201177112, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML , GOB
510412204176117, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, GOB
510412208171111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510412210176115, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 5ML (EMB HOSP), GOB
510412211172113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 10ML (EMB HOSP), GOB
510412212179111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510412213175111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 10ML (EMB HOSP), GOB
510412216174114, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5ML (EMB HOSP), GOB
510402801112413, TELOL, TELOL, NOT FOUND, 100 MG COM CT 2 BL X 14, GOB
510402806114414, TELOL, TELOL, NOT FOUND, 100 MG COM CT 30 BL AL PLAS INC X 14 (EMB HOSP), GOB
510402802119411, TELOL, TELOL, NOT FOUND, 25 MG COM CT 2 BL X 14, GOB
510402807110412, TELOL, TELOL, NOT FOUND, 25 MG COM CT 3 BL AL PLAS INC X 10, GOB
510402804111418, TELOL, TELOL, NOT FOUND, 25 MG COM CT 30 BL AL PLAS INC X 14 (EMB HOSP), GOB
510402803115411, TELOL, TELOL, NOT FOUND, 50 MG COM CT 2 BL X 14, GOB
510402805118416, TELOL, TELOL, NOT FOUND, 50 MG COM CT 30 BL AL PLAS INC X 14 (EMB HOSP), GOB
510410901163118, TINIDAZOL + NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC, GOB
510409601161418, TININ, TININ, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG AL X 35 G + 7 APLIC DESC, GOB
510409602166413, TININ, TININ, NOT FOUND, 20 MG/G + 30MG/G CREM VAG CT 60 BG AL X 35 G + 420 APLIC DESC (EMB HOSP), GOB
510409501165111, TIOCONAZOL + TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, 20 MG/ G + 30 MG/ G CREM VAG CT BG AL X 35 G + 07 APLIC, GOB
510409502161118, TIOCONAZOL + TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CX 60 BG AL X 35 G + 420 APLIC (EMB HOSP), GOB
510402902113415, TITENIL, TITENIL, NOT FOUND, 20 MG COM REV CT 50 BL AL PLAS INC X 10 (EMBA HOSP), GOB
510402901117417, TITENIL, TITENIL, NOT FOUND, 20 MG COMP. CT 01 BL X 10, GOB
510403002116416, TRAXONOL, TRAXONOL, NOT FOUND, 100 MG CAP GEL DURA C/ 15 BL AL PLAS, GOB
510403001111410, TRAXONOL, TRAXONOL, NOT FOUND, 100 MG CAP. CT 01 BL X 04, GOB
510404804161411, TRINODAZOL, TRINODAZOL, NOT FOUND, 100 MG/G GELEIA CT 60 BG AL X 50 G (EMB. HOSP.), GOB
510404802175415, TRINODAZOL, TRINODAZOL, NOT FOUND, 100MG-G GELEIA CT CT BG X 50 G, GOB
510404801111413, TRINODAZOL, TRINODAZOL, NOT FOUND, 250 MG COM CT 2 BL AL PVC X 10, GOB
510404803112417, TRINODAZOL, TRINODAZOL, NOT FOUND, 250 MG COM REV CT 50 BL AL PVC X 10 (EMBA HOSP), GOB
510410301166418, TRINODAZOL NISTATINA, TRINODAZOL NISTATINA, NOT FOUND, 100 MG/G + 20000 UI/G CREM VAG CT BG AL X 50 G + 10 APLIC DESC, GOB
510410801169416, TROZIX, TROZIX, NOT FOUND, 10 MG/G CREM DERM CT BG AL X 30 G, GOB
510403113139414, TYLALGIN, TYLALGIN, NOT FOUND, 100 MG/G PO PREP EXT CT 10 SACH AL PE X 5 G, GOB
510403112132416, TYLALGIN, TYLALGIN, NOT FOUND, 100 MG/G PO PREP EXT CT 100 SACH AL PE X 5 G (EMB MULT) , GOB
510403111136418, TYLALGIN, TYLALGIN, NOT FOUND, 100 MG/G PO PREP EXT CT 2 SACH AL PE X 5 G, GOB
510403110131412, TYLALGIN, TYLALGIN, NOT FOUND, 100 MG/G PO PREP EXT CT 50 SACH AL PE X 5 G (EMB MULT) , GOB
510403108135414, TYLALGIN, TYLALGIN, NOT FOUND, 160 MG / 5 ML SUS OR CT 60 FR PET INC X 60 ML + COPOMEDIDA (EMB HOSP) , GOB
510403109131412, TYLALGIN, TYLALGIN, NOT FOUND, 200 MG/ML SOL OR CT 60 FR PLAS OPC X 15 ML (EMB HOSP), GOB
510402706111413, TALURON, TALURON, NOT FOUND, 12.5 MG COM CT 02 BL AL PLAS INC X 14, GOB
510402703110416, TALURON, TALURON, NOT FOUND, 12.5 MG COM CT 3 BL AL PLAS INC X 14, GOB
510402707116311, TALURON, TALURON, NOT FOUND, 12.5 MG COM CT 35 BL AL PLAS INC X 14, GOB
510402704117414, TALURON, TALURON, NOT FOUND, 25 MG COM CT 3 BL AL PLAS INC X 14, GOB
510402708112417, TALURON, TALURON, NOT FOUND, 25 MG COM CT 35 BL AL PLAS INC X 14, GOB
510402701118411, TALURON, TALURON, NOT FOUND, 25 MG COMP. CT. 2 X 14, GOB
510402705113412, TALURON, TALURON, NOT FOUND, 50 MG COM CT 3 BL AL PLAS INC X 14, GOB
510402709119415, TALURON, TALURON, NOT FOUND, 50 MG COM CT 35 BL AL PLAS INC X 14, GOB
510412202173110, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML , GOB
510412203171111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , GOB
510412205172115, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510412206179113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510412207175111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510412209178118, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510412214171118, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510412215178116, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510412201177112, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML , GOB
510412204176117, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, GOB
510412208171111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510412210176115, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 5ML (EMB HOSP), GOB
510412211172113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 10ML (EMB HOSP), GOB
510412212179111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510412213175111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 10ML (EMB HOSP), GOB
510412216174114, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5ML (EMB HOSP), GOB
510402801112413, TELOL, TELOL, NOT FOUND, 100 MG COM CT 2 BL X 14, GOB
510402806114414, TELOL, TELOL, NOT FOUND, 100 MG COM CT 30 BL AL PLAS INC X 14 (EMB HOSP), GOB
510402802119411, TELOL, TELOL, NOT FOUND, 25 MG COM CT 2 BL X 14, GOB
510402807110412, TELOL, TELOL, NOT FOUND, 25 MG COM CT 3 BL AL PLAS INC X 10, GOB
510402804111418, TELOL, TELOL, NOT FOUND, 25 MG COM CT 30 BL AL PLAS INC X 14 (EMB HOSP), GOB
510402803115411, TELOL, TELOL, NOT FOUND, 50 MG COM CT 2 BL X 14, GOB
510402805118416, TELOL, TELOL, NOT FOUND, 50 MG COM CT 30 BL AL PLAS INC X 14 (EMB HOSP), GOB
510410901163118, TINIDAZOL + NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC, GOB
510409601161418, TININ, TININ, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG AL X 35 G + 7 APLIC DESC, GOB
510409602166413, TININ, TININ, NOT FOUND, 20 MG/G + 30MG/G CREM VAG CT 60 BG AL X 35 G + 420 APLIC DESC (EMB HOSP), GOB
510409501165111, TIOCONAZOL + TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, 20 MG/ G + 30 MG/ G CREM VAG CT BG AL X 35 G + 07 APLIC, GOB
510409502161118, TIOCONAZOL + TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CX 60 BG AL X 35 G + 420 APLIC (EMB HOSP), GOB
510402902113415, TITENIL, TITENIL, NOT FOUND, 20 MG COM REV CT 50 BL AL PLAS INC X 10 (EMBA HOSP), GOB
510402901117417, TITENIL, TITENIL, NOT FOUND, 20 MG COMP. CT 01 BL X 10, GOB
510403002116416, TRAXONOL, TRAXONOL, NOT FOUND, 100 MG CAP GEL DURA C/ 15 BL AL PLAS, GOB
510403001111410, TRAXONOL, TRAXONOL, NOT FOUND, 100 MG CAP. CT 01 BL X 04, GOB
510404804161411, TRINODAZOL, TRINODAZOL, NOT FOUND, 100 MG/G GELEIA CT 60 BG AL X 50 G (EMB. HOSP.), GOB
510404802175415, TRINODAZOL, TRINODAZOL, NOT FOUND, 100MG-G GELEIA CT CT BG X 50 G, GOB
510404801111413, TRINODAZOL, TRINODAZOL, NOT FOUND, 250 MG COM CT 2 BL AL PVC X 10, GOB
510404803112417, TRINODAZOL, TRINODAZOL, NOT FOUND, 250 MG COM REV CT 50 BL AL PVC X 10 (EMBA HOSP), GOB
510410301166418, TRINODAZOL NISTATINA, TRINODAZOL NISTATINA, NOT FOUND, 100 MG/G + 20000 UI/G CREM VAG CT BG AL X 50 G + 10 APLIC DESC, GOB
510410801169416, TROZIX, TROZIX, NOT FOUND, 10 MG/G CREM DERM CT BG AL X 30 G, GOB
510403113139414, TYLALGIN, TYLALGIN, NOT FOUND, 100 MG/G PO PREP EXT CT 10 SACH AL PE X 5 G, GOB
510403112132416, TYLALGIN, TYLALGIN, NOT FOUND, 100 MG/G PO PREP EXT CT 100 SACH AL PE X 5 G (EMB MULT) , GOB
510403111136418, TYLALGIN, TYLALGIN, NOT FOUND, 100 MG/G PO PREP EXT CT 2 SACH AL PE X 5 G, GOB
510403110131412, TYLALGIN, TYLALGIN, NOT FOUND, 100 MG/G PO PREP EXT CT 50 SACH AL PE X 5 G (EMB MULT) , GOB
510403108135414, TYLALGIN, TYLALGIN, NOT FOUND, 160 MG / 5 ML SUS OR CT 60 FR PET INC X 60 ML + COPOMEDIDA (EMB HOSP) , GOB
510403109131412, TYLALGIN, TYLALGIN, NOT FOUND, 200 MG/ML SOL OR CT 60 FR PLAS OPC X 15 ML (EMB HOSP), GOB
510402706111413, TALURON, TALURON, NOT FOUND, 12.5 MG COM CT 02 BL AL PLAS INC X 14, GOB
510402703110416, TALURON, TALURON, NOT FOUND, 12.5 MG COM CT 3 BL AL PLAS INC X 14, GOB
510402707116311, TALURON, TALURON, NOT FOUND, 12.5 MG COM CT 35 BL AL PLAS INC X 14, GOB
510402704117414, TALURON, TALURON, NOT FOUND, 25 MG COM CT 3 BL AL PLAS INC X 14, GOB
510402708112417, TALURON, TALURON, NOT FOUND, 25 MG COM CT 35 BL AL PLAS INC X 14, GOB
510402701118411, TALURON, TALURON, NOT FOUND, 25 MG COMP. CT. 2 X 14, GOB
510402705113412, TALURON, TALURON, NOT FOUND, 50 MG COM CT 3 BL AL PLAS INC X 14, GOB
510402709119415, TALURON, TALURON, NOT FOUND, 50 MG COM CT 35 BL AL PLAS INC X 14, GOB
510412202173110, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML , GOB
510412203171111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , GOB
510412205172115, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510412206179113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510412207175111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510412209178118, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510412214171118, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510412215178116, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 1.5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510412201177112, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML , GOB
510412204176117, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML, GOB
510412208171111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP), GOB
510412210176115, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 5ML (EMB HOSP), GOB
510412211172113, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 10ML (EMB HOSP), GOB
510412212179111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 25 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510412213175111, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 10ML (EMB HOSP), GOB
510412216174114, TARTARATO DE BRIMONIDINA, TARTARATO BRIMONIDINA, NOT FOUND, 2.0 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5ML (EMB HOSP), GOB
510402801112413, TELOL, TELOL, NOT FOUND, 100 MG COM CT 2 BL X 14, GOB
510402806114414, TELOL, TELOL, NOT FOUND, 100 MG COM CT 30 BL AL PLAS INC X 14 (EMB HOSP), GOB
510402802119411, TELOL, TELOL, NOT FOUND, 25 MG COM CT 2 BL X 14, GOB
510402807110412, TELOL, TELOL, NOT FOUND, 25 MG COM CT 3 BL AL PLAS INC X 10, GOB
