510411501134119; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
510412110080104; MAXIVIEW; MAXIVIEW; NOT FOUND; 1.0 MG/ML + 3.5 MG/ML + 6.000 UI/ML SUS OFT CT FR PLAS OPC GOT X 5 ML; GOB
510412110080204; MAXIVIEW; MAXIVIEW; NOT FOUND; 1.0 MG/ML + 3.5 MG/ML + 6.000 UI/ML SUS OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
510406401135117; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; GOB
510406402131115; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP); GOB
510406403138113; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR PEAD X 120 ML + CP MED; GOB
510406404134111; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP); GOB
510405802111415; MENBEL; MENBEL; NOT FOUND; 100 MG COM CT 50 BL AL PLAS INC X 06 (EMB. HOSP); GOB
510405801113414; MENBEL; MENBEL; NOT FOUND; 100 MG COM CT 1 BL AL PLAS INC X 06 ; GOB
510405803132416; MENBEL; MENBEL; NOT FOUND; 20 MG/ML SUSP OR CT FR VD AMB X 30 ML; GOB
510405805135412; MENBEL; MENBEL; NOT FOUND; 20 MG/ML SUSP OR CT 60 FR PEAD X 30 ML + 60 CP MED (EMB HOSP); GOB
510405806131410; MENBEL; MENBEL; NOT FOUND; 20 MG/ML SUSP OR CT FR PEAD X 30 ML; GOB
510407801137115; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED; GOB
510407803131114; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR PEAD X 30 ML + CP MED; GOB
510407804136111; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 60 FR PEAD X 30 ML + 60 CP MED (EMB HOSP); GOB
510405807111413; MENBEL; MENBEL; NOT FOUND; 500 MG COM CT BL AL PLAS INC; GOB
510414030104806; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 500 MG COM CT BL AL PLAS INC X 01 ; GOB
510405808118411; MENBEL; MENBEL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); GOB
510414030105006; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 500 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); GOB
510405809114411; MENBEL; MENBEL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); GOB
510414030104906; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 500 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); GOB
510405810112417; MENBEL; MENBEL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); GOB
510414030105106; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); GOB
510407101161110; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/ G GEL VAG CT BG AL X 50 G + 10 APLIC ; GOB
510409701164117; METRONIDAZOL + NISTATINA; METRONIDAZOL NISTATINA; NOT FOUND; 100 MG/G + 20.000 UI/G CREM VAG CT BG AL X 50 G + 10 APLIC; GOB
510407001165416; MIZONOL; MIZONOL; NOT FOUND; 20MG/G CR DERM CT 01 BG X 28 G; GOB
