510408701160415, CETADEX, CETADEX, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 10 G , GOB
510407701167411, CONACORT, CONACORT, NOT FOUND, 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G, GOB
510407702163411, CONACORT, CONACORT, NOT FOUND, 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G , GOB
510409801169110, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G , GOB
510409802165119, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.64 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G , GOB
510400501111415, CIVERTIM, CIVERTIM, NOT FOUND, 25 MG COM CT 2 BL AL PLAS INC X 15 , GOB
510400503114411, CIVERTIM, CIVERTIM, NOT FOUND, 25 MG COM CT 30 BL AL PLAS INC X 15 (EMB HOSP), GOB
510400502118413, CIVERTIM, CIVERTIM, NOT FOUND, 75 MG COM CT 2 BL AL PLAS INC X 15 , GOB
510400504110411, CIVERTIM, CIVERTIM, NOT FOUND, 75 MG COM CT 30 BL AL PLAS INC X 15 (EMB HOSP), GOB
510414080108606, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM REV CT BL AL PLAS TRANS X 1 , GOB
510414080108706, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM REV CT BL AL PLAS TRANS X 2, GOB
510414080108806, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM REV CT BL AL PLAS TRANS X 4, GOB
510414080108906, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM REV CT BL AL PLAS TRANS X 8, GOB
510414080109006, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM REV CT BL AL PLAS TRANS X 100, GOB
510414080109106, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM REV CT BL AL PLAS TRANS X 500, GOB
510414080109206, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS TRANS X 1 , GOB
510414080109306, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS TRANS X 2, GOB
510414080109406, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS TRANS X 4, GOB
510414080109506, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS TRANS X 8, GOB
510414080109606, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS TRANS X 100, GOB
510414080109706, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS TRANS X 500, GOB
510414080109806, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 100 MG COM REV CT BL AL PLAS TRANS X 1, GOB
510414080109906, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 100 MG COM REV CT BL AL PLAS TRANS X 2, GOB
510414080110006, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 100 MG COM REV CT BL AL PLAS TRANS X 4, GOB
510414080110106, CITRATO DE SILDENAFILA, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 100 MG COM REV CT BL AL PLAS TRANS X 8, GOB
510415701138110, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2.5 MG/ML SOL OR CX 50 FR VD AMB GOT X 20 ML (EMB HOSP), GOB
510415702134119, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2.5 MG/ML SOL OR CT FR PET AMB GOT X 20 ML, GOB
510415703130117, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2.5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, GOB
510415704137115, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2.5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML, GOB
510415705133113, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2.5 MG/ML SOL OR CX 50 FR PET AMB GOT X 20 ML (EMB HOSP), GOB
510415706131114, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2.5 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 20 ML (EMB HOSP), GOB
510407601138118, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3.0 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510407605133110, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3.0 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP), GOB
510407606131111, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3.0 MG/ML XPE CT FR PEAD X 120 ML + CP MED, GOB
510407602134116, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6.0 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510407607136117, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6.0 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP), GOB
510407608132115, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6.0 MG/ML XPE CT FR PEAD X 120 ML + CP MED, GOB
510414802178111, CLORIDRATO DE BETAXOLOL, CLORIDRATO BETAXOLOL, CLORIDRATO BETAXOLOL, 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, GOB
510414801171111, CLORIDRATO DE BETAXOLOL, CLORIDRATO BETAXOLOL, CLORIDRATO BETAXOLOL, 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP), GOB
510415502135111, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 0.8 MG/ML XPE CT FR PLAS X 100 ML + CP MED, GOB
510415504138118, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 0.8 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, GOB
510415506130114, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 0.8 MG/ML XPE CX 50 FR PLAS X 100 ML + 50 CP MED (EMB HOSP), GOB
510415509131111, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 0.8 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP), GOB
510415503131111, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 0.8 MG/ML XPE CT FR PLAS X 120 ML + CP MED, GOB
510415505134116, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 0.8 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510415507137112, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 0.8 MG/ML XPE CX 50 FR PLAS X 120 ML + 50 CP MED (EMB HOSP), GOB
510415508133110, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 0.8 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), GOB
510415501139113, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 1.6 MG/ML XPE CT FR PLAS X 100 ML + CP MED, GOB
510415512130112, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 1.6 MG/ML XPE CX 50 FR PLAS X 100 ML + 50 CP MED (EMB HOSP), GOB
510415513137110, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 1.6 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, GOB
510415516136115, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 1.6 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP), GOB
510415510138116, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 1.6 MG/ML XPE CT FR PLAS X 120 ML + CP MED, GOB
510415511134114, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 1.6 MG/ML XPE CX 50 FR PLAS X 120 ML + 50 CP MED (EMB HOSP), GOB
510415514133119, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 1.6 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP), GOB
510415515131111, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 1.6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510412302119118, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 14, GOB
510412303115116, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 300 (EMB HOSP), GOB
510400404116416, CIPRIX, CIPRIX, NOT FOUND, 500 MG COM REV CT 50 BL AL PLAS INC X 06 (EMB.HOSP), GOB
510400402113411, CIPRIX, CIPRIX, NOT FOUND, 500 MG COM REV CT 02 BL AL PLAS INC X 07, GOB
510414502174410, CIPRIXIN DEXA, CIPRIXIN DEXA, NOT FOUND, 3.5 MG/ML + 1 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML, GOB
510414501178412, CIPRIXIN DEXA, CIPRIXIN DEXA, NOT FOUND, 3.5 MG/ML + 1 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 5 ML (EMB HOSP), GOB
510413801178118, CLORIDRATO DE CIPROFLOXACINO + DEXAMETASONA, CLORIDRATO CIPROFLOXACINO DEXAMETASONA, NOT FOUND, 3.5 MG/ML + 1 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 5 ML (EMB HOSP), GOB
510413802174116, CLORIDRATO DE CIPROFLOXACINO + DEXAMETASONA, CLORIDRATO CIPROFLOXACINO DEXAMETASONA, NOT FOUND, 3.5 MG/ML + 1 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML, GOB
510413020081806, CLORIDRATO DE NAFAZOLINA+MALEATO DE FENIRAMINA, CLORIDRATO NAFAZOLINA MALEATO FENIRAMINA, NOT FOUND, 0.25 MG/ML +3 MG/ML SOL OFT CT FR GOT PLAS TRANS X 10 ML , GOB
510413020081906, CLORIDRATO DE NAFAZOLINA+MALEATO DE FENIRAMINA, CLORIDRATO NAFAZOLINA MALEATO FENIRAMINA, NOT FOUND, 0.25 MG/ML +3 MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 10 ML (EMB HOSP), GOB
510413020082006, CLORIDRATO DE NAFAZOLINA+MALEATO DE FENIRAMINA, CLORIDRATO NAFAZOLINA MALEATO FENIRAMINA, NOT FOUND, 0.25 MG/ML +3 MG/ML SOL OFT CT FR GOT PLAS TRANS X 15 ML, GOB
510413020082106, CLORIDRATO DE NAFAZOLINA+MALEATO DE FENIRAMINA, CLORIDRATO NAFAZOLINA MALEATO FENIRAMINA, NOT FOUND, 0.25 MG/ML +3 MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 15 ML (EMB HOSP), GOB
510415901171413, COLÍRIO GEOLAB, COLIRIO GEOLAB, NOT FOUND, 0.15 MG + 0.3 MG SOL OFT CT FR PLAS TRANS GOT X 20 ML, GOB
510415902176419, COLÍRIO GEOLAB, COLIRIO GEOLAB, NOT FOUND, 0.15 MG + 0.3 MG SOL OFT CX 100 FR PLAS TRANS GOT X 20 ML (EMB HOSP), GOB
510415903172417, COLÍRIO GEOLAB, COLIRIO GEOLAB, NOT FOUND, 0.15 MG + 0.3 MG SOL OFT CX 50 FR PLAS TRANS GOT X 20 ML (EMB HOSP), GOB
510412100078606, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 15 MG/ML XPE CT FR PLAS AMB X 120 ML + SER DOS, GOB
510412100078706, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 15 MG/ML XPE CX 25 FR PLAS AMB X 120 ML + 25 SER DOS (EMB HOSP) , GOB
510412100078806, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 15 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 SER DOS (EMB HOSP) , GOB
510412100078906, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 15 MG/ML XPE CX 60 FR PLAS AMB X 120 ML + 60 SER DOS (EMB HOSP) , GOB
510412601132116, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 15 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED , GOB
510412040070906, CLORIDRATO DE TANSULOSINA, CLORIDRATO TANSULOSINA, CLORIDRATO TANSULOSINA, 0.4 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP), GOB
510413050084306, CLORIDRATO DE TANSULOSINA, CLORIDRATO TANSULOSINA, CLORIDRATO TANSULOSINA, 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS TRANS X 120 (EMB HOSP) , GOB
510412040070706, CLORIDRATO DE TANSULOSINA, CLORIDRATO TANSULOSINA, CLORIDRATO TANSULOSINA, 0.4 MG CAP GEL DURA BL AL PLAS INC X 20 , GOB
510412040070806, CLORIDRATO DE TANSULOSINA, CLORIDRATO TANSULOSINA, CLORIDRATO TANSULOSINA, 0.4 MG CAP GEL DURA BL AL PLAS INC X 30 , GOB
510413050084406, CLORIDRATO DE TANSULOSINA, CLORIDRATO TANSULOSINA, CLORIDRATO TANSULOSINA, 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS TRANS X 450 (EMB HOSP) , GOB
510412040071006, CLORIDRATO DE TANSULOSINA, CLORIDRATO TANSULOSINA, CLORIDRATO TANSULOSINA, 0.4 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP), GOB
510413050084206, CLORIDRATO DE TANSULOSINA, CLORIDRATO TANSULOSINA, CLORIDRATO TANSULOSINA, 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS TRANS X 60, GOB
510405301110416, CIXIN, CIXIN, NOT FOUND, 0.5 MG COM CT BL AL PLAS INC X 20 , GOB
510413070086506, COLCHICINA, COLCHICINA, COLCHICINA, 0.5 MG COM CT BL AL PLAS AMB X 20, GOB
510413070086606, COLCHICINA, COLCHICINA, COLCHICINA, 0.5 MG COM CT BL AL PLAS AMB X 30 , GOB
510413070086806, COLCHICINA, COLCHICINA, COLCHICINA, 0.5 MG COM CT BL AL PLAS AMB X 420 (EMB HOSP), GOB
510413070086706, COLCHICINA, COLCHICINA, COLCHICINA, 0.5 MG COM CT BL AL PLAS AMB X 60, GOB
510413060085704, CODYLEX, CODYLEX, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS TRANS X 12, GOB
510413060085804, CODYLEX, CODYLEX, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS TRANS X 24, GOB
510413060086004, CODYLEX, CODYLEX, NOT FOUND, 500 MG + 30 MG COM CX BL AL PLAS TRANS X 480 (EMB HOSP), GOB
510413060085904, CODYLEX, CODYLEX, NOT FOUND, 500 MG + 30 MG COM CX BL AL PLAS TRANS X 96 (EMB HOSP), GOB
510413060085304, CODYLEX, CODYLEX, NOT FOUND, 500 MG + 7.5 MG COM CT BL AL PLAS TRANS X 12, GOB
510413060085404, CODYLEX, CODYLEX, NOT FOUND, 500 MG + 7.5 MG COM CT BL AL PLAS TRANS X 24, GOB
510413060085604, CODYLEX, CODYLEX, NOT FOUND, 500 MG + 7.5 MG COM CX BL AL PLAS TRANS X 480 (EMB HOSP), GOB
510413060085504, CODYLEX, CODYLEX, NOT FOUND, 500 MG + 7.5 MG COM CX BL AL PLAS TRANS X 96 (EMB HOSP), GOB
510415105136111, CLORIDRATO DE HIDROXIZINA, CLORIDRATO HIDROXIZINA, NOT FOUND, 2 MG/ML SOL OR CX 50 FR PEAD X 100 ML (EMB HOSP), GOB
510415106132111, CLORIDRATO DE HIDROXIZINA, CLORIDRATO HIDROXIZINA, NOT FOUND, 2 MG/ML SOL OR CT FR PEAD X 100 ML, GOB
510415101130119, CLORIDRATO DE HIDROXIZINA, CLORIDRATO HIDROXIZINA, NOT FOUND, 2 MG/ML SOL OR CT FR PET AMB X 120 ML, GOB
510415102137117, CLORIDRATO DE HIDROXIZINA, CLORIDRATO HIDROXIZINA, NOT FOUND, 2 MG/ML SOL OR CX 50 FR PET AMB X 120 ML (EMB HOSP), GOB
510415103133115, CLORIDRATO DE HIDROXIZINA, CLORIDRATO HIDROXIZINA, NOT FOUND, 2 MG/ML SOL OR CX 50 FR PEAD X 120ML (EMB HOSP), GOB
510415104131116, CLORIDRATO DE HIDROXIZINA, CLORIDRATO HIDROXIZINA, NOT FOUND, 2 MG/ML SOL OR CT FR PEAD X 120 ML, GOB
510412501170113, CETOROLACO TROMETAMOL, CETOROLACO TROMETAMOL, NOT FOUND, 5 MG/ML SOL OFT CT FR PLAS INC GOT X 5 ML, GOB
