504414050051218; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; BU_
504414010046518; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC + 50 AMP DIL VD X 5 ML; BU_
504414010046618; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CT FA VD INC + AMP DIL PLAS X 5 ML; BU_
504414010046718; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML; BU_
504414010042308; CLAFORDIL; CLAFORDIL; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL PLAS X 5 ML ; BU_
504414010042408; CLAFORDIL; CLAFORDIL; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; BU_
504414010042508; CLAFORDIL; CLAFORDIL; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC; BU_
504414010042608; CLAFORDIL; CLAFORDIL; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC; BU_
504414010042708; CLAFORDIL; CLAFORDIL; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL VD X 5 ML; BU_
504414010050606; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1000 MG PO SOL INJ CT 1 FA VD INC ; BU_
504414010050706; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1000 MG PO SOL INJ CX 20 FA VD INC (EMB HOSP); BU_
504414010050806; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1000 MG PO SOL INJ CX 50 FA VD INC (EMB HOSP); BU_
504414010050906; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1000 MG PO SOL INJ CX 100 FA VD INC (EMB HOSP); BU_
504414010051006; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1000 MG PO SOL INJ CX 25 FA VD INC (EMB FRAC); BU_
504414010051106; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1000 MG PO SOL INJ CX 40 FA VD INC (EMB FRAC); BU_
504414010041918; CEFTON; CEFTON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC (EMB HOSP); BU_
504414010042008; CEFTON; CEFTON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 2 ML (IM); BU_
504414010042118; CEFTON; CEFTON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC (EMB HOSP); BU_
504414010044818; CEFTAZIDON; CEFTAZIDON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC  ; BU_
504414010044918; CEFTAZIDON; CEFTAZIDON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + DIL X 10 ML ; BU_
504414010045018; CEFTAZIDON; CEFTAZIDON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + AMP DIL PLAS X 10 ML ; BU_
504414010045118; CEFTAZIDON; CEFTAZIDON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC (EMB HOSP); BU_
504414010041818; CINTON; CINTON; NOT FOUND; 150 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); BU_
504414010046218; CIFLOXTRON; CIFLOXTRON; NOT FOUND; 2 MG/ML SOL INJ CT FR PLAS TRANS SIST FECH X 100 ML (EMB HOSP); BU_
504401502151416; C-PLATIN; C PLATIN; NOT FOUND; 0.5 MG/ML SOL INJ CT FA VD AMB X 100 ML; BU_
504401501153415; C-PLATIN; C PLATIN; NOT FOUND; 0.5 MG/ML SOL INJ CT FA VD AMB X 20 ML; BU_
504401503156411; C-PLATIN; C PLATIN; NOT FOUND; 1 MG/ML SOL INJ CT FA VD AMB X 100 ML ; BU_
504401504152411; C-PLATIN; C PLATIN; NOT FOUND; 1 MG/ML SOL INJ CT FA VD AMB X 50 ML; BU_
504401401159411; CITARAX; CITARAX; NOT FOUND; 100MG/ML SOL. INJ. - CRT C/10 AMP DE 5ML; BU_
504401404158416; CITARAX; CITARAX; NOT FOUND; 20 MG/ML SOL INJ CT 10 FA VD INC X 5 ML; BU_
504401402155411; CITARAX; CITARAX; NOT FOUND; 500MG/ML SOL. INJ. - CRT C/10 AMP DE 10ML; BU_
504401403151418; CITARAX; CITARAX; NOT FOUND; 50 MG/ML SOL INJ CT 10 FA VD INC X 10 ML; BU_
504413060035106; CLORIDRATO DE GENCITABINA; CLORIDRATO GENCITABINA; CLORIDRATO GENCITABINA; 1000 MG PO LIOF SOL INJ IV CT FA VD INC X 50 ML; BU_
504413060035006; CLORIDRATO DE GENCITABINA; CLORIDRATO GENCITABINA; CLORIDRATO GENCITABINA; 200 MG PO LIOF SOL INJ IV CT FA VD INC X 13 ML ; BU_
504413201151119; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML SOL INJ CT FA VD INC X 20 ML ; BU_
504413202156114; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML SOL INJ CX 12 FA VD INC X 20 ML (EMB HOSP); BU_
504414010038316; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 20 FA VD INC ; BU_
504414010038416; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 20 FA VD INC + 20 AMP DIL X 10 ML; BU_
504414010038516; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 100 FA VD INC ; BU_
504414010038606; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ FA VD INC TIPO I + AMP DIL X 10 ML; BU_
504414010038706; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 20 FA VD INC TIPO I + 20 AMP DIL X 10 ML (EMB HOSP); BU_
504414010038806; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 20 FA VD INC TIPO I + 20 AMP DIL PLAS X 10 ML  (EMB HOSP); BU_
504414010038906; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 20 FA VD INC TIPO I (EMB HOSP); BU_
504414010039006; CLORIDRATO DE VANCOMICINA; CLORIDRATO VANCOMICINA; CLORIDRATO VANCOMICINA; 500 MG PO SOL INJ IV CX 100 FA VD INC TIPO I (EMB HOSP); BU_
504414010049118; CLINDARIX; CLINDARIX; NOT FOUND; 150 MG/ML SOL INJ CT AMP VD INC X 6 ML; BU_
504414010049018; CLINDARIX; CLINDARIX; NOT FOUND; 150 MG/ML SOL INJ CT AMP VD INC X 4 ML; BU_
