1023502210035; SUPLEVIT; SUPLEVIT; NOT FOUND; SOL FR C/120ML; EMS
1023510030021; SALVELOX; SALVELOX; NOT FOUND; 21 MG/ML + 1.33 MG/ML SOL TOP CT FR PLAS OPC SPRAY X 50 ML; EMS
1023509500085; SIBUCTIL; SIBUCTIL; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1023509500034; SIBUCTIL; SIBUCTIL; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1356905370031; SIGRAN; SIGRAN; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1356905370082; SIGRAN; SIGRAN; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1356905510070; SIGMALIV; SIGMALIV; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD; EMS
1356905510062; SIGMALIV; SIGMALIV; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; EMS
1356905510135; SIGMALIV; SIGMALIV; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 30; EMS
1356905510038; SIGMALIV; SIGMALIV; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 10; EMS
1356904990011; SOMAFLEX AP; SOMAFLEX AP; NOT FOUND; 100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 10 ; EMS
1023508790012; SULFATO DE GENTAMICINA + FOSFATO DISSÓDICO DE BETAMETASONA; SULFATO GENTAMICINA FOSFATO DISSODICO BETAMETASONA; NOT FOUND; 3 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML; EMS
1023508230033; SULFATO DE SALBUTAMOL + GUAIFENESINA; SULFATO SALBUTAMOL GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; EMS
1356904800024; SULFATO DE TERBUTALINA + GUAIFENESINA; SULFATO TERBUTALINA GUAIFENESINA; NOT FOUND; 0.3 MG/ML + 13.3 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; EMS
1356903720027; SUPLASYN; SUPLASYN; NOT FOUND; 20 MG/2ML SOL INJ CT SER PREENCHIDA VD INC X 2.0 ML ; EMS
1356902340174; SIGMALAC; SIGMALAC; NOT FOUND; 667MG/ML SOL ORAL 15ML; EMS
1356902340107; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 10 SACHE X 10 G ; EMS
1356902340026; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 10 SACHE X 2.5 G ; EMS
1356902340069; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 10 SACHE X 5 G; EMS
1356902340239; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 20 SACHE X 10 G (EMB. FRAC.); EMS
1356902340247; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 20 SACHE X 5 G (EMB. FRAC.); EMS
1356902340220; SIGMALAC; SIGMALAC; NOT FOUND; PO ORAL CT 20 SACHE X 2.5 G (EMB. FRAC.); EMS
1356905890019; SONEBON; SONEBON; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; EMS
1023510520051; SILUESTAT; SILUESTAT; NOT FOUND; 120 MG CAP GEL DURA CT BL AL PLAS OPC X 84; EMS
1023510520035; SILUESTAT; SILUESTAT; NOT FOUND; 120 MG CAP GEL DURA CT BL AL PLAS OPC X 42; EMS
