1023503330011; DEXADERMIL; DEXADERMIL; NOT FOUND; 1MG/G CREM DERM CT BG AL X 10 G; EMS
1356900120495; DILTIPRESS; DILTIPRESS; NOT FOUND; 60 MG COM CT BL AL PLAS LEIT X 50; EMS
1023503650034; DOXILEGRAND; DOXILEGRAND; NOT FOUND; 100 MG DRG CT  ENV AL X 15; EMS
1356905980174; DAFORIN; DAFORIN; NOT FOUND; 20 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; EMS
SI/NC; DAFORIN; DAFORIN; NOT FOUND; 20MG BL 3 X 10 CPR; EMS
1356905980093; DAFORIN; DAFORIN; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PVC INC X 20; EMS
1356905980018; DAFORIN; DAFORIN; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PVC INC X 20; EMS
1356905980077; DAFORIN; DAFORIN; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PVC INC X 30; EMS
1356905980034; DAFORIN; DAFORIN; NOT FOUND; 20 MG COM REV CT BL AL PVC INC X 20; EMS
1356905980042; DAFORIN; DAFORIN; NOT FOUND; 20 MG COM REV CT BL AL PVC INC X 30; EMS
1356905980220; DAFORIN; DAFORIN; NOT FOUND; 20 MG COM REV CT BL AL PLAS TRANS X 60; EMS
1356902080075; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS OPC X 14; EMS
1356902080083; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 70 MG 2 BLT C/ 10 COMP; EMS
1356905940148; DEFLAIMMUN; DEFLAIMMUN; NOT FOUND; 22.75 MG/ML SUS OR CT FR VD AMB GOT X 13 ML; EMS
1023507250219; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 30 MG COM CT BL AL PLAS LEIT X 10   ; EMS
1023507250073; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 6 MG COM CT BL AL PLAS LEIT X 20; EMS
1023507250324; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 6 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC); EMS
1023507250359; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 30 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC); EMS
1356902670141; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 30 MG COM CT BL AL PLAS LEIT X 20; EMS
1356902670050; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 6 MG COM CT BL AL PLAS LEIT X 10; EMS
1356905940105; DEFLAIMMUN; DEFLAIMMUN; NOT FOUND; 30 MG COM CT BL AL PLAS INC X 10; EMS
1356905940024; DEFLAIMMUN; DEFLAIMMUN; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 20; EMS
1356905940067; DEFLAIMMUN; DEFLAIMMUN; NOT FOUND; 7.5 MG COM CT BL AL PLAS INC X 20; EMS
1023509680024; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD ; EMS
1023509680032; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD ; EMS
1023509620064; DESTADIN; DESTADIN; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; EMS
1023509620072; DESTADIN; DESTADIN; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD; EMS
1023509360021; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS OPC X 10; EMS
1023509620031; DESTADIN; DESTADIN; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 10; EMS
1023509620099; DESTADIN; DESTADIN; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 30; EMS
1023509360062; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS OPC X 30; EMS
1023506720017; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G CREM CT BG AL X 30 G; EMS
1023507010031; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G POM DERM CT BG AL X 30 G ; EMS
1023507300021; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G LOC CREM CT FR PLAS OPC X 60 G; EMS
1023507340031; DESONIDA; DESONIDA; DESONIDA; 1 MG/G LOC CAPIL CT FR PLAS TRANS GOT X 30 G ; EMS
1356902270011; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G CREM CT BG AL X 30 G; EMS
1356902190032; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G POM DERM CT BG AL X 30 G ; EMS
1356902550020; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G LOC CREM CT FR PLAS OPC X 60 G; EMS
1356902560018; DESONIDA; DESONIDA; DESONIDA; 1 MG/G LOC CAPIL CT FR PLAS OPC GOT X 30 G ; EMS
1356905030011; DESOSKIN; DESOSKIN; NOT FOUND; 0.5 MG/G CREM DERM CT BG AL X 30 G ; EMS
1023505150012; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML; EMS
1356903840030; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED; EMS
1023507020086; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.5 MG COM CT BL AL PLAS OPC X 20; EMS
1023507020264; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.75 MG COM CT BL AL PLAS OPC X 20; EMS
1023507020434; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 4 MG COM CT BL AL PLAS OPC X 10   ; EMS
1356902200070; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.5 MG COM CT BL AL PLAS OPC X 20; EMS
1356902200224; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.75 MG COM CT BL AL PLAS OPC X 20; EMS
1356902200364; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 4 MG COM CT BL AL PLAS OPC X 10   ; EMS
1023505000029; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 20; EMS
1023502580010; DIAZEPAM; DIAZEPAM; DIAZEPAM; (B1) 5 MG 2 BL X 10 COMP; EMS
1023505000045; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 3; EMS
1023505000037; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 30; EMS
1023505000045; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 30; EMS
1023505000037; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 30; EMS
1356904360024; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 20; EMS
1356904360075; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 20; EMS
1356905950011; DIAZEPAM NQ; DIAZEPAM NQ; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; EMS
1356905950021; DIAZEPAM NQ; DIAZEPAM NQ; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; EMS
1356905970039; DIAZEFAST; DIAZEFAST; NOT FOUND; 5 MG COM CT BL AL PVDC LEIT X 20; EMS
1356905970111; DIAZEFAST; DIAZEFAST; NOT FOUND; 10 MG COM CT BL AL PVDC LEIT X 20; EMS
123506820038; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15MG/ML SUS OR GOTAS FR COM 20ML; EMS
1356901760013; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML  ; EMS
1023504730015; DICLOFENACO; DICLOFENACO; DICLOFENACO; 100MG 1BL X 10 COMP; EMS
1023506950081; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 14; EMS
1023506950098; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 20; EMS
1023506950071; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 10  ; EMS
1023506950233; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 66 (EMB FRAC); EMS
1023508120076; DRYLTAC; DRYLTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 10; EMS
1023508120084; DRYLTAC; DRYLTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 14; EMS
1023508120092; DRYLTAC; DRYLTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 20; EMS
1356904390098; DICLOSTIR; DICLOSTIR; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 10; EMS
1356904390101; DICLOSTIR; DICLOSTIR; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 14; EMS
1356904390111; DICLOSTIR; DICLOSTIR; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 20; EMS
1356902020013; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10MG/G GEL CREM CT BG AL X 60G; EMS
1023504440025; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; INJ CX C/5 AMP X 3 ML; EMS
1023504440033; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; INJ CXC/50 AMP X 3 ML; EMS
1023504740010; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50MG 1 BL X 20 COMP; EMS
1023509290021; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100MG COM REV DESINT LENTA CT BL AL PLAS INC X 20; EMS
1023509290013; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100MG COM REV DESINT LENTA CT BL AL PLAS INC X 10  ; EMS
1023510410035; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV LIB RETARD CT BL AL PLAS INC X 20; EMS
1023505070027; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG COM REV CT BL AL PLAS INC X 20; EMS
1023505070019; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG COM REV CT BL AL PLAS INC X 10; EMS
1023505070043; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC); EMS
1023510830093; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.25 MG COM CT BL AL AL X 30   ; EMS
1023510830174; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 1 MG COM CT BL AL AL X 30   ; EMS
1023503100069; DIGOXIL; DIGOXIL; NOT FOUND; 0.25MG 1 BL X 20 COMP; EMS
1023506660014; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML; EMS
1023505470025; DIMETILIV; DIMETILIV; NOT FOUND; 250 MG/ML EMU. OR CT FR PLAS OPC GOT X 15 ML; EMS
1356901710016; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML; EMS
1023506380011; DIMETICONA; DIMETICONA; DIMETICONA; 40 MG COM CT  BL AL PLAS INC X 20; EMS
1023506780011; DIMETICONA; DIMETICONA; DIMETICONA; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; EMS
1023505470017; DIMETILIV; DIMETILIV; NOT FOUND; 40 MG COM CT 2 BL AL PLAS INC X 10; EMS
1023505470033; DIMETILIV; DIMETILIV; NOT FOUND; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; EMS
1356902010018; DIMETICONA; DIMETICONA; DIMETICONA; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; EMS
1356903520028; DIMETICONA; DIMETICONA; DIMETICONA; 40 MG COM CT BL AL PLAS INC X 20; EMS
1023506810024; DIMETICONA + METILBROMETO DE HOMATROPINA; DIMETICONA METILBROMETO HOMATROPINA; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS OPC GOT X 20 ML; EMS
1356902770020; DIMETICONA + METILBROMETO DE HOMATROPINA; DIMETICONA METILBROMETO HOMATROPINA; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS LEIT GOT X 20 ML ; EMS
1023504350077; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 1G INJ CX C/100 AMP X 2 ML; EMS
1023504350018; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; GOTAS FR C/10ML; EMS
1023504350034; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; GOTAS FR C/20ML; EMS
1023508000011; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; EMS
1356903670011; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; EMS
1356903600013; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; EMS
1356903600021; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; EMS
1023505230059; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG 24 BL X 10 COMP; EMS
1356903680092; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP); EMS
1023507110042; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.5 MG/G CREM DERM CT BG AL X 30 G; EMS
1023507610045; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.5 MG/G POM DERM CT BG AL X 30 G; EMS
1356902280041; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.50 MG/G CREM DERM CT BG AL X 30 G ; EMS
1356902950045; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.5 MG/G POM DERM CT BG AL X 30 G; EMS
1023507130027; DIPROP. BETAMETASONA + SULF. GENTAMICINA; DIPROP BETAMETASONA SULF GENTAMICINA; NOT FOUND; CREM BISN C/ 30G; EMS
1023507140022; DIPROP. BETAMETASONA + SULF. GENTAMICINA; DIPROP BETAMETASONA SULF GENTAMICINA; NOT FOUND; POM BISN C/ 30G; EMS
1356902040029; DIPROPIONATO BETAMETASONA + SULFA GENTAMICINA; DIPROPIONATO BETAMETASONA SULFA GENTAMICINA; NOT FOUND; CR BIS C/ 30G; EMS
1356902720023; DIPROPIONATO BETAMETASONA + SULFA GENTAMICINA; DIPROPIONATO BETAMETASONA SULFA GENTAMICINA; NOT FOUND; POM BIS C/ 30G; EMS
1023506520018; DIPROP.BETA+AC.SALIC.; DIPROP BETA AC SALIC; NOT FOUND; POM 30 G; EMS
1356902750011; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.5 MG/G + 30 MG/G POM DERM CT BG AL X 30 G; EMS
1356904450023; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.64 MG/ML + 20.00 MG/ML SOL TOP CT FR PLAS OPC X 30 ML ; EMS
1023509820039; DOMPLIV; DOMPLIV; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 30; EMS
1023509820055; DOMPLIV; DOMPLIV; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 60; EMS
1023509990031; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 30; EMS
1023509990058; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 60; EMS
1023510450029; DROSPIRENONA + ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS OPC X 21; EMS
1356906420016; DALYNE; DALYNE; NOT FOUND; 3 MG + 0.03 MG COM REV CT 3 BL AL PLAS OPC X 21; EMS
1356906420024; DALYNE; DALYNE; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS OPC X 21; EMS
1023511050016; DROSPIRENONA+ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG + 0.02 MG COM REV CT BL AL PLAS OPC X 24; EMS
1023503260015; DEXASOL; DEXASOL; NOT FOUND; INJ 2.5ML C/50 FR; EMS
1023503260015; DEXASOL; DEXASOL; NOT FOUND; INJ 2.5ML C/50 FR (HOSP); EMS
1023508090010; DERMOSTATIN; DERMOSTATIN; NOT FOUND; 100.000 UI / G + 200 MG / G POM DERM CT BG AL X 60 G; EMS
1023505430015; DAKGRAN; DAKGRAN; NOT FOUND; 20 MG/ML LOC CT FR PLAS OPC X 30 ML; EMS
1023500550025; DASC; DASC; NOT FOUND; FR C/20 DRG; EMS
