1023507750025; BRONCOLEX; BRONCOLEX; NOT FOUND; 10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML; EMS
1023509210011; BROMETO DE IPRATRÓPRIO; BROMETO IPRATROPRIO; NOT FOUND; 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML; EMS
1023510700033; BROMETO DE PINAVÉRIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS OPC X 30; EMS
1023510700051; BROMETO DE PINAVÉRIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS OPC X 60; EMS
1023508640010; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 14; EMS
1023508640029; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 28; EMS
1023508640037; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 30; EMS
1356904410021; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 28; EMS
1023507590028; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.25 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
1023507590052; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
1356902940023; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.25 MG/ML  XPE CT FR VD AMB X 120 ML + CP MED ; EMS
1356902940058; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.5 MG/ML  XPE CT FR VD AMB X 120 ML + CP MED ; EMS
1356901910015; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; EMS
1023506400020; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; EMS
1023504860040; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 1MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; EMS
1023504860024; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR VD CGT X 20 ML; EMS
1356902920022; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; EMS
1356902920049; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR VD AMB X 20 ML + CGT; EMS
1023509880041; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20; EMS
1023507030022; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 10 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; EMS
1356902260022; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 10 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; EMS
1023504510031; BROMETO DE N- BUTIL ESCOPOLAMINA + DIPIRONA SÓDICA; BROMETO N BUTIL ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 4.0 MG + 500 MG/ML SOL INJ CT 50 AMP VD AMB X 5 ML; EMS
1023504930014; BROMETO DE N- BUTIL ESCOPOLAMINA + DIPIRONA SÓDICA; BROMETO N BUTIL ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CT FR VD CGT X 20 ML; EMS
1356903900025; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; EMS
1023505380018; BIOPREVENT; BIOPREVENT; NOT FOUND; 1G INJ 50 FR/AMP S/ DIL; EMS
1023503300017; BIOVITAL; BIOVITAL; NOT FOUND; FR X 25 DRG; EMS
1023508930035; BISURAN; BISURAN; NOT FOUND; 0.8 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; EMS
1023508930061; BISURAN; BISURAN; NOT FOUND; 1.6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
1356906410010; BUPIUM; BUPIUM; NOT FOUND; 150 MG COM REV LIB PROL CT BL AL AL X 10; EMS
1356906410045; BUPIUM; BUPIUM; NOT FOUND; 150 MG COM REV LIB PROL CT BL AL AL X 30; EMS
1356906410053; BUPIUM; BUPIUM; NOT FOUND; 150 MG COM REV LIB PROL CT BL AL AL X 60; EMS
1023509590076; BENZIFLEX; BENZIFLEX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 30; EMS
1023509590051; BENZIFLEX; BENZIFLEX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 15; EMS
1023509590157; BENZIFLEX; BENZIFLEX; NOT FOUND; 5MG COM REV CT BL AL PLAS OPC X 15; EMS
1023509590173; BENZIFLEX; BENZIFLEX; NOT FOUND; 5MG COM REV CT BL AL PLAS OPC X 30; EMS
1356906350034; BONECAL D; BONECAL D; NOT FOUND; 600 MG + 400 UI COM REV CT FR PLAS OPC X 30; EMS
1356906350042; BONECAL D; BONECAL D; NOT FOUND; 600 MG + 400 UI COM REV CT FR PLAS OPC X 60; EMS
1023510320011; BIOFLADEX; BIOFLADEX; NOT FOUND; 11.6 MG/G SOL AER DERM FILME PLAS CIL AL X 85 ML; EMS
1356906510023; BRASART HCT; BRASART HCT; NOT FOUND; 80 MG + 12.5 COM REV CT BL AL AL X 30; EMS
1356906510104; BRASART HCT; BRASART HCT; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; EMS
1356906510147; BRASART HCT; BRASART HCT; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; EMS
1356906510066; BRASART HCT; BRASART HCT; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; EMS
1356906510181; BRASART HCT; BRASART HCT; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL AL X 30; EMS
1023510670096; BALSAMO BENGUE; BALSAMO BENGUE; NOT FOUND; 0.100 G+0.150 G/G GEL CT BG AL X 60 G; EMS
1023510670071; BALSAMO BENGUE; BALSAMO BENGUE; NOT FOUND; 0.250 G+0.250 G/G POM DERM CT BG AL X 60 G; EMS
1023501950061; BACTOPEN; BACTOPEN; NOT FOUND; INJ 1200000UI C/ 50FR PO+DIL 5ML; EMS
1023501950061; BACTOPEN; BACTOPEN; NOT FOUND; INJ 1200000UI C/ 50 FR PO+DIL; EMS
1023501950053; BACTOPEN; BACTOPEN; NOT FOUND; INJ 600000UI C/ 50 FR PO+DIL 5ML; EMS
1023501950053; BACTOPEN; BACTOPEN; NOT FOUND; INJ 600000UI C/ 50 FR PO+DIL; EMS
