1356906450020; NATIVIT; NATIVIT; NOT FOUND; COM REV CT FR PLAS OPC X 30; EMS
1023500380095; NOFEBRIN; NOFEBRIN; NOT FOUND; GOTAS FR C/20ML; EMS
1023500380014; NOFEBRIN; NOFEBRIN; NOT FOUND; 30 STP C/4 COMP; EMS
1356906710014; NIKI; NIKI; NOT FOUND; 3 MG + 0.02 MG COM REV CT BL AL PLAS OPC X 24; EMS
1356906710022; NIKI; NIKI; NOT FOUND; 3 MG + 0.02 MG COM REV CT 3 BL AL PLAS OPC X 24; EMS
1023504840015; NOCICLIN; NOCICLIN; NOT FOUND; 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 21; EMS
1023504840015; NOCICLIN; NOCICLIN; NOT FOUND; 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 21; EMS
SI/NC; NEUTROFER; NEUTROFER; NOT FOUND; FOLICO GOTAS FR C/30ML; EMS
1356906260051; NEUTROFER; NEUTROFER; NOT FOUND; 50 MG/ML SUS OR CT 20 FLAC X 5 ML; EMS
1356906260116; NEUTROFER; NEUTROFER; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; EMS
1356906260108; NEUTROFER; NEUTROFER; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; EMS
1356906260027; NEUTROFER; NEUTROFER; NOT FOUND; 30 MG COM REV CT FR PLAS OPC X 30; EMS
1356906260035; NEUTROFER; NEUTROFER; NOT FOUND; 60 MG COM REV CT FR PLAS OPC X 30; EMS
1356906260061; NEUTROFER; NEUTROFER; NOT FOUND; 100 MG COM MAST CT FR PLAS OPC X 30; EMS
1356905920031; NEUTROFER FÓLICO; NEUTROFER FOLICO; NOT FOUND; 15 MG/ML + 0.5 MG/ML SUS OR CT 20 FLAC X 5 ML; EMS
1356905920058; NEUTROFER FÓLICO; NEUTROFER FOLICO; NOT FOUND; 250 MG/ML + 0.2 MG/ML CT SUS OR CT FR PLAS OPC GOT X 30; EMS
1356905920015; NEUTROFER FÓLICO; NEUTROFER FOLICO; NOT FOUND; 150 MG + 5 MG COM REV CT FR PLAS OPC X 30; EMS
1023501510019; NEUROTONICO; NEUROTONICO; NOT FOUND; SOL FR C/480ML; EMS
1023510260181; NEUROQUEL; NEUROQUEL; NOT FOUND; 300 MG COM REV CT BL AL PLAS OPC X 30; EMS
1023509170026; NORMOLAX; NORMOLAX; NOT FOUND; 667 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SABOR AMEIXA) ; EMS
1023504760011; NIFEDIPINO; NIFEDIPINO; NIFEDIPINO; 10MG 3 BL X 10 COMP; EMS
1023504760038; NIFEDIPINO; NIFEDIPINO; NIFEDIPINO; 20MG 3 BL X 10 COMP; EMS
1023503510038; NIMESILAM; NIMESILAM; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; EMS
1023505330010; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; EMS
1356905860020; NIMESILAN; NIMESILAN; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; EMS
1023508440021; NIMESULIDA; NIMESULIDA; NIMESULIDA; 20 MG/G GEL DERM CT BG AL X 30 G; EMS
1023503510011; NIMESILAM; NIMESILAM; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; EMS
1023505340016; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS INC X 12; EMS
1356905860012; NIMESILAN; NIMESILAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; EMS
1023507950121; NIMODIPINO; NIMODIPINO; NIMODIPINO; 30 MG COM REV CT BL AL PLAS LEIT X 30; EMS
1023507950334; NIMODIPINO; NIMODIPINO; NIMODIPINO; 30 MG COM REV CT BL AL PLAS LEIT X 80 (EMB FRAC); EMS
1356903610116; NIMODIPINO; NIMODIPINO; NIMODIPINO; 30 MG COM REV CT BL AL PLAS LEIT X 30; EMS
1023505050026; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML SUS OR CT FR VD AMB X 50 ML + CGT; EMS
1356903380021; NISTATINA; NISTATINA; NISTATINA; 100 000 UI/ML SUS OR CT FR VD AMB X 50 ML+ CGT  ; EMS
1023504330068; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC; EMS
1023504330033; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CT BG AL X 60 G + APLIC; EMS
1356903260026; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC; EMS
1023506830041; NISTATINA + ÓXIDO DE ZINCO; NISTATINA OXIDO ZINCO; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G  ; EMS
1356902040049; NISTATINA + ÓXIDO DE ZINCO; NISTATINA OXIDO ZINCO; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G; EMS
1023509910038; NITRATO DE FENTICONAZOL; NITRATO FENTICONAZOL; NITRATO FENTICONAZOL; 0.02 G/G CREM VAG CT BG AL X 40 G + 7 APL; EMS
1023506760019; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; EMS
1023506690010; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC; EMS
1356902760017; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC; EMS
1356903830027; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM DERM CT BG AL X 20G; EMS
1356901680011; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G LOC CREM CT FR PLAS OPC X 30 G; EMS
1023506220014; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G PO TOP CT FR PLAS OPC X 30 G; EMS
1023506200013; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G LOC CREM CT FR PLAS OPC X 30 G; EMS
1023507460019; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CT BG AL X 80 G + 14 APLIC; EMS
1023508270035; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT BG AL X 28 G; EMS
1356902320017; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CT BG AL X 80 G + 14 APLIC; EMS
1356904130037; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT BG AL X 28 G; EMS
1356901640018; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G PO TOP CT FR PLAS OPC X 30 G; EMS
1023506960085; NITRAZEPAM; NITRAZEPAM; NITRAZEPAM; 5 MG COM CT BL AL PLAS BCO LEIT X 20; EMS
1356902240080; NITRAZEPAM; NITRAZEPAM; NITRAZEPAM; 5 MG COM CT BL AL PLAS BCO LEIT X 20; EMS
1356904380025; NITRONAL; NITRONAL; NOT FOUND; 0.4 MG/DOSE LIQ PULV CT FR VD INC NEBUL X 4.5 ML (60 DOSES); EMS
1023504560012; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS INC X 14  ; EMS
1023504560152; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS LEIT X 60 (EMB FRAC); EMS
1356902500155; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT FR PLAS OPC X 14; EMS
1356902740040; NORF; NORF; NOT FOUND; 400 MG COM REV CT FR PLAS OPC X 14; EMS
1023510640049; NEUROPRAM; NEUROPRAM; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 30; EMS
1023510640057; NEUROPRAM; NEUROPRAM; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 60; EMS
1023510640111; NEUROPRAM; NEUROPRAM; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; EMS
1023510640014; NEUROPRAM; NEUROPRAM; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 7 ; EMS
1023510640170; NEUROPRAM; NEUROPRAM; NOT FOUND; 15 MG COM REV CT BL AL PLAS OPC X 30; EMS
