1356900090014; PREG-LESS; PREG LESS; NOT FOUND; 150 MG/ML+10 MG/ML SOL INJ CT AMP VD INC X 1 ML; EMS
1023507150011; PREVIDEZ - 2; PREVIDEZ 2; NOT FOUND; 0.75 MG COM CT BL AL PLAS INC X 2; EMS
1356900230045; PRILCOR; PRILCOR; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; EMS
1356900230096; PRILCOR; PRILCOR; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 30; EMS
1356900230118; PRILCOR; PRILCOR; NOT FOUND; 30 MG COM CT BL AL PLAS INC X 20; EMS
1356900230101; PRILCOR; PRILCOR; NOT FOUND; 30MG 3 BL X10 COMP; EMS
1356900230037; PRILCOR; PRILCOR; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30; EMS
1023504140021; PRESSEL; PRESSEL; NOT FOUND; 5.0 MG COM CT 3 STR X 10; EMS
1023504140031; PRESSEL; PRESSEL; NOT FOUND; 10 MG COM CT 3 STR X 10; EMS
1023504140056; PRESSEL; PRESSEL; NOT FOUND; 20 MG COM CT 3 STR X 10; EMS
1023501560021; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL PLAS BRANCO LEITOSO X 14; EMS
1023501560011; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL PLAS BRANCO LEITOSO X 7; EMS
1023501560038; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL PLAS BRANCO LEITOSO X 28; EMS
1023501560062; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL PLAS BRANCO LEITOSO X 14; EMS
1023501560070; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL PLAS BRANCO LEITOSO X 28; EMS
1023501560054; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG 2BL X 14 COMP; EMS
1023501560097; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL PLAS BCO LEIT X 60 (EMB FRAC) ; EMS
1023501560119; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL PLAS BCO LEIT X 60 (EMB FRAC) ; EMS
1356904610020; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 14; EMS
1356904610039; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 28; EMS
1356904610063; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 14; EMS
1356904610071; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 28; EMS
1356904610098; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 42; EMS
1356904610111; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 42; EMS
1023501560267; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL AL X 42; EMS
1023501560275; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL AL X 42; EMS
1023501560208; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL AL X 14; EMS
1023501560216; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL AL X 28; EMS
1356905610040; PRAZY; PRAZY; NOT FOUND; 20 MG COM REV CT BL AL/AL X 28; EMS
1356905610083; PRAZY; PRAZY; NOT FOUND; 40 MG COM REV CT BL AL/AL X 28; EMS
1023504530016; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; EMS
1023507640076; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/G PO P/ PRE EXT CT 50 SACH AL PE X 5 G; EMS
1023507930066; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/ML SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD ; EMS
1023507940101; PARACETAMOL; PARACETAMOL; PARACETAMOL; 32 MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED ; EMS
1023507640114; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/G PO P/ PRE EXT CT 25 SACH AL PE X 5 G (EMB FRAC); EMS
1023503730070; PARALGEN; PARALGEN; NOT FOUND; GOTAS FR C/15ML; EMS
1356903330024; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML ; EMS
1356903170116; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/G PO P/ PREP EXT CT 25 SACH AL PE X 5 G (EMB FRAC); EMS
1356903690063; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/ML SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD ; EMS
1356903700069; PARACETAMOL; PARACETAMOL; PARACETAMOL; 32 MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED ; EMS
1356903170078; PARACETAMOL; PARACETAMOL; PARACETAMOL; PO LIMAO MEL 50 SACHE X 5G; EMS
1023505170013; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750MG 2 BL X 10 COMP; EMS
1023505170021; PARACETAMOL; PARACETAMOL; PARACETAMOL; 50 BL X 4 COMP; EMS
1023508040293; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM REV CT BL AL PLAS LEIT X 100 (EMB HOSP); EMS
1023508040307; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP); EMS
1023503730038; PARALGEN; PARALGEN; NOT FOUND; 750MG 2 BL X 10 COMP; EMS
1023503730046; PARALGEN; PARALGEN; NOT FOUND; 750MG 50BL X /4 COMP; EMS
1356903730294; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM REV CT BL AL PLAS LEIT X 100 (EMB HOSP); EMS
1356903730308; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP); EMS
1356903590107; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS LEIT X 20; EMS
1356903590166; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP); EMS
1356906010012; PENVIR LÁBIA; PENVIR LABIA; NOT FOUND; 10 MG/G CR CT TB AL X 5 G; EMS
1023504960010; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 400 MG COM REV LIB PROL CT BL AL PLAS INC X 20  ; EMS
1023504960101; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 400 MG COM REV LIB PROL CT BL AL PLAS INC X 60 (EMB FRAC); EMS
1023504960061; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 400 MG COM REV LIB PROL CT BL AL PLAS INC X 30; EMS
1023507600023; PIROXICAM; PIROXICAM; PIROXICAM; 5 MG/G GEL CT BG AL X 30 G ; EMS
1356902910027; PIROXICAM; PIROXICAM; PIROXICAM; 5 MG/G GEL CT BG AL X 30 G; EMS
1023504680018; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10; EMS
1023504680026; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 15; EMS
1023504680107; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS LEIT X 60 (EMB FRAC); EMS
1023510430060; PREDNISOLONA; PREDNISOLONA; PREDNISOLONA; 20 MG COM CT BL AL AL X 10; EMS
1356906200075; PREDSIGMA; PREDSIGMA; NOT FOUND; 20 MG COM CT BL AL PLAS OPC X 10; EMS
1023506330030; PREDINISONA; PREDINISONA; NOT FOUND; 20 MG COM CT  BL AL PLAS INC X 10; EMS
1023506330014; PREDINISONA; PREDINISONA; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; EMS
1023506330111; PREDINISONA; PREDINISONA; NOT FOUND; 20 MG COM CT  BL AL PLAS INC X 30 (EMB FRAC); EMS
1023506330091; PREDINISONA; PREDINISONA; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); EMS
1023503790022; PREDNIS; PREDNIS; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 10; EMS
1023503790014; PREDNIS; PREDNIS; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; EMS
1356901630020; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10; EMS
1356901630012; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20; EMS
1023507270023; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 30 G; EMS
1023507550026; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G SOL CAP CT FR PLAS OPC GOT X 50 G; EMS
1356902970046; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G SOL CAP CT FR PLAS OPC GOT X 50 G ; EMS
1023507290024; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30G ; EMS
1356902610023; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 30 G ; EMS
1356902620029; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30G ; EMS
