1356900110112; MAC AZI; MAC AZI; NOT FOUND; 1200MG 1 BL X 4 COMP; EMS
1356906080010; MICROPIL; MICROPIL; NOT FOUND; 0.075 MG + 0.030 MG COM REV CT EST CALEND X 21 + PORTA EST; EMS
1356906080029; MICROPIL R21; MICROPIL R21; NOT FOUND; 0.075 MG + 0.020 MG COM REV CT BL AL PLAS INC CALEND X 21; EMS
1356906080037; MICROPIL R28; MICROPIL R28; NOT FOUND; 0.075 MG + 0.020 MG COM REV CT EST CALEND X 28 + PORTA ESTOJO; EMS
1023506840020; MALEATO DE DEXCLORFENIRAMINA+SULFATO DE PSEUDOEFEDRINA+GUAIFENESINA; MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML  ; EMS
1356902030027; MALEATO DE DEXCLORFENIRAMINA + SULFATO DE PSEUDOEFEDRINA + GUAIFENESINA; MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML  ; EMS
1023506430035; MALEA.ENALAP.+HIDR.; MALEA ENALAP HIDR; NOT FOUND; 10/25 MG 2BX15 COMP; EMS
1025306880030; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 30; EMS
1023506430051; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10 MG + 25 MG COM CT BL AL PLAS OPC X 90 (EMB FRAC); EMS
1023506880057; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PLAS OPC X 90 (EMB FRAC); EMS
1356901820032; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PLAS OPC X 30 ; EMS
1356902180037; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10 MG + 25 MG COM CT BL AL PLAS OPC X 30; EMS
1356903490031; MALENA HCT; MALENA HCT; NOT FOUND; 10 MG + 25 MG COM CT BL AL PVDC LEIT X 30 ; EMS
1356903490072; MALENA HCT; MALENA HCT; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PVDC LEIT X 30 ; EMS
1356903490099; MALENA HCT; MALENA HCT; NOT FOUND; 10 MG + 25 MG COM CT BL AL PVDC LEIT X 70 (EMB FRAC); EMS
1356903490110; MALENA HCT; MALENA HCT; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PVDC LEIT X 70 (EMB FRAC); EMS
1023505590020; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML ; EMS
1023508620028; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; EMS
1356903810034; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; EMS
1356904400026; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; EMS
1023505590081; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR PLAS AMB X 120 ML + COP; EMS
1023508470034; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 10 MG/G CREM DERM CT BG AL X 30 G; EMS
1023506970072; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2 MG COM CT BL AL BCO PLAS LEIT X 20; EMS
1356902090070; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2 MG COM CT BL AL PLAS BCO LEIT X 20; EMS
1023504700061; MALEATO ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 30 ; EMS
1023504700086; MALEATO ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 30; EMS
1023504700051; MALEATO ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 30 ; EMS
1023504700167; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 60 (EMB FRAC); EMS
1023504700205; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 60 (EMB FRAC); EMS
1023504700124; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 60 (EMB FRAC); EMS
1356903030081; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL / AL X 30; EMS
1356903030136; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL / AL X 30; EMS
1356903030039; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL / AL X 30; EMS
1356904760316; MALENA; MALENA; NOT FOUND; 10 MG COM CT BL AL/AL X 30; EMS
1356904760383; MALENA; MALENA; NOT FOUND; 20 MG COM CT BL AL/AL X 30; EMS
1356904760243; MALENA; MALENA; NOT FOUND; 5 MG COM CT BL AL/AL X 30; EMS
1023507740089; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; EMS
1023507740186; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; EMS
1356903150085; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; EMS
1356903150182; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; EMS
1023504850010; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML; EMS
1356903910020; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED ; EMS
1023505160018; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 6; EMS
1023507280037; MEBENDAZOL + TIABENDAZOL; MEBENDAZOL TIABENDAZOL; NOT FOUND; 200MG + 332MG COM MAST CT BL AL PLAS LEIT X 6 ; EMS
1356902440039; MEBENDAZOL + TIABENDAZOL; MEBENDAZOL TIABENDAZOL; NOT FOUND; 200 + 332 MG COM MAST CT BL AL PLAS LEIT X 6; EMS
1023505270026; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT FR PLAS OPC X 10; EMS
1023505270190; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS OPC X 10 ; EMS
1023505270301; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS OPC X 60 (EMB FRAC); EMS
1023505270328; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS OPC X 60 (EMB FRAC); EMS
1023503940024; MELOXIGRAN; MELOXIGRAN; NOT FOUND; 15 MG COM CT FR VD AMB X 10; EMS
1023503940016; MELOXIGRAN; MELOXIGRAN; NOT FOUND; 7.5MG FR C/10 COMP; EMS
1356901700241; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS OPC X 10; EMS
1356901700101; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS OPC X 10; EMS
1356905990013; MELOTEC; MELOTEC; NOT FOUND; 7.5 MG COM CT FR PLAS OPC X 10; EMS
1356905990021; MELOTEC; MELOTEC; NOT FOUND; 15 MG COM CT FR PLAS OPC X 10; EMS
1023507780013; MESALAZINA; MESALAZINA; MESALAZINA; 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML; EMS
1356903220016; MESALAZINA; MESALAZINA; MESALAZINA; 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML; EMS
1023507680086; MESALAZINA; MESALAZINA; MESALAZINA; 800 MG COM REV CT BL AL PLAS LEIT X 30; EMS
1356903060078; MESALAZINA; MESALAZINA; MESALAZINA; 800 MG COM REV CT BL AL PLAS LEIT X 30; EMS
1023507540098; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS LEIT X 30; EMS
1356902960083; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS LEIT X 30; EMS
1023505640028; METILDOPA; METILDOPA; METILDOPA; 250 MG COM REV CT BL AL PLAS INC X 30 ; EMS
1023505640011; METILDOPA; METILDOPA; METILDOPA; 500 MG COM REV CT BL AL PLAS INC X 30 ; EMS
1023505640060; METILDOPA; METILDOPA; METILDOPA; 250 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC); EMS
1023505640044; METILDOPA; METILDOPA; METILDOPA; 500 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC); EMS
1023503250044; METILPRESS; METILPRESS; NOT FOUND; 250 MG COM REV CT 3 BL AL PLAS INC X 10; EMS
1023503250052; METILPRESS; METILPRESS; NOT FOUND; 500 MG COM REV CT 3 BL AL PLAS INC X 10; EMS
1023503250052; METILPRESS; METILPRESS; NOT FOUND; 500MG 3 BL X 10 COMP VER (HOSP); EMS
1023504340012; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT BG AL X 50 G + APLIC; EMS
1356903660016; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT BG AL X 50 G + 10 APLIC ; EMS
1023504830011; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 250MG 2 BL X 10 COMP; EMS
1023504830036; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 400MG 2 BL X 12 COMP; EMS
1023508650059; MICOFENOLATO DE MOFETILA; MICOFENOLATO MOFETILA; MICOFENOLATO MOFETILA; 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP); EMS
1356904420051; MICOFENOLATO DE MOFETILA; MICOFENOLATO MOFETILA; MICOFENOLATO MOFETILA; 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP); EMS
SI/NC; MUSCORIL; MUSCORIL; NOT FOUND; INJ 2ML C/3 AMP; EMS
