1023509870011; GASTROBENE; GASTROBENE; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20; EMS
1023503870034; GLYFLUCAN; GLYFLUCAN; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS LEIT X 2; EMS
1023503870042; GLYFLUCAN; GLYFLUCAN; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS LEIT X 1; EMS
1023503390059; GEROVITAL; GEROVITAL; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 60; EMS
1356904850013; GENTASONE; GENTASONE; NOT FOUND; 3 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; EMS
1023507580030; GABAPENTINA; GABAPENTINA; GABAPENTINA; 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; EMS
1023507580219; GABAPENTINA; GABAPENTINA; GABAPENTINA; 400 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; EMS
1023509650044; GABAPENTINA; GABAPENTINA; GABAPENTINA; 600MG COM REV CT BL AL PLAS OPC X 27; EMS
1356904160033; GABANEURIN; GABANEURIN; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; EMS
1356904160157; GABANEURIN; GABANEURIN; NOT FOUND; 400 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; EMS
1356904160289; GABANEURIN; GABANEURIN; NOT FOUND; 600 MG COM REV CT BL AL PLAS OPC X 27; EMS
1356903090031; GABAPENTINA; GABAPENTINA; GABAPENTINA; 300 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1356903090181; GABAPENTINA; GABAPENTINA; GABAPENTINA; 400 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1023506600011; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS INC X 24  ; EMS
1023506600038; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS INC X 12; EMS
1023506600100; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC) ; EMS
1023506600070; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC); EMS
1356901800015; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS INC X 24   ; EMS
1356901800023; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS INC X 12  ; EMS
1023506600119; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS OPC X 24   ; EMS
1023506600216; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS OPC X 12 ; EMS
1023506610017; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 30 ; EMS
1023506610025; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 60; EMS
1356901620017; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 30 ; EMS
1356902990047; GLIBENDIAB; GLIBENDIAB; NOT FOUND; 5 MG COM CT BL AL PVDC BCO LEIT X 30 ; EMS
1023500830023; GLICERINA; GLICERINA; NOT FOUND; AD C/6 SUSP; EMS
1023500830031; GLICERINA; GLICERINA; NOT FOUND; LAC C/6 SUP-E; EMS
1023505670040; GLICLAZIDA; GLICLAZIDA; GLICLAZIDA; 80 MG COM CT 2 BL AL PLAS INC X 15; EMS
1023505670067; GLICLAZIDA; GLICLAZIDA; GLICLAZIDA; 80MG 4 BL X 15 COMP; EMS
1023506940068; GLIANSOR; GLIANSOR; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; EMS
1023506940149; GLIANSOR; GLIANSOR; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 30; EMS
1023506940025; GLIANSOR; GLIANSOR; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 30; EMS
1023509670037; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS OPC X 30; EMS
1023509670045; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS OPC X 60; EMS
1023509670126; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS OPC X 30; EMS
1023509670207; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS OPC X 30; EMS
1023509670215; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS OPC X 60; EMS
1356905490037; GLYCOPIRIDA; GLYCOPIRIDA; NOT FOUND; 4 MG COM CT BL AL PLAS OPC X 30; EMS
1356905490126; GLYCOPIRIDA; GLYCOPIRIDA; NOT FOUND; 1 MG COM CT BL AL PLAS OPC X 30; EMS
1356905490207; GLYCOPIRIDA; GLYCOPIRIDA; NOT FOUND; 2 MG COM CT BL AL PLAS OPC X 30; EMS
1023507040087; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 13.33 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED  ; EMS
1023507040117; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 16 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED    ; EMS
1356902070088; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 13.33 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED   ; EMS
1356902070142; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 16 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED     ; EMS
1023510980011; GLIMATIN; GLIMATIN; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 60 ; EMS
1023510980036; GLIMATIN; GLIMATIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS OPC X 30 ; EMS
1356900280018; GYNAZOLE-1; GYNAZOLE 1; NOT FOUND; 20 MG/G CREM VAG CT APLIC PRE-ENVAS X 5 G; EMS
