1023507890048; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10MG/G + 0.4MG/G CREM DERM CT BG AL X 40G; EMS
1023510730250; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 30; EMS
1023510730269; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 60; EMS
1023510680024; CARDBET; CARDBET; NOT FOUND; 3.125 MG COM CT BL AL/AL X 30; EMS
1023510680075; CARDBET; CARDBET; NOT FOUND; 6.25 MG COM CT BL AL/AL X 30; EMS
1023510680121; CARDBET; CARDBET; NOT FOUND; 12.5 MG COM CT BL AL/AL X 30; EMS
1023510680172; CARDBET; CARDBET; NOT FOUND; 25 MG COM CT BL AL/AL X 30; EMS
1023505410022; CEFACLOR; CEFACLOR; CEFACLOR; 50 MG/ML SUS OR CT FR VD AMB X 80 ML + SER PLAS DOSAD; EMS
1023505410057; CEFACLOR; CEFACLOR; CEFACLOR; 75 MG/ML SUS OR CT FR VD AMB X 80 ML + SER PLAS DOSAD; EMS
1023505400019; CEFACLOR; CEFACLOR; CEFACLOR; 250MG 1 BL X 10 CAPS; EMS
1023505400027; CEFACLOR; CEFACLOR; CEFACLOR; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; EMS
1023505400035; CEFACLOR; CEFACLOR; CEFACLOR; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30 (EMB FRAC); EMS
1356900330325; CECLOR AF; CECLOR AF; NOT FOUND; 500 MG DRG AP CT BL AL PVDC X 10; EMS
1356902450050; CEFACLOR; CEFACLOR; CEFACLOR; 250 MG CAP GEL DURA CT BL AL PLAS LEIT X 10 ; EMS
1356902450182; CEFACLOR; CEFACLOR; CEFACLOR; 500 MG CAP GEL DURA CT BL AL PLAS LEIT X 10; EMS
1356903790017; CEFACLOR; CEFACLOR; CEFACLOR; 50 MG/ML SUS OR CT FR VD AMB X 80 ML + SER PLAS DOSAD; EMS
1356903790033; CEFACLOR; CEFACLOR; CEFACLOR; 75 MG/ML SUS OR CT FR VD AMB X 80 ML + SER PLAS DOSAD; EMS
1356900330317; CECLOR BD; CECLOR BD; NOT FOUND; 375 MG COM REV AP CT BL AL PVDC X 10; EMS
1356900330351; CECLOR BD; CECLOR BD; NOT FOUND; 750 MG COM REV AP CT BL AL PVDC X 10; EMS
1356900330368; CECLOR BD; CECLOR BD; NOT FOUND; 750 MG COM REV AP CT  BL AL PVDC X 14; EMS
1356900330325; CECLOR BD; CECLOR BD; NOT FOUND; 500 MG COM REV AP CT BL AL PVDC X 10; EMS
1356900330090; CECLOR; CECLOR; NOT FOUND; 250 MG/5ML SUS OR CT FR VD AMB X 80 ML + SER PLAS DOS+COLHER DOS; EMS
1356900330163; CECLOR; CECLOR; NOT FOUND; 375 MG/5ML SUS OR CT FR VD AMB X 80 ML + SER PLAS DOS+COLHER DOS; EMS
1356900330171; CECLOR; CECLOR; NOT FOUND; 375 MG/5ML SUS OR CT FR VD AMB X 100 ML + SER PLAS DOS; EMS
1356900330104; CECLOR; CECLOR; NOT FOUND; 250 MG/5ML SUS OR CT FR VD AMB X 100 ML + SER PLAS DOS; EMS
1356900330023; CECLOR; CECLOR; NOT FOUND; 500 MG 250MG 1BL X 10 CAPS; EMS
1356900330041; CECLOR; CECLOR; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PVDC X 10; EMS
1356900330082; CECLOR; CECLOR; NOT FOUND; 500MG 4BL X12 CAPS; EMS
1023504240050; CEDROXIL; CEDROXIL; NOT FOUND; SUSP 250MG/5ML FR 100ML; EMS
1023504250056; CEFADROXIL; CEFADROXIL; NOT FOUND; SUSP 250MG/5ML FR C/ 100ML; EMS
1023504250064; CEFADROXIL; CEFADROXIL; NOT FOUND; SUSP 500MG/5ML 100ML; EMS
1023504240018; CEDROXIL; CEDROXIL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; EMS
1023504250013; CEFADROXIL; CEFADROXIL; NOT FOUND; 500 MG 1 BL X 8 CAPS; EMS
1023505110101; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG X 60 CAPS (EMB FRAC); EMS
1023500260089; CEFAGRAN; CEFAGRAN; NOT FOUND; SUSP 250MG FR PO 100ML; EMS
1023500260089; CEFAGRAN; CEFAGRAN; NOT FOUND; SUSP 250MG FR PO 100ML (HOSP); EMS
1023500260065; CEFAGRAN; CEFAGRAN; NOT FOUND; 500 MG COM REV CT BL AL PLAST INC X 8; EMS
1023500260044; CEFAGRAN; CEFAGRAN; NOT FOUND; 500MG 1 BL X 8 COMP; EMS
1356902790064; CEFALEXINA; CEFALEXINA; CEFALEXINA; 1 G COM REV CT BL AL PLAS LEIT X 8; EMS
1356902790269; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; 500 MG COM REV CT BL AL PLAS LEIT X 8 ; EMS
1023505530028; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED; EMS
1023504320038; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 10; EMS
1023504320021; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL  AL PLAS INC X 8 ; EMS
1023504320054; CEFALEXINA; CEFALEXINA; CEFALEXINA; 1 G COM REV CT BL AL PLAS INC X 8   ; EMS
1023504320380; CEFALEXINA; CEFALEXINA; CEFALEXINA; 1 G COM REV CT BL AL PLAS INC X 45 (EMB FRAC); EMS
1023504320283; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC); EMS
1023503460022; CEFALIN; CEFALIN; NOT FOUND; INJ 1G C/ 50FR PO+DIL 5ML; EMS
1023503460022; CEFALIN; CEFALIN; NOT FOUND; INJ 1G C/ 50 FR PO S/DIL (HOSP); EMS
1023503460030; CEFALIN; CEFALIN; NOT FOUND; INJ 1G C/ 50FR PO+DIL 5ML (HOSP); EMS
1023504450020; CEFALOTINA; CEFALOTINA; CEFALOTINA; 1G C/ 50 FR PO+DIL; EMS
1023505460038; CEFATRIL; CEFATRIL; NOT FOUND; INJ C/ 50 FR/AMP S/DIL; EMS
1023505460021; CEFATRIL; CEFATRIL; NOT FOUND; 1 G PO INJ CT 50 FA VD INC + 50 DIL X 10 ML; EMS
1023504160022; CEFOXIT; CEFOXIT; NOT FOUND; INJ 1G IV C/ 1 FR+AMP; EMS
1023503500040; CEFTRIAX; CEFTRIAX; NOT FOUND; 1 G SOL INJ IM CT 1 FA + 1 AMP DIL X 3.5 ML ; EMS
1023503500016; CEFTRIAX; CEFTRIAX; NOT FOUND; 0.25 G SOL INJ IM CT  FA + 1 AMP DIL X 2 ML ; EMS
1023503500032; CEFTRIAX; CEFTRIAX; NOT FOUND; 0.5 G SOL INJ IM CT1 FA + AMP DIL X 2 ML ; EMS
1023503500059; CEFTRIAX; CEFTRIAX; NOT FOUND; IV 1G C/ 1 10ML; EMS
1023503500067; CEFTRIAX; CEFTRIAX; NOT FOUND; IV 250MG C/ 1; EMS
1023503500024; CEFTRIAX; CEFTRIAX; NOT FOUND; IV 500MG C/ 1; EMS
1023504500133; CEFTRIAXONA SOD; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; 1G IM C/ 1 FR/DIL INJ; EMS
1023504500044; CEFTRIAXONA SOD; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; 1G IV C/ 1 FR/DIL INJ; EMS
1023504500109; CEFTRIAXONA SOD; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; 500MG IM C/ 1 FR/DIL INJ; EMS
1023504500011; CEFTRIAXONA SOD; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; 500MG IV C/ 1 FR/DIL INJ; EMS
1023504500060; CEFTRIAXONA SOD; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; 1G PO P/ SOL INJ IV C 50 FA + 50 DIL X 10ML; EMS
1356906220017; CEFTRIAX; CEFTRIAX; NOT FOUND; 0.25 G SOL INJ IM CT FA + 1 AMP DIL X 2 ML; EMS
1356906220033; CEFTRIAX; CEFTRIAX; NOT FOUND; 0.5 G SOL INJ IM CT1 FA + AMP DIL X 2 ML; EMS
1356906220041; CEFTRIAX; CEFTRIAX; NOT FOUND; 1 G SOL INJ IM CT 1 FA + 1 AMP DIL X 3.5 ML; EMS
1023504770017; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G SHAMP CT FR PLAS OPC X 100 ML; EMS
1023504420032; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; EMS
1356903440032; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G ; EMS
1023504590019; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10 ; EMS
1023504590027; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 30; EMS
1023504590124; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS OPC X 60 (EMB FRAC); EMS
1356902780034; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS BCO LEIT X 10; EMS
1023505910017; CETOC.+DIPROP. BETA.; CETOC DIPROP BETA; NOT FOUND; CREME BISN 30G; EMS
1023505920012; CETOC.+DIPROP. BETA.; CETOC DIPROP BETA; NOT FOUND; POMADA BISN 30G; EMS
1023505910025; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 10 G ; EMS
1356903390043; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30G; EMS
1356903350033; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM  CT BG AL X 30G; EMS
1356904670066; CORTIFUNGIN; CORTIFUNGIN; NOT FOUND; 20MG/G +0.5MG/G POM DERM CT BG AL X 30 G  ; EMS
1356904670082; CORTIFUNGIN; CORTIFUNGIN; NOT FOUND; 20MG/G +0.5MG/G CREM DERM CT BG AL X 30 G  ; EMS
1023502710057; CELOCORT; CELOCORT; NOT FOUND; CREME BISN C/ 30 G; EMS
1023505820026; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 10 G ; EMS
1023505830021; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 10 G ; EMS
1356903410036; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G ; EMS
1356903400030; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20MG + 0.5MG + 2.5MG POM DERM CT BG AL X 30G; EMS
1023507240027; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP); EMS
1356902600028; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP); EMS
1023505210015; CETOPROFENO; CETOPROFENO; CETOPROFENO; GOTAS 2% FR C/ 20ML; EMS
1023505790011; CETOPROFENO; CETOPROFENO; CETOPROFENO; 25 MG/G GEL CT BG AL X 30 G; EMS
1356903820021; CETOPROFENO; CETOPROFENO; CETOPROFENO; 25 MG/G GEL CT BG AL X 30 G; EMS
1023506100019; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG CAP GEL DURA CT BL AL PLAS INC X 24 ; EMS
1023506100027; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG CAP GEL DURA CT BL AL PLAS INC X 60 (EMB FRAC); EMS
1023500180034; CALCINOL COMPLEXO; CALCINOL COMPLEXO; NOT FOUND; SUSP 240 ML; EMS
1356900050012; CEDOZELIN; CEDOZELIN; NOT FOUND; SOL INJ 3 AMP A VD AMB X 5 ML + 3 AMP B VD AMB X 10 ML(1000); EMS
1023509470021; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML; EMS
1023506930038; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 100 MG CAP GEL MOLE C/MCEMU CT BL AL/AL X 50; EMS
1023506930011; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 25 MG CAP GEL MOLE C/MCEMU CT BL AL/AL X 50; EMS
1023506930021; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 50 MG CAP GEL MOLE C/MCEMU CT BL AL/AL X 50; EMS
1356901870031; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 100 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50 ; EMS
1356901870013; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 25 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50 ; EMS
1356901870021; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 50 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50 ; EMS
1023504520029; CIMETIDINA; CIMETIDINA; CIMETIDINA; INJ CX C/ 100 AMP 2 X ML; EMS
1023504890012; CIMETIDINA; CIMETIDINA; CIMETIDINA; 400MG 2 BL X 8 COMP; EMS
1023509860081; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 8; EMS
1023509860014; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS OPC X 1; EMS
1023509860022; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS OPC X 2; EMS
1023509860030; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS OPC X 4; EMS
1023509860111; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS OPC X 2; EMS
1023509860057; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 1; EMS
1023509860091; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 12; EMS
1023509860065; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 2; EMS
1023509860073; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 4; EMS
1023509860103; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS OPC X 1; EMS
1023509860121; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS OPC X 4; EMS
1023504820014; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 10; EMS
1023504820022; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 14; EMS
1023505440010; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 25 MG/ML GRAN SUS OR CT FR PLAS OPC X 60 ML+FR PLAS DIL X 31 ML+SER PLAS; EMS
1023505440029; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 50 MG/ML GRAN SUS OR CT FR PLAS OPC X 60 ML+FR PLAS DIL X 31 ML+SER PLAS; EMS
1023504820219; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT BL AL PLAS LEIT X 30 (EMB FRAC); EMS
1023504820154; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT BL AL PLAS LEIT X 10; EMS
1023504990017; CLIOQUINOL + HIDROCORTIZONA; CLIOQUINOL HIDROCORTIZONA; NOT FOUND; BISN C/ 20; EMS
1023507520021; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB CGT X 20 ML; EMS
1356902980025; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB CGT X 20 ML ; EMS
1023508870024; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS LEIT X 30; EMS
1023502830017; CYSTEX; CYSTEX; NOT FOUND; 15MG+250MG+20MG+15MG DRG CT BL AL PLAS INC X 24; EMS
1023504810027; CLOR. AMBROXOL; CLOR AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
