1356905740017; LIPISTAT; LIPISTAT; NOT FOUND; 10 MG COM REV CT BL AL AL X 20; EMS
1356900040114; LANZ; LANZ; NOT FOUND; 30 MG CAP GEL DURA MICROG LIB RET CT 2 BL AL PVDC LEIT X 7; EMS
1356900040122; LANZ; LANZ; NOT FOUND; 30 MG CAP GEL DURA MICROG LIB RET CT 4 BL AL PVDC LEIT X 7; EMS
1356900040157; LANZ; LANZ; NOT FOUND; 15 MG CAP GEL DURA MICROG LIB RET CT BL AL PVDC LEIT X 66 (EMB FRAC); EMS
1356900040165; LANZ; LANZ; NOT FOUND; 30 MG CAP GEL DURA MICROG LIB RET CT BL AL PVDC LEIT X 66 (EMB FRAC); EMS
1356901970018; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 15 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 14 ; EMS
1356901970026; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 14; EMS
1356901970042; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 28; EMS
1356901970034; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MICROG LIB RET  CT BL AL PLAS INC X 7; EMS
1023509430011; LATANOPROSTA; LATANOPROSTA; LATANOPROSTA; 0.05 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML; EMS
1023509430028; LATANOPROSTA; LATANOPROSTA; LATANOPROSTA; 0.05 MG/ML SOL OFT CT FR PLAS TRANS GOT X 2.5 ML ; EMS
1356905300025; LATANOPROSTA; LATANOPROSTA; LATANOPROSTA; 0.05 MG/ML SOL OFT CT FR PLAS TRANS GOT X 2.5 ML ; EMS
1356905560019; LATANOPROSTA + MALEATO DE TIMOLOL; LATANOPROSTA MALEATO TIMOLOL; NOT FOUND; 0.05 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML; EMS
1023507570175; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 10; EMS
1023507570167; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 7; EMS
1023507570159; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 3 ; EMS
1023507570264; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 42 (EMB FRAC); EMS
1356903740151; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 10; EMS
1356903740141; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 7; EMS
1356903740133; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 3 ; EMS
1023509020024; LIDOCAÍNA; LIDOCAINA; LIDOCAINA; 50 MG/G POM DERM CT BG AL X 25 G (SBR LAR); EMS
1023508910034; LIDOCAÍNA; LIDOCAINA; LIDOCAINA; 40 MG/G CREM DERM CT BG AL X 30 G; EMS
1023509020016; LIDOCAÍNA; LIDOCAINA; LIDOCAINA; 50 MG/G POM DERM CT BG AL X 25 G ; EMS
1023509110015; LIDOCAÍNA + PRILOCAÍNA; LIDOCAINA PRILOCAINA; NOT FOUND; 25 MG/G + 25 MG/G CREM DERM CT 5 BG AL X 5 G + 10 BAND OCL ; EMS
1023509110023; LIDOCAÍNA + PRILOCAÍNA; LIDOCAINA PRILOCAINA; NOT FOUND; 25 MG/G + 25 MG/G CREM DERM CT BG AL X 5 G + 2 BAND OCL; EMS
1023506190042; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT 2 BL AL PLAS INC X 15 ; EMS
1023506190077; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT 2 BL AL PLAS INC X 15  ; EMS
1023506190107; LISINOPRIL; LISINOPRIL; LISINOPRIL; 30 MG COM CT 2 BL AL PLAS INC X 15  ; EMS
1023506190018; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT 2 BL AL PLAS INC X 15; EMS
1023506190141; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); EMS
1023506190131; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); EMS
1023506190085; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); EMS
1023506190115; LISINOPRIL; LISINOPRIL; LISINOPRIL; 30 MG COM CT BL AL PLAS INC X 60 (EMB FRAC) ; EMS
1356902170015; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS INC X 30 ; EMS
1356902170031; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS INC X 30  ; EMS
1356902170058; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS INC X 30   ; EMS
1356902170074; LISINOPRIL; LISINOPRIL; LISINOPRIL; 30 MG COM CT BL AL PLAS INC X 30    ; EMS
1023505060013; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; EMS
1356903430029; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED ; EMS
1023505690017; LORATADINA + PSEUDOEFEDRINA; LORATADINA PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED; EMS
1356901890014; LORATADINA + SULFATO DE PSEUDOEFEDRINA; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED; EMS
1023504980038; LORAZEPAM; LORAZEPAM; LORAZEPAM; 1 MG COM CT BL AL PLAS INC X 20; EMS
1023504980046; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COM CT BL AL PLAS INC X 20; EMS
1356902160079; LORAZEPAM; LORAZEPAM; LORAZEPAM; 1 MG COM CT BL AL PLAS OPC X 20; EMS
1356902160222; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COM CT BL AL PLAS OPC X 20; EMS
1023504980127; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COM CT BL AL PLAS OPC X 20; EMS
1023508100180; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100  MG COM REV CT BL AL PLAS LEIT X 30; EMS
1023508100547; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS LEIT X 30; EMS
1356903930447; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS LEIT X 30; EMS
1356903930080; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS LEIT X 30; EMS
1356903930455; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS LEIT X 60; EMS
1356903930099; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS LEIT X 60; EMS
1356903480034; LIPIBLOCK; LIPIBLOCK; NOT FOUND; 120 MG CAP GEL DURA CT BL AL PVDC LEIT X 42; EMS
1356903480050; LIPIBLOCK; LIPIBLOCK; NOT FOUND; 120 MG CAP GEL DURA CT BL AL PVDC LEIT X 84; EMS
1356900210079; LACTIPAN; LACTIPAN; NOT FOUND; 200 MG/G PO OR CT 6 ENV AL POLIET X 1.0 G; EMS
