531622801114418; LIPISTAT; LIPISTAT; NOT FOUND; 10 MG COM REV CT BL AL AL X 20; EMS
507731102117412; LEVERCTIN; LEVERCTIN; NOT FOUND; 6 MG COM CT STR AL X 4; EMS
531602301116417; LANZ; LANZ; NOT FOUND; 15 MG CAP GEL DURA MICROG LIB RET CT 2 BL AL PVDC LEIT X 7; EMS
507726602115110; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 15 MG CAP GEL DURA MICROG LIB RET CT BL AL PLAS INC X 14  ; EMS
507726605114115; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 15 MG CAP GEL DURA C/ MCGRAN LIB RETARD CT BL AL PLAS INC X 60 (EMB FRAC) ; EMS
531602307114416; LANZ; LANZ; NOT FOUND; 15 MG CAP GEL DURA MICROG LIB RET CT BL AL PVDC LEIT X 66 (EMB FRAC); EMS
531602305111411; LANZ; LANZ; NOT FOUND; 30 MG CAP GEL DURA MICROG LIB RET CT 2 BL AL PVDC LEIT X 7; EMS
507726603111119; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 14; EMS
531602306118418; LANZ; LANZ; NOT FOUND; 30 MG CAP GEL DURA MICROG LIB RET CT 4 BL AL PVDC LEIT X 7; EMS
507726604118117; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 28; EMS
507726606110113; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MCGRAN LIB RETARD CT BL AL PLAS INC X 60 (EMB FRAC) ; EMS
531602308110414; LANZ; LANZ; NOT FOUND; 30 MG CAP GEL DURA MICROG LIB RET CT BL AL PVDC LEIT X 66 (EMB FRAC); EMS
531602303119413; LANZ; LANZ; NOT FOUND; 30 MG CAP GEL DURA MICROG LIB RET CT BL AL PVDC LEIT X 7; EMS
507726601119112; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 7 ; EMS
541814080008806; LATANOPROSTA; LATANOPROSTA; LATANOPROSTA; 0.05 MG/ML SOL OFT CT FR PLAS TRANS GOT X 2.5 ML ; EMS
507746101170113; LATANOPROSTA; LATANOPROSTA; LATANOPROSTA; 0.05 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML; EMS
531613100070506; LATANOPROSTA; LATANOPROSTA; LATANOPROSTA; 0.05 MG/ML SOL OFT CT FR PLAS TRANS GOT X 2.5 ML ; EMS
531614080076006; LATANOPROSTA + MALEATO DE TIMOLOL; LATANOPROSTA MALEATO TIMOLOL; NOT FOUND; 0.05 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML; EMS
507733501116114; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 10; EMS
507733503119110; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 3 ; EMS
507733504115119; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 42 (EMB FRAC); EMS
507733502112112; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 7; EMS
507738302162117; LIDOCAÍNA; LIDOCAINA; LIDOCAINA; 40 MG/G CREM DERM CT BG AL X 30 G; EMS
507738301166119; LIDOCAÍNA; LIDOCAINA; LIDOCAINA; 50 MG/G POM DERM CT BG AL X 25 G (SBR LAR); EMS
507738303169115; LIDOCAÍNA; LIDOCAINA; LIDOCAINA; 50 MG/G POM DERM CT BG AL X 25 G ; EMS
507738701164113; LIDOCAÍNA + PRILOCAÍNA; LIDOCAINA PRILOCAINA; NOT FOUND; 25 MG/G + 25 MG/G CREM DERM CT 5 BG AL X 5 G + 10 BAND OCL ; EMS
507738702160111; LIDOCAÍNA + PRILOCAÍNA; LIDOCAINA PRILOCAINA; NOT FOUND; 25 MG/G + 25 MG/G CREM DERM CT BG AL X 5 G + 2 BAND OCL; EMS
531605002111116; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS INC X 30  ; EMS
507716501111112; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT 2 BL AL PLAS INC X 15 ; EMS
507716505117115; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); EMS
531605003116111; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS INC X 30   ; EMS
507716502118110; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT 2 BL AL PLAS INC X 15  ; EMS
507716507111114; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); EMS
531605004112111; LISINOPRIL; LISINOPRIL; LISINOPRIL; 30 MG COM CT BL AL PLAS INC X 30    ; EMS
507716503114119; LISINOPRIL; LISINOPRIL; LISINOPRIL; 30 MG COM CT 2 BL AL PLAS INC X 15  ; EMS
507716508116111; LISINOPRIL; LISINOPRIL; LISINOPRIL; 30 MG COM CT BL AL PLAS INC X 60 (EMB FRAC) ; EMS
531605001113115; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS INC X 30 ; EMS
507716504110117; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT 2 BL AL PLAS INC X 15; EMS
507716506113113; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); EMS
507716701137115; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; EMS
507716601132111; LORATADINA + PSEUDOEFEDRINA; LORATADINA PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED; EMS
507716801115113; LORAZEPAM; LORAZEPAM; LORAZEPAM; 1 MG COM CT BL AL PLAS INC X 20; EMS
507716802111111; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COM CT BL AL PLAS INC X 20; EMS
507737601115112; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100  MG COM REV CT BL AL PLAS LEIT X 30; EMS
531620604117116; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS LEIT X 60; EMS
507737602111110; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS LEIT X 30; EMS
531620603110118; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS LEIT X 60; EMS
