541812090003803; FEBUPEN; FEBUPEN; NOT FOUND; 100 MG COM REV CT BL AL AL X 12; EMS
507728801158118; FOSF. CLINDAMICINA; FOSF CLINDAMICINA; FOSFATO CLINDAMICINA; 150MG/ML INJ 100 AMP C/ 4ML; EMS
531611802165118; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC; EMS
507728802162119; FOSF. CLINDAMICINA; FOSF CLINDAMICINA; FOSFATO CLINDAMICINA; 20 MG/G CREM VAG CT BG X 20 G + 3 APLIC; EMS
507745601110111; FUMARATO DE BISOPROLOL; FUMARATO BISOPROLOL; NOT FOUND; 1.25 MG COM REV CT BL AL PLAS OPC X 30; EMS
507745602117111; FUMARATO DE BISOPROLOL; FUMARATO BISOPROLOL; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 30; EMS
507745603113118; FUMARATO DE BISOPROLOL; FUMARATO BISOPROLOL; NOT FOUND; 2.5 MG COM REV CT BL AL PLAS OPC X 30; EMS
507745604111119; FUMARATO DE BISOPROLOL; FUMARATO BISOPROLOL; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 30; EMS
507714302138111; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
531604802139114; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 1 MG/ML SOL OR CT FR VD AMB X 30 ML + CGT; EMS
507714303134111; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 1 MG/ML SOL OR CT FR VD AMB X 30 ML + CGT; EMS
531616101165112; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 1 MG/G CREM DERM CT BG AL X 20 G ; EMS
531616102161110; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 1 MG/G POM DERM CT BG AL X 20 ; EMS
507733401162114; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 1 MG/G CREM DERM CT BG AL X 20 G ; EMS
507733402169112; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 1 MG/G POM DERM CT BG AL X 20 G ; EMS
507745001113111; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; EMS
507745002111110; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 30; EMS
507745003116116; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 14; EMS
507745004112114; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 30; EMS
541813030005306; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 300 MG COM REV CT BL AL PLAS OPC X 30; EMS
507736701116414; FOLIFOLIN; FOLIFOLIN; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30 ; EMS
