531602901156411; PREG-LESS; PREG LESS; NOT FOUND; 150 MG/ML+10 MG/ML SOL INJ CT AMP VD INC X 1 ML; EMS
531613020068903; PATZ SL; PATZ SL; NOT FOUND; 5 MG COM SUBL CT FR VD AMB X 30; EMS
507721101118418; PREVYOL-2; PREVYOL 2; NOT FOUND; 0.75 MG COM CT BL AL PLAS INC X 2; EMS
507727601112418; PREVIDEZ - 2; PREVIDEZ 2; NOT FOUND; 0.75 MG COM CT BL AL PLAS INC X 2; EMS
531603101110413; PRILCOR; PRILCOR; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; EMS
531603102117411; PRILCOR; PRILCOR; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 30; EMS
531603103113411; PRILCOR; PRILCOR; NOT FOUND; 30 MG COM CT BL AL PLAS INC X 20; EMS
531603105116416; PRILCOR; PRILCOR; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30; EMS
507720902117411; PRESSEL; PRESSEL; NOT FOUND; 10 MG COM CT 3 STR X 10; EMS
507720903113411; PRESSEL; PRESSEL; NOT FOUND; 20 MG COM CT 3 STR X 10; EMS
507720901110413; PRESSEL; PRESSEL; NOT FOUND; 5.0 MG COM CT 3 STR X 10; EMS
531613100071106; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 14; EMS
507719801116114; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL PLAS BRANCO LEITOSO X 14; EMS
531613100071206; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 28; EMS
507719803119110; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL PLAS BRANCO LEITOSO X 28; EMS
507719807114113; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL PLAS BCO LEIT X 60 (EMB FRAC) ; EMS
507719802112112; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL PLAS BRANCO LEITOSO X 7; EMS
531613100071306; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 14; EMS
507719804115119; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL PLAS BRANCO LEITOSO X 14; EMS
531613100071406; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 28; EMS
507719806118115; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG 2BL X 14 COMP; EMS
507719808110111; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL PLAS BCO LEIT X 60 (EMB FRAC) ; EMS
507719805111117; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL PLAS BRANCO LEITOSO X 28; EMS
531614010072606; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 42; EMS
541814010006806; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL AL X 42; EMS
531614010072706; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 42; EMS
541814010006706; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL AL X 42; EMS
541814120009406; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL AL X 14; EMS
541814120009506; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL AL X 28; EMS
507742801119411; PRAZY; PRAZY; NOT FOUND; 20 MG COM REV CT BL AL/AL X 28; EMS
507742802115418; PRAZY; PRAZY; NOT FOUND; 40 MG COM REV CT BL AL/AL X 28; EMS
531614903132112; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/G PO P/ PREP EXT CT 25 SACH AL PE X 5 G (EMB FRAC); EMS
507719909138119; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/G PO P/ PRE EXT CT 25 SACH AL PE X 5 G (EMB FRAC); EMS
507719904136118; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/G PO P/ PRE EXT CT 50 SACH AL PE X 5 G; EMS
507719905132116; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/ML SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD ; EMS
507719903131120; PARACETAMOL; PARACETAMOL; PARACETAMOL; GOTAS FR C/15ML; EMS
507720003139420; PARALGEN; PARALGEN; NOT FOUND; GOTAS FR C/15ML; EMS
507719906139114; PARACETAMOL; PARACETAMOL; PARACETAMOL; 32 MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED ; EMS
531614902179123; PARACETAMOL; PARACETAMOL; PARACETAMOL; PO LIMAO MEL 50 SACHE X 5G; EMS
531614904112115; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM REV CT BL AL PLAS LEIT X 100 (EMB HOSP); EMS
507719907119117; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM REV CT BL AL PLAS LEIT X 100 (EMB HOSP); EMS
531614905119113; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP); EMS
507719908115115; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP); EMS
507719901110126; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750MG 2 BL X 10 COMP; EMS
507720001111421; PARALGEN; PARALGEN; NOT FOUND; 750MG 2 BL X 10 COMP; EMS
507719902117124; PARACETAMOL; PARACETAMOL; PARACETAMOL; 50 BL X 4 COMP; EMS
531625601167415; PENVIR LÁBIA; PENVIR LABIA; NOT FOUND; 10 MG/G CR CT TB AL X 5 G; EMS
507720101114112; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 400 MG COM REV LIB PROL CT BL AL PLAS INC X 20  ; EMS
507720103117119; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 400 MG COM REV LIB PROL CT BL AL PLAS INC X 30; EMS
507720102110110; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 400 MG COM REV LIB PROL CT BL AL PLAS INC X 60 (EMB FRAC); EMS
507720201119116; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10; EMS
507720202115114; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 15; EMS
507720204118110; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS LEIT X 60 (EMB FRAC); EMS
531613001161110; PIROXICAM; PIROXICAM; PIROXICAM; 5 MG/G GEL CT BG AL X 30 G; EMS
507720203162116; PIROXICAM; PIROXICAM; PIROXICAM; 5 MG/G GEL CT BG AL X 30 G ; EMS
531614060074704; PREDSIGMA; PREDSIGMA; NOT FOUND; 20 MG COM CT BL AL PLAS OPC X 10; EMS
507746701119119; PREDNISOLONA; PREDNISOLONA; PREDNISOLONA; 20 MG COM CT BL AL AL X 10; EMS
507720601117110; PREDINISONA; PREDINISONA; NOT FOUND; 20 MG COM CT  BL AL PLAS INC X 10; EMS
507720801116411; PREDNIS; PREDNIS; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 10; EMS
507720603111111; PREDINISONA; PREDINISONA; NOT FOUND; 20 MG COM CT  BL AL PLAS INC X 30 (EMB FRAC); EMS
507720602113119; PREDINISONA; PREDINISONA; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; EMS
507720802112418; PREDNIS; PREDNIS; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; EMS
507720604116115; PREDINISONA; PREDINISONA; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); EMS
507728601175116; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 30 G; EMS
531609801165112; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 30 G ; EMS
531609802161110; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30G ; EMS
507728602163111; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30G ; EMS
531609803176111; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G SOL CAP CT FR PLAS OPC GOT X 50 G ; EMS
507728603178112; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G SOL CAP CT FR PLAS OPC GOT X 50 G; EMS
507720501163420; POMADERME; POMADERME; NOT FOUND; 5000 UI + 900 UI + 150 MG POM DERM CT BG AL X 45 G; EMS
507732901110417; PONSDRIL; PONSDRIL; NOT FOUND; 500 MG COM CT BL AL PLAS LEIT X 24; EMS
