507709401166419; DEXADERMIL; DEXADERMIL; NOT FOUND; 1MG/G CREM DERM CT BG AL X 10 G; EMS
507728302119117; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 6 MG COM CT BL AL PLAS LEIT X 20; EMS
507728303115115; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 6 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC); EMS
507740103139117; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD ; EMS
507741203137416; DESTADIN; DESTADIN; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD; EMS
507740102132119; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD ; EMS
507741202130418; DESTADIN; DESTADIN; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; EMS
507740101111118; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS OPC X 10; EMS
507741201118414; DESTADIN; DESTADIN; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 10; EMS
541812050000003; DESTADIN; DESTADIN; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 30; EMS
541812070001406; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS OPC X 30; EMS
531614060074603; DESOSKIN; DESOSKIN; NOT FOUND; 0.5 MG/G CREM DERM CT BG AL X 30 G ; EMS
531605902161111; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G POM DERM CT BG AL X 30 G ; EMS
507726701164111; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G CREM CT BG AL X 30 G; EMS
507726702160118; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G POM DERM CT BG AL X 30 G ; EMS
531605903168118; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G LOC CREM CT FR PLAS OPC X 60 G; EMS
507726703167116; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G LOC CREM CT FR PLAS OPC X 60 G; EMS
531605904164116; DESONIDA; DESONIDA; DESONIDA; 1 MG/G LOC CAPIL CT FR PLAS OPC GOT X 30 G ; EMS
507726704163114; DESONIDA; DESONIDA; DESONIDA; 1 MG/G LOC CAPIL CT FR PLAS TRANS GOT X 30 G ; EMS
531606904133111; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED; EMS
507709501136112; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML; EMS
531606901118111; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.5 MG COM CT BL AL PLAS OPC X 20; EMS
507709502116115; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.5 MG COM CT BL AL PLAS OPC X 20; EMS
507709503112113; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.75 MG COM CT BL AL PLAS OPC X 20; EMS
507709504119111; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 4 MG COM CT BL AL PLAS OPC X 10   ; EMS
531624002111414; DIAZEPAM NQ; DIAZEPAM NQ; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; EMS
531625002115418; DIAZEFAST; DIAZEFAST; NOT FOUND; 10 MG COM CT BL AL PVDC LEIT X 20; EMS
507709701119114; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 20; EMS
507709705114117; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 30; EMS
531624001115416; DIAZEPAM NQ; DIAZEPAM NQ; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; EMS
531625001119411; DIAZEFAST; DIAZEFAST; NOT FOUND; 5 MG COM CT BL AL PVDC LEIT X 20; EMS
507709702115112; DIAZEPAM; DIAZEPAM; DIAZEPAM; (B1) 5 MG 2 BL X 10 COMP; EMS
507709706110115; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 30; EMS
507729201138114; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15MG/ML SUS OR GOTAS FR COM 20ML; EMS
531619801117417; DICLOSTIR; DICLOSTIR; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 10; EMS
507727203117118; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 10  ; EMS
507735501113413; DRYLTAC; DRYLTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 10; EMS
531619802113415; DICLOSTIR; DICLOSTIR; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 14; EMS
507727201114111; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 14; EMS
507735502111414; DRYLTAC; DRYLTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 14; EMS
531619803111416; DICLOSTIR; DICLOSTIR; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 20; EMS
507727202110111; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 20; EMS
507735503116411; DRYLTAC; DRYLTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 20; EMS
507727204113116; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 66 (EMB FRAC); EMS
531608701167115; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10MG/G GEL CREM CT BG AL X 60G; EMS
507710102118114; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG COM REV CT BL AL PLAS INC X 10; EMS
507710101111116; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG COM REV CT BL AL PLAS INC X 20; EMS
507710103114112; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC); EMS
507710206118110; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100MG COM REV DESINT LENTA CT BL AL PLAS INC X 10  ; EMS
507710205111112; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100MG COM REV DESINT LENTA CT BL AL PLAS INC X 20; EMS
507710207114119; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV LIB RETARD CT BL AL PLAS INC X 20; EMS
541814050007706; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.25 MG COM CT BL AL AL X 30   ; EMS
541814050007806; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 1 MG COM CT BL AL AL X 30   ; EMS
531606302117118; DIMETICONA; DIMETICONA; DIMETICONA; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; EMS
507710502116119; DIMETICONA; DIMETICONA; DIMETICONA; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; EMS
507710603117412; DIMETILIV; DIMETILIV; NOT FOUND; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; EMS
507710602137411; DIMETILIV; DIMETILIV; NOT FOUND; 250 MG/ML EMU. OR CT FR PLAS OPC GOT X 15 ML; EMS
507710501111113; DIMETICONA; DIMETICONA; DIMETICONA; 40 MG COM CT  BL AL PLAS INC X 20; EMS
507710601114416; DIMETILIV; DIMETILIV; NOT FOUND; 40 MG COM CT 2 BL AL PLAS INC X 10; EMS
507710503139112; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML; EMS
507729301132118; DIMETICONA + METILBROMETO DE HOMATROPINA; DIMETICONA METILBROMETO HOMATROPINA; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS OPC GOT X 20 ML; EMS
531616601133112; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; EMS
507710705130116; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; EMS
507710701119126; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500MG 24 BL X 10 COMP; EMS
507710703138128; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; GOTAS FR C/10ML; EMS
507710704134126; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; GOTAS FR C/20ML; EMS
531607101166111; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.50 MG/G CREM DERM CT BG AL X 30 G ; EMS
531607102162118; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.5 MG/G POM DERM CT BG AL X 30 G; EMS
507727301161111; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.5 MG/G CREM DERM CT BG AL X 30 G; EMS
507727302166117; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.5 MG/G POM DERM CT BG AL X 30 G; EMS
531609602162113; DIPROPIONATO BETAMETASONA + SULFA GENTAMICINA; DIPROPIONATO BETAMETASONA SULFA GENTAMICINA; NOT FOUND; POM BIS C/ 30G; EMS
507728402164114; DIPROP. BETAMETASONA + SULF. GENTAMICINA; DIPROP BETAMETASONA SULF GENTAMICINA; NOT FOUND; POM BISN C/ 30G; EMS
507728401176119; DIPROP. BETAMETASONA + SULF. GENTAMICINA; DIPROP BETAMETASONA SULF GENTAMICINA; NOT FOUND; CREM BISN C/ 30G; EMS
507725901062118; DIPROP.BETA+AC.SALIC.; DIPROP BETA AC SALIC; NOT FOUND; POM 30 G; EMS
531611701164116; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.5 MG/G + 30 MG/G POM DERM CT BG AL X 30 G; EMS
531613070069706; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.64 MG/ML + 20.00 MG/ML SOL TOP CT FR PLAS OPC X 30 ML ; EMS
507742601111415; DOMPLIV; DOMPLIV; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 30; EMS
507743601113114; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 30; EMS
507742602116410; DOMPLIV; DOMPLIV; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 60; EMS
507743602111115; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 60; EMS
531627801112416; DALYNE; DALYNE; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS OPC X 21; EMS
507747001110117; DROSPIRENONA + ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS OPC X 21; EMS
531613110071903; DALYNE; DALYNE; NOT FOUND; 3 MG + 0.03 MG COM REV CT 3 BL AL PLAS OPC X 21; EMS
507734501160413; DERMOSTATIN; DERMOSTATIN; NOT FOUND; 100.000 UI / G + 200 MG / G POM DERM CT BG AL X 60 G; EMS
507709001176417; DAKGRAN; DAKGRAN; NOT FOUND; 20 MG/ML LOC CT FR PLAS OPC X 30 ML; EMS
507709802136413; DIAZOL; DIAZOL; NOT FOUND; SUSP FR C/60ML; EMS
507709801113411; DIAZOL; DIAZOL; NOT FOUND; 3 STP X 4 COMP; EMS
507742101168418; DERMORUTEX B; DERMORUTEX B; NOT FOUND; 20 MG/G + 1 MG/G CREM DERM CT BG AL X 15 G; EMS
507710001168116; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CT BG AL X 60 G; EMS
531614101168115; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 10 MG/G GEL CT BG AL X 60 G ; EMS
507710204166118; DICLOFENACO SODICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 10 MG/G GEL CT BG AL X 60 G ; EMS
