531604207117411; VELAMOX; VELAMOX; NOT FOUND; 875 MG COM REV CT BL AL/AL X 14; EMS
541812070001206; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; EMS
541812070001106; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; EMS
507712010117803; VASOTRILIX; VASOTRILIX; NOT FOUND; 1.5 MG COM REV CT BL AL AL X 30; EMS
507730101168112; VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA; VALERATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 1 MG/G + 5 MG/G POM CT BG AL X 30G; EMS
507730102164110; VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA; VALERATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 1 MG/ G + 5 MG/G CREM CT BG AL X 30G; EMS
531615101161119; VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA; VALERATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 1 MG/G + 5 MG/G CREM DERM CT BG AL X 30G ; EMS
531615102168117; VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA; VALERATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 1 MG/G + 5 MG/G POM DERM CT BG AL X 30 G; EMS
541814070008703; VITAFER; VITAFER; NOT FOUND; 109 MG COM REV CT FR PLAS OPC X 50; EMS
507724701116410; VITAFER; VITAFER; NOT FOUND; 109 MG COM REV CT FR VD AMB X 50; EMS
531612902163115; VALERATO DE BETAMETASONA; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1 MG/G POM DERM CT BG AL X 30 G; EMS
507725301065116; VALERATO BETAMETASONA; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1MG/G POM DERM CT BG AL X 30G; EMS
507725401061112; VALERATO BETAMETASONA; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1 MG/G CREM DERM CT BG AL X 30G; EMS
507724501176118; VALERATO BETAMETASONA; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1 MG/G LOC DERM CT FR PLAS OPC GOT X 50 G; EMS
507724502172116; VALERATO BETAMETASONA; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1 MG/G SOL CAPIL CT FR PLAS OPC GOT X 50 G; EMS
531606201132111; VALPROATO DE SÓDIO; VALPROATO SODIO; VALPROATO SODIO; 50MG/ML XPE CT FR VD AMB X 100ML; EMS
507730001139110; VALPROATO DE SÓDIO; VALPROATO SODIO; VALPROATO SODIO; 50MG/ML XPE CT FR VD AMB X 100 ML; EMS
507744403110117; VALSARTANA; VALSARTANA; VALSARTANA; 160 MG COM REV CT BL AL AL X 30; EMS
507744402114119; VALSARTANA; VALSARTANA; VALSARTANA; 320 MG COM REV. CT BL AL/AL X 30; EMS
507744401118110; VALSARTANA; VALSARTANA; VALSARTANA; 40 MG COM REV CT BL AL AL X 30; EMS
507744404117115; VALSARTANA; VALSARTANA; VALSARTANA; 80 MG COM REV CT BL AL AL X 30; EMS
