507716901136112; MALEATO DE DEXCLOR.+BETAMETASONA; MALEATO DEXCLOR BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML; EMS
507729601111116; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 30; EMS
531614402117412; MALENA HCT; MALENA HCT; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PVDC LEIT X 30 ; EMS
531614404111411; MALENA HCT; MALENA HCT; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PVDC LEIT X 70 (EMB FRAC); EMS
507729603112111; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PLAS OPC X 90 (EMB FRAC); EMS
531607802113111; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10 MG + 25 MG COM CT BL AL PLAS OPC X 30; EMS
531614401110414; MALENA HCT; MALENA HCT; NOT FOUND; 10 MG + 25 MG COM CT BL AL PVDC LEIT X 30 ; EMS
507725801017110; MALEA.ENALAP.+HIDR.; MALEA ENALAP HIDR; NOT FOUND; 10/25 MG 2BX15 COMP; EMS
531614403113410; MALENA HCT; MALENA HCT; NOT FOUND; 10 MG + 25 MG COM CT BL AL PVDC LEIT X 70 (EMB FRAC); EMS
507729602116111; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10 MG + 25 MG COM CT BL AL PLAS OPC X 90 (EMB FRAC); EMS
507717001139113; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML ; EMS
507717003166118; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 10 MG/G CREM DERM CT BG AL X 30 G; EMS
507717002119116; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2 MG COM CT BL AL BCO PLAS LEIT X 20; EMS
531607403138119; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; EMS
507717004138118; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; EMS
531621001114415; MALENA; MALENA; NOT FOUND; 10 MG COM CT BL AL/AL X 30; EMS
507717101117111; MALEATO ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 30 ; EMS
507734801113119; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 60 (EMB FRAC); EMS
531621002110413; MALENA; MALENA; NOT FOUND; 20 MG COM CT BL AL/AL X 30; EMS
507717102113111; MALEATO ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 30; EMS
507734802111111; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 60 (EMB FRAC); EMS
531621003117411; MALENA; MALENA; NOT FOUND; 5 MG COM CT BL AL/AL X 30; EMS
507717103111110; MALEATO ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 30 ; EMS
507734803116115; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 60 (EMB FRAC); EMS
507733601137113; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; EMS
531614301175115; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; EMS
507733602133111; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; EMS
531614302171113; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; EMS
507717201111115; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 6; EMS
531619301130112; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED ; EMS
507717202134119; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML; EMS
531609701111118; MEBENDAZOL + TIABENDAZOL; MEBENDAZOL TIABENDAZOL; NOT FOUND; 200 + 332 MG COM MAST CT BL AL PLAS LEIT X 6; EMS
507728501111116; MEBENDAZOL + TIABENDAZOL; MEBENDAZOL TIABENDAZOL; NOT FOUND; 200MG + 332MG COM MAST CT BL AL PLAS LEIT X 6 ; EMS
531625202114415; MELOTEC; MELOTEC; NOT FOUND; 15 MG COM CT FR PLAS OPC X 10; EMS
507717302112117; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS OPC X 10 ; EMS
507717401110414; MELOXIGRAN; MELOXIGRAN; NOT FOUND; 15 MG COM CT FR VD AMB X 10; EMS
507717303119115; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS OPC X 60 (EMB FRAC); EMS
531625201118417; MELOTEC; MELOTEC; NOT FOUND; 7.5 MG COM CT FR PLAS OPC X 10; EMS
507717301116119; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT FR PLAS OPC X 10; EMS
507717304115113; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS OPC X 60 (EMB FRAC); EMS
531614501174112; MESALAZINA; MESALAZINA; MESALAZINA; 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML; EMS
507731901176118; MESALAZINA; MESALAZINA; MESALAZINA; 3 G ENEMA CT SACH AL POLIET X 3 G + DIL FR PLAS TRANS X 100 ML; EMS
507731902113111; MESALAZINA; MESALAZINA; MESALAZINA; 800 MG COM REV CT BL AL PLAS LEIT X 30; EMS
507732001111115; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS LEIT X 30; EMS
507717601111112; METILDOPA; METILDOPA; METILDOPA; 250 MG COM REV CT BL AL PLAS INC X 30 ; EMS
507717701114415; METILPRESS; METILPRESS; NOT FOUND; 250 MG COM REV CT 3 BL AL PLAS INC X 10; EMS
507717603112116; METILDOPA; METILDOPA; METILDOPA; 250 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC); EMS
507717602116118; METILDOPA; METILDOPA; METILDOPA; 500 MG COM REV CT BL AL PLAS INC X 30 ; EMS
507717702110413; METILPRESS; METILPRESS; NOT FOUND; 500 MG COM REV CT 3 BL AL PLAS INC X 10; EMS
507717604119114; METILDOPA; METILDOPA; METILDOPA; 500 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC); EMS
531617301168113; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT BG AL X 50 G + 10 APLIC ; EMS
507717903167110; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT BG AL X 50 G + APLIC; EMS
531620301114110; MICOFENOLATO DE MOFETILA; MICOFENOLATO MOFETILA; MICOFENOLATO MOFETILA; 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP); EMS
507737401116115; MICOFENOLATO DE MOFETILA; MICOFENOLATO MOFETILA; MICOFENOLATO MOFETILA; 500 MG COM REV CT BL AL PLAS LEIT X 50 (EMB HOSP); EMS
