1558401260061; CAPOTRINEO; CAPOTRINEO; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 16; BF8
1558404490017; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/G GEL TOP CT BG AL X 30 G; BF8
1558400370025; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30; BF8
1558400370041; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30; BF8
1558404200019; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM CT BL AL PLAS TRANS X 30; BF8
1558404200027; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM CT BL AL PLAS TRANS X 60; BF8
1558403770032; COLÍRIO NEO BRASIL; COLIRIO NEO BRASIL; NOT FOUND; 0.15MG/ML + 0.30MG/ML SOL OFT CT FR PLAS X 20ML; BF8
1558403850028; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC X 30 ML; BF8
1558400300035; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; BF8
1558400300027; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 20; BF8
1558400340045; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 28; BF8
1558400340037; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 20; BF8
1558400340029; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 10; BF8
1558400340053; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 30; BF8
1558404120041; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS TRANS X 30; BF8
1558400580011; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG/ML SOL OR CT FR PLAS AMB X 100 ML + SER DOSAD; BF8
1558400580021; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG/ML SOL OR CT FR PLAS AMB X 120 ML + SER DOSAD; BF8
1558400550031; CORILAN; CORILAN; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 120 ML + COP; BF8
1558400550015; CORILAN; CORILAN; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 30 ML + COP; BF8
1558400550023; CORILAN; CORILAN; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + COP; BF8
