507901101159414, SOL. CLOR. DE POTASSIO, SOL CLOR POTASSIO, NOT FOUND, 10 ML 10%, EQX
507902301151415, SOLUCAO DE MANITOL EQUIPLEX, SOLUCAO MANITOL EQUIPLEX, NOT FOUND, 200 MG/ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, EQX
507902304150411, SOLUCAO DE MANITOL EQUIPLEX, SOLUCAO MANITOL EQUIPLEX, NOT FOUND, 200 MG/ML SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML, EQX
507902501150412, SOLUÇÃO DE METRONIDAZOL EQUIPLEX , SOLUCAO METRONIDAZOL EQUIPLEX, NOT FOUND, 5 MG/ML SOL INJ CX 70 FR AMP PLAS TRANS X 100 ML (EMB HOSP), EQX
507902107150417, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 12 FR PLAS TRANS PE SIST FECH X 1000 ML, EQX
507902106154419, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 20 FR PLAS TRANS PE SIST FECH X 500 ML, EQX
507902105158410, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 24 FR PLAS TRANS PE SIST FECH X 500 ML, EQX
507902104151412, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 40 FR PLAS TRANS PE SIST FECH X 250 ML, EQX
507902103155414, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 48 FR PLAS TRANS PE SIST FECH X 250 ML, EQX
507902102159416, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 70 FR PLAS TRANS PE SIST FECH X 100 ML, EQX
507902101152418, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 70 FR PLAS TRANS PE SIST FECH X 50 ML, EQX
507902205152414, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9 MG + 50 MG)/ML SOL INJ IV CX 20 FR PLAS TRANS PE SIST FECH X 500 ML, EQX
507902204156416, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9 MG + 50 MG)/ML SOL INJ IV CX 24 FR PLAS TRANS PE SIST FECH X 500 ML, EQX
507902201157411, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9 MG + 50 MG)/ML SOL INJ IV CX 40 FR PLAS TRANS PE SIST FECH X 250 ML, EQX
507902203151410, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9 MG + 50 MG)/ML SOL INJ IV CX 48 FR PLAS TRANS PE SIST FECH X 250 ML, EQX
507902202153411, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9MG + 50 MG)/ML SOL INJ IV CX 12 FR PLAS TRANS PE SIST FECH X 1000 ML, EQX
507901704155410, SOLUÇÃO GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50% 10 ML, EQX
507901702152414, SOLUÇÃO GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50% 10 ML, EQX
507901708150413, SOLUÇÃO GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 750 MG/ML SOL INJ CX 200 AMP POLIET X 10 ML, EQX
507901804151417, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML, EQX
507901805156412, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, EQX
507901806152410, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, EQX
507901807159419, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, EQX
507901808155417, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML, EQX
507902402152417, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML, EQX
507902403159415, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, EQX
507902404155413, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, EQX
507902401156419, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, EQX
507902405151411, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML, EQX
507901101159414, SOL. CLOR. DE POTASSIO, SOL CLOR POTASSIO, NOT FOUND, 10 ML 10%, EQX
507901102155412, SOL. CLOR. DE POTASSIO, SOL CLOR POTASSIO, NOT FOUND, 10 ML 15%, EQX
507901301158411, SOL.FIS. CLOR. DE SÓDIO, SOL FIS CLOR SODIO, NOT FOUND, 0.9%10 ML, EQX
507901306151415, SOL.FIS. CLOR. DE SÓDIO, SOL FIS CLOR SODIO, NOT FOUND, 10% 10 ML, EQX
507901307156410, SOL.FIS. CLOR. DE SÓDIO, SOL FIS CLOR SODIO, NOT FOUND, 20% 10 ML, EQX
507901509158414, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML, EQX
507901510156411, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, EQX
507901511152411, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, EQX
507901512159418, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, EQX
507901513155416, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML, EQX
507901514151414, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 70 FR PLAS TRANS SIST FECH X 100 ML, EQX
507901515158412, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 70 FR PLAS TRANS SIST FECH X 50 ML, EQX
507902302158413, SOLUCAO DE MANITOL EQUIPLEX, SOLUCAO MANITOL EQUIPLEX, NOT FOUND, 200 MG/ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, EQX
507902303154411, SOLUCAO DE MANITOL EQUIPLEX, SOLUCAO MANITOL EQUIPLEX, NOT FOUND, 200 MG/ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, EQX
507902301151415, SOLUCAO DE MANITOL EQUIPLEX, SOLUCAO MANITOL EQUIPLEX, NOT FOUND, 200 MG/ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, EQX
507902304150411, SOLUCAO DE MANITOL EQUIPLEX, SOLUCAO MANITOL EQUIPLEX, NOT FOUND, 200 MG/ML SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML, EQX
507902501150412, SOLUÇÃO DE METRONIDAZOL EQUIPLEX , SOLUCAO METRONIDAZOL EQUIPLEX, NOT FOUND, 5 MG/ML SOL INJ CX 70 FR AMP PLAS TRANS X 100 ML (EMB HOSP), EQX
507902107150417, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 12 FR PLAS TRANS PE SIST FECH X 1000 ML, EQX
507902106154419, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 20 FR PLAS TRANS PE SIST FECH X 500 ML, EQX
507902105158410, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 24 FR PLAS TRANS PE SIST FECH X 500 ML, EQX
507902104151412, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 40 FR PLAS TRANS PE SIST FECH X 250 ML, EQX
507902103155414, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 48 FR PLAS TRANS PE SIST FECH X 250 ML, EQX
507902102159416, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 70 FR PLAS TRANS PE SIST FECH X 100 ML, EQX
507902101152418, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 70 FR PLAS TRANS PE SIST FECH X 50 ML, EQX
507902205152414, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9 MG + 50 MG)/ML SOL INJ IV CX 20 FR PLAS TRANS PE SIST FECH X 500 ML, EQX
507902204156416, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9 MG + 50 MG)/ML SOL INJ IV CX 24 FR PLAS TRANS PE SIST FECH X 500 ML, EQX
507902201157411, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9 MG + 50 MG)/ML SOL INJ IV CX 40 FR PLAS TRANS PE SIST FECH X 250 ML, EQX
507902203151410, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9 MG + 50 MG)/ML SOL INJ IV CX 48 FR PLAS TRANS PE SIST FECH X 250 ML, EQX
507902202153411, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9MG + 50 MG)/ML SOL INJ IV CX 12 FR PLAS TRANS PE SIST FECH X 1000 ML, EQX
507901702152414, SOLUÇÃO GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50% 10 ML, EQX
507901704155410, SOLUÇÃO GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50% 10 ML, EQX
507901708150413, SOLUÇÃO GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 750 MG/ML SOL INJ CX 200 AMP POLIET X 10 ML, EQX
507901804151417, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML, EQX
507901805156412, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, EQX
507901806152410, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, EQX
507901807159419, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, EQX
507901808155417, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML, EQX
507902402152417, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML, EQX
507902403159415, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, EQX
507902404155413, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, EQX
507902401156419, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, EQX
507902405151411, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML, EQX
507901101159414, SOL. CLOR. DE POTASSIO, SOL CLOR POTASSIO, NOT FOUND, 10 ML 10%, EQX
507901102155412, SOL. CLOR. DE POTASSIO, SOL CLOR POTASSIO, NOT FOUND, 10 ML 15%, EQX
507901301158411, SOL.FIS. CLOR. DE SÓDIO, SOL FIS CLOR SODIO, NOT FOUND, 0.9%10 ML, EQX
507901306151415, SOL.FIS. CLOR. DE SÓDIO, SOL FIS CLOR SODIO, NOT FOUND, 10% 10 ML, EQX
507901307156410, SOL.FIS. CLOR. DE SÓDIO, SOL FIS CLOR SODIO, NOT FOUND, 20% 10 ML, EQX
507901509158414, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML, EQX
507901510156411, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, EQX
507901511152411, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, EQX
507901512159418, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, EQX
507901513155416, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML, EQX
507901514151414, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 70 FR PLAS TRANS SIST FECH X 100 ML, EQX
507901515158412, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 70 FR PLAS TRANS SIST FECH X 50 ML, EQX
507902302158413, SOLUCAO DE MANITOL EQUIPLEX, SOLUCAO MANITOL EQUIPLEX, NOT FOUND, 200 MG/ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, EQX
507902303154411, SOLUCAO DE MANITOL EQUIPLEX, SOLUCAO MANITOL EQUIPLEX, NOT FOUND, 200 MG/ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, EQX
507902301151415, SOLUCAO DE MANITOL EQUIPLEX, SOLUCAO MANITOL EQUIPLEX, NOT FOUND, 200 MG/ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, EQX
507902304150411, SOLUCAO DE MANITOL EQUIPLEX, SOLUCAO MANITOL EQUIPLEX, NOT FOUND, 200 MG/ML SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML, EQX
507902501150412, SOLUÇÃO DE METRONIDAZOL EQUIPLEX , SOLUCAO METRONIDAZOL EQUIPLEX, NOT FOUND, 5 MG/ML SOL INJ CX 70 FR AMP PLAS TRANS X 100 ML (EMB HOSP), EQX
507902107150417, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 12 FR PLAS TRANS PE SIST FECH X 1000 ML, EQX
507902106154419, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 20 FR PLAS TRANS PE SIST FECH X 500 ML, EQX
507902105158410, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 24 FR PLAS TRANS PE SIST FECH X 500 ML, EQX
507902104151412, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 40 FR PLAS TRANS PE SIST FECH X 250 ML, EQX
507902103155414, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 48 FR PLAS TRANS PE SIST FECH X 250 ML, EQX
507902102159416, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 70 FR PLAS TRANS PE SIST FECH X 100 ML, EQX
507902101152418, SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO EQUIPLEX, SOLUCAO FISIOLOGICA CLORETO SODIO EQUIPLEX, NOT FOUND, 9 MG/ML SOL INJ IV CX 70 FR PLAS TRANS PE SIST FECH X 50 ML, EQX
507902205152414, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9 MG + 50 MG)/ML SOL INJ IV CX 20 FR PLAS TRANS PE SIST FECH X 500 ML, EQX
507902204156416, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9 MG + 50 MG)/ML SOL INJ IV CX 24 FR PLAS TRANS PE SIST FECH X 500 ML, EQX
507902201157411, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9 MG + 50 MG)/ML SOL INJ IV CX 40 FR PLAS TRANS PE SIST FECH X 250 ML, EQX
507902203151410, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9 MG + 50 MG)/ML SOL INJ IV CX 48 FR PLAS TRANS PE SIST FECH X 250 ML, EQX
507902202153411, SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX, SOLUCAO GLICOFISIOLOGICA EQUIPLEX, NOT FOUND, (9MG + 50 MG)/ML SOL INJ IV CX 12 FR PLAS TRANS PE SIST FECH X 1000 ML, EQX
507901702152414, SOLUÇÃO GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50% 10 ML, EQX
507901704155410, SOLUÇÃO GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50% 10 ML, EQX
507901708150413, SOLUÇÃO GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 750 MG/ML SOL INJ CX 200 AMP POLIET X 10 ML, EQX
507901804151417, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML, EQX
507901805156412, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, EQX
507901806152410, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, EQX
507901807159419, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, EQX
507901808155417, SOLUÇÃO RINGER C/ LACTATO, SOLUCAO RINGER C LACTATO, NOT FOUND, SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML, EQX
507902402152417, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML, EQX
507902403159415, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, EQX
507902404155413, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML, EQX
507902401156419, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML, EQX
507902405151411, SOLUÇÃO RINGER SIMPLES EQUIPLEX, SOLUCAO RINGER SIMPLES EQUIPLEX, NOT FOUND, 0.86G + 0.03G + 0.033G SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML, EQX
507901101159414, SOL. CLOR. DE POTASSIO, SOL CLOR POTASSIO, NOT FOUND, 10 ML 10%, EQX
507901102155412, SOL. CLOR. DE POTASSIO, SOL CLOR POTASSIO, NOT FOUND, 10 ML 15%, EQX
507901301158411, SOL.FIS. CLOR. DE SÓDIO, SOL FIS CLOR SODIO, NOT FOUND, 0.9%10 ML, EQX
507901306151415, SOL.FIS. CLOR. DE SÓDIO, SOL FIS CLOR SODIO, NOT FOUND, 10% 10 ML, EQX
507901307156410, SOL.FIS. CLOR. DE SÓDIO, SOL FIS CLOR SODIO, NOT FOUND, 20% 10 ML, EQX
507901509158414, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML, EQX
507901510156411, SOLUÇÃO DE GLICOSE, SOLUCAO GLICOSE, NOT FOUND, 50 MG/ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML, EQX
