1677301670023; CENEVIT ARG; CENEVIT ARG; NOT FOUND; 1000 MG + 1000 MG COM EFEV CT TB PLAS X 16; LG6
1677302970055; CEFACLOR; CEFACLOR; CEFACLOR; 500 MG CAP GEL DURA CT BL AL PLAS OPC X 10; LG6
1677303130018; CEDROXIL; CEDROXIL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; LG6
1677302170032; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; LG6
1677302060016; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS BCO LEIT X 10; LG6
1677302480041; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G; LG6
1677302030028; CANDIGRAN; CANDIGRAN; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G; LG6
1677301720012; CELOCORT; CELOCORT; NOT FOUND; 0.5 MG/G+2.5 MG/G+20.0 MG/G CREM DERM CT BG AL X 30 G; LG6
1677302490037; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G; LG6
1677300940027; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML; LG6
1677300810026; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/G CREM DERM CT BG AL X 20 G; LG6
1677301350088; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 8; LG6
1677301350096; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 12; LG6
1677301350071; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 4; LG6
1677301350061; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 2; LG6
1677301350053; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 1; LG6
1677301350037; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 4; LG6
1677301350029; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 2; LG6
1677301350126; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 4; LG6
1677301350101; CITRATO DE SIDENAFILA; CITRATO SIDENAFILA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 1; LG6
1677300320010; CENEVIT ZINCO; CENEVIT ZINCO; NOT FOUND; 1 G + 10 MG COM EFEV CT TB PLAS X 30; LG6
1677300320037; CENEVIT ZINCO; CENEVIT ZINCO; NOT FOUND; 1 G + 10 MG COM EFEV CT TB PLAS X 10; LG6
1677303240026; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB CGT X 20 ML; LG6
1677300370026; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS OPC X 30 (B1 - PORT 344/98); LG6
1677302180011; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; LG6
1677301890104; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 50 MG COM CT BL AL PLAS LEITOSO X 30; LG6
1677301890041; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 2.5 MG + 25 MG COM CT BL AL PLAS LEITOSO X 30; LG6
1677300360012; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CT BL AL PLAS OPC X 20; LG6
1677302830016; CLORIDRATO DE ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; 75 MG COM LIB LENTA CT BL AL PLAS LEIT X 20; LG6
1677300340011; CLORIDRATO DE BETAXOLOL; CLORIDRATO BETAXOLOL; CLORIDRATO BETAXOLOL; 5 MG/ML SOL OFT ESTERIL CT FR PLAS TRANS GOT X 5 ML; LG6
1677300200041; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE ADU CT FR VD AMB X 120 ML + CP MED  ; LG6
1677303450055; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB LENT CT BL AL AL X 60; LG6
1677303450047; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB LENT CT BL AL AL X 30; LG6
1677301060055; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 15; LG6
1677301060071; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677301060152; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5MG COM REV CT BL AL PLAS OPC X 15; LG6
1677301060179; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5MG COM REV CT BL AL PLAS OPC X 30; LG6
1677300670070; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; LG6
1677301760091; CIPROCILIN; CIPROCILIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; LG6
1677300170019; CLORIDRATO DE CIPROFLOXACINO + DEXAMETASONA; CLORIDRATO CIPROFLOXACINO DEXAMETASONA; NOT FOUND; 3.5 MG + 1 MG SOL OFT CT FR PLAS OPC GOT X 5 ML; LG6
1677302630017; CLORIDRATO DE CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; 10 MG COM REV CT BL AL PLAS OPC X 20; LG6
1677302630025; CLORIDRATO DE CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; 25 MG COM REV CT BL AL PLAS OPC X 20; LG6
1677302590031; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 30 MG COM CT FR PLAS OPC X 50; LG6
1677302590058; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 60 MG COM CT FR PLAS OPC X 25; LG6
1677302590074; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 60 MG COM CT FR PLAS OPC X 50; LG6
1677300970031; CLORIDRATO DE DORZOLAMIDA; CLORIDRATO DORZOLAMIDA; CLORIDRATO DORZOLAMIDA; 20 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; LG6
1677300900033; CLORIDRATO DE DORZOLAMIDA+MALEATO DE TIMOLOL; CLORIDRATO DORZOLAMIDA MALEATO TIMOLOL; NOT FOUND; 20 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; LG6
1677303890020; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 30 MG CAP GEL LIB RETARD CT BL AL AL X 15; LG6
1677303890039; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 30 MG CAP GEL LIB RETARD CT BL AL AL X 30; LG6
1677303890081; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 60 MG CAP GEL LIB RETARD CT BL AL AL X 30; LG6
1677303480035; CORIZZ NOITE; CORIZZ NOITE; NOT FOUND; 400 MG +20MG COM AMARELO / 400MG+ 4MG COM LARANJA CT BL AL/AL X 12 + 12; LG6
1677303480051; CORIZZ NOITE; CORIZZ NOITE; NOT FOUND; 400 MG +20MG COM AMARELO / 400MG+ 4MG COM LARANJA CT BL AL/AL X 100 + 100; LG6
1677303660025; CORIZZ DIA; CORIZZ DIA; NOT FOUND; 400 MG + 20 MG COM CT BL AL AL X 12 + 400 COM CT BL AL AL X 12; LG6
1677303660041; CORIZZ DIA; CORIZZ DIA; NOT FOUND; 400 MG + 20 MG COM CT BL AL AL X 50 + 400 MG COM CT BL AL AL X 50; LG6
1677302800168; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
1677302800151; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS OPC X 28; LG6
1677303270073; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677303020034; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML GEL TOP CT BG AL X 30 G; LG6
1677302720016; COLÍRIO LEGRAND; COLIRIO LEGRAND; NOT FOUND; 0.30 MG/ML + 0.15 MG/ML SOL OCU CT PLAS OPC GOT X 20 ML; LG6
1677301640027; CLORIDRATO DE NARATRIPTANA; CLORIDRATO NARATRIPTANA; CLORIDRATO NARATRIPTANA; 2.5MG COM VER CT BL AL PLAS OPC X 4; LG6
1677301640043; CLORIDRATO DE NARATRIPTANA; CLORIDRATO NARATRIPTANA; CLORIDRATO NARATRIPTANA; 2.5MG COM VER CT BL AL PLAS OPC X 10; LG6
1677301110036; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 30 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677301110141; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677303360021; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 15MG COM CT FR PLAS OPC X 15; LG6
1677303360099; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 30 MG COM CT FR PLAS OPC X 15; LG6
1677302610024; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 20; LG6
1677303070015; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 10; LG6
1677303070090; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 100 MG COM REV CT BL AL PLAS OPC X 14; LG6
1677303070031; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 20; LG6
1677303070041; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 28; LG6
1677300960036; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
1677300960087; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
1677300090041; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM DERM CT BG AL X 20 G; LG6
1677303250021; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 30; LG6
1677303250013; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 20; LG6
1677302570014; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS OPC X 10; LG6
1677300680025; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 14; LG6
1677300680051; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 30; LG6
1677300680106; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG CAP GEL DURA LIB PROL CT BL PLAS OPC X 30; LG6
1677300680165; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 75 MG CAP GEL DURA LIB PROL CT BL PLAS OPC X 30; LG6
1677302410017; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; LG6
1677300830078; CLEANKINOL; CLEANKINOL; NOT FOUND; 40 MG/G CREM CT BG AL X 30 G; LG6
1677300830035; CLEANKINOL; CLEANKINOL; NOT FOUND; 40 MG/G GEL CT BG AL X 30 G ; LG6
1677300920026; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG/ ML SOL OR CT FR PLAS OPC X 120 ML + CP MED; LG6
1677301490033; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 25 MG COM CT FR PLAS OPC X 30; LG6
1677301810021; CANDERM; CANDERM; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 20; LG6
1677301810054; CANDERM; CANDERM; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 20; LG6
