500507801158416; DECADRONAL; DECADRONAL; NOT FOUND; 8MG/ML SUS INJ CT FA INC X 2 ML; A4H
500515020059305; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+15MG COM REV CT BL AL PLAS TRANS X 7 ; A4H
500515020059405; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+15MG COM REV CT BL AL PLAS TRANS X 30; A4H
500515020059505; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+20MG COM REV CT BL AL PLAS TRANS X 7 ; A4H
500512120047403; DECONGEX PLUS; DECONGEX PLUS; NOT FOUND; 12 MG + 15 MG COM REV LIB PROG CT BL AL PLAS INC X 100 (EMB MULT); A4H
500514100057803; DIGEPLUS; DIGEPLUS; NOT FOUND; 7 MG + 40 MG + 50 MG CAP GEL DURA CT BL AL PLAS TRANS X 12; A4H
500511401118318; DIGEPLUS; DIGEPLUS; NOT FOUND; 7 MG + 40 MG + 50 MG CAP GEL DURA CT BL AL PLAS INC X 30 ; A4H
500514010053905; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR PLAS AMB X 100 ML + SER DOS; A4H
500513090052706; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS TRANS X 10; A4H
500510407139416; DECADRON; DECADRON; NOT FOUND; 0.5 MG/ML + 3.5 MG/ML + 5 MG/ML SOL NAS CT FR PLAS OPC SPR X 20 ML; A4H
500510406132418; DECADRON; DECADRON; NOT FOUND; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + COP; A4H
500510401114411; DECADRON; DECADRON; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 20; A4H
500510402110411; DECADRON; DECADRON; NOT FOUND; 0.75 MG COM CT BL AL PLAS INC X 20; A4H
500510403151411; DECADRON; DECADRON; NOT FOUND; 2MG/ML SOL INJ CT 2 AMP X 1 ML; A4H
500510404113416; DECADRON; DECADRON; NOT FOUND; 4.0 MG COM CT BL AL PLAS INC X 10; A4H
500510405152415; DECADRON; DECADRON; NOT FOUND; 4MG/ML SOL INJ CT 1 FA X 2.5 ML; A4H
500512050042906; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 16 MG COM CT BL AL PLAS INC X 30; A4H
500512050043006; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 24 MG COM CT BL AL PLAS INC X 30; A4H
500512050042806; DICLORIDRATO DE BETAISTINA; DICLORIDRATO BETAISTINA; DICLORIDRATO BETAISTINA; 8 MG COM CT BL AL PLAS INC X 30; A4H
500512080046106; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.125 MG COM CT BL AL/AL X 30; A4H
500512080046206; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.25 MG COM CT BL AL/AL X 30; A4H
500512080046306; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 1 MG COM CT BL AL/AL X 30; A4H
500502903114417; DIOSMIN; DIOSMIN; NOT FOUND; 450 MG + 50 MG COM REV CT  BL AL PLAS INC X 10; A4H
500502901111410; DIOSMIN; DIOSMIN; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 30; A4H
500502902118419; DIOSMIN; DIOSMIN; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 60; A4H
500512901114417; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 15 SACH X 5 G (SABOR LARANJA/LIMAO); A4H
500512902110415; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 15 SACH X 5 G (SABOR ABACAXI); A4H
500512903117413; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 30 SACH X 5 G (SABOR ABACAXI); A4H
500512904113411; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 30 SACH X 5 G (SABOR LARANJA/LIMAO); A4H
500512905111412; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 60 SACH X 5 G (SABOR ABACAXI); A4H
500512906116418; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 60 SACH X 5 G (SABOR LARANJA/LIMAO); A4H
500512040041303; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 7 SACH X 5 G (SABOR ABACAXI); A4H
500512040041403; DIOSMIN SDU; DIOSMIN SDU; NOT FOUND; 900 MG + 100 MG GRAN CT 7 SACH X 5 G (SABOR LARANJA/LIMAO) ; A4H
500513090052506; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 1.5 MG/ML XPE CT FR PLAS AMB X 120 ML + SER DOS; A4H
500513090052606; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 3 MG/ML XPE CT FR PLAS AMB X 120 ML + COP; A4H
500514020054803; DECADRON INJETÁVEL; DECADRON INJETAVEL; NOT FOUND; 2MG/ML SOL INJ CT 100 AMP VD TRANS X 1 ML (EMB HOSP); A4H
500514020054903; DECADRON INJETÁVEL; DECADRON INJETAVEL; NOT FOUND; 4MG/ML SOL INJ CT 100 FA VD TRANS  X 2.5 ML  (EMB HOSP); A4H
500508801178415; DECADRON COLÍRIO; DECADRON COLIRIO; NOT FOUND; 1.33 MG/ML + 6.25 MG/ML SOL OCUL CT FR PLAS OPC GOT X 5 ML; A4H
500512002136418; DORALIV; DORALIV; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; A4H
500513601173319; DORALIV GEL; DORALIV GEL; NOT FOUND; 20 MG/ML GEL OR CT FR PLAS X 150 ML + CP MED; A4H
500513701178312; DORALIV GEL; DORALIV GEL; NOT FOUND; 20 MG/ML GEL OR CT FR PLAS X 60 ML + COL MED; A4H
500512001131412; DORALIV; DORALIV; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; A4H
500514040057003; DORENE TABS; DORENE TABS; NOT FOUND; 75 MG COM CT BL AL PLAS TRANS X 15; A4H
500514040057103; DORENE TABS; DORENE TABS; NOT FOUND; 75 MG COM CT BL AL PLAS TRANS X 30; A4H
500514040057203; DORENE TABS; DORENE TABS; NOT FOUND; 150 MG COM CT BL AL PLAS TRANS X 15; A4H
500514040057303; DORENE TABS; DORENE TABS; NOT FOUND; 150 MG COM CT BL AL PLAS TRANS X 30; A4H
500514010054304; DORENE; DORENE; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 15; A4H
500514010054404; DORENE; DORENE; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS TRANS X 30; A4H
500514010054104; DORENE; DORENE; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 15; A4H
500514010054204; DORENE; DORENE; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 30; A4H
500502601118411; DEPROZOL; DEPROZOL; NOT FOUND; 1 G  COM REV CT BL AL PLAS INC X 2; A4H
500502602114418; DEPROZOL; DEPROZOL; NOT FOUND; 1 G COM REV CT BL AL PLAS INC X 4; A4H
