524308401114116, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 15, LR3
524308405111111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 16, LR3
524308406116117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 28, LR3
524301901111410, CICLAVIX, CICLAVIX, NOT FOUND, 200 MG C/25 COMPRIMIDOS, LR3
524301902169412, CICLAVIX, CICLAVIX, NOT FOUND, CREME 10 GRAMAS, LR3
524302101178411, COLIRIO BLUMEN, COLIRIO BLUMEN, NOT FOUND, 20 ML, LR3
524308401114116, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 15, LR3
524308402110114, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 30, LR3
524308403117112, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 16, LR3
524308404113110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 28, LR3
524308405111111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 16, LR3
524308406116117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 28, LR3
524301901111410, CICLAVIX, CICLAVIX, NOT FOUND, 200 MG C/25 COMPRIMIDOS, LR3
524301902169412, CICLAVIX, CICLAVIX, NOT FOUND, CREME 10 GRAMAS, LR3
524302101178411, COLIRIO BLUMEN, COLIRIO BLUMEN, NOT FOUND, 20 ML, LR3
524308401114116, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 15, LR3
524308402110114, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 30, LR3
524308403117112, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 16, LR3
524308404113110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 28, LR3
524308405111111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 16, LR3
524308406116117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 28, LR3
524301901111410, CICLAVIX, CICLAVIX, NOT FOUND, 200 MG C/25 COMPRIMIDOS, LR3
524301902169412, CICLAVIX, CICLAVIX, NOT FOUND, CREME 10 GRAMAS, LR3
524302101178411, COLIRIO BLUMEN, COLIRIO BLUMEN, NOT FOUND, 20 ML, LR3
524308401114116, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 15, LR3
524308402110114, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 30, LR3
524308403117112, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 16, LR3
524308404113110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 28, LR3
524308405111111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 16, LR3
524308406116117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 28, LR3
524301901111410, CICLAVIX, CICLAVIX, NOT FOUND, 200 MG C/25 COMPRIMIDOS, LR3
524301902169412, CICLAVIX, CICLAVIX, NOT FOUND, CREME 10 GRAMAS, LR3
524302101178411, COLIRIO BLUMEN, COLIRIO BLUMEN, NOT FOUND, 20 ML, LR3
524308401114116, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 15, LR3
524308402110114, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 30, LR3
524308403117112, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 16, LR3
524308404113110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 28, LR3
524308405111111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 16, LR3
524308406116117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 28, LR3
524301901111410, CICLAVIX, CICLAVIX, NOT FOUND, 200 MG C/25 COMPRIMIDOS, LR3
524301902169412, CICLAVIX, CICLAVIX, NOT FOUND, CREME 10 GRAMAS, LR3
524302101178411, COLIRIO BLUMEN, COLIRIO BLUMEN, NOT FOUND, 20 ML, LR3
524308401114116, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 15, LR3
524308402110114, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 30, LR3
524308403117112, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 16, LR3
524308404113110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 28, LR3
524308405111111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 16, LR3
524308406116117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 28, LR3
524301901111410, CICLAVIX, CICLAVIX, NOT FOUND, 200 MG C/25 COMPRIMIDOS, LR3
524301902169412, CICLAVIX, CICLAVIX, NOT FOUND, CREME 10 GRAMAS, LR3
524302101178411, COLIRIO BLUMEN, COLIRIO BLUMEN, NOT FOUND, 20 ML, LR3
524301901111410, CICLAVIX, CICLAVIX, NOT FOUND, 200 MG COM CT FR PLAS OPC X 25, LR3
524301902169412, CICLAVIX, CICLAVIX, NOT FOUND, CREME 10 GRAMAS, LR3
524308401114116, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 15, LR3
524308402110114, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 30, LR3
524308403117112, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 16, LR3
524308404113110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 28, LR3
524308405111111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 16, LR3
524308406116117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 28, LR3
524302101178411, COLIRIO BLUMEN, COLIRIO BLUMEN, NOT FOUND, 20 ML, LR3
524301901111410, CICLAVIX, CICLAVIX, NOT FOUND, 200 MG COM CT FR PLAS OPC X 25, LR3
524301902169412, CICLAVIX, CICLAVIX, NOT FOUND, CREME 10 GRAMAS, LR3
524308401114116, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 15, LR3
524308402110114, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PVC X 30, LR3
524308403117112, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 16, LR3
524308404113110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PVC X 28, LR3
524308405111111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 16, LR3
524308406116117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PVC X 28, LR3
524309301164111, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 20 MG/G CREM DERM CT BG AL X 30 G, LR3
524302101178411, COLIRIO BLUMEN, COLIRIO BLUMEN, NOT FOUND, 20 ML, LR3
