530805201118411, NIMESULON, NIMESULON, NOT FOUND, 100 MG COMP CT 01 BL PLAS AMB X 12, SNV
530805304162411, NISTAVAL, NISTAVAL, NOT FOUND, 25.000 UI/G CREM VAG CT 50 BG AL X 60 G + APLIC (EMB HOSP), SNV
530805303166413, NISTAVAL, NISTAVAL, NOT FOUND, 25000 UI/G CREM VAG BG AL X 60 G + APLIC, SNV
530805401117417, NORFLOXASAN, NORFLOXASAN, NOT FOUND, 400 MG COMP REV CT FR VD AMB X 14, SNV
530805201118411, NIMESULON, NIMESULON, NOT FOUND, 100 MG COMP CT 01 BL PLAS AMB X 12, SNV
530805202130413, NIMESULON, NIMESULON, NOT FOUND, 50 MG /ML SOL ORAL CT FR VD AMB 15 ML, SNV
530805305134411, NISTAVAL, NISTAVAL, NOT FOUND, 100.000 UI SUS OR CT 50 FR VD AMB X 50 ML + CGT (EMB HOSP), SNV
530805304162411, NISTAVAL, NISTAVAL, NOT FOUND, 25.000 UI/G CREM VAG CT 50 BG AL X 60 G + APLIC (EMB HOSP), SNV
530805303166413, NISTAVAL, NISTAVAL, NOT FOUND, 25000 UI/G CREM VAG BG AL X 60 G + APLIC, SNV
530805401117417, NORFLOXASAN, NORFLOXASAN, NOT FOUND, 400 MG COMP REV CT FR VD AMB X 14, SNV
530805201118411, NIMESULON, NIMESULON, NOT FOUND, 100 MG COMP CT 01 BL PLAS AMB X 12, SNV
530805202130413, NIMESULON, NIMESULON, NOT FOUND, 50 MG /ML SOL ORAL CT FR VD AMB 15 ML, SNV
530805305134411, NISTAVAL, NISTAVAL, NOT FOUND, 100.000 UI SUS OR CT 50 FR VD AMB X 50 ML + CGT (EMB HOSP), SNV
530805304162411, NISTAVAL, NISTAVAL, NOT FOUND, 25.000 UI/G CREM VAG CT 50 BG AL X 60 G + APLIC (EMB HOSP), SNV
530805303166413, NISTAVAL, NISTAVAL, NOT FOUND, 25000 UI/G CREM VAG BG AL X 60 G + APLIC, SNV
530805401117417, NORFLOXASAN, NORFLOXASAN, NOT FOUND, 400 MG COMP REV CT FR VD AMB X 14, SNV
530805201118411, NIMESULON, NIMESULON, NOT FOUND, 100 MG COMP CT 01 BL PLAS AMB X 12, SNV
530805202130413, NIMESULON, NIMESULON, NOT FOUND, 50 MG /ML SOL ORAL CT FR VD AMB 15 ML, SNV
530805305134411, NISTAVAL, NISTAVAL, NOT FOUND, 100.000 UI SUS OR CT 50 FR VD AMB X 50 ML + CGT (EMB HOSP), SNV
530805304162411, NISTAVAL, NISTAVAL, NOT FOUND, 25.000 UI/G CREM VAG CT 50 BG AL X 60 G + APLIC (EMB HOSP), SNV
530805303166413, NISTAVAL, NISTAVAL, NOT FOUND, 25000 UI/G CREM VAG BG AL X 60 G + APLIC, SNV
530805401117417, NORFLOXASAN, NORFLOXASAN, NOT FOUND, 400 MG COMP REV CT FR VD AMB X 14, SNV
