502601401156414, STREPTASE, STREPTASE, NOT FOUND, 1500000 UI - LIOFILIZADO INJETAVEL CARTELA FRASC, CSL
502602102152415, SANDOGLOBULINA, SANDOGLOBULINA, NOT FOUND, 12 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 200 ML + EQP INFUS, CSL
502602103159413, SANDOGLOBULINA, SANDOGLOBULINA, NOT FOUND, 3 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 100 ML + EQP INFUS, CSL
502602104155411, SANDOGLOBULINA, SANDOGLOBULINA, NOT FOUND, 6 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 200 ML + EQP INFUS, CSL
502601401156414, STREPTASE, STREPTASE, NOT FOUND, 1500000 UI PO LIOF INJ CT FA VD INC, CSL
502601402152412, STREPTASE, STREPTASE, NOT FOUND, 250.000 UI PO LIOF INJ CT FA VD INC, CSL
502601403159410, STREPTASE, STREPTASE, NOT FOUND, 750000 UI PO LIOF INJ CT FA VD INC, CSL
502602101156417, SANDOGLOBULINA, SANDOGLOBULINA, NOT FOUND, 1 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 33 ML + EQP INFUS, CSL
502602102152415, SANDOGLOBULINA, SANDOGLOBULINA, NOT FOUND, 12 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 200 ML + EQP INFUS, CSL
502602103159413, SANDOGLOBULINA, SANDOGLOBULINA, NOT FOUND, 3 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 100 ML + EQP INFUS, CSL
502602104155411, SANDOGLOBULINA, SANDOGLOBULINA, NOT FOUND, 6 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 200 ML + EQP INFUS, CSL
