63813, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 18,504600202113114, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12
63812, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 6,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL/AL X 18
63868, AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML),504600202113114, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12
63868, AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML),504600201117116, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6
63868, AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML),504600102119110, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21
63868, AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML),504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG C/ 18 CPR.
63868, AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML),504600101139118, AMOXICILINA, AMOXICILINA, 50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML
63868, AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML),504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL/AL X 18
73799, ACICLOVIR, ACICLOVIR, CPR 200 MG x 10,504612002114110, ACICLOVIR, ACICLOVIR, 200MG COM CT BL AL PLAS INC X 25
73799, ACICLOVIR, ACICLOVIR, CPR 200 MG x 10,504612001118112, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 10
73799, ACICLOVIR, ACICLOVIR, CPR 200 MG x 10,504612002114110, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 25
73799, ACICLOVIR, ACICLOVIR, CPR 200 MG x 10,504612001118112, ACICLOVIR, ACICLOVIR, 200MG COM CT BL AL PLAS INC X 10
63814, AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 250 MG 75 ML x 1 (/5ML),504600202113114, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12
63814, AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 250 MG 75 ML x 1 (/5ML),504600201117116, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6
63814, AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 250 MG 75 ML x 1 (/5ML),504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG C/ 18 CPR.
63814, AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 250 MG 75 ML x 1 (/5ML),504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL/AL X 18
63613, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30,504600302118118, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT 3 BL AL PLAS BRANCO OPC X 10
63613, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30,504600302118118, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT 3 BL AL PLAS BRANCO OPC X 10
63613, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30,504600301111111, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT 3 BL AL PLAS BRANCO OPC X 10
63613, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30,504600301111111, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT 3 BL AL PLAS BRANCO OPC X 10
63614, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30,504600302118118, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT 3 BL AL PLAS BRANCO OPC X 10
63614, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30,504600302118118, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT 3 BL AL PLAS BRANCO OPC X 10
63614, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30,504600301111111, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT 3 BL AL PLAS BRANCO OPC X 10
63614, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30,504600301111111, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT 3 BL AL PLAS BRANCO OPC X 10
66348, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30,504610602114115, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PLAS INC X 20
66348, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30,504610601118117, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20MG COM CT 3 BL X 10
66348, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30,504610602114115, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20MG COM CT 2 BL X 10
66348, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30,504610601118117, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PLAS INC X 30
74262, CET D BET S NEO, NOT FOUND, CREME 30 G x 1,504612201168113, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0
75283, CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 10,504612101163111, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0
75283, CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 10,504612801114111, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS INC X 10
75283, CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 10,504612201168113, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0
75626, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30,504610403111116, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50MG COM REV CT BL X 10
75626, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30,504610404118114, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 30
75626, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30,504610402115118, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50MG COM REV CT BL X 20
75626, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30,504610402115118, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 20
75626, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30,504610403111116, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 10
76402, CLO HIDROXIZINA, NOT FOUND, SOLN ORAL 2 MG 100 ML x 1 (/ML),504612901135110, CLORIDRATO HIDROXIZINA, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS AMB X 100 ML + SER DOSAD
76402, CLO HIDROXIZINA, NOT FOUND, SOLN ORAL 2 MG 100 ML x 1 (/ML),504612902131119, CLORIDRATO HIDROXIZINA, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS AMB X 120 ML + SER DOSAD
67362, CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 30,504611002110117, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 30
67362, CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 30,504611001114119, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 30
76113, CIPROFIBRATO, CIPROFIBRATO, CPR 100 MG x 30,504612702116116, CIPROFIBRATO, CIPROFIBRATO, 100 MG COM CT BL AL PLAS INC X 10
76113, CIPROFIBRATO, CIPROFIBRATO, CPR 100 MG x 30,504612701111110, CIPROFIBRATO, CIPROFIBRATO, 100 MG COM CT BL AL PLAS INC X 30
66344, CITALOPRAM, CITALOPRAM, CPR 20 MG x 14,504610702119119, CITALOPRAM, CITALOPRAM, 20MG C/ 14 CPR.
66344, CITALOPRAM, CITALOPRAM, CPR 20 MG x 14,504610701112110, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28
66344, CITALOPRAM, CITALOPRAM, CPR 20 MG x 14,504610701112110, CITALOPRAM, CITALOPRAM, 20MG C/ 28 CPR.
66344, CITALOPRAM, CITALOPRAM, CPR 20 MG x 14,504610702119119, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14 
66345, CITALOPRAM, CITALOPRAM, CPR 20 MG x 28,504610702119119, CITALOPRAM, CITALOPRAM, 20MG C/ 14 CPR.
66345, CITALOPRAM, CITALOPRAM, CPR 20 MG x 28,504610701112110, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28
66345, CITALOPRAM, CITALOPRAM, CPR 20 MG x 28,504610701112110, CITALOPRAM, CITALOPRAM, 20MG C/ 28 CPR.
66345, CITALOPRAM, CITALOPRAM, CPR 20 MG x 28,504610702119119, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14 
67361, CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 500 MG x 30,504611002110117, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 30
67361, CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 500 MG x 30,504611001114119, CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 500 MG COM REV CT BL AL PLAS INC X 30
73540, CETO DIP BETAME, NOT FOUND, CREME 20 MG 30 G x 1 (/.64),504612101163111, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0
73540, CETO DIP BETAME, NOT FOUND, CREME 20 MG 30 G x 1 (/.64),504612201168113, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0
66347, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 20,504610602114115, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PLAS INC X 20
66347, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 20,504610601118117, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20MG COM CT 3 BL X 10
66347, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 20,504610602114115, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20MG COM CT 2 BL X 10
66347, CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 20,504610601118117, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PLAS INC X 30
67364, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20,504610403111116, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50MG COM REV CT BL X 10
67364, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20,504610404118114, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 30
67364, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20,504610402115118, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50MG COM REV CT BL X 20
67364, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20,504610402115118, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 20
67364, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20,504610403111116, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS OPC X 10
74582, DICLOFEN DIETIL, DICLOFENACO DIETILAMONIO, GEL. 11.6 MG 60 G x 1 (/G),504612501161114, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO,11
62740, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 20,504600701111117, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT 2 BL AL PLAS INC X 10
62740, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 20,504600701111117, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 20
62740, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 20,504600702116112, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 10
63631, DICLOFEN POTASI, DICLOFENACO POTASSICO, DRAG 50 MG x 20,504600601115110, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50MG DRG CT 1STR AL/AL X 10
63631, DICLOFEN POTASI, DICLOFENACO POTASSICO, DRAG 50 MG x 20,504600601115110, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG CT 1STR AL/AL X 10
63631, DICLOFEN POTASI, DICLOFENACO POTASSICO, DRAG 50 MG x 20,504600602111119, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG CT STR AL/AL X 20
63631, DICLOFEN POTASI, DICLOFENACO POTASSICO, DRAG 50 MG x 20,504600602111119, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50MG DRG CT 2STR AL/AL X 10
63630, DICLOFEN POTASI, DICLOFENACO POTASSICO, DRAG 50 MG x 10,504600601115110, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50MG DRG CT 1STR AL/AL X 10
63630, DICLOFEN POTASI, DICLOFENACO POTASSICO, DRAG 50 MG x 10,504600601115110, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG CT 1STR AL/AL X 10
63630, DICLOFEN POTASI, DICLOFENACO POTASSICO, DRAG 50 MG x 10,504600602111119, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG DRG CT STR AL/AL X 20
63630, DICLOFEN POTASI, DICLOFENACO POTASSICO, DRAG 50 MG x 10,504600602111119, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50MG DRG CT 2STR AL/AL X 10
62738, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 10,504600701111117, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT 2 BL AL PLAS INC X 10
62738, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 10,504600701111117, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 20
62738, DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 10,504600702116112, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 10
66266, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 15,504600901119111, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 10
66266, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 15,504600904118116, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 4 
66266, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 15,504600905114114, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 15
66265, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 10,504600901119111, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 10
66265, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 10,504600904118116, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 4 
66265, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 10,504600905114114, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 15
77312, IBUPROFENO, IBUPROFENO, CPR REVEST 400 MG x 10,504611403115111, IBUPROFENO, IBUPROFENO, 400MG COM REV CT BL AL PLAS INC X 10
66264, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 4,504600901119111, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 10
66264, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 4,504600904118116, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 4 
66264, ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 4,504600905114114, ITRACONAZOL, ITRACONAZOL, 100 MG CAP GEL DURA CT BL AL PLAS INC X 15
62744, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 250 MG x 7,504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7
62744, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 250 MG x 7,504601001111112, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7
62725, LORATADINA, LORATADINA, CPR 10 MG x 12,504601101116116, LORATADINA, LORATADINA, 10 MG COM CT BL AL PLAS INC X 12
62725, LORATADINA, LORATADINA, CPR 10 MG x 12,504601102139111, LORATADINA, LORATADINA, 1MG/ML XPE CT FR VD AMB X 100ML
62725, LORATADINA, LORATADINA, CPR 10 MG x 12,504601202117118, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12
62725, LORATADINA, LORATADINA, CPR 10 MG x 12,504601201137115, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML
62725, LORATADINA, LORATADINA, CPR 10 MG x 12,504601101116116, LORATADINA, LORATADINA, 10MG COM CT BL AL PLAS INC X 12
62735, LORATA PSEUDOEF, NOT FOUND, XAR. 60 ML x 1,504601202117118, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12
62735, LORATA PSEUDOEF, NOT FOUND, XAR. 60 ML x 1,504601201137115, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML
63570, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 14,504601301115113, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 1 BL AL PLAS OPC X 14
63570, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 14,504601302111111, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS OPC X 14
63570, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 14,504601301115113, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 1 BL AL PLAS OPC X 14
63570, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 14,504601302111111, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 2 BL AL PLAS OPC X 14
63571, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 28,504601301115113, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 1 BL AL PLAS OPC X 14
63571, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 28,504601302111111, LOSARTAN POTASSICO, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS OPC X 14
63571, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 28,504601301115113, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 1 BL AL PLAS OPC X 14
63571, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 28,504601302111111, LOSARTAN POTASSICO, NOT FOUND, 50MG COM REV CT 2 BL AL PLAS OPC X 14
62747, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 7,504601002118110, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 7
62747, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 7,504601001111112, LEVOFLOXACINO, LEVOFLOXACINO, 250 MG COM REV CT BL AL PLAS INC X 7
62732, LORATA PSEUDOEF, NOT FOUND, DRAG x 12,504601202117118, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 5MG + 120MG DRG CT BL AL PLAS INC X 12
62732, LORATA PSEUDOEF, NOT FOUND, DRAG x 12,504601201137115, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML
62757, MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20,504611301134115, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND,0
62757, MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20,504601502110119, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL PLAS INC X 20
62757, MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20,504601501130116, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA,0
62757, MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20,504601502110119, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2MG COM CT BL AL PLAS INC X 20
64430, MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30,504601701113118, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT STR AL X 30
64430, MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30,504601702111119, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT STR AL X 30
64430, MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30,504601703116114, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT STR AL X 30
75040, MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30,504612401116117, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS INC X 30
62759, MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAR. 2 MG 120 ML x 1 (/5ML),504611301134115, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND,0
62759, MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAR. 2 MG 120 ML x 1 (/5ML),504601502110119, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL PLAS INC X 20
62759, MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAR. 2 MG 120 ML x 1 (/5ML),504601501130116, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA,0
62759, MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAR. 2 MG 120 ML x 1 (/5ML),504601502110119, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2MG COM CT BL AL PLAS INC X 20
69183, MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1,504611301134115, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND,0
