80393, CALNATE , CALNATE, NOT FOUND, ENV.PO ORAL 900 MG 30 G x 60, EUF
63178, CEFTRIAXONA SOD.MG , CEFTRIAXONA SOD, CEFTRIAXONA SODICA, F.IV SOLV 1 G 10 ML x 50, EUF
56264, CEFTRIAXONA SOD.MG , CEFTRIAXONA SOD, CEFTRIAXONA SODICA, F.IV SOLV 1 G x 1, EUF
61802, CET+D.BET+S.NEO MG , CET D BET S NEO, NOT FOUND, CREME 30 G x 1, EUF
61803, CET+D.BET+S.NEO MG , CET D BET S NEO, NOT FOUND, POM. 30 G x 1, EUF
61591, CETO+DIP BETAME MG , CETO DIP BETAME, NOT FOUND, CREME 30 G x 1, EUF
61594, CETO+DIP BETAME MG , CETO DIP BETAME, NOT FOUND, POM. 30 G x 1, EUF
57340, CETOPROFENO MG , CETOPROFENO, CETOPROFENO, A.IM 100 MG 2 ML x 6, EUF
57341, CETOPROFENO MG , CETOPROFENO, CETOPROFENO, F.AMP LIOF 100 MG 2 ML x 50, EUF
75009, CILOSTAZOL MG , CILOSTAZOL, CILOSTAZOL, CPR 100 MG x 30, EUF
77505, CILOSTAZOL MG , CILOSTAZOL, CILOSTAZOL, CPR 100 MG x 60, EUF
75008, CILOSTAZOL MG , CILOSTAZOL, CILOSTAZOL, CPR 50 MG x 30, EUF
77504, CILOSTAZOL MG , CILOSTAZOL, CILOSTAZOL, CPR 50 MG x 60, EUF
76969, CIMAHER , CIMAHER, NOT FOUND, F.IV INFUSAO 50 MG 10 ML x 4, EUF
58531, CIPROFLOXACINO MG , CIPROFLOXACINO, CIPROFLOXACINO, F.IV 200 MG 100 ML x 1, EUF
67975, CIPROFLOXACINO MG , CIPROFLOXACINO, CIPROFLOXACINO, F.IV 400 MG 200 ML x 1, EUF
72608, CIPROFLOXACINO MG , CIPROFLOXACINO, CIPROFLOXACINO, SOL INJ BOLS 200 MG 100 ML x 6, EUF
72609, CIPROFLOXACINO MG , CIPROFLOXACINO, CIPROFLOXACINO, SOL INJ BOLS 400 MG 200 ML x 6, EUF
78844, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 100 MG x 2, EUF
78845, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 100 MG x 4, EUF
78345, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 1, EUF
78346, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 2, EUF
78347, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 4, EUF
64351, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 14, EUF
64352, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 28, EUF
70401, CITR.FENTANILA MG , CITR FENTANILA, CITRATO FENTANILA, A.IV 50 Y 10 ML x 25 (/ML), EUF
75410, CITR.TAMOXIFENO MG , CITR TAMOXIFENO, CITRATO TAMOXIFENO, CPR REVEST 20 MG x 30, EUF
65607, CLARITROMICINA MG , CLARITROMICINA, CLARITROMICINA, F.AMP C/DILU 500 MG 10 ML x 5, EUF
75588, CLO GENCITABINA MG , CLO GENCITABINA, CLORIDRATO GENCITABINA, F.AMP IV 1 G 50 ML x 1, EUF
75589, CLO GENCITABINA MG , CLO GENCITABINA, CLORIDRATO GENCITABINA, F.AMP IV 200 MG 10 ML x 1, EUF
165373, CLO IRINOTECANO MG , CLO IRINOTECANO, CLORIDRATO IRINOTECANO, F AMP IV 20 MG 5 ML x 10 (/ML), EUF
62553, CLO IRINOTECANO MG , CLO IRINOTECANO, CLORIDRATO IRINOTECANO, F.AMP 20 MG 5 ML x 1 (/ML), EUF
71817, CLO ROPIVACAINA MG , CLO ROPIVACAINA, CLORIDRATO ROPIVACAINA, AMP. 10 MG 20 ML x 5 (/ML), EUF
71816, CLO ROPIVACAINA MG , CLO ROPIVACAINA, CLORIDRATO ROPIVACAINA, AMP. 7.50 MG 20 ML x 5 (/ML), EUF
72485, CLO SIBUTRAMINA MG , CLO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CAPS 10 MG x 30, EUF
72486, CLO SIBUTRAMINA MG , CLO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CAPS 15 MG x 30, EUF
63761, CLO TERBINAFINA MG , CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14, EUF
59190, CLO TERBINAFINA MG , CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CREME 1 % 20 G x 1, EUF
74468, CLO TICLOPIDINA MG , CLO TICLOPIDINA, CLORIDRATO TICLOPIDINA, CPR REVEST 250 MG x 20, EUF
74469, CLO TICLOPIDINA MG , CLO TICLOPIDINA, CLORIDRATO TICLOPIDINA, CPR REVEST 250 MG x 30, EUF
56281, CLO VANCOMICINA MG , CLO VANCOMICINA, CLORIDRATO VANCOMICINA, F.IV LIOF 500 MG x 1, EUF
69770, CLO VANCOMICINA MG , CLO VANCOMICINA, CLORIDRATO VANCOMICINA, F.IV LIOF 500 MG x 50, EUF
67812, CLO VENLAFAXINA MG , CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 150 MG x 14, EUF
85511, CLO VENLAFAXINA MG , CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 150 MG x 28, EUF
78584, CLO VENLAFAXINA MG , CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 37.5 MG x 14, EUF
85507, CLO VENLAFAXINA MG , CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 37.5 MG x 28, EUF
67811, CLO VENLAFAXINA MG , CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 75 MG x 14, EUF
85509, CLO VENLAFAXINA MG , CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 75 MG x 28, EUF
84943, CLO.GRANISETRON MG , CLO GRANISETRON, CLORIDRATO GRANISETRONA, A.IV 1 MG 3 ML x 10 (/ML), EUF
67998, CLO.GRANISETRON MG , CLO GRANISETRON, CLORIDRATO GRANISETRONA, A.IV 3 MG 3 ML x 1, EUF
76369, CLONAZEPAM MG , CLONAZEPAM, CLONAZEPAM, CPR 2 MG x 20, EUF
76370, CLONAZEPAM MG , CLONAZEPAM, CLONAZEPAM, CPR 2 MG x 30, EUF
85856, CLOPIDOGREL MG , CLOPIDOGREL, CLOPIDOGREL, CPR REVEST 75 MG x 30, EUF
81726, CLOR MEMANTINA MG , CLOR MEMANTINA, CLORIDRATO MEMANTINA, CPR REVEST 10 MG x 30, EUF
81727, CLOR MEMANTINA MG , CLOR MEMANTINA, CLORIDRATO MEMANTINA, CPR REVEST 10 MG x 60, EUF
63580, CLOR.AMITRIPTIL.MG , CLOR AMITRIPTIL, CLORIDRATO AMITRIPTILINA, CPR REVEST 25 MG x 20, EUF
67538, CLOR.BUPROPIONA MG , CLOR BUPROPIONA, CLORIDRATO BUPROPIONA, CPR REVEST 150 MG x 30, EUF
67704, CLOR.BUPROPIONA MG , CLOR BUPROPIONA, CLORIDRATO BUPROPIONA, CPR REVEST 150 MG x 60, EUF
60862, CLOR.CEFEPIMA MG , CLOR CEFEPIMA, CLORIDRATO CEFEPIMA, F.AMP 2 G 3 ML x 1, EUF
64388, CLOR.CEFEPIMA MG , CLOR CEFEPIMA, CLORIDRATO CEFEPIMA, F.AMP C/DILU 1 G 3 ML x 50, EUF
64389, CLOR.CEFEPIMA MG , CLOR CEFEPIMA, CLORIDRATO CEFEPIMA, F.AMP C/DILU 2 G x 25, EUF
71552, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 10 MG x 15, EUF
69007, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 10 MG x 30, EUF
71551, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 5 MG x 15, EUF
69006, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 5 MG x 30, EUF
66124, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 250 MG x 14, EUF
66123, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 250 MG x 6, EUF
66126, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 14, EUF
66125, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 6, EUF
58187, CLOR.DOXORRUBIC.MG , CLOR DOXORRUBIC, CLORIDRATO DOXORRUBICINA, AMP. LIOF 10 MG x 1, EUF
58188, CLOR.DOXORRUBIC.MG , CLOR DOXORRUBIC, CLORIDRATO DOXORRUBICINA, AMP. LIOF 50 MG x 1, EUF
76120, CLOR.DOXORRUBIC.MG , CLOR DOXORRUBIC, CLORIDRATO DOXORRUBICINA, F.AMP LIOF 50 MG 50 ML x 10, EUF
68649, CLOR.NORTRIPTIL.MG , CLOR NORTRIPTIL, CLORIDRATO NORTRIPTILINA, CAPS 10 MG x 30, EUF
68526, CLOR.NORTRIPTIL.MG , CLOR NORTRIPTIL, CLORIDRATO NORTRIPTILINA, CAPS 25 MG x 30, EUF
64452, CLOR.NORTRIPTIL.MG , CLOR NORTRIPTIL, CLORIDRATO NORTRIPTILINA, CAPS 50 MG x 20, EUF
68650, CLOR.NORTRIPTIL.MG , CLOR NORTRIPTIL, CLORIDRATO NORTRIPTILINA, CAPS 50 MG x 30, EUF
63581, CLOR.PAROXETINA MG , CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 20, EUF
63582, CLOR.PAROXETINA MG , CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30, EUF
63760, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 150 MG x 20, EUF
71255, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 100 MG x 20, EUF
100281, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 100 MG x 30, EUF
103509, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 25 MG x 30, EUF
57966, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 10, EUF
57967, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, EUF
57968, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 28, EUF
84476, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30, EUF
141195, CLOR.TANSULOSI MG , CLOR TANSULOSI, CLORIDRATO TANSULOSINA, CAPS 0.40 MG x 30, EUF
65462, CLOXAZOLAM MG , CLOXAZOLAM, CLOXAZOLAM, CPR 1 MG x 20, EUF
84477, CLOXAZOLAM MG , CLOXAZOLAM, CLOXAZOLAM, CPR 1 MG x 30, EUF
65463, CLOXAZOLAM MG , CLOXAZOLAM, CLOXAZOLAM, CPR 2 MG x 20, EUF
84478, CLOXAZOLAM MG , CLOXAZOLAM, CLOXAZOLAM, CPR 2 MG x 30, EUF
65464, CLOXAZOLAM MG , CLOXAZOLAM, CLOXAZOLAM, CPR 4 MG x 20, EUF
75556, CREVAGIN , CREVAGIN, NOT FOUND, CR.VAG.7 APL 40 G x 1, EUF
