65662, PACLITAXEL MG , PACLITAXEL, PACLITAXEL, F.AMP 100 MG 16.7 ML x 1, EUF
154092, PERIVASC , PERIVASC, NOT FOUND, CPR x 30, EUF
156836, PERIVASC , PERIVASC, NOT FOUND, CPR x 60, EUF
76993, PHOTODERM BIOP , PHOTODERM BIOP, NOT FOUND, CR SPOT F50 30 ML x 1, EUF
74763, PHOTODERM BIOP , PHOTODERM BIOP, NOT FOUND, CR T L FP100 40 ML x 1, EUF
64437, PHOTODERM BIOP , PHOTODERM BIOP, NOT FOUND, CR.T FPS 100 40 ML x 1, EUF
64435, PHOTODERM BIOP , PHOTODERM BIOP, NOT FOUND, CREME FPS100 40 ML x 1, EUF
64436, PHOTODERM BIOP , PHOTODERM BIOP, NOT FOUND, FLUID FPS100 40 ML x 1, EUF
64434, PHOTODERM BIOP , PHOTODERM BIOP, NOT FOUND, LOC.FPS 100 100 ML x 1, EUF
79959, PHOTODERM BIOP , PHOTODERM BIOP, NOT FOUND, LOC.KIDS F50 100 ML x 1, EUF
106688, PIEMONTE , PIEMONTE, NOT FOUND, CPR MAST 4 MG x 10, EUF
106690, PIEMONTE , PIEMONTE, NOT FOUND, CPR MAST 4 MG x 30, EUF
106691, PIEMONTE , PIEMONTE, NOT FOUND, CPR MAST 5 MG x 10, EUF
106694, PIEMONTE , PIEMONTE, NOT FOUND, CPR MAST 5 MG x 30, EUF
61862, PIPERACI+TAZOBA.MG , PIPERACI TAZOBA, NOT FOUND, F.AMP LIOF 2.25 G x 10, EUF
61863, PIPERACI+TAZOBA.MG , PIPERACI TAZOBA, NOT FOUND, F.AMP LIOF 4.50 G x 10, EUF
85606, PLAQ , PLAQ, NOT FOUND, CPR REVEST 75 MG x 30, EUF
78063, PONDERA , PONDERA, NOT FOUND, CPR REVEST 10 MG x 10, EUF
63909, PONDERA , PONDERA, NOT FOUND, CPR REVEST 10 MG x 20, EUF
78064, PONDERA , PONDERA, NOT FOUND, CPR REVEST 15 MG x 10, EUF
70188, PONDERA , PONDERA, NOT FOUND, CPR REVEST 15 MG x 20, EUF
78065, PONDERA , PONDERA, NOT FOUND, CPR REVEST 20 MG x 10, EUF
53154, PONDERA , PONDERA, NOT FOUND, CPR REVEST 20 MG x 20, EUF
53155, PONDERA , PONDERA, NOT FOUND, CPR REVEST 20 MG x 30, EUF
78066, PONDERA , PONDERA, NOT FOUND, CPR REVEST 25 MG x 10, EUF
70189, PONDERA , PONDERA, NOT FOUND, CPR REVEST 25 MG x 20, EUF
78067, PONDERA , PONDERA, NOT FOUND, CPR REVEST 30 MG x 10, EUF
57382, PONDERA , PONDERA, NOT FOUND, CPR REVEST 30 MG x 30, EUF
63910, PONDERA , PONDERA, NOT FOUND, CPR REVEST 40 MG x 20, EUF
76994, POVATA , POVATA, NOT FOUND, GRAN ENVELO. 3.50 G x 10, EUF
76995, POVATA , POVATA, NOT FOUND, GRAN ENVELO. 3.50 G x 30, EUF
57384, PREDMETIL , PREDMETIL, NOT FOUND, F.AMP LIOF 500 MG 8 ML x 1, EUF
62880, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 10, EUF
62879, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 20, EUF
53057, PRIMERA , PRIMERA, NOT FOUND, CPR 20 Y x 21, EUF
75574, PRIMERA , PRIMERA, NOT FOUND, CPR 20 Y x 63, EUF
55485, PRIMERA , PRIMERA, NOT FOUND, CPR 30 Y x 21, EUF
75575, PRIMERA , PRIMERA, NOT FOUND, CPR 30 Y x 63, EUF
51259, PROFLAM , PROFLAM, NOT FOUND, CPR 100 MG x 12, EUF
51712, PROFLAM , PROFLAM, NOT FOUND, CPR 100 MG x 24, EUF
78068, PROFLAM , PROFLAM, NOT FOUND, CPR 100 MG x 6, EUF
52233, PROFLAM CREME , PROFLAM CREME, NOT FOUND, CREME 15 MG 30 G x 1 (/G), EUF
164451, PROMESTRIENO MG , PROMESTRIENO, PROMESTRIENO, CR VAG 20APL 10 MG 30 G x 1 (/G), EUF
59019, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, CREME 0.50 MG 30 G x 1 (/G), EUF
59020, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, POM. 0.50 MG 30 G x 1 (/G), EUF
59299, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, SOLN TOP. 0.50 MG 50 G x 1 (/G, EUF
68344, PROPOFOL MG , PROPOFOL, PROPOFOL, AMP. 1 % 20 ML x 10, EUF
85211, PROSSO , PROSSO, NOT FOUND, CPR x 30, EUF
87191, PURADEX , PURADEX, NOT FOUND, LOCAO AGE 100 ML x 1, EUF
