511303902113412; SUPLAN; SUPLAN; NOT FOUND; GEST FR. C/ 30 COMPR. VER.; NO_ACR
507500906113413; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 14; NO_ACR
507500904110417; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 20; NO_ACR
507500907111414; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 28; NO_ACR
507500905117415; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 30; NO_ACR
510607501110419; STELAZINE; STELAZINE; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
510607502117417; STELAZINE; STELAZINE; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
521125003115113; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS INC X 20; NO_ACR
521125002135110; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 10 ML ; NO_ACR
521125001139112; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
525502104111219; STOCRIN; STOCRIN; NOT FOUND; 600 MG COM REV CT FR PLAS BCO OPC HPDE X 30; NO_ACR
527303501166318; SANDRENA; SANDRENA; NOT FOUND; 0.1 PCC GEL CT 28 SACH X 0.5 G; NO_ACR
527303502162316; SANDRENA; SANDRENA; NOT FOUND; 0.1 PCC GEL CT 28 SACH X 1.0 G; NO_ACR
525514060016607; STEZZA; STEZZA; NOT FOUND; 2.5 MG + 1.5 MG COM REV CT BL AL PVC CALEND X 24 + 4 PLACEBO; NO_ACR
525514060016707; STEZZA; STEZZA; NOT FOUND; 2.5 MG + 1.5 MG COM REV CT BL AL PVC CALEND X 72 + 12 PLACEBO ; NO_ACR
502601401156414; STREPTASE; STREPTASE; NOT FOUND; 1500000 UI PO LIOF INJ CT FA VD INC; NO_ACR
502601402152412; STREPTASE; STREPTASE; NOT FOUND; 250.000 UI PO LIOF INJ CT FA VD INC; NO_ACR
502601403159410; STREPTASE; STREPTASE; NOT FOUND; 750000 UI PO LIOF INJ CT FA VD INC; NO_ACR
519502901155411; SOLUSTREP; SOLUSTREP; NOT FOUND; 1.500.000 UI PO LIOF CT FA VD INC; NO_ACR
528102904131411; SPECTOSAN; SPECTOSAN; NOT FOUND; (6.60 + 3.30 + 0.12) MG/ML XPE CT FR VD AMB X 150 ML SABOR MEL; NO_ACR
540714090002202; SONOVUE; SONOVUE; NOT FOUND; 25 MG PO LIOF INJ C GAS 8uL / ML CX DIL 5 ML C APLIC; NO_ACR
502613030006704; SANDOGLOBULINA PRIVIGEN; SANDOGLOBULINA PRIVIGEN; NOT FOUND; 0.1 G/ML SOL INJ CT FA VD TRANS X 100 ML; NO_ACR
502613030006804; SANDOGLOBULINA PRIVIGEN; SANDOGLOBULINA PRIVIGEN; NOT FOUND; 0.1 G/ML SOL INJ CT FA VD TRANS X 200 ML; NO_ACR
502613030006504; SANDOGLOBULINA PRIVIGEN; SANDOGLOBULINA PRIVIGEN; NOT FOUND; 0.1 G/ML SOL INJ CT FA VD TRANS X 25 ML; NO_ACR
502613030006604; SANDOGLOBULINA PRIVIGEN; SANDOGLOBULINA PRIVIGEN; NOT FOUND; 0.1 G/ML SOL INJ CT FA VD TRANS X 50 ML; NO_ACR
502602101156417; SANDOGLOBULINA; SANDOGLOBULINA; NOT FOUND; 1 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 33 ML + EQP INFUS; NO_ACR
502602102152415; SANDOGLOBULINA; SANDOGLOBULINA; NOT FOUND; 12 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 200 ML + EQP INFUS; NO_ACR
502602103159413; SANDOGLOBULINA; SANDOGLOBULINA; NOT FOUND; 3 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 100 ML + EQP INFUS; NO_ACR
502602104155411; SANDOGLOBULINA; SANDOGLOBULINA; NOT FOUND; 6 G PO LIOF INJ CT FA VD INC + FA VD INC DIL X 200 ML + EQP INFUS; NO_ACR
527312070008502; SAPHRIS; SAPHRIS; NOT FOUND; 10 MG COM SUBL CT BL AL X 20  ; NO_ACR
527312070008602; SAPHRIS; SAPHRIS; NOT FOUND; 10 MG COM SUBL CT BL AL X 60; NO_ACR
527312030008202; SAPHRIS; SAPHRIS; NOT FOUND; 5 MG COM SUBL CT BL AL X 20 ; NO_ACR
527312030008102; SAPHRIS; SAPHRIS; NOT FOUND; 5 MG COM SUBL CT BL AL X 60; NO_ACR
525502001116218; SINGULAIR; SINGULAIR; NOT FOUND; 10 MG CX. 1 BL X 10 CPD; NO_ACR
525502002112216; SINGULAIR; SINGULAIR; NOT FOUND; 10 MG CX. 3 BL X 10 CPD; NO_ACR
525502003119214; SINGULAIR; SINGULAIR; NOT FOUND; 4 MG CX. 1 BL X 10 CPD; NO_ACR
525502007130311; SINGULAIR; SINGULAIR; NOT FOUND; 4 MG GRAN OR CT 10 SACH AL/POLIET X 500 MG  ; NO_ACR
525502004115212; SINGULAIR; SINGULAIR; NOT FOUND; 4 MG CX. 3 BL X 10 CPD; NO_ACR
525502008137318; SINGULAIR; SINGULAIR; NOT FOUND; 4 MG GRAN OR CT 30 SACH AL/POLIET X 500 MG ; NO_ACR
525502005111210; SINGULAIR; SINGULAIR; NOT FOUND; 5 MG CX. 1 BL X 10 CPD; NO_ACR
525502006118219; SINGULAIR; SINGULAIR; NOT FOUND; 5 MG CX. 3 BL X 10 CPD; NO_ACR
522709001110426; STRESSTABS 600 ZINCO; STRESSTABS 600 ZINCO; NOT FOUND; CARTUCHO CONTENDO 1 FRASCO PLASTICO COM 30 COMPRIMIDOS; NO_ACR
505609901111411; SEDOPAN; SEDOPAN; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10; NO_ACR
505609902116417; SEDOPAN; SEDOPAN; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; NO_ACR
510607202131422; SONRIDOR; SONRIDOR; NOT FOUND; 3G EFERV COMP 5X2; NO_ACR
510607201133421; SONRIDOR; SONRIDOR; NOT FOUND; 3G EFERV COMP 12X2; NO_ACR
510607204116412; SONRIDOR; SONRIDOR; NOT FOUND; 500 MG COM EFERV CT 2 STR AL/PE X 2 ; NO_ACR
510607203111417; SONRIDOR; SONRIDOR; NOT FOUND; 500 MG COM  EFERV CT 15 STR AL/PE X 4; NO_ACR
535123101111414; SENNA ALMEIDA PRADO 46; SENNA ALMEIDA PRADO 46; NOT FOUND; 0.005+0.02G+0.015G COM CT TB PLAS X 60; NO_ACR
522703301139412; SORCAL; SORCAL; NOT FOUND; 900 MG/G PO OR CX 60 ENV X 30 G; NO_ACR
510607001177311; SERETIDE; SERETIDE; NOT FOUND; 50 MCG + 100 MCG PO INAL CT STR X 60 DOSES; NO_ACR
510607004176314; SERETIDE SPRAY; SERETIDE SPRAY; NOT FOUND;  25 MCG/DOSE + 125 MCG/DOSE SUS OR PROP TB AL X 120 DOSES + VAL DOS; NO_ACR
510607005172312; SERETIDE SPRAY; SERETIDE SPRAY; NOT FOUND; 25 MCG/DOSE + 250 MCG/DOSE SUS OR PROP AER TB AL X 120 DOSES + VALV DOS; NO_ACR
510611801174313; SERETIDE DISKUS; SERETIDE DISKUS; NOT FOUND; 50 MCG + 250 MCG PO INAL CT STR X 28 DOSES; NO_ACR
510607002173318; SERETIDE; SERETIDE; NOT FOUND; 50 MCG + 250 MCG PO INAL CT STR X 60 DOSES; NO_ACR
510607006179310; SERETIDE SPRAY; SERETIDE SPRAY; NOT FOUND; 25 MCG/DOSE + 50 MCG/DOSE SUS OR PROP AER TB AL X 120 DOSES + VALV DOS; NO_ACR
510611802170311; SERETIDE DISKUS; SERETIDE DISKUS; NOT FOUND; 50 MCG + 500 MCG PO INAL CT STR X 28 DOSES; NO_ACR
510607003171319; SERETIDE; SERETIDE; NOT FOUND; 50 MCG + 500 MCG PO INAL CT STR X 60 DOSES; NO_ACR
517005301137414; SALBUTAMOL; SALBUTAMOL; SALBUTAMOL; CX. C/50 FRASCOS X 150 ML; NO_ACR
521112070056206; SIMETICONA; SIMETICONA; SIMETICONA; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; NO_ACR
510015010028206; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS OPC X 10; NO_ACR
510015010028306; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS OPC X 20; NO_ACR
510015010028406; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
510015010028506; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS OPC X 60 (EMB FRAC); NO_ACR
510015010028606; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS OPC X 90 (EMB FRAC); NO_ACR
510015010028706; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS OPC X 450 (EMB HOSP); NO_ACR
510015010028806; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS OPC X 500 (EMB HOSP); NO_ACR
510015010028906; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 10; NO_ACR
510015010029006; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 20; NO_ACR
510015010029106; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
510015010029206; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 40; NO_ACR
510015010029306; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 60; NO_ACR
510015010029406; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 450 (EMB HOSP); NO_ACR
510015010029506; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS OPC X 500 (EMB HOSP); NO_ACR
510015010029606; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 10; NO_ACR
510015010029706; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 20; NO_ACR
510015010029806; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
510015010029906; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 40; NO_ACR
510015010030006; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS OPC X 60; NO_ACR
510015010030106; SINVASTATINA; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS OPC X 10; NO_ACR
510015010030206; SINVASTATINA; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS OPC X 20; NO_ACR
510015010030306; SINVASTATINA; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS OPC X 30; NO_ACR
510015010030406; SINVASTATINA; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS OPC X 40; NO_ACR
510015010030506; SINVASTATINA; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS OPC X 60; NO_ACR
521124001119113; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PVC/PVDC X 30; NO_ACR
521124002115111; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PVC/PVDC X 30; NO_ACR
521124003111111; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PVC/PVDC X 10    ; NO_ACR
521124004118118; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PVC/PVDC X 30; NO_ACR
521124005114116; SINVASTATINA; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PVC/PVDC X 10     ; NO_ACR
531201501157318; STILAMIN; STILAMIN; NOT FOUND; 3 MG/ML PO LIOF INJ CT AMP VD INC + SOL DIL X 1 ML; NO_ACR
541313030013606; SUCCINATO SODICO DE HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; 100 MG PO LIOF INJ FA VD TRANS X 50; NO_ACR
541313030013706; SUCCINATO SODICO DE HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; 100 MG PO LIOF INJ FA VD TRANS X 100; NO_ACR
541313030013806; SUCCINATO SODICO DE HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; 500 MG PO LIOF INJ FA VD TRANS X 50; NO_ACR
541313030013906; SUCCINATO SODICO DE HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; SUCCINATO SODICO HIDROCORTISONA; 500 MG PO LIOF INJ FA VD TRANS X 100; NO_ACR
505606001150416; SOLU-PRED; SOLU PRED; NOT FOUND; 1 G PO LIOF INJ CT FA VD INC + DIL ; NO_ACR
505606004151413; SOLU-PRED; SOLU PRED; NOT FOUND; 1 G PO LIOF INJ CT FA VD INC; NO_ACR
519502802157416; SOLUPREN; SOLUPREN; NOT FOUND; 125 MG PO LIOF INJ CX 25 FA VD INC X + 25 AMP DIL X 2 ML; NO_ACR
519502805156410; SOLUPREN; SOLUPREN; NOT FOUND; 125 MG PO LIOF INJ CT 25 FA INC (EMB HOSP); NO_ACR
519502806152419; SOLUPREN; SOLUPREN; NOT FOUND; 125 MG PO LIOF INJ CT 50 FA INC (EMB HOSP); NO_ACR
519502807159417; SOLUPREN; SOLUPREN; NOT FOUND; 125 MG PO LIOF INJ CX 50 FA VD INC + 50 AMP DIL X 2 ML (EMB HOSP); NO_ACR
505606002157414; SOLU-PRED; SOLU PRED; NOT FOUND; 500 MG PO LIOF INJ CT FA VD INC + DIL ; NO_ACR
505606003153412; SOLU-PRED; SOLU PRED; NOT FOUND; 500 MG PO LIOF INJ CT FA VD INC; NO_ACR
519502804151415; SOLUPREN; SOLUPREN; NOT FOUND; 500 MG PO LIOF INJ CX 25 FA VD INC X + 25 AMP DIL X 8 ML; NO_ACR
519502808155415; SOLUPREN; SOLUPREN; NOT FOUND; 500 MG PO LIOF INJ CT 25 FA VD INC (EMB HOSP); NO_ACR
519502809151413; SOLUPREN; SOLUPREN; NOT FOUND; 500 MG PO LIOF INJ CT 50 FA VD INC (EMB HOSP); NO_ACR
519502810151413; SOLUPREN; SOLUPREN; NOT FOUND; 500 MG PO LIOF INJ CX 50 FA VD INC + 50 AMP DIL X 8 ML (EMB HOSP); NO_ACR
532315020008403; SULFAZINA; SULFAZINA; NOT FOUND; 500 MG COM CX ENV KRAFT X 1000 (EMB HOSP); NO_ACR
532301301115419; SULFAZINA; SULFAZINA; NOT FOUND; 500 MG COM CT ENV KRAFT X 100; NO_ACR
532312100005203; SULFAZINA; SULFAZINA; NOT FOUND; 500 MG COM CT ENV KRAFT X 100 (EMB FRAC) ; NO_ACR
532301302111417; SULFAZINA; SULFAZINA; NOT FOUND; 500 MG COM CT ENV KRAFT X 250; NO_ACR
532312100005303; SULFAZINA; SULFAZINA; NOT FOUND; 500 MG COM CT ENV KRAFT X 250 (EMB FRAC); NO_ACR
