158181; CAND CILE+HIDRO MG ; CAND CILE HIDRO; NOT FOUND; CPR 16 MG x 30 (/12.); GM2
63988; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 40 MG x 60; GM2
66177; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 80 MG x 30; GM2
76247; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS GEL 10 MG x 30; GM2
76643; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS GEL 15 MG x 10; GM2
76248; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS GEL 15 MG x 30; GM2
71709; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CREME 1 % 20 G x 1; GM2
66698; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; SOLN TOP. 10 MG 30 ML x 1 (/G); GM2
73883; CLO TICLOPIDINA MG ; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 20; GM2
73884; CLO TICLOPIDINA MG ; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 30; GM2
76121; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 150 MG x 14; GM2
113408; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 150 MG x 30; GM2
67642; CLO.ANFEPRAMONA MG ; CLO ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; CPR 25 MG x 20; GM2
67643; CLO.ANFEPRAMONA MG ; CLO ANFEPRAMONA; CLORIDRATO ANFEPRAMONA; CPR 75 MG x 20; GM2
69381; CLO.OXIBUTININA MG ; CLO OXIBUTININA; CLORIDRATO OXIBUTININA; XAR. 1 MG 120 ML x 1 (/ML); GM2
74634; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 20; GM2
74635; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 30; GM2
68523; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; GOTAS 2.50 MG 20 ML x 1 (/ML); GM2
80406; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 14; GM2
80407; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 28; GM2
66699; CLOR TRAMADOL MG ; CLOR TRAMADOL; CLORIDRATO TRAMADOL; CAPS 50 MG x 10; GM2
66109; CLOR TRAMADOL MG ; CLOR TRAMADOL; CLORIDRATO TRAMADOL; GOTAS 100 MG 15 ML x 1 (/ML); GM2
69476; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XPE AD S/A 30 MG 120 ML x 1 (/5M; GM2
76644; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XPE ADLT 1.60 MG 120 ML x 1 (/; GM2
71705; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XPE INF. 4 MG 120 ML x 1 (/5ML); GM2
74352; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; CREME DERMAT 40 MG 30 G x 1 (/G; GM2
69429; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; GEL. 20 MG 30 G x 1 (/G); GM2
74700; CLOR. LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; POM LARANJA 50 MG 25 G x 1 (/G); GM2
66700; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR REVEST 80 MG x 30; GM2
66102; CLOR.AMILO+HCT MG ; CLOR AMILO HCT; NOT FOUND; CPR 2.50 MG x 30 (/25); GM2
66103; CLOR.AMILO+HCT MG ; CLOR AMILO HCT; NOT FOUND; CPR 5 MG x 30 (/50); GM2
75011; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 25 MG x 30; GM2
74506; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 75 MG x 20; GM2
85214; CLOR.BUPROPIONA MG ; CLOR BUPROPIONA; CLORIDRATO BUPROPIONA; CPR A P 150 MG x 30; GM2
85217; CLOR.BUPROPIONA MG ; CLOR BUPROPIONA; CLORIDRATO BUPROPIONA; CPR A P 150 MG x 60; GM2
76645; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 10; GM2
76646; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 15; GM2
76647; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 30; GM2
78850; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 5 MG x 10; GM2
78852; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 5 MG x 15; GM2
78853; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 5 MG x 30; GM2
76496; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 14; GM2
76497; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; GM2
68524; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; POM. OFTAL 3.50 MG 3.50 G x 1; GM2
69841; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; SOLN OFTA 3.50 MG 5 ML x 1 (/ML; GM2
66688; CLOR.CLOMIPRAMI.MG ; CLOR CLOMIPRAMI; CLORIDRATO CLOMIPRAMINA; CPR 10 MG x 20; GM2
66687; CLOR.CLOMIPRAMI.MG ; CLOR CLOMIPRAMI; CLORIDRATO CLOMIPRAMINA; CPR 25 MG x 20; GM2
66691; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 30 MG x 50; GM2
66690; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 60 MG x 25; GM2
66689; CLOR.DILTIAZEM MG ; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 60 MG x 50; GM2
69927; CLOR.DOBUTAMINA MG ; CLOR DOBUTAMINA; CLORIDRATO DOBUTAMINA; AMP.INFUSION 250 MG 20 ML x 50; GM2
71363; CLOR.FENOXAZOLI.MG ; CLOR FENOXAZOLI; CLORIDRATO FENOXAZOLINA; GOTAS NASAL 0.50 MG 10 ML x 1 (; GM2
71364; CLOR.FENOXAZOLI.MG ; CLOR FENOXAZOLI; CLORIDRATO FENOXAZOLINA; GOTAS NASAL 1 MG 10 ML x 1 (/ML; GM2
71252; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 10 MG x 20; GM2
71251; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 10 MG x 28; GM2
66105; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 28; GM2
66104; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CPR REVEST 20 MG x 14; GM2
66692; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CPR REVEST 20 MG x 30; GM2
66693; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; GOTAS 20 MG 20 ML x 1 (/ML); GM2
66106; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 1 G x 30; GM2
66107; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; GM2
68767; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 60; GM2
66108; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 30; GM2
68192; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 60; GM2
69735; CLOR.ONDANSETRO MG ; CLOR ONDANSETRO; CLORIDRATO ONDANSETRONA; CPR REVEST 8 MG x 10; GM2
69842; CLOR.OXIMETAZOL.MG ; CLOR OXIMETAZOL; CLORIDRATO OXIMETAZOLINA; SOL NASAL AD 0.50 MG 30 ML x 1; GM2
69843; CLOR.OXIMETAZOL.MG ; CLOR OXIMETAZOL; CLORIDRATO OXIMETAZOLINA; SOL NASAL PE 0.25 MG 20 ML x 1; GM2
89191; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 20 MG x 30; GM2
76973; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 30 MG x 30; GM2
68729; CLOR.PROPRA+HCT MG ; CLOR PROPRA HCT; NOT FOUND; CPR 40 MG x 30 (/25); GM2
74642; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 20; GM2
74641; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 20; GM2
71708; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; XPE 75 MG 120 ML x 1 (/5ML); GM2
69554; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 100 MG x 14; GM2
69556; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 20; GM2
69555; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 28; GM2
63992; CLORTALIDONA MG ; CLORTALIDONA; CLORTALIDONA; CPR 12.5 MG x 60; GM2
63993; CLORTALIDONA MG ; CLORTALIDONA; CLORTALIDONA; CPR 25 MG x 60; GM2
63991; CLORTALIDONA MG ; CLORTALIDONA; CLORTALIDONA; CPR 50 MG x 30; GM2
69931; CLOTRI+AC.DEXAM.MG ; CLOTRI AC DEXAM; NOT FOUND; CREME 40 G x 1; GM2
72286; CLOTRIMAZOL CR.MG ; CLOTRIMAZOL CR; NOT FOUND; CREME 10 MG 20 G x 1 (/G); GM2
66703; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG. 6APL 10 MG 35 G x 1 (/G); GM2
66702; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG.3 APL 20 MG 20 G x 1 (/G); GM2
80656; COSARTAN ; COSARTAN; NOT FOUND; CPR REVEST 160 MG x 30; GM2
80657; COSARTAN ; COSARTAN; NOT FOUND; CPR REVEST 320 MG x 30; GM2
80408; COSARTAN ; COSARTAN; NOT FOUND; CPR REVEST 80 MG x 30; GM2
155767; COSARTAN ALP ; COSARTAN ALP; NOT FOUND; CPR REVEST 160 MG x 30 (/10); GM2
160479; COSARTAN ALP ; COSARTAN ALP; NOT FOUND; CPR REVEST 320 MG x 30 (/10); GM2
158182; COSARTAN ALP ; COSARTAN ALP; NOT FOUND; CPR REVEST 320 MG x 30 (/5); GM2
158183; COSARTAN ALP ; COSARTAN ALP; NOT FOUND; CPR REVEST 320 MG x 60 (/5); GM2
100274; COSARTAN HCT ; COSARTAN HCT; NOT FOUND; CPR 160 MG x 30 (/12.); GM2
100275; COSARTAN HCT ; COSARTAN HCT; NOT FOUND; CPR 160 MG x 30 (/25); GM2
100276; COSARTAN HCT ; COSARTAN HCT; NOT FOUND; CPR 320 MG x 30 (/25); GM2
100273; COSARTAN HCT ; COSARTAN HCT; NOT FOUND; CPR 80 MG x 30 (/12.); GM2
