61382, CALAMED , CALAMED, NOT FOUND, AERO 120 ML x 1, CM5
61387, CIMECORT , CIMECORT, NOT FOUND, CREME 30 G x 1, CM5
61388, CIMEGRIPE , CIMEGRIPE, NOT FOUND, CAPS 400 MG x 100, CM5
58530, CIMEGRIPE , CIMEGRIPE, NOT FOUND, CAPS 400 MG x 20, CM5
61389, CIMEGRIPE , CIMEGRIPE, NOT FOUND, GOTAS 20 ML x 1, CM5
88119, CIMEGRIPE , CIMEGRIPE, NOT FOUND, SUSP CRIANCA 32 MG 60 ML x 1 (/ML), CM5
74631, CIMEGRIPE BEBE , CIMEGRIPE BEBE, NOT FOUND, GOTAS 100 MG 15 ML x 1 (/ML), CM5
95141, CIMEGRIPE DIA , CIMEGRIPE DIA, NOT FOUND, CPR REVEST x 20, CM5
73353, CIMEGRIPE DIA , CIMEGRIPE DIA, NOT FOUND, CPR x 100, CM5
69598, CIMEGRIPE DIA , CIMEGRIPE DIA, NOT FOUND, CPR x 24, CM5
72986, CIMEGRIPE-77C , CIMEGRIPE 77C, NOT FOUND, PO ENVELOPE 100 MG 5 G x 50 (/G), CM5
60154, CIMELIDE , CIMELIDE, NOT FOUND, CPR 100 MG x 12, CM5
60155, CIMELIDE , CIMELIDE, NOT FOUND, GOTAS 50 MG 15 ML x 1 (/ML), CM5
78510, CIMELIDE GEL , CIMELIDE GEL, NOT FOUND, GEL. 20 MG 30 G x 1 (/G), CM5
85503, CIMELIDE GEL , CIMELIDE GEL, NOT FOUND, GEL. 20 MG 40 G x 1 (/G), CM5
48757, CIMETIDAN , CIMETIDAN, NOT FOUND, CPR 200 MG x 20, CM5
53968, CLEARTOP , CLEARTOP, NOT FOUND, XAMP 20 MG 100 ML x 1 (/ML), CM5
55516, CLEARTOP CREME , CLEARTOP CREME, NOT FOUND, CREME 20 MG 30 G x 1 (/G), CM5
76829, CLO PROPRANOLOL MG , CLO PROPRANOLOL, CLORIDRATO PROPRANOLOL, CPR 40 MG x 30, CM5
68826, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. AD 30 MG 120 ML x 1 (/5ML), CM5
68827, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. PED. 15 MG 120 ML x 1 (/5ML, CM5
75411, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 14, CM5
75412, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 6, CM5
77374, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 30, CM5
42847, COLIRIO HELIOS , COLIRIO HELIOS, NOT FOUND, COLIRIO 15 ML x 1, CM5
78511, COLUJET , COLUJET, NOT FOUND, POM. 1 MG 10 G x 1 (/G), CM5
32765, COLUTOIDE , COLUTOIDE, NOT FOUND, SOLN 20 ML x 1, CM5
85464, COLUTOIDE CAMOMILA , COLUTOIDE CAMOMILA, NOT FOUND, GEL. 25 MG 10 G x 1 (/G), CM5
142653, CRONO CALCIO-D , CRONO CALCIO D, NOT FOUND, CPR x 60, CM5
147987, CRONOLIV OMEGA 3 , CRONOLIV OMEGA 3, NOT FOUND, CAPS x 60, CM5
