46335, CANDICORT , CANDICORT, NOT FOUND, CREME 30 G x 1, A4H
57610, CLOR.DILTIAZEM MG , CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 60 MG x 30, A4H
118963, CLOR.DONEPEZILA MG , CLOR DONEPEZILA, CLORIDRATO DONEPEZILA, CPR REV 10 MG x 15, A4H
120259, CLOR.DONEPEZILA MG , CLOR DONEPEZILA, CLORIDRATO DONEPEZILA, CPR REV 5 MG x 15, A4H
57602, CLOR.FLUOXETINA MG , CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 30, A4H
69140, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 1 G x 30, A4H
58372, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 500 MG x 30, A4H
69138, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 500 MG x 60, A4H
58373, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 30, A4H
69139, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 60, A4H
67216, CLOR.PAROXETINA MG , CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 20, A4H
67217, CLOR.PAROXETINA MG , CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30, A4H
89104, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 150 MG x 20, A4H
89106, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 300 MG x 20, A4H
137495, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, XPE 15 MG 120 ML x 1 (/ML), A4H
58535, CLOR.SELEGILINA MG , CLOR SELEGILINA, CLORIDRATO SELEGILINA, CPR 5 MG x 30, A4H
64023, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 10, A4H
64024, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, A4H
64025, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 28, A4H
57861, CLOR.SERTRALINA MG , CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 30, A4H
155779, COLIKIDS , COLIKIDS, NOT FOUND, GOTAS 5 ML x 1, A4H
135548, COLLESTRA , COLLESTRA, NOT FOUND, CAPS 650 MG x 30, A4H
135551, COLLESTRA , COLLESTRA, NOT FOUND, CAPS 650 MG x 60, A4H
51805, COLPISTATIN , COLPISTATIN, NOT FOUND, CR.VAG.10APL 40 G x 1, A4H
51474, COMBIRON , COMBIRON, NOT FOUND, DRAG x 45, A4H
52322, COMBIRON , COMBIRON, NOT FOUND, GOTAS 30 ML x 1, A4H
2685, COMBIRON , COMBIRON, NOT FOUND, LIQD 120 ML x 1, A4H
72420, COMBIRON FOLICO , COMBIRON FOLICO, NOT FOUND, CPR REVEST x 45, A4H
50748, CORDAREX , CORDAREX, NOT FOUND, CPR 10 MG x 20, A4H
75823, CORDAREX , CORDAREX, NOT FOUND, CPR 10 MG x 30, A4H
51039, CORDAREX , CORDAREX, NOT FOUND, CPR 2.50 MG x 20, A4H
75821, CORDAREX , CORDAREX, NOT FOUND, CPR 2.50 MG x 30, A4H
50652, CORDAREX , CORDAREX, NOT FOUND, CPR 5 MG x 20, A4H
75822, CORDAREX , CORDAREX, NOT FOUND, CPR 5 MG x 30, A4H
53977, CORUS , CORUS, NOT FOUND, CPR REVEST 25 MG x 28, A4H
104561, CORUS , CORUS, NOT FOUND, CPR REVEST 25 MG x 30, A4H
51927, CORUS , CORUS, NOT FOUND, CPR REVEST 50 MG x 14, A4H
51928, CORUS , CORUS, NOT FOUND, CPR REVEST 50 MG x 28, A4H
104560, CORUS , CORUS, NOT FOUND, CPR REVEST 50 MG x 30, A4H
51929, CORUS H , CORUS H, NOT FOUND, CPR REVEST 12.5 MG x 14 (/50), A4H
51930, CORUS H , CORUS H, NOT FOUND, CPR REVEST 12.5 MG x 28 (/50), A4H
104564, CORUS H , CORUS H, NOT FOUND, CPR REVEST 12.5 MG x 30 (/50), A4H
72641, CORUS H , CORUS H, NOT FOUND, CPR REVEST 25 MG x 28 (/100), A4H
104562, CORUS H , CORUS H, NOT FOUND, CPR REVEST 25 MG x 30 (/100), A4H
