71888; FACTIVE ; FACTIVE; NOT FOUND; CPR REVEST 320 MG x 5; A4H
57353; FLOGORAL ; FLOGORAL; NOT FOUND; PAST CEREJA 3 MG x 12; A4H
77846; FLOGORAL ; FLOGORAL; NOT FOUND; PAST LARANJA 3 MG x 100; A4H
54762; FLOGORAL ; FLOGORAL; NOT FOUND; PAST LARANJA 3 MG x 12; A4H
45512; FLOGORAL ; FLOGORAL; NOT FOUND; PAST LIMAO 3 MG x 12; A4H
77847; FLOGORAL ; FLOGORAL; NOT FOUND; PAST MENTA 3 MG x 100; A4H
57354; FLOGORAL ; FLOGORAL; NOT FOUND; PAST MENTA 3 MG x 12; A4H
60924; FLOGORAL ; FLOGORAL; NOT FOUND; SPRAY CEREJA 1.50 MG 30 ML x 1 (/ML); A4H
45513; FLOGORAL ; FLOGORAL; NOT FOUND; SPRAY MENTA 1.50 MG 30 ML x 1 (/ML); A4H
30905; FLUNARIN ; FLUNARIN; NOT FOUND; CAPS 10 MG x 60; A4H
63809; FLUTICAPS ; FLUTICAPS; NOT FOUND; CAPS 250 Y x 60; A4H
63808; FLUTICAPS ; FLUTICAPS; NOT FOUND; CAPS 50 Y x 60; A4H
63811; FLUTICAPS ; FLUTICAPS; NOT FOUND; CAPS+INALAD. 250 Y x 60; A4H
63810; FLUTICAPS ; FLUTICAPS; NOT FOUND; CAPS+INALAD. 50 Y x 60; A4H
62542; FORMOCAPS ; FORMOCAPS; NOT FOUND; CAPS 12 Y x 30; A4H
62543; FORMOCAPS ; FORMOCAPS; NOT FOUND; CAPS+INALAD. 12 Y x 30; A4H
73785; FOS.SOD.PREDNIS.MG ; FOS SOD PREDNIS; NOT FOUND; SOLN ORAL 3 MG 120 ML x 1 (/ML); A4H
73784; FOS.SOD.PREDNIS.MG ; FOS SOD PREDNIS; NOT FOUND; SOLN ORAL 3 MG 60 ML x 1 (/ML); A4H
53249; FREENAL ; FREENAL; NOT FOUND; SOLN NASAL 0.50 MG 20 ML x 1 (/ML); A4H
84579; FUM QUETIAPINA MG ; FUM QUETIAPINA; NOT FOUND; CPR REVEST 100 MG x 30; A4H
84580; FUM QUETIAPINA MG ; FUM QUETIAPINA; NOT FOUND; CPR REVEST 200 MG x 30; A4H
84577; FUM QUETIAPINA MG ; FUM QUETIAPINA; NOT FOUND; CPR REVEST 25 MG x 15; A4H
71745; FUMARATO CETOTI.MG ; FUMARATO CETOTI; FUMARATO CETOTIFENO; GOTAS 1 MG 30 ML x 1 (/ML); A4H
69456; FUMARATO CETOTI.MG ; FUMARATO CETOTI; FUMARATO CETOTIFENO; XAR. 1 MG 100 ML x 1 (/5ML); A4H
75440; FUMARATO CETOTI.MG ; FUMARATO CETOTI; FUMARATO CETOTIFENO; XAR. 1 MG 120 ML x 1 (/5ML); A4H
72437; FUROAT MOMETASO.MG ; FUROAT MOMETASO; FUROATO MOMETASONA; CREME DERMAT 1 MG 20 G x 1 (/G); A4H
72800; FUROAT MOMETASO.MG ; FUROAT MOMETASO; FUROATO MOMETASONA; POM. 1 MG 20 G x 1 (/G); A4H
58118; FUROSEMIDA MG ; FUROSEMIDA; FUROSEMIDA; CPR 40 MG x 30; A4H
