1130011050202; CORASTORVA (ATORVASTATINA CÁLCICA); CORASTORVA ATORVASTATINA CALCICA; NOT FOUND; 80MG COM REV CT BL AL/AL X 30; S_A
1130002760472; CLEXANE; CLEXANE; NOT FOUND; 20 MG SOL INJ CT 2 SER PRE - ENCHIDAS VD INC X 0.2 ML + SIST SEGURANCA; S_A
1130002760529; CLEXANE; CLEXANE; NOT FOUND; 40 MG SOL INJ CT 10 SER PRE - ENCHIDAS VD INC X 0.4 ML + SIST SEGURANCA; S_A
1130002760502; CLEXANE; CLEXANE; NOT FOUND; 40 MG SOL INJ CT 2 SER PRE - ENCHIDAS VD INC X 0.4 ML + SIST SEGURANCA; S_A
1130002760383; CLEXANE; CLEXANE; NOT FOUND; 60 MG SOL INJ CT 2 SER PRE - ENCHIDAS VD INC GRAD X 0.6 ML + SIST SEGURANCA; S_A
1130002760413; CLEXANE; CLEXANE; NOT FOUND; 80 MG SOL INJ CT 2 SER PRE-ENCHIDAS VD INC GRAD X 0.8 ML + SIST SEGURANCA; S_A
1130002480054; CALCIGENOL; CALCIGENOL; NOT FOUND; 10 MG/ML+0.001 MG/ML+0.050 MG/ML SUS OR X 300 ML; S_A
1130002490025; CALCIGENOL; CALCIGENOL; NOT FOUND; 10 MG/ML + 0.100 MG/ML SUS OR FR PLAS TRANSLUCIDO X 300 ML; S_A
1130011300012; CLORANA; CLORANA; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; S_A
1130011300055; CLORANA; CLORANA; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; S_A
1203300130042; CLORANA; CLORANA; NOT FOUND; 25 MG COM CT BL PLAS PAPEL X 30; S_A
1203300130018; CLORANA; CLORANA; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; S_A
1130003100018; CONTRATHION; CONTRATHION; NOT FOUND; 200 MG PO LIOF CX 5 FA VD INC ; S_A
1130003100026; CONTRATHION; CONTRATHION; NOT FOUND; 200 MG PO LIOF CX 10 FA VD INC + 10 AMP SOLV; S_A
