1130002110036; ADEROGIL D3; ADEROGIL D3; NOT FOUND; 4400UI/ML + 22000UI/ML SOL OR CT 3 AMP VD INC X 3 ML; S_A
1130002580326; ALLEGRA PEDIATRICO; ALLEGRA PEDIATRICO; NOT FOUND; 6 MG/ML SUS OR CT FR PLAS AMB X 60 ML + SER DOSAD SABOR FRAMBOESA; S_A
1130002580369; ALLEGRA PEDIATRICO; ALLEGRA PEDIATRICO; NOT FOUND; 6 MG/ML SUS OR CT FR PLAS AMB X 150 ML + SER DOSAD SABOR FRAMBOESA; S_A
1130002580113; ALLEGRA; ALLEGRA; NOT FOUND; 120 MG COM REV CT BL AL/AL X 10; S_A
1130002580121; ALLEGRA; ALLEGRA; NOT FOUND; 180 MG COM REV CT BL AL/AL X 10; S_A
1130002580105; ALLEGRA; ALLEGRA; NOT FOUND; 60 MG CAP GEL DURA CT BL AL/AL X 10; S_A
1130002580131; ALLEGRA; ALLEGRA; NOT FOUND; 60 MG COM REV CT BL AL/AL X 10; S_A
1130002580245; ALLEGRA; ALLEGRA; NOT FOUND; 120 MG COM REV CT BL AL PLAS INC X 5; S_A
1130002580261; ALLEGRA; ALLEGRA; NOT FOUND; 180 MG COM REV CT BL AL PLAS INC X 5; S_A
1130002580091; ALLEGRA INFANTIL; ALLEGRA INFANTIL; NOT FOUND; 30 MG COM REV CT STR AL/AL X 20 ; S_A
1130002580431; ALLEGRA; ALLEGRA; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 10; S_A
1130002580237; ALLEGRA; ALLEGRA; NOT FOUND; 120 MG COM REV CT BL AL PLAS INC X 10; S_A
1130002580253; ALLEGRA; ALLEGRA; NOT FOUND; 180 MG COM REV CT BL AL PLAS INC X 10; S_A
1130002620050; ALLEGRA D; ALLEGRA D; NOT FOUND; 60 MG + 120 MG COM CT  BL AL/AL X 6; S_A
1130002620026; ALLEGRA D; ALLEGRA D; NOT FOUND; 60 MG + 120 MG COM CT STR AL/AL X 10; S_A
1130002620069; ALLEGRA D; ALLEGRA D; NOT FOUND; 180 MG + 240 MG COM REV LIB PROL CT BL AL/AL X 2; S_A
1130002620085; ALLEGRA D; ALLEGRA D; NOT FOUND; 180 MG + 240 MG COM REV LIB PROL CT BL AL/AL X 5; S_A
1130002620115; ALLEGRA D; ALLEGRA D; NOT FOUND; 60 MG + 120 MG COM CT  BL AL PLAS INC X 10; S_A
1130010440090; AMARYL FLEX; AMARYL FLEX; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30 + 500 MG COM REV CT BL AL PLAS INC X 120; S_A
1130010440058; AMARYL FLEX; AMARYL FLEX; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 30 + 500 MG COM REV CT BL AL PLAS INC X 120; S_A
1130010550015; AMARYL MET; AMARYL MET; NOT FOUND; 2 MG + 500 MG COM REV CT BL AL PLAS INC X 30; S_A
1130010550041; AMARYL MET; AMARYL MET; NOT FOUND; 1 MG + 250 MG COM REV CT BL AL PLAS INC X 30 ; S_A
1130010550058; AMARYL MET; AMARYL MET; NOT FOUND; 1 MG + 250 MG COM REV CT FR PLAS OPC X 60; S_A
1130010550066; AMARYL MET; AMARYL MET; NOT FOUND; 1 MG + 250 MG COM REV CT FR PLAS OPC X 90; S_A
1130010550023; AMARYL MET; AMARYL MET; NOT FOUND; 2 MG + 500 MG COM REV CT FR PLAS OPC X 60; S_A
1130010550031; AMARYL MET; AMARYL MET; NOT FOUND; 2 MG + 500 MG COM REV CT FR PLAS OPC X 90 ; S_A
1130010550090; AMARYL MET XR; AMARYL MET XR; NOT FOUND; 2 MG + 500 MG COM REV LIB PROL CT BL AL PLAS INC X 10; S_A
1130010550139; AMARYL MET XR; AMARYL MET XR; NOT FOUND; 2 MG + 500 MG COM REV LIB PROL CT BL AL PLAS INC X 30; S_A
1130010190027; ATURGYL; ATURGYL; NOT FOUND; 0.5 MG/ML SOL NASAL CT FR PLAS OPC SPRAY X 15 ML; S_A
1203300390028; ATURGYL; ATURGYL; NOT FOUND; 0.5 MG /ML SOL NASAL CT FR PLAS OPC SPRAY X 15ML; S_A
1130002290026; ANTIETANOL; ANTIETANOL; NOT FOUND; 250 MG COM CT 2 BL AL PLAS LAR X 10; S_A
1130002610063; ANZEMET; ANZEMET; NOT FOUND; 20MG/ML SOL INJ CT AMP VD INC X 5 ML; S_A
1130002050114; AMARYL; AMARYL; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 30; S_A
1130002050122; AMARYL; AMARYL; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30 ; S_A
1130002050149; AMARYL; AMARYL; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 30; S_A
1130002050262; AMARYL; AMARYL; NOT FOUND; 3 MG COM CT BL AL PLAS INC X 10; S_A
1130002050270; AMARYL; AMARYL; NOT FOUND; 3 MG COM CT BL AL PLAS INC X 15; S_A
1130002050289; AMARYL; AMARYL; NOT FOUND; 3 MG COM CT BL AL PLAS INC X 30; S_A
1130002050254; AMARYL; AMARYL; NOT FOUND; 3 MG COM CT BL AL PLAS INC X 7 ; S_A
1130002050300; AMARYL; AMARYL; NOT FOUND; 6 MG COM CT BL AL/AL X 10; S_A
1130002050319; AMARYL; AMARYL; NOT FOUND; 6 MG COM CT BL AL/AL X 15; S_A
1130002050327; AMARYL; AMARYL; NOT FOUND; 6 MG COM CT BL AL/AL X 30; S_A
1130010040051; APROZIDE; APROZIDE; NOT FOUND; 300 MG + 25 MG COM REV CT BL AL PLAS INC X 14; S_A
1130010040068; APROZIDE; APROZIDE; NOT FOUND; 300 MG + 25 MG COM REV CT BL AL PLAS INC X 28; S_A
1130010040017; APROZIDE; APROZIDE; NOT FOUND; 150 MG + 12.5 MG COM REV CT BL AL PLAS INC X 14   ; S_A
1130010040041; APROZIDE; APROZIDE; NOT FOUND; 300 MG + 12.5 MG COM REV CT BL AL PLAS INC X 28  ; S_A
1130010040025; APROZIDE; APROZIDE; NOT FOUND; 150 MG + 12.5 MG COM REV CT BL AL PLAS INC X 28; S_A
1130010040033; APROZIDE; APROZIDE; NOT FOUND; 300 MG + 12.5 MG COM REV CT BL AL PLAS INC X 14; S_A
1130010040191; APROZIDE; APROZIDE; NOT FOUND; 150 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 15; S_A
1130010040221; APROZIDE; APROZIDE; NOT FOUND; 150 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30; S_A
1130010040203; APROZIDE; APROZIDE; NOT FOUND; 300 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 15; S_A
1130010040211; APROZIDE; APROZIDE; NOT FOUND; 300 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30; S_A
1130010040238; APROZIDE; APROZIDE; NOT FOUND; 300 MG + 25 MG COM REV CT BL AL PLAS OPC X 15; S_A
1130010040246; APROZIDE; APROZIDE; NOT FOUND; 300 MG + 25 MG COM REV CT BL AL PLAS OPC X 30; S_A
1203300010020; APROZIDE; APROZIDE; NOT FOUND; 150 MG + 12.5 MG COM CT 2 BL AL PLAS INC X 14; S_A
1203300010012; APROZIDE; APROZIDE; NOT FOUND; 150 MG + 12.5 MG COM CT BL AL PLAS INC X 14; S_A
1203300010047; APROZIDE; APROZIDE; NOT FOUND; 300 MG + 12.5 MG COM CT 2 BL AL PLAS INC X 14; S_A
1203300010039; APROZIDE; APROZIDE; NOT FOUND; 300 MG + 12.5 MG COM CT BL AL PLAS INC X 14; S_A
1192400130015; ACTIPROFEN; ACTIPROFEN; NOT FOUND; 200 MG - COMP REV - CX - 20 COMP REV; S_A
1130009690011; APIDRA; APIDRA; NOT FOUND; 100 UI/ML SOL INJ CT 1 FA VD INC X 10 ML ; S_A
1130009690038; APIDRA; APIDRA; NOT FOUND; 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML ; S_A
1130009690046; APIDRA; APIDRA; NOT FOUND; 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML  ; S_A
1130009690070; APIDRA; APIDRA; NOT FOUND; 100 UI/ML SOL INJ CT 1 CARP VD INC X 3 ML + 1 SISTEMA APLIC PLAS; S_A
1130009930047; APROVEL; APROVEL; NOT FOUND; 150 MG COM CT BL AL PLAS INC X 28; S_A
1130009930039; APROVEL; APROVEL; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 14  ; S_A
1130009930055; APROVEL; APROVEL; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 14; S_A
1130009930063; APROVEL; APROVEL; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 28; S_A
1130009930128; APROVEL; APROVEL; NOT FOUND; 300 MG COM REV CT BL AL PLAS OPC X 30; S_A
1130009930111; APROVEL; APROVEL; NOT FOUND; 300 MG COM REV CT BL AL PLAS OPC X 15; S_A
1130009930101; APROVEL; APROVEL; NOT FOUND; 150 MG COM REV CT BL AL PLAS OPC X 30; S_A
1130009930098; APROVEL; APROVEL; NOT FOUND; 150 MG COM REV CT BL AL PLAS OPC X 15; S_A
1203300180031; APROVEL; APROVEL; NOT FOUND; 150 MG COM CT 2 BL AL PLAS INC X 14; S_A
1203300180041; APROVEL; APROVEL; NOT FOUND; 150 MG COM CT BL AL PLAS INC X 14; S_A
1203300180066; APROVEL; APROVEL; NOT FOUND; 300 MG COM CT 2 BL AL PLAS INC X 14; S_A
1203300180058; APROVEL; APROVEL; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 14; S_A
1130002640051; ARAVA; ARAVA; NOT FOUND; 100 MG COM REV CT BL AL/AL X 3; S_A
1130002640043; ARAVA; ARAVA; NOT FOUND; 20 MG COM REV CT FR PLAS OPC X 30; S_A
1130002640027; ARAVA; ARAVA; NOT FOUND; 10 MG COM REV CT FR PLAS OPC X 30; S_A
1130002120058; ANANDRON; ANANDRON; NOT FOUND; 50 MG COM CT BL AL PLAS LARANJA X 60; S_A
1130011460028; ASTRALE; ASTRALE; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 15; S_A
1130011460044; ASTRALE; ASTRALE; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 30; S_A
1130011460087; ASTRALE; ASTRALE; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 15; S_A
1130011460109; ASTRALE; ASTRALE; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; S_A
1130000210122; ARELIX; ARELIX; NOT FOUND; 6 MG CAP GEL DESINT GRAD CT STR AL X 20; S_A
1415500030056; AVANFLEX; AVANFLEX; NOT FOUND; 35 MG + 300 MG + 50 MG SOL OR FR VD AMB X 20 ML; S_A
