1130000620010; PERGALEN; PERGALEN; NOT FOUND; 10 MG/G + 1.25MG/G POM DERM CT BG AL X 20 G; S_A
1130002820025; PREDNISOLON; PREDNISOLON; NOT FOUND; 1.34 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; S_A
1130010400171; PEPSAMAR; PEPSAMAR; NOT FOUND; 61.5 MG/ML SUS OR CT FR PLAS OPC X 240 ML; S_A
1192400300017; PEPSAMAR; PEPSAMAR; NOT FOUND; 61.5 MG/ML SUS ORAL FR PLAS OPC X 240 ML; S_A
1130010400161; PEPSAMAR; PEPSAMAR; NOT FOUND; 230 MG COM MAST CT BL AL PLAS INC X 200 (EMB MULTIPLA); S_A
1130010400129; PEPSAMAR; PEPSAMAR; NOT FOUND; 230 MG COM MAST CT BL AL PLAS INC X 50; S_A
1130010400013; PEPSAMAR; PEPSAMAR; NOT FOUND; 230 MG COM MAST CT STR CELOF OPC X 100 (EMB MULTIPLA); S_A
1130010400056; PEPSAMAR; PEPSAMAR; NOT FOUND; 230 MG COM MAST CT STR CELOF OPC X 30; S_A
1192400300025; PEPSAMAR; PEPSAMAR; NOT FOUND; 230 MG COM MAST CT 10 STR X 10; S_A
1192400300064; PEPSAMAR; PEPSAMAR; NOT FOUND; 230 MG COM MAST CT 3 STR X 10; S_A
1203302670095; PEPSAMAR; PEPSAMAR; NOT FOUND; 230 MG COM MAST CT STR CELOF OPC X 200 (EMB MULTIPLA); S_A
1203302670060; PEPSAMAR; PEPSAMAR; NOT FOUND; 230 MG COM MAST CT STR CELOF OPC X 50; S_A
1130002750051; PENTACARINAT; PENTACARINAT; NOT FOUND; 300 MG PO P/ PREP EXT CX 6 FA VD INC; S_A
1130010150041; PRIMACOR; PRIMACOR; NOT FOUND; 1MG/ML SOL INJ CT 10 AMP VD INC X 10 ML; S_A
1192400250016; PRIMACOR; PRIMACOR; NOT FOUND; 1 MG/ML SOL INJ CT FA VD INC X 20 ML; S_A
1130010230436; PURAN T4; PURAN T4; NOT FOUND; 12.5 MCG COM CT BL AL AL X 30; S_A
1130010230452; PURAN T4; PURAN T4; NOT FOUND; 37.5 MCG COM CT BL AL AL X 30 ; S_A
1130010230479; PURAN T4; PURAN T4; NOT FOUND; 62.5 MCG COM CT BL AL AL X 30 ; S_A
1130010230517; PURAN T4; PURAN T4; NOT FOUND; 300 MCG COM CT BL AL AL X 30; S_A
1130010230185; PURAN T4; PURAN T4; NOT FOUND; 100 MCG COM CT BL AL PLAS INC X 28; S_A
1130010230231; PURAN T4; PURAN T4; NOT FOUND; 112 MCG COM CT BL AL PLAS INC X 28; S_A
1130010230193; PURAN T4; PURAN T4; NOT FOUND; 125 MCG COM CT BL AL PLAS INC X 28; S_A
1130010230207; PURAN T4; PURAN T4; NOT FOUND; 150 MCG COM CT BL AL PLAS INC X 28; S_A
1130010230241; PURAN T4; PURAN T4; NOT FOUND; 200 MCG COM CT BL AL PLAS INC X 28; S_A
1130010230150; PURAN T4; PURAN T4; NOT FOUND; 25 MCG COM CT BL AL PLAS INC X 28; S_A
1130010230169; PURAN T4; PURAN T4; NOT FOUND; 50 MCG COM CT BL AL PLAS INC X 28; S_A
1130010230223; PURAN T4; PURAN T4; NOT FOUND; 88 MCG COM CT BL AL PLAS INC X 28; S_A
1130010230215; PURAN T4; PURAN T4; NOT FOUND; 175 MCG COM CT BL AL PLAS INC X 28; S_A
1130010230177; PURAN T4; PURAN T4; NOT FOUND; 75 MCG COM CT BL AL PLAS INC X 28; S_A
1130010230045; PURAN T4; PURAN T4; NOT FOUND; 100 MCG COM CT BL AL PLAS INC X 30; S_A
1130010230096; PURAN T4; PURAN T4; NOT FOUND; 112 MCG COM CT BL AL PLAS INC X 30 ; S_A
1130010230053; PURAN T4; PURAN T4; NOT FOUND; 125 MCG COM CT BL AL PLAS INC X 30; S_A
1130010230061; PURAN T4; PURAN T4; NOT FOUND; 150 MCG COM CT BL AL PLAS INC X 30; S_A
1130010230071; PURAN T4; PURAN T4; NOT FOUND; 175 MCG COM CT BL AL PLAS INC X 30; S_A
1130010230101; PURAN T4; PURAN T4; NOT FOUND; 200 MCG COM CT BL AL PLAS INC X 30; S_A
1130010230010; PURAN T4; PURAN T4; NOT FOUND; 25 MCG COM CT BL AL PLAS INC X 30; S_A
1130010230029; PURAN T4; PURAN T4; NOT FOUND; 50 MCG COM CT BL AL PLAS INC X 30; S_A
1130010230088; PURAN T4; PURAN T4; NOT FOUND; 88 MCG COM CT BL AL PLAS INC X 30; S_A
1130010230037; PURAN T4; PURAN T4; NOT FOUND; 75 MCG COM CT BL AL PLAS INC X 30; S_A
1203300190045; PURAN T4; PURAN T4; NOT FOUND; 100 MCG COM CT 2 BL AL PLAS INC X 15; S_A
1203300190053; PURAN T4; PURAN T4; NOT FOUND; 125 MCG COM CT 2 BL AL PLAS INC X 15; S_A
1203300190061; PURAN T4; PURAN T4; NOT FOUND; 150 MCG COM CT 2 BL AL PLAS INC X 15; S_A
1203300190071; PURAN T4; PURAN T4; NOT FOUND; 175 MCG COM CT 2 BL AL PLAS INC X 15; S_A
1203300190088; PURAN T4; PURAN T4; NOT FOUND; 200 MCG COM CT 2 BL AL PLAS INC X 15; S_A
1203300190010; PURAN T4; PURAN T4; NOT FOUND; 25 MCG COM CT 2 BL AL PLAS INC X 15; S_A
1203300190029; PURAN T4; PURAN T4; NOT FOUND; 50 MCG COM CT 2 BL AL PLAS INC X 15; S_A
1203300190037; PURAN T4; PURAN T4; NOT FOUND; 75 MCG COM CT 2 BL AL PLAS INC X 15; S_A
1203300190101; PURAN T4; PURAN T4; NOT FOUND; 112 MCG COM CT 2 BL AL PLAS INC X 15; S_A
1203300190096; PURAN T4; PURAN T4; NOT FOUND; 88 MCG COM CT 2 BL AL PLAS INC X 15; S_A
1130002880036; PRIMASONE; PRIMASONE; NOT FOUND; 0.5 MG/ML XAROPE FR VD AMB X 120 ML; S_A
1130002790053; PEFLACIN; PEFLACIN; NOT FOUND; 400MG/5ML SOL INJ CX 10 AMP VD INC X 5 ML; S_A
1130002790029; PEFLACIN; PEFLACIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 10; S_A
1130002790010; PEFLACIN; PEFLACIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 2; S_A
1130002990052; PIPORTIL L4; PIPORTIL L4; NOT FOUND; 25 MG/ML SOL INJ CX 1 AMP VD AMB X 4 ML; S_A
1130002990044; PIPORTIL L4; PIPORTIL L4; NOT FOUND; 25 MG/ML SOL INJ CX 3 AMP VD AMB X 1 ML; S_A
1130002990011; PIPORTIL; PIPORTIL; NOT FOUND; 10 MG COM REV CX C/ 1BL AL PLAS INC X 20; S_A
1130010210060; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS INC X 20; S_A
1130010210087; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS INC X 200 (EMB MULT); S_A
1130010170026; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 400 MG COM REV CT BL AL PLAS INC X 30; S_A
1130010170018; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 400 MG COM REV LIB PROL CT BL AL PLAS INC X 20 ; S_A
1130010660015; PROMETAZINA; PROMETAZINA; PROMETAZINA; 20 MG/G CREM DERM CT BG AL X 30 G ; S_A
SI/NC; PENTACT-HIB; PENTACT HIB; NOT FOUND; CT C/1 FR CONTENDO 1 DOSE LIOF E 1 SERINGA C/; S_A
1130002910024; PENTASPAN; PENTASPAN; NOT FOUND; 0.1 G/ML SOL INJ CT BOLSA PLASTICA X 500 ML; S_A
