1130010920017; DUOPLAVIX; DUOPLAVIX; NOT FOUND; 75 MG + 100 MG COM REV CT BL AL/AL X 7; S_A
1130000170020; DOLANTINA; DOLANTINA; NOT FOUND; 50 MG/ML SOL INJ CT 5 BL X 5 AMP VD INC X 2 ML; S_A
1130002140024; DACTIL OB; DACTIL OB; NOT FOUND; 100 MG + 50 MG + 50 MG DRG CT 2 BL AL PLAS LARANJA X 15; S_A
1203300310016; DIENPAX; DIENPAX; NOT FOUND; 10 MG - INJ - AMP - 10 AMPS 2 ML; S_A
1130010030021; DIENPAX; DIENPAX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; S_A
1130010030011; DIENPAX; DIENPAX; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; S_A
1203300310032; DIENPAX; DIENPAX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; S_A
1203300310024; DIENPAX; DIENPAX; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; S_A
1130002040021; DIMERCAPROL; DIMERCAPROL; DIMERCAPROL; 100 MG/ML SOL INJ CX 5 AMP VD INC X 1 ML; S_A
1130010090049; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; S_A
1130010090014; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; S_A
1130010090022; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; S_A
1130010080094; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB MULT); S_A
1272500050029; DICINONE; DICINONE; NOT FOUND; 125 MG/ML - INJ - AMP - 6 AMPS 2 ML; S_A
1272500050010; DICINONE; DICINONE; NOT FOUND; 250 MG - COMP - CX - 20 COMPS; S_A
1130002240029; DICORANTIL F; DICORANTIL F; NOT FOUND; 250 MG COM REV CT 2 BL AL PLAS INC X 8; S_A
1130002230015; DIMETROSE; DIMETROSE; NOT FOUND; 2.5 MG CAP GEL CT BL AL PLAS OPC X 8; S_A
1130000320017; DAONIL; DAONIL; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30; S_A
1130009980079; DÔRICO; DORICO; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC X 10 ML; S_A
1130009980060; DÔRICO; DORICO; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC X 15 ML; S_A
1192400460118; DORICO; DORICO; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC X 10 ML; S_A
1192400460071; DORICO; DORICO; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC X 15 ML; S_A
1192400460169; DORICO; DORICO; NOT FOUND; 500 MG PO OR CT 50 SACH X 5 G (EMB. MULT.) CHA LIMAO/MEL; S_A
1192400460177; DORICO; DORICO; NOT FOUND; 500 MG PO OR CT 50 SACH X 5 G (EMB. MULT.) CHA MACA/CANELA; S_A
1192400460223; DORICO FLASH; DORICO FLASH; NOT FOUND; 250 MG COM DISSOL INST CT 2 BL ALU ALU X 6; S_A
1192400460266; DORICO FLASH; DORICO FLASH; NOT FOUND; 500 MG COM DISSOL INST CT 2 BL ALU ALU X 4; S_A
1192400460282; DORICO FLASH; DORICO FLASH; NOT FOUND; 500 MG COM DISSOL INST CT 25 BL ALU ALU X 4 (EMB.; S_A
1192400460274; DORICO FLASH; DORICO FLASH; NOT FOUND; 500 MG COM DISSOL INST CT 4 BL ALU ALU X 4; S_A
1130009980028; DÔRICO; DORICO; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 100 ( EMB MULT); S_A
1130009980052; DÔRICO; DORICO; NOT FOUND; 750 MG COM CT BL AL PLAS INC X 10; S_A
1130009980036; DÔRICO; DORICO; NOT FOUND; 750 MG COM CT BL AL PLAS INC X 20; S_A
1130009980044; DÔRICO; DORICO; NOT FOUND; 750 MG COM CT BL AL PLAS INC X 200 (EMB MULT); S_A
1192400460045; DORICO; DORICO; NOT FOUND; 500 MG COM CT 25 BL AL PLAS INC X 4; S_A
1192400460134; DORICO; DORICO; NOT FOUND; 750 MG COM CT 2 BL AL PLAS INC X 10; S_A
1192400460150; DORICO; DORICO; NOT FOUND; 750 MG COM CT 50 BL AL PLAS INC X 4; S_A
1192400460126; DORICO; DORICO; NOT FOUND; 750 MG COM CT BL AL PLAS INC X 10; S_A
1192400460185; DORICO FLASH; DORICO FLASH; NOT FOUND; 125 MG COM DISSOL INST CT 2 BL ALU ALU X 6; S_A
1130000730014; DERMATOP; DERMATOP; NOT FOUND; 2.5 MG/G CREM DERM CT BG AL X 20 G; S_A
1130000730053; DERMATOP; DERMATOP; NOT FOUND; 2.5 MG/G POM DERM CT BG AL X 20 G; S_A
SI/NC; DTP; DTP; NOT FOUND; CT 1 SERINGA 1 DOSE; S_A
