76329, BROMETO IPRATRO.MG , BROMETO IPRATRO, BROMETO IPRATROPIO, SOLN INALT 0.25 MG 20 ML x 1 (/ML), E3S
93532, BRASART HCT , BRASART HCT, NOT FOUND, CPR REVEST 80 MG x 30 (/12.), E3S

57946, BENZOILMETRONID.MG , BENZOILMETRONID, NOT FOUND, SUSP ORAL 120 ML x 1, E3S

81110, BONECAL D , BONECAL D, NOT FOUND, CPR REVEST 600 MG x 30 (/400), E3S

154085, BRASART BCC , BRASART BCC, NOT FOUND, CPR REV 320 MG x 30 (/10), E3S

67942, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 30, E3S

76953, BISURAN , BISURAN, NOT FOUND, XAR. 4 MG 120 ML x 1 (/5ML), E3S

57688, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, GOTAS 4 MG 20 ML x 1 (/ML), E3S

77587, BIMATOPROSTA MG , BIMATOPROSTA, BIMATOPROSTA, SOLN OFTAL 0.30 MG 5 ML x 1, E3S

154090, BRASART BCC , BRASART BCC, NOT FOUND, CPR REV 160 MG x 30 (/5), E3S

78250, BISURAN , BISURAN, NOT FOUND, XAR. AD 8 MG 120 ML x 1 (/5ML), E3S

1287, BELEXA , BELEXA, NOT FOUND, XAR. 150 ML x 1, FAS

54967, BRONCOFLUX , BRONCOFLUX, NOT FOUND, XAR. INF 15 MG 120 ML x 1 (/5ML), FAS

50027, BIAMOTIL OTOLOGICO , BIAMOTIL OTOLOGICO, NOT FOUND, GOTAS OTO. 0.50 % 10 ML x 1, FAS

54968, BRONCOFLUX , BRONCOFLUX, NOT FOUND, XAR. AD 30 MG 120 ML x 1 (/5ML), FAS

76771, BIMATOPROSTA MG , BIMATOPROSTA, BIMATOPROSTA, SOLN OFTAL 0.30 MG 3 ML x 1 (/ML), GM2

66091, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, CPR 0.50 MG x 20, GM2

66684, BUTILB ESCOPOLA MG , BUTILB ESCOPOLA, BUTILBROMETO ESCOPOLAMINA, GOTAS 10 MG 20 ML x 1 (/ML), GM2

103494, BROMEPINA , BROMEPINA, NOT FOUND, CPR REV 100 MG x 30, GM2

66092, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, CPR 2 MG x 10, GM2

74207, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, ELIXIR 0.50 MG 120 ML x 1 (/5ML), GM2

105734, BROM PINAVERIO MG , BROM PINAVERIO, BROMETO PINAVERIO, CPR REVEST 100 MG x 30, GM2

68646, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 30, GM2

66095, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 20, GM2

66096, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 20, GM2

72282, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, GOTAS 2.50 MG 20 ML x 1 (/ML), GM2

68167, BROM.FENOTEROL MG , BROM FENOTEROL, NOT FOUND, GOTAS 5 MG 20 ML x 1 (/ML), GM2

78057, BROM CITALOPRAM MG , BROM CITALOPRAM, NOT FOUND, CPR REVEST 20 MG x 30, GM2

68992, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 30, GM2

78848, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, CAPS 10 MG x 20, GM2

69829, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, GOTAS ORAL 4 MG 20 ML x 1 (/ML), GM2

66093, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, GOTAS 0.50 MG 15 ML x 1 (/ML), GM2

76105, BROMETO IPRATRO.MG , BROMETO IPRATRO, BROMETO IPRATROPIO, SOLN INALT 0.25 MG 20 ML x 1 (/ML), GM2

76772, BIMATOPROSTA MG , BIMATOPROSTA, BIMATOPROSTA, SOLN OFTAL 0.30 MG 5 ML x 1 (/ML), GM2

66094, BEZAFIBRATO MG , BEZAFIBRATO, BEZAFIBRATO, CPR REVEST 200 MG x 20, GM2

103495, BROMEPINA , BROMEPINA, NOT FOUND, CPR REV 100 MG x 60, GM2

105735, BROM PINAVERIO MG , BROM PINAVERIO, BROMETO PINAVERIO, CPR REVEST 100 MG x 60, GM2

73316, BITUFO , BITUFO, NOT FOUND, G D S/F PR 100 G x 1, HY_

73315, BITUFO , BITUFO, NOT FOUND, G D S/F MORA 100 G x 1, HY_

73314, BITUFO , BITUFO, NOT FOUND, G D S/F F TR 100 G x 1, HY_

68406, BEZAFIBRATO MG , BEZAFIBRATO, BEZAFIBRATO, CPR REVEST 200 MG x 20, LG6

77423, BIMATOPROSTA MG , BIMATOPROSTA, BIMATOPROSTA, SOLN OFTAL 0.30 MG 5 ML x 1 (/ML), LG6

89998, BUPOGRAN , BUPOGRAN, NOT FOUND, CPR REV A P 150 MG x 60, LG6

47884, BRONQUITOSS , BRONQUITOSS, NOT FOUND, XAR. INF 60 ML x 1, LG6

48951, BENEVRAN , BENEVRAN, NOT FOUND, DRAG 50 MG x 20, LG6

67936, BENEVRAN GEL , BENEVRAN GEL, NOT FOUND, GEL. 10 MG 60 G x 1 (/G), LG6

71637, BUTILB ES+D SOD MG , BUTILB ES D SOD, NOT FOUND, GOTAS 20 ML x 1, LG6

81216, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, CAPS 10 MG x 20, LG6

69087, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, SOLN ORAL 4 MG 20 ML x 1 (/ML), LG6

89995, BUPOGRAN , BUPOGRAN, NOT FOUND, CPR REV A P 150 MG x 30, LG6

49686, BENECTRIN , BENECTRIN, NOT FOUND, XAR. 240 MG 100 ML x 1 (/5ML), LG6

49687, BENECTRIN BALSAMIC , BENECTRIN BALSAMIC, NOT FOUND, SUSP 100 ML x 1, LG6

80398, BIANCORT , BIANCORT, NOT FOUND, SOLN OFTAL 5 ML x 1, LG6

76104, BONAGRAN , BONAGRAN, NOT FOUND, CPR 70 MG x 4, LG6

1320, BENECTRIN , BENECTRIN, NOT FOUND, CPR 400 MG x 20 (/80), LG6

77422, BIMATOPROSTA MG , BIMATOPROSTA, BIMATOPROSTA, SOLN OFTAL 0.30 MG 3 ML x 1 (/ML), LG6

46770, BENEGEL TOPICO , BENEGEL TOPICO, NOT FOUND, POM. 20 G x 1, LG6

47668, BENECTRIN F , BENECTRIN F, NOT FOUND, CPR 800 MG x 10 (/160), LG6

104606, BROM PINAVERIO MG , BROM PINAVERIO, BROMETO PINAVERIO, CPR REV 100 MG x 30, LG6

67938, BENEVRAN , BENEVRAN, NOT FOUND, GOTAS 15 MG 20 ML x 1 (/ML), LG6

48952, BENEVRAN , BENEVRAN, NOT FOUND, GOTAS 15 MG 10 ML x 1 (/ML), LG6

76773, BROMETO IPRATRO.MG , BROMETO IPRATRO, BROMETO IPRATROPIO, SOLN INALT 0.25 MG 20 ML x 1 (/ML), LG6

48950, BENEVRAN , BENEVRAN, NOT FOUND, DRAG 50 MG x 10, LG6

68363, BRONCOLEX , BRONCOLEX, NOT FOUND, XPE ADLT 50 MG 120 ML x 1 (/5ML), LG6

68166, BROM.FENOTEROL MG , BROM FENOTEROL, NOT FOUND, GOTAS 5 MG 20 ML x 1 (/ML), LG6

95225, BIALUDEX , BIALUDEX, NOT FOUND, POM OFTAL 3.50 G x 1, LG6

94497, BRONQUITOSS , BRONQUITOSS, NOT FOUND, XAR. 120 ML x 1, LG6

47883, BRONQUITOSS , BRONQUITOSS, NOT FOUND, XAR. 120 ML x 1 (ADLT), LG6

77588, BRONXINA , BRONXINA, NOT FOUND, XAR. AD 8 MG 120 ML x 1 (/5ML), LG6

76102, BIALUDEX , BIALUDEX, NOT FOUND, SOLN OFTAL 5 ML x 1, LG6

68162, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, CPR 2 MG x 10, LG6

68170, BUTILB ESCOPOLA MG , BUTILB ESCOPOLA, BUTILBROMETO ESCOPOLAMINA, GOTAS 10 MG 20 ML x 1 (/ML), LG6

78060, BROM CITALOPRAM MG , BROM CITALOPRAM, NOT FOUND, CPR REVEST 20 MG x 28, LG6

1672, BISMU-JET , BISMU JET, NOT FOUND, LIQD 20 ML x 1, LG6

68169, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, SOLN ORAL 1 MG 120 ML x 1 (/ML), LG6

68161, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, CPR 0.50 MG x 20, LG6

58815, BETROSPAM , BETROSPAM, NOT FOUND, A.IM 1 ML x 1, LG6

68362, BRONCOLEX , BRONCOLEX, NOT FOUND, XPE INF. 25 MG 120 ML x 1 (/5ML), LG6

63584, BLUMEN , BLUMEN, NOT FOUND, POM. 45 G x 1, LR3

69514, BEQUIDEX , BEQUIDEX, NOT FOUND, XAR. AD 8 MG 120 ML x 1 (/5ML), LR3

47174, BETALIVER , BETALIVER, NOT FOUND, FLACONETES 10 ML x 50, LR3

33434, BETALIVER , BETALIVER, NOT FOUND, FLACONETES 10 ML x 12, LR3

69515, BEQUIDEX , BEQUIDEX, NOT FOUND, XAR. PED. 4 MG 120 ML x 1 (/5ML), LR3

49533, BELUP , BELUP, NOT FOUND, LIQD 100 ML x 1, LR3

69876, BLUMEL GUACO , BLUMEL GUACO, NOT FOUND, XAR. 120 ML x 1, LR3

58910, BACINEO , BACINEO, NOT FOUND, POM. 15 G x 1, LR3

75117, BLUMEL HEDERA , BLUMEL HEDERA, NOT FOUND, XAR. 15 MG 100 ML x 1 (/ML), LR3

55591, BACTERINIL , BACTERINIL, NOT FOUND, PO P/SUSP 250 MG 150 ML x 1 (/5ML), LR3

49532, BELUP , BELUP, NOT FOUND, DRAG x 20, LR3

53612, BLUMEN , BLUMEN, NOT FOUND, CREME 30 G x 1, LR3

58821, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, GOTAS 4 MG 20 ML x 1 (/ML), MD7

83972, BECARVE , BECARVE, NOT FOUND, CPR 6.25 MG x 15, MD7

1365, BENTYL , BENTYL, NOT FOUND, GOTAS 20 MG 15 ML x 1 (/ML), MD7

59049, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, MD7

69875, BMETRO+NIS+BENZ MG , BMETRO NIS BENZ, NOT FOUND, CR.VAG.10APL 40 G x 1, MD7

58818, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 30, MD7

83978, BECARVE , BECARVE, NOT FOUND, CPR 25 MG x 30, MD7

61335, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, ELIXIR 0.10 MG 120 ML x 1 (/ML), MD7

83973, BECARVE , BECARVE, NOT FOUND, CPR 6.25 MG x 30, MD7

59048, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 20, MD7

76690, BENESTARE , BENESTARE, NOT FOUND, CPR REVEST 625 MG x 30, MD7

83975, BECARVE , BECARVE, NOT FOUND, CPR 12.5 MG x 30, MD7

83980, BECARVE , BECARVE, NOT FOUND, CPR 3.12 MG x 15, MD7

59047, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, MD7

83981, BECARVE , BECARVE, NOT FOUND, CPR 3.12 MG x 30, MD7

62885, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, CAPS 10 MG x 20, MD7

59046, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 20, MD7

58817, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 20, MD7

63892, BUTILB ES+D SOD MG , BUTILB ES D SOD, NOT FOUND, GOTAS 20 ML x 1, MD7

58823, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, SOLN ORAL 1 MG 120 ML x 1 (/ML), MD7

83974, BECARVE , BECARVE, NOT FOUND, CPR 12.5 MG x 15, MD7

58819, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 20, MD7

58820, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 30, MD7

83976, BECARVE , BECARVE, NOT FOUND, CPR 25 MG x 15, MD7

115560, BIMATOPROSTA MG , BIMATOPROSTA, BIMATOPROSTA, SOLN OFTAL 0.30 MG 3 ML x 1 (/ML), MD7

80203, BLANCY , BLANCY, NOT FOUND, GEL CREME 20 G x 1, MQF

52313, BENZOAX , BENZOAX, NOT FOUND, EMULS 25 % 100 ML x 1, N_Q

84333, BONTOSS , BONTOSS, NOT FOUND, XAR AD. 1.60 MG 120 ML x 1 (/ML), N_Q

69828, BACTRONEO , BACTRONEO, NOT FOUND, POM. 2 % 15 G x 1, N_Q

64726, BENZOILMETRONID.MG , BENZOILMETRONID, NOT FOUND, SUSP ORAL 40 MG 80 ML x 1 (/ML), N_Q

67281, BROMETO IPRATRO.MG , BROMETO IPRATRO, BROMETO IPRATROPIO, SOLN INALT 0.25 MG 20 ML x 1 (/ML), N_Q

53457, BUCLIMAX , BUCLIMAX, NOT FOUND, SUSP ORAL 120 ML x 1, N_Q

57685, BETSONA , BETSONA, NOT FOUND, POM. 1 MG 30 G x 1 (/G), N_Q

85400, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 20, N_Q

67280, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, N_Q

85398, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 20, N_Q

52314, BENZOAX , BENZOAX, NOT FOUND, SABAO 10 % 60 G x 1, N_Q

74256, BABYNEO , BABYNEO, NOT FOUND, POM. 60 G x 1, N_Q

85399, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 30, N_Q

77546, BABYNEO PREVENT , BABYNEO PREVENT, NOT FOUND, CREME DERM 45 G x 1, N_Q

84486, BONTOSS , BONTOSS, NOT FOUND, XAR INF 0.80 MG 120 ML x 1 (/ML), N_Q

73054, BRONDYNEO , BRONDYNEO, NOT FOUND, XAR. AD 50 MG 120 ML x 1 (/5ML), N_Q

42459, BAC-SULFITRIN , BAC SULFITRIN, NOT FOUND, CPR 400 MG x 20 (/80), N_Q

57684, BETSONA , BETSONA, NOT FOUND, CREME 1 MG 30 G x 1 (/G), N_Q

58172, BAC-SULFITRIN , BAC SULFITRIN, NOT FOUND, AMP. 480 MG 5 ML x 50, N_Q

73055, BRONDYNEO , BRONDYNEO, NOT FOUND, XAR. PED. 25 MG 120 ML x 1 (/5ML), N_Q

56555, BECLONATO , BECLONATO, NOT FOUND, AMP. 1 ML x 1, N_Q

57227, BROMIFEN , BROMIFEN, NOT FOUND, GOTAS 20 ML x 1, N_Q

75553, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, GOTAS 4 MG 20 ML x 1 (/ML), N_Q

85401, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 30, N_Q

67279, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, N_Q

58675, BACTRONEO , BACTRONEO, NOT FOUND, CREME 2 % 15 G x 1, N_Q

155057, BGSTAR , BGSTAR, NOT FOUND, LANCETAS x 100, S_A

1393, BENZO-GYNOEST A.P. , BENZO GYNOEST A P, NOT FOUND, AMP. 5 MG 1 ML x 2, S_A

76525, BENOFLEX P , BENOFLEX P, NOT FOUND, CPR x 200, S_A

76524, BENOFLEX P , BENOFLEX P, NOT FOUND, CPR x 12, S_A

155056, BGSTAR , BGSTAR, NOT FOUND, DISPO S/T x 1, S_A

86088, BENOFLEX P , BENOFLEX P, NOT FOUND, CPR x 120, S_A

1830, BUCLINA , BUCLINA, NOT FOUND, CPR 25 MG x 20, S_A

74581, BENZOILMETRONID.MG , BENZOILMETRONID, NOT FOUND, SUSP PED 40 MG 100 ML x 1 (/ML), S_A

51534, BI-PROFENID , BI PROFENID, NOT FOUND, CPR 150 MG x 10, S_A

155058, BGSTAR , BGSTAR, NOT FOUND, TIRAS TESTE x 50, S_A

155055, BGSTAR , BGSTAR, NOT FOUND, MON GL S/T x 1, S_A

73716, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 30, SDZ

61240, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, SDZ

61237, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 20, SDZ

73717, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 20, SDZ

73872, BROMALEX , BROMALEX, NOT FOUND, CPR 6 MG x 30, SDZ

73871, BROMALEX , BROMALEX, NOT FOUND, CPR 3 MG x 30, SDZ

73719, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 20, SDZ

61238, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, SDZ

73718, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 30, SDZ

