1322300150984; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (15 MG/ML+0.2573 MG/ML) SOL DIAL PER CX BOLS PLAS INC POLIOLEFINA X 2000ML + EQ + BOLS DREN KIT; FRS
1322300151190; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (22.70 MG/ML + 0.1840 MG/ML) SOL DIAL PER CX BOLS PLAS INC POLIOLEFINA X 2500 ML + EQ + BOLS DREN KIT; FRS
1322300151018; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (15 MG/ML + 0.1840 MG/ML) SOL DIAL PER CX BOLS PLAS INC POLIOLEFINA X 6000ML; FRS
1322300151212; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (15 MG/ML+0.2573 MG/ML) SOL DIAL PER CX BOLS PLAS INC POLIOLEFINA X 2500ML; FRS
1322300151298; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (15 MG/ML+0.2573 MG/ML) SOL DIAL PER CX BOLS PLAS INC  POLIOLEFINA X 6000ML; FRS
1322300151301; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (42.5 MG/ML+0.2573 MG/ML) SOL DIAL PER CX BOLS PLAS INC POLIOLEFINAX 2500ML; FRS
1322300151311; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (42.5 MG/ML+0.2573 MG/ML) SOL DIAL PER CX BOLS PLAS INC POLIOLEFINA X 6000ML; FRS
1322300151220; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (22.73 MG/ML+0.2573 MG/ML) SOL DIA PER CX BOLS PLAS INC POLIOLEFINA X 2500 ML; FRS
1322300151247; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (22.73 MG/ML+0.2573 MG/ML) SOL DIAL PER CX BOLS PLAS INC POLIOLEFINA X 6000 ML; FRS
1322300151001; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (15 MG/ML + 0.1840 MG/ML) SOL DIAL PER CX BOLS PLAS INC POLIOLEFINA X 2500ML; FRS
1322300151085; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (42.50 MG/ML + 0.1840 MG/ML) SOL DIAL PER CX BOLS PLAS INC POLIOLEFINA X 2500ML; FRS
1322300151093; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (42.50 MG/ML + 0.1840 MG/ML) SOL DIAL PER CX BOLS PLAS INC POLIOLEFINA X 6000ML; FRS
1322300151166; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (22.70 MG/ML + 0.1840 MG/ML) SOL DIAL PER CX BOLS PLAS INC POLIOLEFINA X 2500ML; FRS
1322300151174; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (22.70 MG/ML + 0.1840 MG/ML) SOL DIAL PER CX BOLS PLAS INC POLIOLEFINA X 6000ML; FRS
1322300150021; PERITOSTERIL; PERITOSTERIL; NOT FOUND; TIPO 2 SOL DIAL CX BOLSA PLAS INC X 1000 ML; FRS
1322300150011; PERITOSTERIL; PERITOSTERIL; NOT FOUND; TIPO 2 SOL DIAL CX BOLSA PLAS INC X 500 ML; FRS
1322300150941; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (15 MG/ML+0.2573 MG/ML) SOL DIA PER CX BOLS PLAS INC X 2500 ML; FRS
1322300150496; PERITOSTERIL; PERITOSTERIL; NOT FOUND; TIPO 3 SOL DIAL CX BOLSA PLAS INC X 1000 ML; FRS
1322300150763; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (42.5 MG/ML+0.2573 MG/ML) SOL DIA PER CX BOLS PLAS INC X 2500 ML; FRS
1322300150488; PERITOSTERIL; PERITOSTERIL; NOT FOUND; TIPO 3 SOL DIAL CX BOLSA PLAS INC X 500 ML; FRS
1322300150798; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (22.73 MG/ML+0.2573 MG/ML) SOL DIA PER CX 10 BOLS PLAS INC X 5000 ML; FRS
1322300150151; PERITOSTERIL ANDY DISC; PERITOSTERIL ANDY DISC; NOT FOUND; (15 MG/ML+0.2573 MG/ML) SOL DIA PER CX BOLS PLAS INC X 2000 ML + EQ + BOLS DREN KIT; FRS
1322300150161; PERITOSTERIL ANDY DISC; PERITOSTERIL ANDY DISC; NOT FOUND; (15 MG/ML+0.2573 MG/ML) SOL DIA PER CX BOLS PLAS INC X 2500 ML + EQ + BOLS DREN KIT; FRS
1322300150615; PERITOSTERIL ANDY DISC; PERITOSTERIL ANDY DISC; NOT FOUND; (42.5 MG/ML+0.2573 MG/ML) SOL DIA PER CX BOLS PLAS INC X 2000 ML + EQ + BOLS DREN KIT; FRS
1322300150623; PERITOSTERIL ANDY DISC; PERITOSTERIL ANDY DISC; NOT FOUND; (42.5 MG/ML+0.2573 MG/ML) SOL DIA PER CX BOLS PLAS INC X 2500 ML + EQ + BOLS DREN KIT; FRS
1322300150801; PERITOSTERIL ANDY DISC; PERITOSTERIL ANDY DISC; NOT FOUND; (22.73 MG/ML+0.2573 MG/ML) SOL DIAL PER CX BOLS PLAS INC X 2000 ML + EQ + BOLS DREN KIT; FRS
1322300150811; PERITOSTERIL ANDY DISC; PERITOSTERIL ANDY DISC; NOT FOUND; (22.73 MG/ML+0.2573 MG/ML) SOL DIA PER CX BOLS PLAS INC X 2500 ML + EQ + BOLS DREN KIT 01; FRS
1322300150471; PERITOSTERIL ANDY DISC; PERITOSTERIL ANDY DISC; NOT FOUND; (42.5 MG/ML+0.147 MG/ML) SOL DIA PER CX BOLS PLAS INC X 2500 ML + EQ + BOLS DREN KIT; FRS
1322300150690; PERITOSTERIL ANDY DISC; PERITOSTERIL ANDY DISC; NOT FOUND; (22.7 MG/ML+0.147 MG/ML) SOL DIA PER CX BOLS PLAS INC X 2500 ML + EQ + BOLS DREN KIT; FRS
1322300150313; PERITOSTERIL ANDY DISC; PERITOSTERIL ANDY DISC; NOT FOUND; TIPO 10 SOL DIAL CX BOLSA PLAS INC X 2500 ML+EQ+BOLSA DREN KIT; FRS
1322300150224; PERITOSTERIL; PERITOSTERIL; NOT FOUND; TIPO 10 SOL DIAL CX BOLSA PLAS INC X 5000ML; FRS
1322300150046; PERITOSTERIL; PERITOSTERIL; NOT FOUND; TIPO 2 SOL DIAL CX BOLSA PLAS INC X 2000ML; FRS
1322300150054; PERITOSTERIL; PERITOSTERIL; NOT FOUND; TIPO 2 SOL DIAL CX BOLSA PLAS INC X 2.500ML; FRS
1322300150951; PERITOSTERIL; PERITOSTERIL; NOT FOUND; TIPO 2 SOL DIAL CX BOLSA PLAS INC X 5000ML; FRS
1322300150518; PERITOSTERIL; PERITOSTERIL; NOT FOUND; TIPO 3 SOL DIAL CX BOLSA PLAS INC X 2.000ML; FRS
1322300150526; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (42.5 MG/ML+0.2573 MG/ML) SOL DIA PER CX BOLS PLAS INC X 5000; FRS
1322300150771; PERITOSTERIL; PERITOSTERIL; NOT FOUND; TIPO 4 SOL DIAL CX BOLSA PLAS INC X 2.000ML; FRS
1322300150781; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (22.73 MG/ML+0.2573 MG/ML) SOL DIA PER CX BOLS PLAS INC X 2500 ML; FRS
1322300150720; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (15 MG/ML+0.147 MG/ML) SOL DIA PER CX BOLS PLAS INC X 6000 ML; FRS
1322300150216; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (15 MG/ML+0.147 MG/ML) SOL DIA PER CX BOLS PLAS INC X 2500 ML; FRS
1322300150836; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (42.5 MG/ML+0.147 MG/ML) SOL DIA PER CX BOLS PLAS INC X 6000 ML; FRS
1322300150658; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (22.7 MG/ML+0.147 MG/ML) SOL DIA PER CX BOLS PLAS INC X 2500 ML; FRS
1322300150631; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (22.7 MG/ML+0.147 MG/ML) SOL DIA PER CX BOLS PLAS INC X 6000 ML; FRS
1322300150755; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (42.5 MG/ML+0.2573 MG/ML) SOL DIA PER CX BOLS PLAS INC X 6000 ML; FRS
1322300150828; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (22.73 MG/ML+0.2573 MG/ML) SOL DIA PER CX BOLS PLAS INC X 6000 ML 01; FRS
1322300150712; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (15 MG/ML+0.2573 MG/ML) SOL DIAL PER CX BOLS PLAS INC X 6000ML; FRS
1322300150364; PERITOSTERIL; PERITOSTERIL; NOT FOUND; (42.5 MG/ML+0.147 MG/ML) SOL DIA PER CX BOLS PLAS INC X 2500 ML; FRS
1004100250066; PLASMASTERIL; PLASMASTERIL; NOT FOUND; 450/0.7 6PCC SOL BOLS PVC 500 ML; FRS
1004100250041; PLASMASTERIL; PLASMASTERIL; NOT FOUND; 450/0.7 6 PCC SOL FR PLAST 500 ML; FRS
1004100250026; PLASMASTERIL; PLASMASTERIL; NOT FOUND; 450/0.76 PCC SOL FR VD INC 500 ML; FRS
1004100520071; PURISOLE SM; PURISOLE SM; NOT FOUND; 27 G/1000 ML + 5.4 G/1000 ML SOL INJ CX FR PLAS TRANS X 2000 ML; FRS
1004100520063; PURISOLE SM; PURISOLE SM; NOT FOUND; 1000 ML; FRS
1004100520039; PURISOLE SM; PURISOLE SM; NOT FOUND; 27 G/1000 ML + 5.4 G/1000 ML SOL INJ CX BOLSA X 5000 ML; FRS
1004100520098; PURISOLE SM; PURISOLE SM; NOT FOUND; (27G + 5.4G)/1000ML SOL CX FR PLAS TRANS SIST FECH X 1000ML; FRS
