1004101500015; SMOFKABIVEN; SMOFKABIVEN; NOT FOUND; EMUL INJ IV BOLS PLAS INC X 1477 ML SIST FECH; FRS
1004101180010; SOLUÇÃO P/DIÁLISE PERITONEAL; SOLUCAO P DIALISE PERITONEAL; NOT FOUND; 15 MG/ML SOL DIA PER CX FR PLAS TRANS X 1000 ML; FRS
1004101180037; SOLUÇÃO P/DIÁLISE PERITONEAL; SOLUCAO P DIALISE PERITONEAL; NOT FOUND; 15 MG/ML SOL DIA PER CX FR PLAS TRANS SIST FECH X 1000 ML ; FRS
1004101180045; SOLUÇÃO P/DIÁLISE PERITONEAL; SOLUCAO P DIALISE PERITONEAL; NOT FOUND; 15 MG/ML SOL DIA PER CX FR PLAS PE TRANS SIST FECH X 2000 ML; FRS
1004101030019; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; (0.6 + 0.02 + 0.03 + 0.31)G/100ML SOL INJ IV CX FR PLAS TRANS X 500 ML; FRS
1004101030027; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; (0.6 + 0.02 + 0.03 + 0.31)G/100ML SOL INJ IV CX FR PLAS TRANS X 250 ML; FRS
1004101030035; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; (600 MG + 20 MG + 30 MG + 300 MG)/100 ML SOL INJ CX FR PLAS TRANS SIST FECH X 500 ML; FRS
1004101030043; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; (600 MG + 20 MG + 30 MG + 300 MG)/100 ML SOL INJ CX FR PLAS TRANS SIST FECH X 1000 ML; FRS
1004101030051; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND;  (600 MG + 20 MG + 30 MG + 300 MG)/100 ML SOL INJ CX BOLS PLAS SIST FECH X 500ML; FRS
1004101030061; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND;  (600 MG + 20 MG + 30 MG + 300 MG)/100 ML SOL INJ CX BOLS PLAS SIST FECH X 1000 ML; FRS
1134400060010; SOL. P/DIÁLISE PERIT.; SOL P DIALISE PERIT; NOT FOUND; 15 MG/ML SOL P/ DIALISE PERITONEAL CX FR PLAS TRANS X 1000 ML; FRS
1134400060022; SOL. P/DIÁLISE PERIT.; SOL P DIALISE PERIT; NOT FOUND; 2000ML 1.5%; FRS
1134400320017; SOL. P/DIÁLISE PERIT.; SOL P DIALISE PERIT; NOT FOUND; 70 MG/ML SOL DIALISE PERITONIAL CT FR PLAS TRANS X 1000 ML; FRS
1134400330012; SOLUÇÃO RINGER SIMPLES; SOLUCAO RINGER SIMPLES; NOT FOUND; 500ML; FRS
1004100330021; SOLUÇÃO RINGER SIMPLES; SOLUCAO RINGER SIMPLES; NOT FOUND; 8.6 G/ML + 0.3 G/ML + 0.33 G/ML SOL INJ IV CX FR PLAS TRANSP X 500 ML; FRS
1004100330061; SOLUÇÃO RINGER SIMPLES; SOLUCAO RINGER SIMPLES; NOT FOUND; 8.6 G/ML + 0.3 G/ML + 0.33 G/ML SOL INJ CX BOLS PLAS TRANSP X 500 ML; FRS
1134400080026; SOLUÇÃO RINGER C/LACTATO; SOLUCAO RINGER C LACTATO; NOT FOUND; (0.6 +0.02 + 0.03 + 0.31 ) G/100ML SOL INJ CX FR PLAS TRANSP X 250 ML -REST HOSP; FRS
1134400080016; SOLUÇÃO RINGER C/LACTATO; SOLUCAO RINGER C LACTATO; NOT FOUND; (0.6 +0.02 +0.03 +0.31 ) G/100 ML SOL INJ CX FR PLAS TRANSP X 500 ML ( REST HOSP); FRS
1004100320050; SOLUÇÃO RINGER C/LACTATO; SOLUCAO RINGER C LACTATO; NOT FOUND; 3MG+6MG+0.3MG+0.2MG SOL INJ CX FR PLAS TRANS X 1000ML; FRS
1004100320070; SOLUÇÃO RINGER C/LACTATO; SOLUCAO RINGER C LACTATO; NOT FOUND; 500 ML; FRS
1016800410019; SOL ACETATO; SOL ACETATO; NOT FOUND; 140 C/ K 1.0; FRS
1016800300012; SOL ACETATO; SOL ACETATO; NOT FOUND; 136 C/ K GLICOSE; FRS
1016800300020; SOL ACETATO; SOL ACETATO; NOT FOUND; 140 C/ K GLIC; FRS
1016800370017; SOL ACETATO; SOL ACETATO; NOT FOUND; 140 S/ K; FRS
1016800400031; SOL BICARBONATADA; SOL BICARBONATADA; NOT FOUND; 140 C/ K 1.0; FRS
1016800360021; SOL BICARBONATADA; SOL BICARBONATADA; NOT FOUND; 136 C/K GLIC; FRS
1016800300043; SOL BICARBONATADA; SOL BICARBONATADA; NOT FOUND; 140 C/ K 2.0 GLIC MG 1.0; FRS
1016800400021; SOL BICARBONATADA; SOL BICARBONATADA; NOT FOUND; 140 C/ K 2.2; FRS
1016800390018; SOL BICARBONATADA; SOL BICARBONATADA; NOT FOUND; 140 S/ K CA. 2.5 GLIC; FRS
1134400040065; SOLUÇÃO DE CLORETO DE SÓDIO; SOLUCAO CLORETO SODIO; NOT FOUND; 0.9 MG/ML SOL INJ CX FR PLAS TRANS X 2000 ML.; FRS
1134400040019; SOLUÇÃO DE CLORETO DE SÓDIO; SOLUCAO CLORETO SODIO; NOT FOUND; 0.9 PCC SOL INJ CX FR PLAS TRANS X 250 ML; FRS
1134400040027; SOLUÇÃO DE CLORETO DE SÓDIO; SOLUCAO CLORETO SODIO; NOT FOUND; 0.9 PCC SOL INJ CX FR PLAS TRANS X 500 ML; FRS
1004199410011; SOLUÇÃO DE CLORETO DE SÓDIO; SOLUCAO CLORETO SODIO; NOT FOUND; 100 ML 0.9%; FRS
1004199410044; SOLUÇÃO DE CLORETO DE SÓDIO; SOLUCAO CLORETO SODIO; NOT FOUND; 1000 ML 0.9%; FRS
1004199410028; SOLUÇÃO DE CLORETO DE SÓDIO; SOLUCAO CLORETO SODIO; NOT FOUND; 250 ML 0.9%; FRS
1004199410036; SOLUÇÃO DE CLORETO DE SÓDIO; SOLUCAO CLORETO SODIO; NOT FOUND; 500 ML 0.9%; FRS
1004199410052; SOLUÇÃO DE CLORETO DE SÓDIO; SOLUCAO CLORETO SODIO; NOT FOUND; 2000 ML 0.9%; FRS
1322300260021; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO; SOLUCAO FISIOLOGICA CLORETO SODIO; NOT FOUND; 0.009 G/ML SOL INJ IV CX BOLS PVC TRANS SIST FECH X 100 ML; FRS
1322300260070; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO; SOLUCAO FISIOLOGICA CLORETO SODIO; NOT FOUND; 0.009 G/ML SOL INJ IV CX BOLS PVC TRANS SIST FECH X 1000 ML; FRS
1322300260097; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO; SOLUCAO FISIOLOGICA CLORETO SODIO; NOT FOUND; 0.009 G/ML SOL INJ IV CX BOLS PVC TRANS SIST FECH X 2000 ML; FRS
1322300260054; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO; SOLUCAO FISIOLOGICA CLORETO SODIO; NOT FOUND; 0.009 G/ML SOL INJ IV CX BOLS PVC TRANS SIST FECH X 250 ML; FRS
1322300260062; SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO; SOLUCAO FISIOLOGICA CLORETO SODIO; NOT FOUND; 0.009 G/ML SOL INJ IV CX BOLS PVC TRANS SIST FECH X 500 ML; FRS
1134400090012; SOLUCAO DE DEXTRAN A 10% EM SOLUCAO GLICOSADA; SOLUCAO DEXTRAN A 10 EM SOLUCAO GLICOSADA; NOT FOUND; 0.1 G/ML SOL INJ CX FR PLAS TRANS X 500 ML; FRS
1134400100010; SOLUCAO DE DEXTRAN A 10% EM SOLUCAO GLICOSADA; SOLUCAO DEXTRAN A 10 EM SOLUCAO GLICOSADA; NOT FOUND; 10 G/ML SOL INJ CX FA PLAS TRANS X 500 ML; FRS
1134400050014; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 250ML 1:1; FRS
1134400050022; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 500ML 1:1; FRS
1134400050039; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 0.009 G/ML + 0.05 G/ML SOL INJ CX FR PLAS TRANS X 1000 ML; FRS
1134400050030; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 250ML 3:1; FRS
1134400050049; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 500ML 3:1; FRS
1134400050057; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 1.8 MG/ML + 40 MG/ML SOL INJ CX FR PLAS TRANS X 250 ML; FRS
1134400050065; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 500ML 4:1; FRS
1004100110030; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 1000 ML; FRS
1004100110100; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 250 ML; FRS
1004100110102; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 500 ML; FRS
1004100110145; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; MANUTENCAO - 500 ML; FRS
1004100110061; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; REPARADORA - 500 ML; FRS
1004100110140; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV CX 30 FR PLAS TRANS SIST FECH X 250 ML ; FRS
1004100110159; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML ; FRS
1004100110167; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV CX 10 FR PLAS TRANS SIST FECH X 1000 ML ; FRS
1004100110175; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 250 ML; FRS
1004100110183; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML; FRS
1004100110191; SOLUÇÃO GLICOFISIOLÓGICA; SOLUCAO GLICOFISIOLOGICA; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 1000 ML; FRS
1134400020049; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 100ML A 5%; FRS
1134400340034; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 1000ML A 10%; FRS
1134400340018; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 250ML A 10%; FRS
1134400340026; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 500ML A 10%; FRS
1134400250035; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 100ML - HIPERTONICA A 50%; FRS
1134400250026; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 500ML - HIPERTONICA A 50%; FRS
1134400020026; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 1000ML A 5%; FRS
1134400020018; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 250ML A 5%; FRS
1134400020034; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 500ML A 5%; FRS
1134400260022; SOL. DE MANITOL; SOL MANITOL; NOT FOUND; 3 PCC SOL CX FR PLAS TRANS X 2000 ML; FRS
1134400260014; SOLUÇÃO DE MANITOL; SOLUCAO MANITOL; NOT FOUND; 500ML; FRS
1134400030013; SOLUÇÃO MANITOL; SOLUCAO MANITOL; NOT FOUND;  20 PCC SOL INJ CX FR PLAS TRANS X 250 ML; FRS
1134400200016; SOL. METRONIDAZOL; SOL METRONIDAZOL; NOT FOUND; 0.5 PCC SOL INJ CX FR PLAS TRANS X 100 ML; FRS
1004101120018; SMOFLIPID 20%; SMOFLIPID 20; NOT FOUND; 20 PCC EMU INJ CX FR VD INC X 100 ML; FRS
1004101120026; SMOFLIPID 20%; SMOFLIPID 20; NOT FOUND; (60 + 60 + 50 + 30)MG/ML EMU INJ CX FR VD INC X 250ML; FRS
1004101120034; SMOFLIPID 20%; SMOFLIPID 20; NOT FOUND; 20 PCC EMU INJ CX FR VD INC X 500 ML; FRS
