516900804112412, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR CEREJA), C6R
516900808134410, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR MENTA), C6R
516903601166415, GELOFUT, GELOFUT, NOT FOUND, (0.0444 G + 0.0200 G + 0.0444 ML)/ G POM DER CT BG AL X 20 G, C6R
516903602162413, GELOFUT, GELOFUT, NOT FOUND, (0.0444 G + 0.0200 G + 0.0444 ML)/ G POM DER CT BG AL X 45 G, C6R
516900902165413, GELOFUT., GELOFUT, NOT FOUND, 0.0444 G/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 20, C6R
516900903161411, GELOFUT., GELOFUT, NOT FOUND, 0.0444 G/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 45 G, C6R
516900804112412, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR CEREJA), C6R
516900805119410, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR LARANJA), C6R
516900806115419, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR MENTA), C6R
516900807138412, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR CEREJA), C6R
516900809130419, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR LARANJA), C6R
516900808134410, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR MENTA), C6R
516903601166415, GELOFUT, GELOFUT, NOT FOUND, (0.0444 G + 0.0200 G + 0.0444 ML)/ G POM DER CT BG AL X 20 G, C6R
516903602162413, GELOFUT, GELOFUT, NOT FOUND, (0.0444 G + 0.0200 G + 0.0444 ML)/ G POM DER CT BG AL X 45 G, C6R
516900902165413, GELOFUT., GELOFUT, NOT FOUND, 0.0444 G/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 20, C6R
516900903161411, GELOFUT., GELOFUT, NOT FOUND, 0.0444 G/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 45 G, C6R
516900804112412, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR CEREJA), C6R
516900805119410, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR LARANJA), C6R
516900806115419, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR MENTA), C6R
516900807138412, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR CEREJA), C6R
516900809130419, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR LARANJA), C6R
516900808134410, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR MENTA), C6R
516903601166415, GELOFUT, GELOFUT, NOT FOUND, (0.0444 G + 0.0200 G + 0.0444 ML)/ G POM DER CT BG AL X 20 G, C6R
516903602162413, GELOFUT, GELOFUT, NOT FOUND, (0.0444 G + 0.0200 G + 0.0444 ML)/ G POM DER CT BG AL X 45 G, C6R
516900902165413, GELOFUT., GELOFUT, NOT FOUND, 0.0444 G/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 20, C6R
516900903161411, GELOFUT., GELOFUT, NOT FOUND, 0.0444 G/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 45 G, C6R
516900804112412, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR CEREJA), C6R
516900805119410, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR LARANJA), C6R
516900806115419, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR MENTA), C6R
516900807138412, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR CEREJA), C6R
516900809130419, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR LARANJA), C6R
516900808134410, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR MENTA), C6R
516903601166415, GELOFUT, GELOFUT, NOT FOUND, (0.0444 G + 0.0200 G + 0.0444 ML)/ G POM DER CT BG AL X 20 G, C6R
516903602162413, GELOFUT, GELOFUT, NOT FOUND, (0.0444 G + 0.0200 G + 0.0444 ML)/ G POM DER CT BG AL X 45 G, C6R
516900902165413, GELOFUT., GELOFUT, NOT FOUND, 0.0444 G/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 20, C6R
516900903161411, GELOFUT., GELOFUT, NOT FOUND, 0.0444 G/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 45 G, C6R
516903601166415, GELOFUT, GELOFUT, NOT FOUND, (0.0444 G + 0.0200 G + 0.0444 ML)/ G POM DER CT BG AL X 20 G, C6R
516903602162413, GELOFUT, GELOFUT, NOT FOUND, (0.0444 G + 0.0200 G + 0.0444 ML)/ G POM DER CT BG AL X 45 G, C6R
516903603177414, GELOFUT, GELOFUT, NOT FOUND, 0.0333 G/ML + 0.0083 G/ML + 0.0333 ML/ML SOL AER TOPICO TB AL X 120 ML, C6R
516900902165413, GELOFUT., GELOFUT, NOT FOUND, 0.0444 G/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 20, C6R
516900903161411, GELOFUT., GELOFUT, NOT FOUND, 0.0444 G/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 45 G, C6R
516900804112412, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR CEREJA), C6R
516900805119410, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR LARANJA), C6R
516900806115419, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR MENTA), C6R
516900807138412, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR CEREJA), C6R
516900809130419, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR LARANJA), C6R
516900808134410, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR MENTA), C6R
516903601166415, GELOFUT, GELOFUT, NOT FOUND, (0.0444 G + 0.0200 G + 0.0444 ML)/ G POM DER CT BG AL X 20 G, C6R
516903602162413, GELOFUT, GELOFUT, NOT FOUND, (0.0444 G + 0.0200 G + 0.0444 ML)/ G POM DER CT BG AL X 45 G, C6R
516903603177414, GELOFUT, GELOFUT, NOT FOUND, 0.0333 G/ML + 0.0083 G/ML + 0.0333 ML/ML SOL AER TOPICO TB AL X 120 ML, C6R
516900902165413, GELOFUT., GELOFUT, NOT FOUND, 0.0444 G/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 20, C6R
516900903161411, GELOFUT., GELOFUT, NOT FOUND, 0.0444 G/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 45 G, C6R
516900804112412, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR CEREJA), C6R
516900805119410, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR LARANJA), C6R
516900806115419, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR MENTA), C6R
516900807138412, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR CEREJA), C6R
516900809130419, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR LARANJA), C6R
516900808134410, GARGOTRICIN, GARGOTRICIN, NOT FOUND, 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR MENTA), C6R
