525101901116415, FLAZOL, FLAZOL, NOT FOUND, 250MG CX. C/ 20 COMP., MDQ
525101902139419, FLAZOL, FLAZOL, NOT FOUND, VD. C/ 100ML SUSP 4%, MDQ
525102001119416, FLOXIMED, FLOXIMED, NOT FOUND, CX. C/ 14 COMP. REV., MDQ
525102101113411, FLUCONAZON, FLUCONAZON, NOT FOUND, 150 MG CAP CT BL AL PLAS INC X 1, MDQ
525102102111410, FLUCONAZON, FLUCONAZON, NOT FOUND, 150 MG CAP CT BL AL PLAS INC X 2, MDQ
525102201134419, FUNGISTATINA, FUNGISTATINA, NOT FOUND, VD. C/ 50ML, MDQ
525102301112417, FUNGONAZOL, FUNGONAZOL, NOT FOUND, 200MG CX. C/ 10 COMP., MDQ
525102302119415, FUNGONAZOL, FUNGONAZOL, NOT FOUND, 200MG CX. C/ 20 COMP., MDQ
525102303174411, FUNGONAZOL, FUNGONAZOL, NOT FOUND, VD. C/ 100ML SHAMPOO, MDQ
525102301112417, FUNGONAZOL, FUNGONAZOL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, MDQ
525102302119415, FUNGONAZOL, FUNGONAZOL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 20, MDQ
525102303174411, FUNGONAZOL, FUNGONAZOL, NOT FOUND, VD. C/ 100ML SHAMPOO, MDQ
525102101113411, FLUCONAZON, FLUCONAZON, NOT FOUND, 150 MG CAP CT BL AL PLAS INC X 1, MDQ
525102102111410, FLUCONAZON, FLUCONAZON, NOT FOUND, 150 MG CAP CT BL AL PLAS INC X 2, MDQ
525101901116415, FLAZOL, FLAZOL, NOT FOUND, 250MG COM CT 2 BL AL PLAS INC X 10, MDQ
525101902139419, FLAZOL, FLAZOL, NOT FOUND, 40 MG/ML SUS OR CT FR VD AMB X 100 ML, MDQ
525102201134419, FUNGISTATINA, FUNGISTATINA, NOT FOUND, 100000 UI/ML SUS OR CT FR VD AMB X 50 ML + CGT, MDQ
525102001119416, FLOXIMED, FLOXIMED, NOT FOUND, 400 MG COM REV CT BL AL PLAS INC X 14, MDQ
525102002115414, FLOXIMED, FLOXIMED, NOT FOUND, 400 MG COM REV CT BL AL PLAS INC X 420, MDQ
525102301112417, FUNGONAZOL, FUNGONAZOL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, MDQ
525102302119415, FUNGONAZOL, FUNGONAZOL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 20, MDQ
525102303174411, FUNGONAZOL, FUNGONAZOL, NOT FOUND, VD. C/ 100ML SHAMPOO, MDQ
525102101113411, FLUCONAZON, FLUCONAZON, NOT FOUND, 150 MG CAP CT BL AL PLAS INC X 1, MDQ
525102102111410, FLUCONAZON, FLUCONAZON, NOT FOUND, 150 MG CAP CT BL AL PLAS INC X 2, MDQ
525101901116415, FLAZOL, FLAZOL, NOT FOUND, 250MG COM CT 2 BL AL PLAS INC X 10, MDQ
525101902139419, FLAZOL, FLAZOL, NOT FOUND, 40 MG/ML SUS OR CT FR VD AMB X 100 ML, MDQ
525102201134419, FUNGISTATINA, FUNGISTATINA, NOT FOUND, 100000 UI/ML SUS OR CT FR VD AMB X 50 ML + CGT, MDQ
525102001119416, FLOXIMED, FLOXIMED, NOT FOUND, 400 MG COM REV CT BL AL PLAS INC X 14, MDQ
525102002115414, FLOXIMED, FLOXIMED, NOT FOUND, 400 MG COM REV CT BL AL PLAS INC X 420, MDQ
