526124401169115; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10MG/G + 0.4MG/G CREM DERM CT BG AL X 40G; GM2
526126502175117; CLORIDRATO DE FENOXAZOLINA; CLORIDRATO FENOXAZOLINA; CLORIDRATO FENOXAZOLINA; 1.0 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML ; GM2
526116905110113; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 10 MG CAP GEL DURA CT BL AL PLAS INC X 20; GM2
526116906117111; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 10 MG CAP GEL DURA CT BL AL PLAS INC X 28; GM2
526116903118117; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 14; GM2
526116904114115; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 28; GM2
526116901115110; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20MG COM REV CT BL AL PLAS OPC X 30; GM2
526116902138114; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG/ML SOL OR CT FR PLAS TRANS GOT X 20 ML ; GM2
526124201161110; CLORIDRATO DE LIDOCAÍNA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML GEL TOP CT BG AL X 30 G; GM2
526114001117110; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1 G COM REV CT BL AL PLAS INC X 30; GM2
526114004116115; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 60 ; GM2
526114003111111; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30; GM2
526114005112113; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 60; GM2
526117201133114; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; GM2
526117301138118; CLORIDRATO DE  NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NASAL CT FR PLAS OPC GOT X 30ML; GM2
526125301117111; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 8 MG COM REV CT BL AL PLAS LEIT X 10    ; GM2
526124801132111; CLORIDRATO DE OXIBUTININA; CLORIDRATO OXIBUTININA; CLORIDRATO OXIBUTININA; 1 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GM2
526122601179118; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.25 MG/ML SOL NAS CT FR PLAS OPC GOT X 20 ML; GM2
526122602175116; CLORIDRATO DE OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; CLORIDRATO OXIMETAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 20 ML; GM2
526132702113111; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; GM2
526132701117111; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 30 MG COM REV CT BL AL PLAS OPC X 30; GM2
526112070086106; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 15 MG COM CT FR PLAS OPC X 15; GM2
526112070086206; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 30 MG COM CT FR PLAS OPC X 15; GM2
526112070086306; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 45 MG COM CT FR PLAS OPC X 15; GM2
526102501111118; CLORIDRATO DE PROPANOLOL; CLORIDRATO PROPANOLOL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); GM2
526102502116113; CLORIDRATO DE PROPANOLOL; CLORIDRATO PROPANOLOL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); GM2
526102503112111; CLORIDRATO DE PROPANOLOL; CLORIDRATO PROPANOLOL; NOT FOUND; 80 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); GM2
526121101113111; CLORIDRATO DE PROPRANOLOL + HIDROCLOROTIAZIDA; CLORIDRATO PROPRANOLOL HIDROCLOROTIAZIDA; NOT FOUND; 40 MG + 25 MG COM CT BL AL PLAS LEIT X 30 ; GM2
526121102111110; CLORIDRATO DE PROPRANOLOL + HIDROCLOROTIAZIDA; CLORIDRATO PROPRANOLOL HIDROCLOROTIAZIDA; NOT FOUND; 80 MG + 25 MG COM CT BL AL PLAS LEIT X 30 ; GM2
526127301130114; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 15 MG /ML XPE CT FR VD AMB X 120 ML + CP MED; GM2
526127302110117; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 20; GM2
526127303117115; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT STR X 20; GM2
526125401111115; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 100 MG COM REV CT BL AL PLAS LEIT X 14; GM2
526125402118113; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS LEIT X 10 ; GM2
526125403114111; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS LEIT X 20; GM2
526125404110111; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS LEIT X 28; GM2
526130202113114; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
526130201117116; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 10 ; GM2
526130203111115; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
526117403161119; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G CREM DERM CT BG AL X 20 G; GM2
526117401132111; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G SOL TOP CT FR PLAS OPC GOT X 30 ML ; GM2
526117402139111; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 10 MG/G SOL TOP CT FR PLAS OPC SPRAY X 30 ML ; GM2
526127802113115; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 20 ; GM2
526127801117117; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 30; GM2
526118101132114; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 100 MG/ML SOL OR CT FR VD AMB GOT X 15 ML; GM2
526117501110111; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS OPC X 10 ; GM2
526117502151111; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CT 6 AMP VD INC X 1 ML; GM2
526117503156117; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CT 6 AMP VD INC X 2 ML ; GM2
526130701111117; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 14; GM2
526113040089006; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 30; GM2
526118601119117; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS OPC X 30; GM2
526102601114119; CLORTALIDONA; CLORTALIDONA; CLORTALIDONA; 12.5 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); GM2
526102602110117; CLORTALIDONA; CLORTALIDONA; CLORTALIDONA; 25 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); GM2
526102603117115; CLORTALIDONA; CLORTALIDONA; CLORTALIDONA; 50 MG COM CT BL AL PLAS INC X 30; GM2
526116003168118; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 20 G ; GM2
526116001165111; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC ; GM2
