504413701152114, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML, BU_
504412436153415, ALFAEPOETINA HUMANA RECOMBINANTE, ALFAEPOETINA HUMANA RECOMBINANTE, NOT FOUND, 4000 UI SOL INJ CT 12 SER PREENCH X 1 ML, BU_
504412437151416, ALFAEPOETINA HUMANA RECOMBINANTE, ALFAEPOETINA HUMANA RECOMBINANTE, NOT FOUND, 4000 UI SOL INJ CX 12 FA VD INC X 1 ML, BU_
504412438156411, ALFAEPOETINA HUMANA RECOMBINANTE, ALFAEPOETINA HUMANA RECOMBINANTE, NOT FOUND, 4000 UI SOL INJ CX FA VD INC X 1 ML, BU_
504412429157419, ALFAEPOETINA HUMANA RECOMBINANTE, ALFAEPOETINA HUMANA RECOMBINANTE, NOT FOUND, 4000 UI PO LIOF INJ CX 1 FA VD INC + DIL X 1 ML, BU_
504412430155416, ALFAEPOETINA HUMANA RECOMBINANTE, ALFAEPOETINA HUMANA RECOMBINANTE, NOT FOUND, 4000 UI PO LIOF INJ CX 12 FA VD INC + DIL X 1 ML, BU_
504412439152411, ALFAEPOETINA HUMANA RECOMBINANTE, ALFAEPOETINA HUMANA RECOMBINANTE, NOT FOUND, 40000 UI SOL INJ CT 1 AMP VD INC X 1 ML, BU_
504412440150417, ALFAEPOETINA HUMANA RECOMBINANTE, ALFAEPOETINA HUMANA RECOMBINANTE, NOT FOUND, 40000 UI SOL INJ CT 1 SER PREENC X 1 ML, BU_
504412441157415, ALFAEPOETINA HUMANA RECOMBINANTE, ALFAEPOETINA HUMANA RECOMBINANTE, NOT FOUND, 40000 UI SOL INJ CT 12 AMP VD INC X 1 ML, BU_
504412442153413, ALFAEPOETINA HUMANA RECOMBINANTE, ALFAEPOETINA HUMANA RECOMBINANTE, NOT FOUND, 40000 UI SOL INJ CT 12 SER PREENC X 1 ML, BU_
504414010040418, ARICILINA, ARICILINA, NOT FOUND, 5.000.000 UI PO INJ CX 50 FA, BU_
504414010041308, ARISTOPRAMIDA, ARISTOPRAMIDA, NOT FOUND, 5 MG/ML SOL INJ CX 100 AMP VD INC X 2 ML (EMB HOSP), BU_
504413802153418, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 10000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 0.3 ML  + SISTEMA DE SEGURANCA, BU_
504413805152412, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 10000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 0.3 ML  + SISTEMA DE SEGURANCA, BU_
504413803151419, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 10000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 0.4 ML  + SISTEMA DE SEGURANCA, BU_
504413806159410, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 10000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 0.4 ML  + SISTEMA DE SEGURANCA, BU_
504413804156414, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 10000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 1 ML  + SISTEMA DE SEGURANCA, BU_
504413807155419, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 10000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 1 ML  + SISTEMA DE SEGURANCA, BU_
504413808151417, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 2000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 0.5 ML  + SISTEMA DE SEGURANCA, BU_
504413809158415, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 2000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 0.5 ML  + SISTEMA DE SEGURANCA, BU_
504413810156412, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 4000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 0.5 ML  + SISTEMA DE SEGURANCA, BU_
504413812159419, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 4000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 0.5 ML  + SISTEMA DE SEGURANCA, BU_
504413811152410, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 4000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 1 ML  + SISTEMA DE SEGURANCA, BU_
504413813155417, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 4000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 1 ML  + SISTEMA DE SEGURANCA, BU_
504413814151415, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 40000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 1 ML  + SISTEMA DE SEGURANCA, BU_
504413801157411, ALFAEPOETINA, ALFAEPOETINA, ALFAEPOETINA, 40000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 1ML  + SISTEMA DE SEGURANCA, BU_
504400503160410, ANFUGITARIN, ANFUGITARIN, NOT FOUND, 20 MG/G CREM VAG CT C/ 14 APLIC GIN PLAS X 5 G, BU_
504400501168414, ANFUGITARIN, ANFUGITARIN, NOT FOUND, CRT. C/1 BISN. AL. 80G + APL. GIN., BU_
504400502164412, ANFUGITARIN, ANFUGITARIN, NOT FOUND, 20 MG/G CREM VAG CT BG AL X 80 G + 14 APLIC GIN, BU_
504400401163410, ANFUGINE, ANFUGINE, NOT FOUND, CREME VAGINAL 30MG/G + 20 MG/G. CART. C/ 1 BISNAGA, BU_
504400402161411, ANFUGINE, ANFUGINE, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG X 80G + 14 APLIC , BU_
504400403166417, ANFUGINE, ANFUGINE, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT C/ 14 APLIC GINEC PLAS X 5G, BU_
504414010040118, ARIFENICOL, ARIFENICOL, NOT FOUND, 1000 MG PO INJ CX 50 FA + DIL X 5 ML, BU_
504414010040208, ARIFENICOL, ARIFENICOL, NOT FOUND, 1000 MG PO INJ CX  50 FA VD INC + 50 DIL AMP PLAS X 5 ML, BU_
504414010040318, ARIFENICOL, ARIFENICOL, NOT FOUND, 1000 MG PO INJ CX  100 FA VD INC, BU_
504414010040518, ARISCORTEN, ARISCORTEN, NOT FOUND, 100 MG PO INJ CX 100 FA VD INC, BU_
504414010040718, ARISCORTEN, ARISCORTEN, NOT FOUND, 100 MG PO INJ CX 50 FA VD INC, BU_
504414010040918, ARISCORTEN, ARISCORTEN, NOT FOUND, 100 MG PO INJ CX 50 FA VD INC  + AMP DIL X 2 ML, BU_
504414010040618, ARISCORTEN, ARISCORTEN, NOT FOUND, 500 MG PO INJ CX 100 FA VD INC, BU_
504414010040818, ARISCORTEN, ARISCORTEN, NOT FOUND, 500 MG PO INJ CX 50 FA VD INC, BU_
504414010041018, ARISCORTEN, ARISCORTEN, NOT FOUND, 500 MG PO INJ CT FA VD INC + AMP DIL X 4 ML, BU_
504414010040018, AMICILON, AMICILON, NOT FOUND, 125 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML, BU_
504414010039718, AMICILON, AMICILON, NOT FOUND, 250 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML, BU_
504414010039918, AMICILON, AMICILON, NOT FOUND, 250 MG/ML SOL INJ CT  AMP VD INC X 2 ML, BU_
504414010039818, AMICILON, AMICILON, NOT FOUND, 50 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML, BU_
504414010041118, ATROPION, ATROPION, NOT FOUND, 0.25 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML, BU_
504414010041218, ATROPION, ATROPION, NOT FOUND, 0.5 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML, BU_
504412201164417, ANFUGITAK-TIOCONAZOL, ANFUGITAK TIOCONAZOL, NOT FOUND, CT C/01 APL GIN X 4.62G, BU_
504413120037716, ACIDO TRANEXAMICO, ACIDO TRANEXAMICO, ACIDO TRANEXAMICO, 50 MG/ML SOL INJ CX 5 AMP VD INC X 5 ML, BU_
504413120037816, ACIDO TRANEXAMICO, ACIDO TRANEXAMICO, ACIDO TRANEXAMICO, 50 MG/ML SOL INJ CX 50 AMP VD INC X 5 ML, BU_
504414120051704, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, SOL INJ CX 100 AMP VD INC X 5 ML, BU_
504414120051804, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, SOL INJ CX 100 AMP VD INC X 10 ML, BU_
504414120051904, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, SOL INJ CX 100 AMP VD INC X 20 ML, BU_
504414120052004, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, SOL INJ CX 100 AMP VD INC X 3 ML, BU_
504414120052104, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, SOL INJ CX 100 AMP VD INC X 4 ML, BU_
504414120052204, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, SOL INJ CX 100 AMP PLAS TRANS X 5ML, BU_
504414120052304, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, AGUA PARA INJETAVEIS, SOL INJ CX 100 AMP PLAS TRANS X 10ML, BU_
